Some	DT	some
17	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
became	VBD	become
allergic	JJ	allergic
to	TO	to
Delhi	NP	Delhi
'	POS	'
s	NN	S
air	NN	air
.	SENT	.
My	PP$	my
doctors	NNS	doctor
told	VBD	tell
me	PP	me
that	IN	that
my	PP$	my
lung	NN	lung
capacity	NN	capacity
had	VBD	have
gone	VBN	go
down	RP	down
to	TO	to
70	CD	@card@
percent	NN	percent
,	,	,
and	CC	and
it	PP	it
was	VBD	be
killing	VBG	kill
me	PP	me
.	SENT	.
With	IN	with
the	DT	the
help	NN	help
of	IN	of
IIT	NP	IIT
,	,	,
TERI	NP	Teri
,	,	,
and	CC	and
learnings	NNS	learning
from	IN	from
NASA	NP	NASA
,	,	,
we	PP	we
discovered	VBD	discover
that	IN	that
there	EX	there
are	VBP	be
three	CD	three
basic	JJ	basic
green	JJ	green
plants	NNS	plant
,	,	,
common	JJ	common
green	JJ	green
plants	NNS	plant
,	,	,
with	IN	with
which	WDT	which
we	PP	we
can	MD	can
grow	VB	grow
all	PDT	all
the	DT	the
fresh	JJ	fresh
air	NN	air
we	PP	we
need	VBP	need
indoors	RB	indoors
to	TO	to
keep	VB	keep
us	PP	us
healthy	JJ	healthy
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
also	RB	also
found	VBD	find
that	IN	that
you	PP	you
can	MD	can
reduce	VB	reduce
the	DT	the
fresh	JJ	fresh
air	NN	air
requirements	NNS	requirement
into	IN	into
the	DT	the
building	NN	building
,	,	,
while	IN	while
maintaining	VBG	maintain
industry	NN	industry
indoor	JJ	indoor
air-	NN	air-
quality	NN	quality
standards	NNS	standard
.	SENT	.
The	DT	the
three	CD	three
plants	NNS	plant
are	VBP	be
Areca	NN	areca
palm	NN	palm
,	,	,
Mother-in-Law	NN	mother-in-law
'	POS	'
s	JJ	<unknown>
Tongue	NP	Tongue
and	CC	and
money	NN	money
plant	NN	plant
.	SENT	.
The	DT	the
botanical	JJ	botanical
names	NNS	name
are	VBP	be
in	IN	in
front	NN	front
of	IN	of
you	PP	you
.	SENT	.
Areca	NN	areca
palm	NN	palm
is	VBZ	be
a	DT	a
plant	NN	plant
which	WDT	which
removes	VBZ	remove
CO2	NN	<unknown>
and	CC	and
converts	VBZ	convert
it	PP	it
into	IN	into
oxygen	NN	oxygen
.	SENT	.
We	PP	we
need	VBP	need
four	CD	four
shoulder-high	JJ	shoulder-high
plants	NNS	plant
per	IN	per
person	NN	person
,	,	,
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
plant	NN	plant
care	NN	care
,	,	,
we	PP	we
need	VBP	need
to	TO	to
wipe	VB	wipe
the	DT	the
leaves	VBZ	leave
every	DT	every
day	NN	day
in	IN	in
Delhi	NP	Delhi
,	,	,
and	CC	and
perhaps	RB	perhaps
once	RB	once
a	DT	a
week	NN	week
in	IN	in
cleaner-air	JJ	<unknown>
cities	NNS	city
.	SENT	.
We	PP	we
had	VBD	have
to	TO	to
grow	VB	grow
them	PP	them
