Hi	UH	hi
.	SENT	.
For	IN	for
those	DT	those
of	IN	of
you	PP	you
who	WP	who
haven	NN	haven
'	POS	'
t	NN	t
seen	VBN	see
dancing	NN	dancing
bears	NNS	bear
,	,	,
these	DT	these
are	VBP	be
the	DT	the
dancing	NN	dancing
bears	VBZ	bear
.	SENT	.
In	IN	in
1995	CD	@card@
,	,	,
we	PP	we
started	VBD	start
working	VBG	work
on	IN	on
a	DT	a
two-year	JJ	two-year
investigative	JJ	investigative
research	NN	research
project	NN	project
to	TO	to
try	VB	try
and	CC	and
find	VB	find
out	RP	out
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
.	SENT	.
Because	IN	because
the	DT	the
sloth	NN	sloth
bears	VBZ	bear
in	IN	in
the	DT	the
wild	JJ	wild
were	VBD	be
obviously	RB	obviously
getting	VBG	get
depleted	VBN	deplete
because	IN	because
of	IN	of
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Qalandar	NP	<unknown>
community	NN	community
.	SENT	.
They	PP	they
are	VBP	be
a	DT	a
marginalized	VBN	marginalize
Islamic	JJ	Islamic
community	NN	community
who	WP	who
live	VBP	live
across	IN	across
India	NP	India
,	,	,
and	CC	and
have	VBP	have
been	VBN	be
in	IN	in
India	NP	India
since	IN	since
the	DT	the
13th	JJ	13th
century	NN	century
.	SENT	.
We	PP	we
went	VBD	go
about	IN	about
getting	VBG	get
evidence	NN	evidence
of	IN	of
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
footage	NN	footage
from	IN	from
a	DT	a
hidden	JJ	hidden
camera	NN	camera
in	IN	in
a	DT	a
button	NN	button
.	SENT	.
And	CC	and
we	PP	we
went	VBD	go
in	IN	in
,	,	,
pretending	VBG	pretend
to	TO	to
be	VB	be
buyers	NNS	buyer
.	SENT	.
And	CC	and
we	PP	we
found	VBD	find
this	DT	this
right	NN	right
in	IN	in
this	DT	this
very	JJ	very
state	NN	state
,	,	,
in	IN	in
Karnataka	NP	<unknown>
.	SENT	.
And	CC	and
the	DT	the
bear	NN	bear
cubs	NNS	cub
were	VBD	be
being	VBG	be
harvested	VBN	harvest
from	IN	from
across	IN	across
the	DT	the
country	NN	country
and	CC	and
being	VBG	be
sold	VBN	sell
and	CC	and
traded	VBN	trade
.	SENT	.
These	DT	these
were	VBD	be
being	VBG	be
sold	VBN	sell
for	IN	for
about	RB	about
2	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
each	DT	each
,	,	,
and	CC	and
they	PP	they
are	VBP	be
used	VBN	use
for	IN	for
bear	NN	bear
paw	NN	paw
soup	NN	soup
,	,	,
and	CC	and
also	RB	also
being	VBG	be
trained	VBN	train
,	,	,
later	RBR	later
on	RB	on
,	,	,
to	TO	to
become	VB	become
dancing	VBG	dance
bears	NNS	bear
like	IN	like
the	DT	the
one	CD	one
you	PP	you
just	RB	just
saw	VBD	see
.	SENT	.
Sadly	RB	sadly
,	,	,
the	DT	the
family	NN	family
of	IN	of
Qalandars	NP	<unknown>
depended	VBD	depend
on	IN	on
this	DT	this
bear	NN	bear
.	SENT	.
The	DT	the
couple	NN	couple
are	VBP	be
barely	RB	barely
18	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
They	PP	they
already	RB	already
have	VBP	have
four	CD	four
children	NNS	child
beside	IN	beside
them	PP	them
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
them	PP	them
.	SENT	.
And	CC	and
the	DT	the
economy	NN	economy
of	IN	of
the	DT	the
family	NN	family
and	CC	and
their	PP$	their
livelihood	NN	livelihood
depended	VBD	depend
on	IN	on
those	DT	those
animals	NNS	animal
.	SENT	.
So	RB	so
,	,	,
we	PP	we
had	VBD	have
to	TO	to
deal	VB	deal
with	IN	with
it	PP	it
in	IN	in
a	DT	a
very	RB	very
practical	JJ	practical
and	CC	and
sustainable	JJ	sustainable
manner	NN	manner
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
we	PP	we
started	VBD	start
working	VBG	work
deeper	JJR	deep
and	CC	and
digging	VBG	dig
deeper	RBR	deeper
,	,	,
we	PP	we
found	VBD	find
that	IN	that
it	PP	it
'	POS	'
s	NN	S
an	DT	an
illegal	JJ	illegal
act	NN	act
.	SENT	.
These	DT	these
guys	NNS	guy
could	MD	could
go	VB	go
to	TO	to
jail	VB	jail
for	IN	for
up	IN	up
to	TO	to
seven	CD	seven
years	NNS	year
if	IN	if
they	PP	they
were	VBD	be
caught	VBN	catch
by	IN	by
authorities	NNS	authority
.	SENT	.
And	CC	and
what	WP	what
they	PP	they
were	VBD	be
doing	VBG	do
to	TO	to
the	DT	the
bears	NNS	bear
was	VBD	be
really	RB	really
appalling	JJ	appalling
.	SENT	.
It	PP	it
was	VBD	be
unacceptable	JJ	unacceptable
.	SENT	.
The	DT	the
mother	NN	mother
bears	NNS	bear
are	VBP	be
usually	RB	usually
killed	VBN	kill
.	SENT	.
The	DT	the
cubs	NNS	cub
,	,	,
which	WDT	which
are	VBP	be
taken	VBN	take
,	,	,
are	VBP	be
separated	VBN	separate
.	SENT	.
Their	PP$	their
teeth	NNS	tooth
are	VBP	be
basically	RB	basically
bashed	VBN	bash
out	RP	out
with	IN	with
a	DT	a
metal	NN	metal
rod	NN	rod
.	SENT	.
And	CC	and
they	PP	they
use	VBP	use
a	DT	a
red	JJ	red
hot	JJ	hot
iron	NN	iron
needle	NN	needle
to	TO	to
make	VB	make
a	DT	a
hole	NN	hole
through	IN	through
the	DT	the
muzzle	NN	muzzle
.	SENT	.
Now	RB	now
we	PP	we
had	VBD	have
to	TO	to
start	VB	start
changing	VBG	change
these	DT	these
people	NNS	people
and	CC	and
converting	VBG	convert
them	PP	them
from	IN	from
using	VBG	use
that	IN	that
for	IN	for
a	DT	a
livelihood	NN	livelihood
,	,	,
to	TO	to
getting	VBG	get
something	NN	something
else	RB	else
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
Bitu	NP	<unknown>
Qalandar	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
our	PP$	our
first	JJ	first
experiment	NN	experiment
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
so	RB	so
unsure	JJ	unsure
that	IN	that
this	DT	this
would	MD	would
work	VB	work
.	SENT	.
We	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
sure	JJ	sure
at	IN	at
all	DT	all
.	SENT	.
And	CC	and
we	PP	we
managed	VBD	manage
to	TO	to
convince	VB	convince
him	PP	him
.	SENT	.
And	CC	and
we	PP	we
said	VBD	say
,	,	,
"	``	"
Okay	NP	Okay
,	,	,
here	RB	here
is	VBZ	be
some	DT	some
seed	NN	seed
fund	NN	fund
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
if	IN	if
you	PP	you
can	MD	can
get	VB	get
something	NN	something
else	RB	else
.	SENT	.
"	``	"
And	CC	and
we	PP	we
got	VBD	get
the	DT	the
bear	NN	bear
surrendered	VBD	surrender
to	TO	to
—	:	-
we	PP	we
set	VBD	set
up	RP	up
a	DT	a
sanctuary	NN	sanctuary
.	SENT	.
We	PP	we
have	VBP	have
four	CD	four
sanctuaries	NNS	sanctuary
in	IN	in
India	NP	India
.	SENT	.
And	CC	and
now	RB	now
he	PP	he
sells	VBZ	sell
cool	JJ	cool
drinks	NNS	drink
,	,	,
he	PP	he
'	POS	'
s	NN	S
by	IN	by
