So so
a a
couple couple
of of
years year
ago ago
, ,
a a
woman woman
I i
know know
who who
I i
' '
ll ll
call call
Maya maya
, ,
went go
through through
a a
lot lot
of of
big big
changes change
in in
a a
short short
amount amount
of of
time time
. .
She she
got get
married married
. .
She she
and and
her her
husband husband
moved move
for for
his his
job job
to to
a a
new new
city city
where where
she she
didn didn
' '
t t
know know
anyone anyone
. .
She she
started start
a a
new new
role role
working work
from from
home home
, ,
all all
while while
managing manage
her her
dad dad
' '
s s
new new
diagnosis diagnosis
of of
dementia dementia
. .
And and
to to
manage manage
the the
stress stress
of of
all all
this this
change change
, ,
Maya maya
doubled double
down down
on on
her her
physical physical
and and
mental mental
health health
. .
She she
exercised exercise
almost almost
every every
day day
, ,
she she
ate eat
healthy healthy
foods food
, ,
she she
went go
to to
therapy therapy
once once
a a
week week
. .
And and
these these
actions action
really really
helped help
. .
Her her
body body
got get
stronger strong
. .
Her her
mind mind
got get
more more
resilient resilient
, ,
but but
only only
up up
to to
a a
point point
. .
She she
was be
still still
struggling struggle
, ,
often often
losing lose
sleep sleep
in in
the the
middle middle
of of
the the
night night
, ,
feeling feel
unfocused unfocused
, ,
unmotivated unmotivated
during during
the the
day day
. .
Maya maya
was be
doing do
everything everything
that that
doctors doctor
typically typically
tell tell
us us
to to
do do
to to
be be
physically physically
and and
mentally mentally
healthy healthy
, ,
and and
yet yet
something something
was be
missing miss
. .
What what
if if
I i
told tell
you you
that that
what what
was be
missing miss
for for
Maya maya
is be
also also
missing miss
for for
billions billion
of of
people people
around around
the the
world world
, ,
and and
that that
it it
might might
be be
missing miss
for for
you you
? ?
What what
if if
I i
told tell
you you
that that
not not
having have
it it
undermines undermine
our our
other other
efforts effort
to to
be be
healthy healthy
and and
can can
even even
shorten shorten
your your
lifespan lifespan
? ?
I i
' '
ve ve
been be
studying study
this this
for for
over over
a a
decade decade
, ,
and and
I i
' '
ve ve
discovered discover
that that
the the
traditional traditional
way way
we we
think think
about about
health health
is be
incomplete incomplete
. .
By by
thinking think
of of
our our
health health
as as
primarily primarily
physical physical
and and
mental mental
, ,
we we
overlook overlook
what what
I i
believe believe
is be
the the
greatest great
challenge challenge
and and
the the
greatest great
opportunity opportunity
of of
our our
time time
. .
Social social
health health
. .
While while
physical physical
health health
is be
about about
our our
bodies body
and and
mental mental
health health
is be
about about
our our
minds mind
, ,
social social
health health
is be
about about
our our
relationships relationship
. .
And and
if if
you you
haven haven
' '
t t
heard hear
this this
term term
before before
, ,
that that
' '
s s
because because
it it
hasn hasn
' '
t t
yet yet
made make
its its
way way
into into
mainstream mainstream
vocabulary vocabulary
, ,
yet yet
it it
is be
equally equally
important important
. .
Maya maya
didn didn
' '
t t
yet yet
have have
a a
sense sense
of of
community community
in in
her her
new new
home home
. .
She she
wasn wasn
' '
t t
seeing see
her her
family family
, ,
or or
her her
friends friend
or or
her her
coworkers coworker
in in
person person
anymore anymore
, ,
and and
she she
often often
went go
weeks week
only only
spending spend
quality quality
time time
with with
her her
husband husband
. .
Her her
story story
shows show
us us
that that
we we
can can
' '
t t
be be
fully fully
healthy healthy
, ,
we we
can can
' '
t t
thrive thrive
, ,
if if
we we
take take
care care
of of
our our
bodies body
and and
our our
minds mind
, ,
but but
not not
our our
relationships relationship
. .
Similar similar
to to
Maya maya
, ,
hundreds hundred
of of
millions million
of of
people people
around around
the the
world world
go go
weeks week
at at
a a
time time
without without
talking talk
to to
a a
single single
friend friend
or or
family family
member member
. .
Globally globally
, ,
one one
in in
four four
people people
feel feel
lonely lonely
. .
And and
20 @card@
percent percent
of of
adults adult
worldwide worldwide
don don
' '
t t
feel feel
like like
they they
have have
anyone anyone
they they
can can
reach reach
out out
to to
for for
support support
. .
Think think
about about
that that
. .
One one
in in
five five
people people
you you
encounter encounter
may may
feel feel
like like
they they
have have
no no
one one
. .
This this
is be
more more
than than
heartbreaking heartbreaking
. .
It it
' '
s s
also also
a a
public public
health health
crisis crisis
. .
Disconnection disconnection
triggers trigger
stress stress
in in
the the
body body
. .
It it
weakens weaken
people people
' '
s s
immune immune
systems system
. .
It it
puts put
them them
at at
a a
risk risk
, ,
greater great
risk risk
, ,
of of
stroke stroke
, ,
heart heart
disease disease
, ,
diabetes diabetes
, ,
dementia dementia
, ,
depression depression
and and
early early
death death
. .
Social social
health health
is be
essential essential
for for
longevity longevity
. .
So so
you you
might might
be be
wondering wonder
, ,
what what
does do
it it
look look
like like
to to
be be
socially socially
healthy healthy
? ?
What what
does do
that that
even even
mean mean
? ?
Well well
it it
' '
s s
about about
developing develop
close close
relationships relationship
with with
your your
family family
, ,
your your
friends friend
, ,
your your
partner partner
, ,
yourself yourself
. .
It it
' '
s s
about about
having have
regular regular
interaction interaction
with with
your your
coworkers coworker
, ,
your your
neighbors neighbor
. .
It it
' '
s s
about about
feeling feel
like like
you you
belong belong
to to
a a
community community
. .
Being be
socially socially
healthy healthy
is be
about about
having have
the the
right right
quantity quantity
and and
quality quality
of of
connection connection
for for
you you
. .
And and
Maya maya
' '
s s
story story
is be
one one
example example
of of
how how
social social
health health
challenges challenge
come come
up up
. .
In in
my my
work work
, ,
I i
hear hear
many many
others other
. .
Stories story
like like
Jay jay
, ,
a a
freshman freshman
in in
college college
who who
' '
s s
eager eager
to to
get get
involved involve
in in
campus campus
yet yet
is be
having have
a a
hard hard
time time
fitting fit
in in
with with
people people
in in
his his
dorm dorm
and and
often often
feels feel
homesick homesick
. .
Or or
Serena serena
and and
Ali ali
, ,
a a
couple couple
juggling juggle
the the
chaos chaos
of of
young young
kids kid
with with
demanding demand
jobs job
, ,
they they
rarely rarely
have have
time time
to to
see see
friends friend
or or
spend spend
time time
