Chris chris
Anderson anderson
: :
OK ok
, ,
Stewart stewart
, ,
in in
the the
' '
60s 60s
, ,
you you
â â
I i
think think
it it
was be
' '
68 @card@
â â
you you
founded found
this this
magazine magazine
. .
Stewart stewart
Brand brand
: :
Bravo bravo
! !
It it
' '
s s
the the
original original
one one
. .
That that
' '
s s
hard hard
to to
find find
. .
CA ca
: :
Right right
. .
Issue issue
One one
, ,
right right
? ?
SB sb
: :
Mm mm.
hmm hmm
. .
CA ca
: :
Why why
did do
that that
make make
so so
much much
impact impact
? ?
SB sb
: :
Counterculture counterculture
was be
the the
main main
event event
that that
I i
was be
part part
of of
at at
the the
time time
, ,
and and
it it
was be
made make
up up
of of
hippies hippie
and and
New new
Left left
. .
That that
was be
sort sort
of of
my my
contemporaries contemporary
, ,
the the
people people
I i
was be
just just
slightly slightly
older old
than than
. .
And and
my my
mode mode
is be
to to
look look
at at
where where
the the
interesting interesting
flow flow
is be
and and
then then
look look
in in
the the
other other
direction direction
. .
CA ca
: :
SB sb
: :
Partly partly
, ,
I i
was be
trained train
to to
do do
that that
as as
an an
army army
officer officer
, ,
but but
partly partly
, ,
it it
' '
s s
just just
a a
cheap cheap
heuristic heuristic
to to
find find
originalities originality
: :
don don
' '
t t
look look
where where
everybody everybody
else else
is be
looking look
, ,
look look
the the
opposite opposite
way way
. .
So so
the the
deal deal
with with
counterculture counterculture
is be
, ,
the the
hippies hippie
were be
very very
romantic romantic
and and
kind kind
of of
against against
technology technology
, ,
except except
very very
good good
LSD lsd
from from
Sandoz sandoz
, ,
and and
the the
New new
Left left
was be
against against
technology technology
because because
they they
thought think
it it
was be
a a
power power
device device
. .
Computers computer
were be
: :
do do
not not
spindle spindle
, ,
fold fold
, ,
or or
mutilate mutilate
. .
Fight fight
that that
. .
And and
so so
, ,
the the
Whole whole
Earth earth
Catalog catalog
was be
kind kind
of of
a a
counter-counterculture counter-counterculture
thing thing
in in
the the
sense sense
that that
I i
bought buy
Buckminster buckminster
Fuller fuller
' '
s s
idea idea
that that
tools tool
of of
are be
of of
the the
essence essence
. .
Science science
and and
engineers engineer
basically basically
define define
the the
world world
in in
interesting interesting
ways way
. .
If if
all all
the the
politicians politician
disappeared disappear
one one
week week
, ,
it it
would would
be be
. .
. .
. .
a a
nuisance nuisance
