Hello hello
, ,
I i
' '
m m
Chris chris
Anderson anderson
. .
Welcome welcome
to to
The the
TED ted
Interview interview
. .
We we
' '
re re
gearing gear
up up
for for
season season
four four
with with
some some
extraordinary extraordinary
guests guest
, ,
but but
I i
don don
' '
t t
want want
to to
wait wait
for for
that that
for for
today today
' '
s s
episode episode
, ,
because because
we we
' '
re re
in in
the the
middle middle
of of
a a
pandemic pandemic
, ,
and and
there there
' '
s s
a a
guest guest
I i
really really
wanted want
to to
talk talk
to to
now now
. .
He he
is be
Adam adam
Kucharski kucharski
, ,
an an
infectious infectious
diseases disease
scientist scientist
who who
focuses focus
on on
the the
mathematical mathematical
modeling modeling
of of
pandemics pandemic
. .
He he
' '
s s
an an
associate associate
professor professor
at at
the the
London london
School school
of of
Hygiene hygiene
and and
Tropical tropical
Medicine medicine
and and
a a
TED ted
Fellow fellow
. .
Adam adam
Kucharski kucharski
: :
So so
what what
kind kind
of of
behavior behavior
is be
actually actually
important important
for for
epidemics epidemic
? ?
Conversations conversation
, ,
close close
physical physical
contacts contact
? ?
What what
sort sort
of of
data datum
should should
we we
be be
collecting collect
before before
an an
outbreak outbreak
if if
we we
want want
to to
predict predict
how how
infection infection
might might
spread spread
? ?
To to
find find
out out
, ,
our our
team team
built build
a a
mathematical mathematical
model model
. .
. .
. .
Chris chris
Anderson anderson
: :
When when
it it
comes come
to to
figuring figure
out out
what what
to to
make make
of of
this this
pandemic pandemic
, ,
known know
technically technically
as as
COVID-19 covid-19
, ,
and and
informally informally
as as
just just
the the
coronavirus coronavirus
, ,
I i
find find
his his
thinking thinking
unbelievably unbelievably
helpful helpful
. .
And and
I i
' '
m m
excited excite
to to
dive dive
into into
it it
with with
you you
. .
A a
special special
callout callout
to to
my my
friends friend
on on
Twitter twitter
who who
offered offer
up up
many many
suggestions suggestion
for for
questions question
. .
I i
know know
this this
topic topic
is be
on on
everyone everyone
' '
s s
mind mind
right right
now now
. .
And and
what what
I i
hope hope
this this
episode episode
does do
is be
give give
us us
all all
a a
more more
nuanced nuanced
way way
of of
thinking think
about about
how how
this this
pandemic pandemic
has have
unfolded unfold
so so
far far
, ,
what what
might might
be be
to to
come come
and and
what what
we we
all all
collectively collectively
can can
do do
about about
it it
. .
Let let
' '
s s
dive dive
in in
. .
Adam adam
, ,
welcome welcome
to to
the the
TED ted
Interview interview
. .
Adam adam
Kucharski kucharski
: :
Thank thank
you you
. .
CA ca
: :
So so
let let
' '
s s
just just
start start
with with
a a
couple couple
of of
basics basic
. .
A a
lot lot
of of
skeptical skeptical
people people
' '
s s
response response
-- --
certainly certainly
over over
the the
last last
few few
weeks week
, ,
maybe maybe
less less
so so
now now
-- --
has have
been be
, ,
" "
Oh oh
, ,
come come
on on
, ,
this this
isn isn
' '
t t
such such
a a
big big
deal deal
, ,
there there
' '
s s
a a
relatively relatively
tiny tiny
number number
of of
cases case
. .
Compare compare
it it
to to
the the
flu flu
, ,
compare compare
it it
to to
anything anything
else else
. .
There there
are be
much much
bigger big
problems problem
in in
the the
world world
. .
Why why
are be
we we
making make
such such
a a
fuss fuss
about about
this this
? ?
" "
And and
I i
guess guess
the the
answer answer
to to
that that
fuss fuss
is be
that that
it it
comes come
down down
to to
the the
mathematics mathematics
. .
We we
' '
re re
talking talk
about about
the the
mathematics mathematics
of of
exponential exponential
growth growth
, ,
fundamentally fundamentally
, ,
right right
? ?
AK ak
: :
Exactly exactly
. .
And and
there there
' '
s s
a a
number number
that that
we we
use use
to to
get get
a a
sense sense
of of
how how
easy easy
things thing
spread spread
and and
the the
level level
of of
transmission transmission
we we
' '
re re
dealing deal
with with
. .
We we
call call
that that
the the
reproduction reproduction
number number
, ,
and and
conceptually conceptually
, ,
it it
' '
s s
just just
, ,
for for
each each
case case
you you
have have
, ,
on on
average average
, ,
how how
many many
others other
are be
they they
infecting infect
? ?
And and
that that
gives give
you you
a a
sense sense
of of
how how
much much
is be
this this
scaling scaling
, ,
how how
much much
this this
growth growth
is be
going go
to to
look look
like like
. .
For for
coronavirus coronavirus
, ,
we we
' '
re re
now now
seeing see
, ,
across across
multiple multiple
countries country
, ,
we we
' '
re re
seeing see
each each
person person
on on
average average
giving give
it it
to to
two two
or or
three three
more more
. .
CA ca
: :
So so
that that
reproduction reproduction
number number
, ,
the the
first first
thing thing
