Meet meet
Inook inook
. .
He he
' '
s s
a a
pretty pretty
happy happy
guy guy
. .
And and
I i
' '
d d
be be
pretty pretty
happy happy
, ,
too too
, ,
if if
this this
was be
the the
first first
time time
my my
community community
had have
just just
gained gain
access access
to to
fresh fresh
water water
. .
Inook inook
is be
from from
the the
country country
of of
Malawi malawi
, ,
the the
small small
sliver sliver
of of
a a
country country
in in
Southern southern
Africa africa
, ,
known know
as as
" "
The the
Warm warm
Heart heart
of of
Africa africa
. .
" "
Over over
the the
past past
10 @card@
years year
, ,
five five
million million
more more
people people
like like
Inook inook
in in
Malawi malawi
have have
gained gain
access access
to to
fresh fresh
water water
. .
But but
what what
' '
s s
unfortunate unfortunate
is be
that that
this this
picture picture
is be
a a
lie lie
. .
I i
' '
ll ll
come come
back back
to to
that that
in in
a a
second second
. .
Ten ten
years year
ago ago
, ,
two two
Waterloo waterloo
engineers engineer
sparked spark
a a
movement movement
across across
Canada canada
, ,
" "
Engineers engineers
Without without
Borders borders
. .
" "
This this
movement movement
was be
based base
on on
the the
concept concept
that that
it it
was be
completely completely
unacceptable unacceptable
that that
5 @card@
million million
people people
in in
Malawi malawi
did do
not not
have have
access access
to to
fresh fresh
water water
, ,
when when
us us
engineers engineer
back back
in in
Canada canada
were be
working work
on on
problems problem
such such
as as
making make
a a
photocopier photocopier
increase increase
its its
speed speed
from from
149 @card@
pages page
a a
minute minute
to to
151 @card@
pages page
per per
minute minute
. .
We we
needed need
to to
work work
on on
problems problem
that that
mattered matter
. .
I i
was be
fortunate fortunate
, ,
I i
founded found
the the
Calgary calgary
chapter chapter
here here
. .
I i
got get
to to
be be
the the
first first
director director
of of
overseas overseas
programs program
for for
Engineers engineer
Without without
Borders borders
in in
Africa africa
, ,
where where
I i
worked work
for for
four four
years year
. .
And and
I i
got get
to to
work work
with with
hundreds hundred
of of
businesses business
, ,
non-government non-government
organizations organization
, ,
governments government
, ,
all all
working working
in in
this this
field field
of of
development development
. .
It it
was be
really really
fantastic fantastic
working working
for for
Engineers engineer
Without without
Borders borders
because because
even even
though though
we we
worked work
on on
hundred-million-dollar hundred-million-dollar
projects project
, ,
we we
had have
this this
philosophy philosophy
that that
if if
we we
were be
really really
going go
to to
understand understand
the the
problems problem
in in
local local
Africa africa
, ,
we we
needed need
to to
live live
like like
local local
Africans african
. .
So so
, ,
as as
a a
lot lot
of of
ex-patriots ex-patriot
would would
spend spend
most most
of of
the the
time time
in in
the the
