Diners diner
in in
Singapore singapore
are be
eating eat
chicken chicken
nuggets nugget
made make
from from
a a
chicken chicken
who who
was be
never never
killed kill
. .
How how
is be
this this
possible possible
? ?
Through through
the the
power power
of of
what what
I i
call call
" "
cellular cellular
agriculture agriculture
. .
" "
For for
the the
past past
decade decade
, ,
I i
' '
ve ve
been be
an an
advocate advocate
for for
growing grow
meat meat
in in
a a
lab lab
. .
To to
me me
, ,
this this
chicken chicken
nugget nugget
, ,
this this
hamburger hamburger
, ,
this this
sausage sausage
-- --
all all
made make
from from
cells cell
instead instead
of of
animals animal
-- --
aren aren
' '
t t
just just
fast-food fast-food
products product
. .
They they
' '
re re
our our
ticket ticket
to to
a a
new new
food food
system system
. .
Here here
' '
s s
how how
it it
works work
. .
Rather rather
than than
raise raise
a a
whole whole
chicken chicken
with with
beaks beak
, ,
feathers feather
, ,
sentience sentience
, ,
we we
grow grow
the the
meat meat
directly directly
from from
muscle muscle
cells cell
. .
We we
take take
a a
small small
biopsy biopsy
from from
a a
living live
animal animal
, ,
and and
then then
extract extract
the the
cells cell
of of
interest interest
. .
They they
' '
re re
probably probably
muscle muscle
cells cell
, ,
but but
they they
could could
be be
fat fat
or or
connective connective
tissue tissue
as as
well well
. .
Now now
, ,
muscle muscle
cells cell
in in
particular particular
, ,
love love
to to
attach attach
onto onto
surfaces surface
. .
It it
helps help
them them
grow grow
and and
elongate elongate
into into
those those
long long
muscle muscle
fibers fiber
that that
we we
' '
re re
so so
familiar familiar
with with
. .
So so
we we
might might
provide provide
a a
scaffolding scaffold
material material
for for
those those
cells cell
to to
adhere adhere
onto onto
. .
And and
then then
, ,
of of
course course
, ,
we we
have have
to to
feed feed
the the
cells cell
something something
. .
So so
we we
put put
them them
in in
a a
liquid liquid
medium medium
that that
provides provide
all all
the the
nutrients nutrient
that that
these these
cells cell
need need
to to
grow grow
and and
divide divide
: :
carbohydrates carbohydrate
, ,
amino amino
acids acid
, ,
growth growth
factors factor
and and
more more
. .
Lastly lastly
, ,
the the
cells cell
on on
the the
scaffold scaffold
in in
the the
medium medium
all all
grow grow
within within
a a
bioreactor bioreactor
, ,
which which
is be
kind kind
of of
like like
a a
large large
stainless stainless
steel steel
tank tank
-- --
looks look
a a
lot lot
like like
