Can can
you you
paint paint
with with
all all
the the
colors color
of of
the the
wind wind
? ?
I i
love love
this this
song song
from from
the the
first first
time time
I i
heard hear
it it
. .
I i
was be
14 @card@
, ,
growing grow
up up
in in
public public
housing housing
in in
western western
Sydney sydney
. .
So so
maybe maybe
a a
little little
too too
old old
for for
this this
Disney disney
classic classic
from from
" "
Pocahontas pocahontas
. .
" "
But but
it it
spoke speak
to to
me me
. .
I i
saw see
something something
of of
myself myself
in in
it it
. .
At at
this this
stage stage
, ,
I i
think think
I i
knew know
I i
was be
queer queer
. .
I i
mean mean
, ,
come come
on on
, ,
I i
was be
rocking rock
out out
to to
Disney disney
. .
And and
look look
at at
those those
glasses glass
. .
Seriously seriously
, ,
what what
a a
queer queer
kid kid
. .
But but
I i
was be
also also
from from
a a
Pacific pacific
Indigenous indigenous
heritage heritage
with with
conservative conservative
views view
and and
values value
. .
I i
didn didn
' '
t t
feel feel
like like
I i
could could
fit fit
into into
any any
of of
the the
boxes box
that that
were be
being be
presented present
to to
me me
. .
Straight straight
, ,
gay gay
, ,
Fijian fijian
, ,
Australian australian
. .
I i
couldn couldn
' '
t t
pick pick
just just
one one
color color
to to
paint paint
with with
. .
Prior prior
to to
colonization colonization
, ,
sexuality sexuality
amongst amongst
many many
of of
our our
Pacific pacific
islands island
across across
the the
region region
was be
fluid fluid
. .
Men man
would would
have have
sex sex
with with
men man
without without
the the
stigma stigma
or or
shame shame
afforded afford
it it
today today
. .
Sexual sexual
intimacy intimacy
was be
a a
way way
of of
being be
able able
to to
connect connect
socially socially
and and
relationally relationally
. .
Sex sex
wasn wasn
' '
t t
just just
for for
procreation procreation
. .
Or or
in in
marriage marriage
. .
It it
wasn wasn
' '
t t
exclusively exclusively
monogamous monogamous
. .
Just just
because because
you you
had have
sex sex
with with
a a
man man
didn didn
' '
t t
define define
your your
sexuality sexuality
. .
It it
didn didn
' '
t t
make make
you you
an an
outcast outcast
. .
But but
as as
Europeans europeans
started start
to to
colonize colonize
the the
Pacific pacific
region region
, ,
they they
brought bring
Christian christian
missionaries missionary
with with
them them
. .
They they
told tell
us us
to to
cover cover
up up
our our
beautiful beautiful
bodies body
. .
We we
were be
taught teach
shame shame
. .
We we
were be
told tell
to to
stop stop
practicing practice
Pacifica pacifica
cultures culture
and and
values value
that that
were be
seen see
as as
provocative provocative
. .
To to
a a
Western western
and and
white white
perspective perspective
, ,
our our
non-binary non-binary
sexuality sexuality
was be
judged judge
as as
tribal tribal
, ,
outdated outdated
, ,
sinful sinful
and and
impossible impossible
to to
practice practice
alongside alongside
a a
Christian christian
faith faith
. .
Still still
today today
, ,
those those
who who
are be
Indigenous indigenous
to to
the the
Pacific pacific
are be
negatively negatively
impacted impact
by by
whiteness whiteness
. .
That that
" "
white white
is be
right right
, ,
West west
is be
best good
. .
" "
I i
was be
brought bring
up up
to to
espouse espouse
strong strong
Christian christian
beliefs belief
, ,
views view
and and
values value
which which
would would
shape shape
my my
burgeoning burgeon
identity identity
as as
an an
adult adult
. .
From from
these these
staunch staunch
conservative conservative
views view
, ,
I i
was be
taught teach
to to
fear fear
the the
queer queer
. .
Those those
people people
that that
were be
seen see
as as
unusual unusual
and and
fruity fruity
. .
And and
in in
essence essence
, ,
I i
grew grow
to to
despise despise
a a
part part
of of
myself myself
. .
I i
sought seek
to to
separate separate
my my
queerness queerness
from from
my my
identity identity
. .
I i
could could
never never
see see
myself myself
as as
part part
of of
that that
world world
. .
Growing grow
up up
, ,
biracial biracial
and and
bisexual bisexual
constantly constantly
challenged challenge
the the
way way
I i
saw see
the the
world world
around around
me me
. .
I i
was be
unsure unsure
about about
my my
thinking thinking
, ,
feelings feeling
and and
behaviors behavior
around around
liking like
males male
and and
females female
. .
I i
was be
unsure unsure
about about
my my
thinking thinking
, ,
feelings feeling
and and
behaviors behavior
when when
it it
came come
to to
whether whether
I i
needed need
to to
be be
a a
white white
Australian australian
or or
a a
Fijian fijian
person person
. .
And and
whether whether
this this
needed need
to to
be be
framed frame
within within
a a
binary binary
to to
choose choose
one one
over over
the the
other other
. .
In in
this this
way way
, ,
I i
don don
' '
t t
think think
that that
my my
story story
is be
unique unique
. .
There there
' '
s s
plenty plenty
of of
people people
in in
the the
queer queer
world world
that that
have have
escaped escape
conservative conservative
upbringings upbringing
, ,
religions religion
and and
cultures culture
. .
But but
this this
is be
only only
part part
of of
my my
story story
. .
Another another
common common
story story
in in
the the
queer queer
community community
is be
the the
coming-out coming-out
story story
. .
When when
did do
you you
tell tell
your your
parents parent
? ?
How how
did do
they they
react react
? ?
How how
it it
liberated liberate
you you
or or
ultimately ultimately
separated separate
you you
from from
your your
family family
. .
But but
this this
didn didn
' '
t t
feel feel
like like
an an
option option
for for
me me
either either
. .
I i
believe believe
that that
embedded embed
in in
these these
particular particular
stories story
, ,
these these
tropes trope
, ,
is be
a a
part part
of of
dominant dominant
queer queer
culture culture
that that
made make
it it
very very
hard hard
for for
me me
to to
access access
the the
queer queer
world world
. .
For for
example example
, ,
when when
I i
started start
to to
go go
to to
gay gay
clubs club
, ,
I i
would would
be be
lining line
up up
at at
the the
front front
of of
the the
club club
and and
often often
I i
would would
get get
door door
staff staff
come come
up up
to to
me me
and and
go go
, ,
" "
Sorry sorry
, ,
you you
do do
know know
this this
is be
a a
gay gay
club club
, ,
right right
? ?
" "
From from
these these
lived live
experiences experience
, ,
I i
feel feel
that that
there there
is be
a a
whiteness whiteness
that that
pervades pervade
queer queer
culture culture
. .
And and
I i
didn didn
' '
t t
want want
to to
give give
up up
my my
identity identity
and and
my my
appearance appearance
as as
a a
Pacific pacific
indigenous indigenous
person person
to to
be be
queer queer
. .
Pacifica pacifica
cultures culture
really really
, ,
really really
value value
and and
esteem esteem
the the
collective collective
above above
the the
individual individual
. .
For for
Pacifica pacifica
people people
, ,
our our
families family
are be
inextricably inextricably
connected connect
to to
our our
own own
sense sense
of of
self-agency self-agency
, ,
self-determination self-determination
, ,
self-esteem self-esteem
, ,
self-love self-love
and and
self-worth self-worth
. .
Our our
own own
individual individual
identities identity
are be
meshed mesh
and and
intertwined intertwine
with with
our our
family family
' '
s s
reputation reputation
and and
standing standing
in in
the the
community community
. .
Our our
mind mind
, ,
body body
and and
souls soul
are be
inextricably inextricably
connected connect
to to
the the
broader broad
community community
, ,
to to
our our
families family
, ,
to to
ourselves ourselves
and and
to to
others other
. .
I i
didn didn
' '
t t
want want
to to
come come
out out
to to
potentially potentially
ostracize ostracize
myself myself
, ,
to to
make make
a a
point point
to to
separate separate
myself myself
from from
my my
Pacific pacific
and and
faith faith
communities community
. .
I i
couldn couldn
' '
t t
then then
see see
my my
authentic authentic
self self
in in
any any
of of
these these
spaces space
. .
