Mia mia
Birdsong birdsong
: :
Why why
is be
Black black
Lives lives
Matter matter
important important
for for
the the
US us
right right
now now
and and
in in
the the
world world
? ?
Patrisse patrisse
Cullors cullors
: :
Black black
Lives lives
Matter matter
is be
our our
call call
to to
action action
. .
It it
is be
a a
tool tool
to to
reimagine reimagine
a a
world world
where where
black black
people people
are be
free free
to to
exist exist
, ,
free free
to to
live live
. .
It it
is be
a a
tool tool
for for
our our
allies ally
to to
show show
up up
differently differently
for for
us us
. .
I i
grew grow
up up
in in
a a
neighborhood neighborhood
that that
was be
heavily heavily
policed police
. .
I i
witnessed witness
my my
brothers brother
and and
my my
siblings sibling
continuously continuously
stopped stop
and and
frisked frisk
by by
law law
enforcement enforcement
. .
I i
remember remember
my my
home home
being be
raided raid
. .
And and
one one
of of
my my
questions question
as as
a a
child child
was be
, ,
why why
? ?
Why why
us us
? ?
Black black
Lives lives
Matter matter
offers offer
answers answer
to to
the the
why why
. .
It it
offers offer
a a
new new
vision vision
for for
young young
black black
girls girl
around around
the the
world world
that that
we we
deserve deserve
to to
be be
fought fight
for for
, ,
that that
we we
deserve deserve
to to
call call
on on
local local
governments government
to to
show show
up up
for for
us us
. .
Opal opal
Tometi tometi
: :
And and
antiblack antiblack
racism racism
— -
And and
antiblack antiblack
racism racism
is be
not not
only only
happening happen
in in
the the
United united
States states
. .
It it
' '
s s
actually actually
happening happen
all all
across across
the the
globe globe
. .
And and
what what
we we
need need
now now
more more
than than
ever ever
is be
a a
human human
rights right
movement movement
that that
challenges challenge
systemic systemic
racism racism
in in
every every
single single
context context
. .
We we
need need
this this
because because
the the
global global
reality reality
is be
that that
black black
people people
are be
subject subject
to to
all all
sorts sort
of of
disparities disparity
in in
most most
of of
our our
most most
challenging challenging
issues issue
of of
our our
day day
. .
I i
think think
about about
issues issue
like like
climate climate
change change
, ,
and and
how how
six six
of of
the the
10 @card@
worst bad
impacted impacted
nations nation
by by
climate climate
change change
are be
actually actually
on on
the the
continent continent
of of
Africa africa
. .
People people
are be
reeling reel
from from
all all
sorts sort
of of
unnatural unnatural
disasters disaster
, ,
displacing displace
them them
from from
their their
ancestral ancestral
homes home
and and
leaving leave
them them
without without
a a
chance chance
at at
making make
a a
decent decent
living living
. .
We we
also also
see see
disasters disaster
like like
Hurricane hurricane
Matthew matthew
, ,
which which
recently recently
wreaked wreak
havoc havoc
in in
many many
different different
nations nation
, ,
but but
caused cause
the the
most most
damage damage
to to
Haiti haiti
. .
Haiti haiti
is be
the the
poorest poor
country country
in in
this this
hemisphere hemisphere
, ,
and and
its its
inhabitants inhabitant
are be
black black
people people
. .
And and
what what
we we
' '
re re
seeing see
in in
Haiti haiti
is be
that that
they they
were be
actually actually
facing face
a a
number number
of of
challenges challenge
that that
even even
preceded precede
this this
hurricane hurricane
. .
They they
were be
reeling reel
from from
the the
earthquake earthquake
, ,
they they
were be
reeling reel
from from
cholera cholera
that that
was be
brought bring
in in
by by
UN un
peacekeepers peacekeeper
and and
still still
hasn hasn
' '
t t
been be
eradicated eradicate
. .
This this
is be
unconscionable unconscionable
. .
And and
this this
would would
not not
happen happen
if if
this this
nation nation
didn didn
' '
t t
have have
a a
population population
that that
was be
black black
, ,
and and
we we
have have
to to
be be
real real
about about
that that
. .
But but
what what
' '
s s
most most
heartening hearten
right right
now now
is be
that that
despite despite
these these
challenges challenge
, ,
what what
we we
' '
re re
seeing see
is be
that that
there there
' '
s s
a a
network network
of of
Africans african
all all
across across
the the
continent continent
who who
are be
rising rise
up up
and and
fighting fight
back back
and and
demanding demand
climate climate
justice justice
. .
MB mb
: :
So so
Alicia alicia
, ,
you you
' '
ve ve
said say
that that
when when
black black
people people
are be
free free
, ,
everyone everyone
is be
free free
. .
Can can
you you
talk talk
about about
what what
that that
means mean
? ?
Alicia alicia
Garza garza
: :
Sure sure
. .
So so
I i
think think
race race
and and
racism racism
is be
probably probably
the the
most most
studied study
social social
, ,
economic economic
and and
political political
phenomenon phenomenon
in in
this this
country country
, ,
but but
it it
' '
s s
also also
the the
least least
understood understand
. .
The the
reality reality
is be
that that
race race
in in
the the
United united
States states
operates operate
on on
a a
spectrum spectrum
from from
black black
to to
white white
. .
Doesn doesn
' '
t t
mean mean
that that
people people
who who
are be
in in
between between
don don
' '
t t
experience experience
racism racism
, ,
but but
it it
means mean
that that
the the
closer closer
you you
are be
to to
white white
on on
that that
spectrum spectrum
, ,
the the
better good
off off
you you
are be
. .
And and
the the
closer closer
to to
black black
that that
you you
are be
on on
that that
spectrum spectrum
the the
worse bad
off off
your your
are are
. .
When when
we we
think think
about about
how how
we we
address address
problems problem
in in
this this
country country
, ,
we we
often often
start start
from from
a a
place place
of of
trickle-down trickle-down
justice justice
. .
So so
using use
white white
folks folk
as as
the the
control control
we we
say say
, ,
well well
, ,
if if
we we
make make
things thing
better well
for for
white white
folks folk
then then
everybody everybody
else else
is be
going go
to to
get get
free free
. .
But but
actually actually
it it
doesn doesn
' '
t t
work work
that that
way way
. .
We we
have have
to to
address address
problems problem
at at
the the
root root
, ,
and and
when when
you you
deal deal
with with
what what
' '
s s
happening happen
in in
black black
communities community
, ,
it it
creates create
an an
effervescence effervescence
, ,
right right
? ?
So so
a a
bubble bubble
up up
rather rather
than than
a a
trickle trickle
down down
. .
Let let
me me
give give
an an
example example
. .
When when
we we
talk talk
about about
the the
wage wage
gap gap
, ,
we we
often often
say say
women woman
make make
78 @card@
cents cent
to to
every every
dollar dollar
that that
a a
man man
makes make
. .
You you
all all
have have
heard hear
that that
before before
. .
But but
those those
are be
the the
statistics statistic
for for
white white
women woman
and and
white white
men man
. .
The the
reality reality
is be
that that
black black
women woman
make make
something something
like like
64 @card@
cents cent
to to
every every
78 @card@
cents cent
that that
white white
women woman
make make
. .
When when
we we
talk talk
about about
latinas latinas
, ,
it it
goes go
down down
to to
about about
58 @card@
cents cent
. .
If if
we we
were be
to to
talk talk
about about
indigenous indigenous
women woman
, ,
if if
we we
were be
to to
talk talk
about about
trans trans
women woman
, ,
it it
would would
even even
go go
further further
down down
. .
So so
again again
, ,
if if
you you
deal deal
with with
those those
who who
are be
the the
most most
impacted impacted
, ,
everybody everybody
has have
an an
opportunity opportunity
to to
benefit benefit
from from
that that
, ,
rather rather
than than
dealing deal
with with
the the
folks folk
who who
are be
not not
as as
impacted impact
, ,
and and
expecting expect
it it
to to
trickle trickle
down down
. .
MB mb
: :
So so
I i
love love
the the
effervescence effervescence
, ,
bubbling bubble
up up
. .
AG ag
: :
Effervescence effervescence
— -
like like
champagne champagne
. .
MB mb
: :
Who who
doesn doesn
' '
t t
love love
a a
glass glass
of of
champagne champagne
, ,
right right
? ?
Champagne champagne
and and
freedom freedom
, ,
right right
? ?
What what
more more
could could
we we
want want
, ,
y y
' '
all all
? ?
So so
you you
all all
have have
been be
doing do
this this
for for
a a
minute minute
, ,
and and
the the
last last
few few
years year
have have
been be
— -
well well
, ,
I i
can can
' '
t t
even even
imagine imagine
, ,
but but
I i
' '
m m
sure sure
very very
transformative transformative
. .
And and
I i
know know
that that
you you
all all
have have
learned learn
a a
lot lot
about about
leadership leadership
. .
What what
do do
you you
want want
to to
share share
with with
these these
people people
about about
what what
you you
' '
ve ve
learned learn
about about
leadership leadership
? ?
Patrisse patrisse
, ,
let let
' '
s s
start start
with with
you you
. .
PC pc
: :
Yeah yeah
, ,
we we
have have
to to
invest invest
in in
black black
leadership leadership
. .
That that
' '
s s
what what
I i
' '
ve ve
learned learn
the the
most most
in in
the the
last last
few few
years year
. .
What what
we we
' '
ve ve
seen see
is be
thousands thousand
of of
black black
people people
showing show
up up
for for
our our
lives life
with with
very very
little little
infrastructure infrastructure
and and
very very
little little
support support
. .
I i
think think
our our
work work
as as
movement movement
leaders leader
isn isn
' '
t t
just just
about about
our our
own own
visibility visibility
but but
rather rather
how how
do do
we we
make make
the the
whole whole
visible visible
. .
How how
do do
we we
not not
just just
fight fight
for for
our our
individual individual
selves self
but but
fight fight
for for
everybody everybody
? ?
And and
I i
also also
think think
leadership leadership
looks look
like like
everybody everybody
in in
this this
audience audience
showing show
up up
for for
black black
lives life
. .
It it
' '
s s
not not
just just
about about
coming come
and and
watching watch
people people
on on
a a
stage stage
, ,
right right
? ?
It it
' '
s s
about about
how how
do do
you you
become become
that that
leader leader
— -
whether whether
it it
' '
s s
in in
your your
workplace workplace
, ,
whether whether
it it
' '
s s
in in
your your
home home
— -
and and
believe believe
that that
the the
movement movement
for for
black black
lives life
isn isn
' '
t t
just just
for for
us us
, ,
but but
it it
' '
s s
for for
everybody everybody
. .
MB mb
: :
What what
about about
you you
, ,
Opal opal
? ?
OT ot
: :
So so
I i
' '
ve ve
been be
learning learn
a a
great great
deal deal
about about
interdependence interdependence
. .
I i
' '
ve ve
been be
learning learn
about about
how how
to to
trust trust
your your
team team
. .
I i
' '
ve ve
come come
up up
with with
this this
new new
mantra mantra
after after
coming come
back back
from from
a a
three-month three-month
sabbatical sabbatical
, ,
which which
is be
rare rare
for for
black black
women woman
to to
take take
who who
are be
in in
leadership leadership
, ,
but but
I i
felt feel
it it
was be
really really
important important
for for
my my
leadership leadership
and and
for for
my my
team team
to to
also also
practice practice
stepping step
back back
as as
well well
as as
also also
sometimes sometimes
stepping step
in in
. .
And and
what what
I i
learned learn
in in
this this
process process
was be
that that
we we
need need
to to
acknowledge acknowledge
that that
different different
people people
contribute contribute
different different
strengths strength
, ,
and and
that that
in in
order order
for for
our our
entire entire
team team
to to
flourish flourish
, ,
we we
have have
to to
allow allow
them them
to to
share share
and and
allow allow
them them
to to
shine shine
. .
And and
so so
during during
my my
sabbatical sabbatical
with with
the the
organization organization
that that
I i
also also
work work
with with
, ,
I i
saw see
our our
team team
rise rise
up up
in in
my my
absence absence
. .
They they
were be
able able
to to
launch launch
new new
programs program
, ,
fundraise fundraise
. .
And and
when when
I i
came come
back back
, ,
I i
had have
to to
give give
them them
a a
lot lot
of of
gratitude gratitude
and and
praise praise
because because
they they
showed show
me me
that that
they they
truly truly
had have
my my
back back
and and
that that
they they
truly truly
had have
their their
own own
backs back
. .
You you
know know
, ,
in in
this this
process process
of of
my my
sabbatical sabbatical
, ,
I i
was be
really really
reminded remind
of of
this this
Southern southern
African african
philosophy philosophy
of of
Ubuntu ubuntu
. .
I i
am be
because because
you you
are be
; ;
you you
are be
because because
I i
am be
. .
And and
I i
realized realize
that that
my my
own own
leadership leadership
, ,
and and
the the
contributions contribution
that that
I i
' '
m m
able able
to to
make make
, ,
is be
in in
large large
part part
due due
to to
the the
contributions contribution
that that
they they
make make
, ,
right right
? ?
