My my
talk talk
is be
" "
Flapping flap
Birds bird
and and
Space space
Telescopes telescope
. .
" "
And and
you you
would would
think think
that that
should should
have have
nothing nothing
to to
do do
with with
one one
another another
, ,
but but
I i
hope hope
by by
the the
end end
of of
these these
18 @card@
minutes minute
, ,
you you
' '
ll ll
see see
a a
little little
bit bit
of of
a a
relation relation
. .
It it
ties tie
to to
origami origami
. .
So so
let let
me me
start start
. .
What what
is be
origami origami
? ?
Most most
people people
think think
they they
know know
what what
origami origami
is be
. .
It it
' '
s s
this this
: :
flapping flap
birds bird
, ,
toys toy
, ,
cootie cootie
catchers catcher
, ,
that that
sort sort
of of
thing thing
. .
And and
that that
is be
what what
origami origami
used use
to to
be be
. .
But but
it it
' '
s s
become become
something something
else else
. .
It it
' '
s s
become become
an an
art art
form form
, ,
a a
form form
of of
sculpture sculpture
. .
The the
common common
theme theme
— -
what what
makes make
it it
origami origami
— -
is be
folding fold
is be
how how
we we
create create
the the
form form
. .
You you
know know
, ,
it it
' '
s s
very very
old old
. .
This this
is be
a a
plate plate
from from
1797 @card@
. .
It it
shows show
these these
women woman
playing play
with with
these these
toys toy
. .
If if
you you
look look
close close
, ,
it it
' '
s s
this this
shape shape
, ,
called call
a a
crane crane
. .
Every every
Japanese japanese
kid kid
learns learn
how how
to to
fold fold
that that
crane crane
. .
So so
this this
art art
has have
been be
around around
for for
hundreds hundred
of of
years year
, ,
and and
you you
would would
think think
something something
that that
' '
s s
been be
around around
that that
long long
— -
so so
restrictive restrictive
, ,
folding fold
only only
— -
everything everything
that that
could could
be be
done do
has have
been be
done do
a a
long long
time time
ago ago
. .
And and
that that
might might
have have
been be
the the
case case
. .
But but
in in
the the
twentieth twentieth
century century
, ,
a a
Japanese japanese
folder folder
named name
Yoshizawa yoshizawa
came come
along along
, ,
and and
he he
created create
tens ten
of of
thousands thousand
of of
new new
designs design
. .
But but
even even
more more
importantly importantly
, ,
he he
created create
a a
language language
, ,
a a
way way
we we
could could
communicate communicate
, ,
a a
code code
of of
dots dot
, ,
dashes dash
and and
arrows arrow
. .
Harkening harken
back back
to to
Susan susan
Blackmore blackmore
' '
s s
talk talk
, ,
we we
now now
have have
a a
means means
of of
transmitting transmit
information information
with with
heredity heredity
and and
selection selection
, ,
and and
we we
know know
where where
that that
leads lead
. .
And and
where where
it it
has have
led lead
in in
origami origami
is be
to to
things thing
like like
this this
. .
This this
is be
an an
origami origami
figure figure
— -
one one
sheet sheet
, ,
no no
cuts cut
, ,
folding fold
only only
, ,
hundreds hundred
of of
folds fold
. .
This this
, ,
too too
, ,
is be
origami origami
, ,
and and
this this
shows show
where where
we we
' '
ve ve
gone go
in in
the the
modern modern
world world
. .
Naturalism naturalism
. .
Detail detail
. .
You you
can can
get get
horns horn
, ,
antlers antler
— -
even even
, ,
if if
you you
look look
close close
, ,
cloven cloven
hooves hoof
. .
And and
it it
raises raise
a a
question question
: :
what what
changed change
? ?
And and
what what
changed change
is be
something something
you you
might might
not not
have have
expected expect
in in
an an
art art
, ,
which which
is be
math math
. .
That that
is be
, ,
people people
applied apply
mathematical mathematical
principles principle
to to
the the
art art
, ,
to to
discover discover
the the
underlying underlie
laws law
. .
And and
that that
leads lead
to to
a a
very very
powerful powerful
tool tool
. .
The the
secret secret
to to
productivity productivity
in in
so so
many many
fields field
— -
and and
in in
origami origami
— -
is be
letting let
dead dead
people people
do do
your your
work work
for for
you you
. .
Because because
what what
you you
can can
do do
is be
take take
your your
problem problem
, ,
and and
turn turn
it it
into into
a a
problem problem
that that
someone someone
else else
has have
solved solve
, ,
and and
use use
their their
solutions solution
. .
And and
I i
want want
to to
tell tell
you you
how how
we we
did do
that that
in in
origami origami
. .
Origami origami
revolves revolve
around around
crease crease
patterns pattern
. .
The the
crease crease
pattern pattern
shown show
here here
is be
the the
underlying underlie
blueprint blueprint
for for
an an
origami origami
figure figure
. .
And and
you you
can can
' '
t t
just just
draw draw
them them
arbitrarily arbitrarily
. .
They they
have have
to to
obey obey
four four
simple simple
laws law
. .
And and
they they
' '
re re
very very
simple simple
, ,
easy easy
to to
understand understand
. .
The the
first first
law law
is be
two-colorability two-colorability
. .
You you
can can
color color
any any
crease crease
pattern pattern
with with
just just
two two
colors color
without without
