Thirty thirty
years year
ago ago
, ,
I i
walked walk
into into
a a
nursing nursing
home home
, ,
and and
my my
life life
changed change
forever forever
. .
I i
was be
there there
to to
visit visit
my my
grandmother grandmother
Alice alice
. .
She she
was be
a a
very very
powerful powerful
woman woman
who who
had have
lost lose
a a
battle battle
with with
a a
stroke stroke
that that
stole steal
her her
ability ability
to to
speak speak
. .
Alice alice
had have
just just
three three
forms form
of of
communication communication
left leave
. .
She she
had have
this this
sound sound
that that
was be
like like
, ,
" "
tss tss
, ,
tss tss
, ,
tss tss
, ,
" "
that that
she she
could could
shift shift
in in
tone tone
from from
emphatic emphatic
, ,
" "
no no
, ,
no no
, ,
no no
, ,
" "
to to
enticing entice
, ,
" "
yes yes
, ,
you you
' '
ve ve
almost almost
got get
it it
. .
" "
She she
had have
an an
incredibly incredibly
expressive expressive
index index
finger finger
, ,
which which
she she
could could
shake shake
and and
point point
with with
frustration frustration
. .
And and
she she
had have
these these
enormous enormous
pale pale
blue blue
eyes eye
that that
she she
could could
open open
and and
close close
for for
emphasis emphasis
. .
Wide wide
open open
seemed seem
to to
say say
, ,
" "
Yes yes
, ,
you you
' '
ve ve
almost almost
got get
it it
, ,
" "
and and
closing closing
slowly slowly
was be
-- --
well well
, ,
it it
didn didn
' '
t t
really really
need need
much much
translation translation
. .
It it
turns turn
out out
that that
Alice alice
had have
taught teach
me me
that that
everyone everyone
has have
a a
story story
. .
Everyone everyone
has have
a a
story story
. .
The the
challenge challenge
for for
the the
listener listener
is be
how how
to to
invite invite
it it
into into
being be
, ,
and and
how how
to to
really really
hear hear
it it
. .
Now now
, ,
Alzheimer alzheimer
' '
s s
and and
dementia dementia
, ,
these these
are be
two two
words word
that that
, ,
when when
you you
say say
them them
in in
front front
of of
people people
, ,
you you
can can
watch watch
a a
cloud cloud
descend descend
over over
them them
. .
You you
can can
imagine imagine
me me
at at
dinner dinner
parties party
. .
" "
What what
do do
you you
do do
? ?
" "
" "
Well well
, ,
I i
invite invite
people people
with with
Alzheimer alzheimer
' '
s s
and and
dementia dementia
into into
expression expression
. .
Where where
are be
you you
going go
? ?
" "
Fear fear
and and
stigma stigma
wrap wrap
themselves themselves
so so
tightly tightly
around around
an an
experience experience
that that
affects affect
47 @card@
million million
people people
across across
the the
world world
, ,
and and
they they
can can
live live
with with
this this
diagnosis diagnosis
for for
between between
10 @card@
and and
15 @card@
years year
, ,
and and
that that
number number
, ,
47 @card@
million million
, ,
is be
supposed suppose
to to
triple triple
by by
2050 @card@
. .
Family family
and and
friends friend
can can
fade fade
away away
, ,
because because
they they
don don
' '
t t
know know
how how
to to
be be
in in
your your
company company
, ,
they they
don don
' '
t t
know know
what what
to to
say say
, ,
and and
suddenly suddenly
, ,
when when
you you
need need
other other
people people
the the
most most
, ,
you you
can can
find find
yourself yourself
really really
painfully painfully
alone alone
, ,
unsure unsure
of of
the the
meaning meaning
and and
the the
value value
of of
your your
own own
life life
. .
Science science
is be
pushing push
for for
treatments treatment
, ,
dreaming dream
of of
cures cure
, ,
but but
loosening loosen
that that
grip grip
of of
stigma stigma
and and
fear fear
could could
ease ease
the the
pain pain
of of
so so
many many
people people
right right
now now
. .
And and
luckily luckily
, ,
meaningful meaningful
