June june
13 @card@
, ,
2014 @card@
started start
as as
a a
routine routine
Friday friday
in in
Redemption redemption
Hospital hospital
in in
Monrovia monrovia
, ,
the the
capital capital
of of
Liberia liberia
. .
Redemption redemption
is be
the the
largest large
free free
public public
health health
hospital hospital
in in
the the
city city
. .
We we
are be
called call
upon upon
to to
serve serve
hundreds hundred
of of
thousands thousand
of of
people people
. .
In in
the the
best good
of of
times time
it it
puts put
strain strain
on on
our our
resources resource
. .
Monthly monthly
supplies supply
run run
out out
within within
weeks week
, ,
and and
patients patient
without without
beds bed
would would
be be
seated seat
in in
chairs chair
. .
That that
summer summer
, ,
we we
had have
a a
nurse nurse
who who
had have
been be
sick sick
for for
a a
while while
. .
Sick sick
enough enough
to to
be be
admitted admit
in in
our our
hospital hospital
. .
But but
our our
treatment treatment
didn didn
' '
t t
seem seem
to to
be be
helping help
her her
; ;
her her
symptoms symptom
were be
getting get
worse bad
: :
diarrhea diarrhea
, ,
severe severe
abdominal abdominal
pain pain
, ,
fever fever
and and
weakness weakness
. .
On on
that that
particular particular
Friday friday
, ,
she she
developed develop
severe severe
respiratory respiratory
distress distress
, ,
and and
her her
eyes eye
were be
menacingly menacingly
red red
. .
One one
of of
my my
fellow fellow
doctors doctor
, ,
a a
general general
surgeon surgeon
, ,
became become
suspicious suspicious
of of
her her
condition condition
. .
He he
said say
her her
symptoms symptom
were be
suggestive suggestive
of of
Ebola ebola
. .
We we
kept keep
a a
close close
watch watch
on on
her her
, ,
we we
tried try
to to
help help
her her
. .
We we
were be
treating treat
her her
for for
malaria malaria
, ,
typhoid typhoid
and and
gastroenteritis gastroenteritis
. .
We we
didn didn
' '
t t
know know
it it
, ,
but but
by by
then then
it it
was be
too too
late late
. .
The the
next next
morning morning
I i
walked walk
in in
to to
check check
on on
my my
patient patient
. .
I i
could could
tell tell
by by
the the
look look
in in
her her
eyes eye
that that
she she
was be
filled fill
with with
fear fear
. .
I i
gave give
her her
reassurance reassurance
, ,
but but
shortly shortly
after after
. .
. .
. .
she she
died die
of of
Ebola ebola
. .
For for
me me
, ,
her her
death death
was be
very very
personal personal
. .
But but
this this
was be
just just
the the
beginning beginning
. .
A a
virtual virtual
biological biological
bomb bomb
had have
