Looking look
deeply deeply
inside inside
nature nature
, ,
through through
the the
magnifying magnify
glass glass
of of
science science
, ,
designers designer
extract extract
principles principle
, ,
processes process
and and
materials material
that that
are be
forming form
the the
very very
basis basis
of of
design design
methodology methodology
. .
From from
synthetic synthetic
constructs construct
that that
resemble resemble
biological biological
materials material
, ,
to to
computational computational
methods method
that that
emulate emulate
neural neural
processes process
, ,
nature nature
is be
driving drive
design design
. .
Design design
is be
also also
driving drive
nature nature
. .
In in
realms realm
of of
genetics genetics
, ,
regenerative regenerative
medicine medicine
and and
synthetic synthetic
biology biology
, ,
designers designer
are be
growing grow
novel novel
technologies technology
, ,
not not
foreseen foresee
or or
anticipated anticipate
by by
nature nature
. .
Bionics bionics
explores explore
the the
interplay interplay
between between
biology biology
and and
design design
. .
As as
you you
can can
see see
, ,
my my
legs leg
are be
bionic bionic
. .
Today today
, ,
I i
will will
tell tell
human human
stories story
of of
bionic bionic
integration integration
; ;
how how
electromechanics electromechanic
attached attach
to to
the the
body body
, ,
and and
implanted implant
inside inside
the the
body body
are be
beginning begin
to to
bridge bridge
the the
gap gap
between between
disability disability
and and
ability ability
, ,
between between
human human
limitation limitation
and and
human human
potential potential
. .
Bionics bionics
has have
defined define
my my
physicality physicality
. .
In in
1982 @card@
, ,
both both
of of
my my
legs leg
were be
amputated amputate
due due
to to
tissue tissue
damage damage
from from
frostbite frostbite
, ,
incurred incur
during during
a a
mountain-climbing mountain-climbing
accident accident
. .
At at
that that
time time
, ,
I i
didn didn
' '
t t
view view
my my
body body
as as
broken break
. .
I i
reasoned reason
that that
a a
human human
being being
can can
never never
be be
" "
broken break
. .
" "
Technology technology
is be
broken break
. .
Technology technology
is be
inadequate inadequate
. .
This this
simple simple
but but
powerful powerful
idea idea
was be
a a
call call
to to
arms arm
, ,
to to
advance advance
technology technology
for for
the the
elimination elimination
of of
my my
own own
disability disability
, ,
and and
ultimately ultimately
, ,
the the
disability disability
of of
others other
. .
I i
began begin
by by
developing develop
specialized specialized
limbs limb
that that
allowed allow
me me
to to
return return
to to
the the
vertical vertical
world world
of of
rock rock
and and
ice ice
climbing climbing
. .
I i
quickly quickly
realized realize
that that
the the
artificial artificial
part part
of of
my my
body body
is be
malleable malleable
; ;
able able
to to
take take
on on
any any
form form
, ,
any any
function function
— -
a a
blank blank
slate slate
for for
which which
to to
create create
, ,
perhaps perhaps
, ,
structures structure
that that
could could
extend extend
beyond beyond
biological biological
capability capability
. .
I i
made make
my my
height height
adjustable adjustable
. .
I i
could could
be be
as as
short short
as as
five five
feet foot
or or
as as
tall tall
as as
I i
' '
d d
like like
. .
So so
when when
I i
was be
feeling feel
bad bad
about about
myself myself
, ,
insecure insecure
, ,
I i
would would
jack jack
my my
height height
up up
. .
But but
when when
I i
was be
feeling feel
confident confident
and and
suave suave
, ,
I i
would would
knock knock
my my
height height
down down
a a
notch notch
, ,
just just
to to
give give
the the
competition competition
a a
chance chance
. .
Narrow-edged narrow-edged
feet foot
allowed allow
me me
to to
climb climb
steep steep
rock rock
fissures fissure
, ,
where where
the the
human human
foot foot
cannot can
penetrate penetrate
, ,
and and
spiked spiked
feet foot
enabled enable
me me
to to
climb climb
vertical vertical
ice ice
walls wall
, ,
without without
ever ever
experiencing experience
