Catherine catherine
Abreu abreu
: :
We we
know know
with with
certainty certainty
that that
fossil fossil
fuels fuel
need need
to to
be be
phased phase
out out
. .
There there
' '
s s
really really
no no
question question
in in
the the
science science
at at
this this
point point
. .
Tessa tessa
Khan khan
: :
The the
arguments argument
for for
transitioning transitioning
away away
from from
fossil fossil
fuels fuel
at at
speed speed
have have
never never
been be
more more
compelling compelling
. .
I i
think think
the the
responsibilities responsibility
of of
governments government
to to
accelerate accelerate
that that
transition transition
have have
never never
been be
so so
acute acute
. .
Laurence laurence
Tubiana tubiana
: :
It it
has have
to to
be be
quite quite
radical radical
. .
It it
could could
have have
been be
done do
slowly slowly
. .
But but
now now
we we
are be
running run
against against
time time
, ,
and and
the the
climate climate
impacts impact
are be
now now
not not
for for
tomorrow tomorrow
. .
It it
' '
s s
for for
today today
. .
Hisham hisham
Mundol mundol
: :
The the
role role
of of
fossil fossil
fuels fuel
between between
now now
and and
2050 @card@
is be
that that
of of
a a
necessary necessary
evil evil
. .
Hongqiao hongqiao
Liu liu
: :
So so
we we
have have
a a
very very
complicated complicated
relationship relationship
with with
fossil fossil
fuels fuel
at at
the the
moment moment
. .
It it
' '
s s
like like
your your
ex-partner ex-partner
, ,
you you
want want
to to
get get
rid rid
of of
them them
, ,
but but
they they
stick stick
around around
. .
Rebekah rebekah
Shirley shirley
: :
In in
Africa africa
, ,
for for
instance instance
, ,
where where
I i
live live
, ,
it it
' '
s s
a a
bit bit
more more
complicated complicated
. .
Vijaya vijaya
Ramachandran ramachandran
: :
I i
don don
' '
t t
think think
it it
' '
s s
fair fair
to to
poor poor
countries country
to to
say say
you you
have have
to to
be be
renewable renewable
only only
, ,
when when
the the
rich rich
countries country
are be
doubling double
down down
on on
oil oil
, ,
coal coal
and and
gas gas
. .
HL hl
: :
We we
need need
to to
debate debate
. .
We we
need need
we we
need need
that that
exchange exchange
. .
We we
need need
to to
understand understand
each each
other other
' '
s s
views view
and and
to to
start start
with with
the the
concept concept
of of
the the
dilemma dilemma
that that
we we
' '
re re
facing face
. .
Zoë zoë
Knight knight
: :
In in
my my
mind mind
, ,
the the
biggest big
obstacle obstacle
is be
the the
speed speed
of of
collaboration collaboration
. .
We we
speak speak
at at
cross-purposes cross-purpose
with with
each each
other other
. .
Mary mary
Robinson robinson
: :
We we
' '
ve ve
got get
to to
deal deal
with with
this this
much much
more more
quickly quickly
than than
we we
' '
re re
doing do
. .
How how
do do
we we
raise raise
the the
temperature temperature
? ?
How how
do do
we we
increase increase
the the
energy energy
for for
action action
, ,
the the
passion passion
for for
action action
, ,
the the
heartfelt heartfelt
need need
for for
action action
which which
will will
move move
us us
? ?
[ [
TED ted
Countdown countdown
] ]
[ [
Dilemma dilemma
Series series
] ]
[ [
How how
do do
we we
move move
from from
fossil fossil
fuels fuel
to to
clean clean
energy energy
quickly quickly
and and
fairly fairly
? ?
] ]
Lindsay lindsay
Levin levin
: :
We we
' '
re re
standing standing
at at
a a
crucial crucial
crossroads crossroad
in in
history history
. .
We we
live live
in in
a a
world world
where where
our our
energy energy
system system
is be
overwhelmingly overwhelmingly
dependent dependent
on on
burning burn
fossil fossil
fuels fuel
. .
What what
are be
the the
viable viable
pathways pathway
to to
a a
clean clean
and and
safe safe
future future
, ,
and and
how how
do do
we we
collectively collectively
navigate navigate
this this
transition transition
? ?
I i
' '
m m
Lindsay lindsay
Levin levin
, ,
co-founder co-founder
of of
Countdown countdown
, ,
and and
this this
is be
the the
second second
installment installment
of of
our our
Dilemma dilemma
Series series
. .
We we
know know
that that
credible credible
people people
, ,
including include
many many
of of
you you
, ,
disagree disagree
in in
some some
pretty pretty
fundamental fundamental
ways way
on on
this this
topic topic
, ,
the the
core core
of of
the the
climate climate
challenge challenge
. .
Recently recently
at at
the the
Barbican barbican
Centre centre
in in
London london
, ,
we we
brought bring
together together
experts expert
, ,
activists activist
and and
leading lead
voices voice
in in
the the
climate climate
space space
to to
speak speak
, ,
listen listen
and and
work work
together together
as as
we we
figure figure
out out
how how
to to
make make
progress progress
despite despite
our our
differences difference
. .
While while
the the
need need
to to
get get
off off
fossil fossil
fuels fuel
is be
straightforward straightforward
and and
urgent urgent
, ,
the the
pathway pathway
to to
doing do
it it
equitably equitably
is be
anything anything
but but
. .
Here here
' '
s s
TED ted
science science
curator curator
David david
Biello biello
to to
frame frame
the the
basic basic
ideas idea
behind behind
this this
dilemma dilemma
. .
David david
Biello biello
: :
Today today
, ,
more more
than than
80 @card@
percent percent
of of
modern modern
energy energy
comes come
from from
burning burn
fossil fossil
fuels fuel
. .
That that
means mean
more more
than than
40 @card@
billion billion
metric metric
tons ton
, ,
that that
' '
s s
40 @card@
gigatons gigatons
, ,
of of
CO2 co2
gets get
dumped dump
in in
the the
air air
each each
year year
. .
And and
that that
number number
is be
growing grow
. .
At at
the the
same same
time time
, ,
hundreds hundred
of of
millions million
of of
people people
live live
with with
limited limited
or or
no no
access access
to to
modern modern
energy energy
at at
all all
. .
That that
means mean
they they
have have
contributed contribute
almost almost
nothing nothing
to to
the the
greenhouse greenhouse
gas gas
pollution pollution
causing cause
the the
climate climate
crisis crisis
. .
So so
do do
we we
stop stop
fossil fossil
fuel fuel
exploration exploration
and and
production production
entirely entirely
? ?
Do do
we we
encourage encourage
it it
for for
certain certain
communities community
but but
not not
others other
? ?
And and
if if
so so
, ,
where where
? ?
How how
do do
we we
actually actually
get get
renewables renewables
to to
scale scale
and and
how how
do do
we we
pay pay
for for
it it
all all
? ?
These these
questions question
are be
incredibly incredibly
complex complex
, ,
but but
the the
takeaway takeaway
is be
clear clear
. .
We we
need need
to to
eliminate eliminate
fossil fossil
fuels fuel
and and
use use
what what
we we
must must
to to
ensure ensure
that that
everyone everyone
benefits benefit
. .
Let let
' '
s s
start start
with with
some some
facts fact
and and
figures figure
about about
where where
we we
are be
today today
. .
Here here
' '
s s
Adair adair
Turner turner
. .
Adair adair
Turner turner
: :
The the
International international
Panel panel
on on
Climate climate
Change change
estimated estimate
in in
2018 @card@
that that
if if
we we
are be
to to
have have
even even
a a
50-percent 50-percent
chance chance
of of
limiting limit
global global
warming warming
to to
1 @card@
. .
5 @card@
degrees degree
centigrade centigrade
, ,
we we
cannot can
emit emit
more more
than than
500 @card@
gigatons gigatons
of of
CO2 co2
between between
2020 @card@
and and
2050 @card@
. .
But but
actually actually
, ,
we we
' '
re re
two two
years year
into into
that that
30-year 30-year
period period
. .
We we
' '
ve ve
been be
running run
at at
40 @card@
gigatons gigatons
per per
year year
, ,
so so
we we
' '
ve ve
only only
got get
420 @card@
gigatons gigatons
left leave
. .
That that
420 @card@
gigatons gigatons
would would
be be
emitted emit
if if
we we
burnt burn
70 @card@
billion billion
tons ton
of of
coal coal
plus plus
65 @card@
trillion trillion
cubic cubic
meters meter
of of
gas gas
plus plus
350 @card@
billion billion
barrels barrel
of of
oil oil
. .
But but
at at
the the
current current
rate rate
we we
will will
have have
burnt burn
all all
of of
that that
in in
12 @card@
years year
. .
We we
have have
got get
to to
find find
a a
way way
of of
leaving leave
the the
vast vast
majority majority
of of
coal coal
, ,
oil oil
and and
gas gas
in in
the the
ground ground
, ,
even even
if if
it it
is be
