When when
I i
was be
a a
kid kid
, ,
I i
was be
afraid afraid
of of
the the
dark dark
. .
The the
darkness darkness
is be
where where
the the
monsters monster
are be
. .
And and
I i
had have
this this
little little
night night
light light
outside outside
of of
my my
bedroom bedroom
so so
that that
it it
would would
never never
get get
too too
dark dark
. .
But but
over over
time time
, ,
my my
fear fear
of of
the the
dark dark
turned turn
to to
curiosity curiosity
. .
What what
is be
out out
there there
in in
the the
" "
dark-dark dark-dark
? ?
" "
And and
it it
turns turn
out out
that that
trying try
to to
understand understand
the the
darkness darkness
is be
something something
that that
' '
s s
fascinated fascinate
humans human
for for
thousands thousand
of of
years year
, ,
maybe maybe
forever forever
. .
And and
we we
know know
this this
because because
we we
find find
their their
ancient ancient
relics relic
of of
their their
attempts attempt
to to
map map
the the
sky sky
. .
This this
tusk tusk
is be
over over
30 @card@
, ,
000 @card@
years year
old old
. .
Some some
people people
think think
that that
it it
' '
s s
a a
carving carving
of of
Orion orion
or or
maybe maybe
a a
calendar calendar
. .
We we
don don
' '
t t
know know
. .
The the
Fuxi fuxi
star star
map map
is be
over over
6 @card@
, ,
000 @card@
years year
old old
, ,
and and
it it
' '
s s
from from
a a
neolithic neolithic
tomb tomb
in in
ancient ancient
China china
. .
And and
that that
little little
pile pile
of of
clamshells clamshell
underneath underneath
the the
dead dead
guy guy
' '
s s
foot foot
in in
the the
middle middle
— -
that that
' '
s s
supposed suppose
to to
be be
the the
Big big
Dipper dipper
. .
Maybe maybe
. .
The the
Nebra nebra
disk disk
is be
uncontroversial uncontroversial
. .
You you
don don
' '
t t
have have
to to
be be
an an
astronomer astronomer
to to
know know
that that
you you
' '
re re
looking look
at at
the the
Moon moon
phases phase
or or
the the
Sun sun
in in
eclipse eclipse
. .
And and
that that
little little
group group
of of
seven seven
stars star
, ,
that that
' '
s s
the the
Pleiades pleiades
, ,
the the
Seven seven
Sisters sister
. .
But but
in in
any any
case case
, ,
the the
point point
is be
clear clear
: :
astronomers astronomer
have have
been be
mapping map
the the
sky sky
for for
a a
long long
time time
. .
Why why
? ?
It it
' '
s s
our our
calling call
card card
as as
a a
species species
in in
the the
galaxy galaxy
to to
figure figure
things thing
out out
. .
We we
know know
our our
planet planet
, ,
we we
cure cure
our our
diseases disease
, ,
we we
cook cook
our our
food food
, ,
we we
leave leave
our our
planet planet
. .
But but
it it
' '
s s
not not
easy easy
. .
Understanding understand
the the
universe universe
is be
battle battle
. .
It it
is be
unrelenting unrelenting
, ,
it it
is be
time-varying time-varying
, ,
and and
it it
is be
one one
we we
are be
all all
in in
together together
. .
It it
is be
a a
battle battle
in in
the the
darkness darkness
against against
the the
darkness darkness
. .
Which which
is be
why why
Orion orion
has have
weapons weapon
. .
In in
any any
case case
, ,
if if
you you
' '
re re
going go
to to
engage engage
in in
this this
battle battle
, ,
you you
need need
to to
know know
the the
battlefield battlefield
. .
So so
at at
its its
core core
, ,
mapping map
the the
sky sky
involves involve
three three
essential essential
elements element
. .
You you
' '
ve ve
got get
objects object
that that
are be
giving give
off off
light light
, ,
you you
' '
ve ve
got get
telescopes telescope
that that
are be
collecting collect
that that
light light
, ,
and and
you you
' '
ve ve
got get
instruments instrument
that that
are be
helping help
you you
understand understand
what what
that that
light light
is be
. .
Many many
of of
you you
have have
mapped map
the the
Moon moon
phases phase
over over
time time
with with
your your
eyes eye
, ,
your your
eyes eye
being be
your your
more more
basic basic
telescope telescope
. .
And and
you you
' '
ve ve
understood understand
what what
that that
means means
with with
your your
brains brain
, ,
your your
brains brain
being be
one one
of of
your your
more more
basic basic
instruments instrument
. .
Now now
, ,
if if
you you
and and
a a
buddy buddy
get get
together together
, ,
you you
would would
spend spend
over over
30 @card@
years year
, ,
you you
would would
map map
1 @card@
, ,
000 @card@
stars star
extremely extremely
precisely precisely
. .
You you
would would
move move
the the
front front
line line
to to
the the
battle battle
. .
And and
that that
' '
s s
what what
Tycho tycho
Brahe brahe
and and
his his
buddy buddy
, ,
or or
his his
assistant assistant
, ,
really really
, ,
Johannes johannes
Kepler kepler
did do
back back
in in
the the
1600s 1600s
. .
And and
they they
moved move
the the
line line
, ,
figured figure
out out
how how
planets planet
worked work
, ,
how how
they they
moved move
around around
the the
Sun sun
. .
But but
it it
wasn wasn
' '
t t
until until
about about
100 @card@
years year
ago ago
that that
we we
realized realize
it it
' '
s s
a a
big big
universe universe
. .
It it
seems seem
like like
the the
universe universe
is be
just just
infinite infinite
, ,
which which
it it
is be
, ,
but but
the the
observable observable
universe universe
is be
finite finite
. .
Which which
means mean
we we
can can
win win
the the
battle battle
. .
But but
if if
you you
' '
re re
going go
to to
map map
the the
universe universe
, ,
you you
' '
re re
not not
going go
to to
do do
it it
with with
one one
or or
two two
of of
your your
besties besty
. .
Mapping map
the the
universe universe
takes take
an an
army army
, ,
an an
army army
of of
curious curious
, ,
creative creative
, ,
craftspeople craftspeople
who who
, ,
working work
together together
, ,
can can
accomplish accomplish
the the
extraordinary extraordinary
. .
I i
lead lead
this this
army army
of of
creatives creatives
, ,
in in
the the
fifth fifth
generation generation
of of
the the
Sloan sloan
Digital digital
Sky sky
Survey survey
, ,
SDSS sdss
. .
And and
this this
is be
how how
astronomers astronomer
have have
managed manage
to to
shepherd shepherd
individual individual
curiosity curiosity
through through
its its
industrial industrial
age age
, ,
preserving preserve
the the
individual individual
ability ability
to to
make make
discoveries discovery
but but
putting put
into into
place place
mega mega
machinery machinery
to to
truly truly
advance advance
the the
frontier frontier
. .
In in
SDSS sdss
, ,
we we
divide divide
the the
sky sky
into into
three three
mappers mappers
: :
one one
for for
the the
stars star
, ,
one one
for for
the the
black black
holes hole
and and
one one
for for
the the
galaxies galaxy
. .
My my
survey survey
has have
two two
hemispheres hemisphere
, ,
five five
telescopes telescope
, ,
or or
11 @card@
, ,
depending depend
on on
how how
you you
count count
, ,
10 @card@
spectrographs spectrograph
and and
millions million
of of
objects object
. .
It it
' '
s s
a a
monster monster
. .
So so
let let
' '
s s
go go
through through
the the
mappers mappers
. .
The the
Milky milky
Way way
galaxy galaxy
has have
250 @card@
billion billion
plus plus
or or
minus minus
a a
few few
hundred hundred
billion billion
stars star
. .
That that
is be
not not
a a
number number
that that
you you
hold hold
in in
your your
head head
. .
That that
is be
a a
number number
that that
doesn doesn
' '
t t
make make
practical practical
sense sense
to to
pretty pretty
much much
anybody anybody
. .
You you
never never
get get
250 @card@
billion billion
jelly jelly
beans bean
in in
your your
hand hand
. .
You you
know know
? ?
We we
' '
re re
nowhere nowhere
near near
mapping map
all all
of of
those those
stars star
yet yet
. .
So so
we we
have have
to to
choose choose
the the
most most
interesting interesting
ones one
. .
In in
SDSS-V sdss-v
, ,
we we
' '
re re
mapping map
six six
million million
stars star
where where
we we
think think
we we
can can
measure measure
their their
age age
. .
Because because
if if
you you
can can
measure measure
the the
age age
of of
a a
star star
, ,
that that
' '
s s
like like
having have
six six
million million
clocks clock
spread spread
all all
throughout throughout
the the
Milky milky
Way way
. .
And and
with with
that that
information information
, ,
we we
can can
unravel unravel
the the
history history
and and
fossil fossil
record record
of of
our our
galaxy galaxy
and and
learn learn
how how
it it
formed form
. .
I i
' '
m m
just just
going go
to to
cut cut
right right
to to
the the
chase chase
here here
. .
Black black
holes hole
are be
among among
the the
most most
perplexing perplex
objects object
in in
the the
universe universe
. .
Why why
? ?
Because because
they they
are be
literally literally
just just
math math
incarnate incarnate
, ,
in in
a a
physical physical
form form
, ,
that that
we we
barely barely
understand understand
. .
It it
' '
s s
like like
the the
number number
zero zero
being be
animated animate
and and
walking walk
around around
the the
corridors corridor
here here
. .
That that
would would
be be
super super
weird weird
. .
These these
are be
weirder weird
. .
And and
it it
' '
s s
not not
just just
like like
a a
basketball basketball
that that
you you
smoosh smoosh
down down
into into
a a
little little
point point
and and
it it
' '
s s
super super
dense dense
and and
that that
' '
s s
weird weird
. .
No no
, ,
smooshed smooshed
basketballs basketball
have have
a a
surface surface
. .
These these
things thing
don don
' '
t t
have have
surfaces surface
, ,
and and
we we
know know
that that
now now
. .
Because because
we we
' '
ve ve
seen see
it it
. .
Or or
the the
lack lack
of of
it it
. .
What what
' '
s s
really really
interesting interesting
about about
black black
holes hole
is be
that that
we we
can can
learn learn
a a
lot lot
about about
them them
by by
studying study
the the
material material
just just
as as
it it
passes pass
through through
that that
point point
of of
no no
information information
return return
. .
Because because
at at
that that
point point
, ,
it it
' '
s s
emitting emit
lots lot
of of
X-rays x-ray
and and
optical optical
and and
UV uv
and and
radio radio
waves wave
. .
We we
can can
actually actually
learn learn
how how
these these
objects object
grow grow
. .
And and
in in
SDSS sdss
, ,
we we
' '
re re
looking look
at at
over over
half half
a a
million million
supermassive supermassive
black black
holes hole
, ,
to to
try try
to to
understand understand
how how
they they
formed form
. .
Like like
I i
said say
, ,
we we
live live
in in
the the
Milky milky
Way way
, ,
you you
guys guy
are be
all all
familiar familiar
with with
that that
. .
The the
Milky milky
Way way
is be
a a
completely completely
average average
galaxy galaxy
. .
Nothing nothing
funny funny
going go
on on
. .
But but
it it
' '
s s
ours ours
, ,
which which
is be
great great
. .
We we
think think
that that
the the
Milky milky
Way way
, ,
and and
all all
the the
Milky milky
Ways way
, ,
have have
this this
really really
disturbing disturbing
past past
of of
literally literally
blowing blow
themselves themselves
apart apart
. .
It it
' '
s s
like like
every every
average average
guy guy
you you
know know
has have
a a
history history
as as
a a
punk punk
rock rock
teenager teenager
. .
That that
' '
s s
very very
bizarre bizarre
. .
Stars star
are be
blowing blow
up up
in in
these these
systems system
, ,
black black
holes hole
are be
growing grow
at at
their their
centers center
and and
emitting emit
a a
tremendous tremendous
amount amount
of of
energy energy
. .
How how
does do
that that
happen happen
, ,
how how
does do
this this
transformation transformation
happen happen
? ?
And and
at at
SDSS sdss
, ,
we we
' '
re re
going go
to to
the the
bellies belly
of of
the the
beast beast
and and
zooming zoom
way way
in in
, ,
to to
look look
at at
these these
processes process
where where
they they
are be
occurring occur
in in
order order
to to
understand understand
how how
Sid sid
Vicious vicious
grows grow
up up
into into
Ward ward
Cleaver cleaver
. .
My my
arsenal arsenal
. .
These these
are be
my my
two two
big big
telescopes telescope
. .
The the
Apache apache
Point point
Observatory observatory
hosts host
the the
Sloan sloan
telescope telescope
in in
New new
Mexico mexico
, ,
and and
the the
Las las
Campanas campanas
Observatory observatory
in in
Chile chile
hosts host
the the
two-and-a-half-meter two-and-a-half-meter
telescope telescope
, ,
the the
du du
Pont pont
. .
Two two
and and
a a
half half
meters meter
is be
the the
size size
of of
our our
mirror mirror
, ,
which which
was be
huge huge
for for
Tycho tycho
and and
Kepler kepler
. .
But but
it it
' '
s s
actually actually
not not
so so
big big
today today
. .
There there
are be
way way
bigger big
telescopes telescope
out out
there there
. .
But but
in in
SDSS sdss
we we
use use
new new
instruments instrument
on on
these these
old old
telescopes telescope
to to
make make
them them
interesting interesting
. .
We we
capture capture
light light
from from
all all
of of
those those
objects object
into into
our our
aperture aperture
, ,
and and
that that
light light
is be
then then
focused focus
at at
the the
focal focal
plane plane
, ,
where where
our our
instruments instrument
sit sit
and and
process process
that that
light light
. .
What what
' '
s s
new new
in in
SDSS-V sdss-v
is be
that that
we we
' '
re re
making make
the the
focal focal
plane plane
entirely entirely
robotic robotic
. .
That that
' '
s s
right right
: :
robots robot
. .
So so
I i
