I i
would would
like like
to to
start start
with with
the the
story story
of of
Mary mary
, ,
a a
woman woman
from from
an an
African african
village village
. .
Her her
first first
memories memory
are be
of of
her her
family family
fleeing flee
violent violent
riots riot
orchestrated orchestrate
by by
the the
ruling ruling
political political
party party
. .
Her her
brother brother
was be
murdered murder
by by
the the
state-sponsored state-sponsor
militia militia
, ,
and and
she she
was be
raped rape
more more
than than
once once
just just
because because
she she
belonged belong
to to
the the
wrong wrong
party party
. .
One one
morning morning
, ,
a a
month month
before before
the the
election election
, ,
Mary mary
' '
s s
village village
was be
called call
to to
another another
intimidation intimidation
meeting meeting
. .
In in
this this
meeting meeting
, ,
there there
is be
a a
man man
standing standing
in in
front front
of of
them them
, ,
telling tell
them them
, ,
" "
We we
know know
who who
you you
are be
, ,
we we
know know
who who
you you
will will
vote vote
for for
, ,
and and
if if
you you
' '
re re
not not
going go
to to
drop drop
the the
right right
paper paper
, ,
we we
' '
re re
going go
to to
take take
revenge revenge
. .
" "
But but
for for
Mary mary
, ,
this this
meeting meeting
is be
different different
. .
She she
feels feel
different different
. .
This this
time time
, ,
she she
' '
s s
waiting wait
for for
this this
meeting meeting
, ,
because because
this this
time time
, ,
she she
' '
s s
carrying carry
a a
small small
hidden hidden
camera camera
in in
her her
dress dress
, ,
a a
camera camera
that that
nobody nobody
else else
can can
see see
. .
Nobody nobody
is be
allowed allow
to to
film film
in in
these these
meetings meeting
. .
You you
risk risk
your your
life life
if if
you you
do do
. .
Mary mary
knows know
that that
, ,
but but
she she
also also
knows know
that that
the the
only only
way way
to to
stop stop
them them
and and
to to
protect protect
herself herself
and and
her her
community community
is be
to to
expose expose
their their
intimidation intimidation
, ,
to to
make make
sure sure
they they
understand understand
somebody somebody
is be
following follow
them them
, ,
to to
break break
the the
impunity impunity
they they
feel feel
. .
Mary mary
and and
her her
friends friend
were be
filming film
for for
months month
, ,
undercover undercover
, ,
the the
intimidation intimidation
of of
the the
ruling ruling
political political
party party
. .
[ [
" "
Filmed film
with with
hidden hidden
cameras camera
" "
] ]
Man man
: :
We we
are be
now now
going go
to to
speak speak
about about
the the
upcoming upcoming
elections election
. .
Nothing nothing
can can
stop stop
us us
from from
doing do
what what
we we
want want
. .
If if
we we
hear hear
you you
are be
with with
[ [
The the
Opposition opposition
] ]
we we
will will
not not
forgive forgive
you you
. .
[ [
" "
Militia militia
intimidation intimidation
rally rally
" "
] ]
[ [
The the
Party party
] ]
can can
torture torture
you you
at at
any any
time time
. .
The the
youth youth
can can
beat beat
you you
. .
[ [
" "
Disruption disruption
of of
political political
meeting meeting
" "
] ]
For for
those those
who who
lie lie
, ,
saying say
they they
are be
back back
with with
[ [
The the
Party party
] ]
, ,
your your
time time
is be
running run
out out
. .
[ [
" "
Party party
youth youth
militia militia
" "
] ]
Some some
have have
died die
because because
they they
rebelled rebel
. .
Some some
have have
lost lose
their their
homes home
. .
If if
you you
don don
' '
t t
work work
together together
with with
[ [
The the
Party party
] ]
, ,
you you
will will
lead lead
a a
very very
bad bad
life life
. .
Oren oren
Yakobovich yakobovich
: :
These these
images image
were be
broadcast broadcast
all all
over over
the the
world world
, ,
but but
more more
importantly importantly
, ,
they they
have have
been be
broadcast broadcast
back back
to to
the the
community community
. .
The the
perpetrators perpetrator
saw see
them them
too too
. .
They they
understood understand
somebody somebody
is be
following follow
them them
. .
They they
got get
scared scared
. .
Impunity impunity
was be
broken break
. .
Mary mary
and and
her her
friends friend
forced force
the the
ruling ruling
political political
party party
not not
to to
use use
violence violence
during during
the the
election election
, ,
and and
saved save
hundreds hundred
of of
lives life
. .
Mary mary
is be
just just
one one
of of
hundreds hundred
of of
people people
that that
my my
organization organization
had have
helped help
to to
document document
human human
rights right
violations violation
using use
cameras camera
. .
My my
background background
should should
have have
led lead
me me
to to
a a
different different
direction direction
. .
I i
was be
born bear
in in
Israel israel
to to
a a
right-wing right-wing
family family
, ,
and and
as as
long long
as as
I i
remember remember
myself myself
, ,
I i
wanted want
to to
join join
the the
Israeli israeli
army army
to to
serve serve
my my
country country
and and
prove prove
what what
I i
believed believe
was be
our our
right right
for for
the the
whole whole
land land
. .
I i
joined join
the the
Israeli israeli
army army
just just
after after
the the
first first
intifada intifada
, ,
the the
first first
Palestinian palestinian
uprising uprising
, ,
and and
I i
served serve
in in
one one
of of
the the
hard-minded hard-minded
, ,
toughest tough
, ,
aggressive aggressive
infantry infantry
units unit
, ,
and and
I i
got get
the the
biggest big
gun gun
in in
my my
platoon platoon
. .
Quite quite
fast fast
, ,
I i
became become
an an
officer officer
and and
got get
soldiers soldier
under under
my my
command command
, ,
and and
as as
time time
passed pass
, ,
I i
started start
serving serve
in in
the the
West west
Bank bank
, ,
and and
I i
saw see
these these
images image
. .
I i
didn didn
' '
t t
like like
what what
I i
saw see
. .
It it
took take
me me
a a
while while
, ,
but but
eventually eventually
I i
refused refuse
to to
serve serve
in in
the the
West west
Bank bank
and and
had have
to to
spend spend
time time
in in
jail jail
. .
It it
was be
a a
bit bit
— -
— -
It it
was be
not not
that that
bad bad
, ,
I i
have have
to to
say say
. .
It it
was be
a a
bit bit
like like
being be
in in
a a
hotel hotel
, ,
but but
with with
very very
shitty shitty
food food
. .
In in
jail jail
, ,
I i
kept keep
thinking think
that that
I i
need need
people people
to to
know know
. .
I i
need need
people people
to to
understand understand
what what
the the
reality reality
in in
the the
West west
Bank bank
looks look
like like
. .
I i
need need
them them
to to
hear hear
what what
I i
heard hear
, ,
I i
need need
them them
to to
see see
what what
I i
saw see
, ,
but but
I i
also also
understood understand
, ,
we we
need need
the the
Palestinians palestinians
themselves themselves
, ,
the the
people people
that that
are be
suffering suffer
, ,
to to
be be
able able
to to
tell tell
their their
own own
stories story
, ,
not not
journalists journalist
or or
filmmakers filmmaker
that that
are be
coming come
outside outside
of of
the the
situation situation
. .
I i
joined join
a a
human human
rights right
organization organization
, ,
an an
Israeli israeli
human human
rights right
organization organization
called call
B b
' '
Tselem tselem
. .
Together together
, ,
we we
analyzed analyze
the the
West west
Bank bank
and and
picked pick
100 @card@
families family
that that
are be
living live
in in
the the
most most
risky risky
places place
: :
close close
to to
checkpoints checkpoint
, ,
near near
army army
bases base
, ,
side side
by by
side side
with with
settlers settler
. .
We we
gave give
them them
cameras camera
and and
training training
. .
Quite quite
fast fast
, ,
we we
started start
getting get
very very
disturbing disturbing
images image
about about
how how
the the
settlers settler
and and
the the
soldiers soldier
are be
abusing abuse
them them
. .
I i
would would
like like
to to
share share
with with
you you
two two
clips clip
from from
this this
project project
. .
Both both
of of
them them
were be
broadcast broadcast
in in
Israel israel
, ,
and and
it it
created create
a a
massive massive
debate debate
. .
And and
I i
have have
to to
warn warn
you you
, ,
some some
of of
you you
might might
find find
them them
quite quite
explicit explicit
. .
The the
masked mask
men man
you you
will will
see see
in in
the the
first first
clips clip
are be
Jewish jewish
settlers settler
. .
Minutes minute
before before
the the
camera camera
was be
turned turn
on on
, ,
they they
approached approach
a a
Palestinian palestinian
family family
that that
was be
working work
their their
land land
and and
told tell
them them
that that
they they
have have
to to
leave leave
the the
land land
, ,
because because
this this
land land
belongs belong
to to
the the
Jewish jewish
settlers settler
. .
The the
Palestinians palestinians
refused refuse
. .
Let let
' '
s s
see see
what what
happened happen
. .
The the
masked masked
men man
that that
are be
approaching approach
are be
Jewish jewish
settlers settler
. .
They they
are be
approaching approach
the the
Palestinian palestinian
family family
. .
This this
is be
a a
demonstration demonstration
in in
the the
West west
Bank bank
. .
The the
guy guy
in in
green green
is be
Palestinian palestinian
. .
He he
will will
be be
arrested arrest
in in
a a
second second
. .
Here here
you you
see see
him him
blindfolded blindfold
and and
handcuffed handcuff
. .
In in
a a
few few
seconds second
, ,
he he
regrets regret
he he
came come
to to
this this
demonstration demonstration
. .
He he
' '
s s
been be
shot shoot
in in
the the
foot foot
with with
a a
rubber rubber
bullet bullet
. .
He he
is be
okay okay
. .
Not not
all all
the the
settlers settler
and and
the the
soldiers soldier
are be
acting act
this this
way way
. .
We we
' '
re re
talking talk
about about
a a
tiny tiny
minority minority
, ,
but but
they they
have have
to to
be be
brought bring
to to
justice justice
. .
These these
clips clip
, ,
and and
others other
like like
them them
, ,
forced force
the the
army army
and and
the the
police police
to to
start start
investigations investigation
. .
They they
' '
ve ve
been be
shown show
in in
Israel israel
, ,
of of
course course
, ,
and and
the the
Israeli israeli
public public
was be
exposed expose
to to
them them
also also
. .
This this
project project
redefined redefin
the the
struggle struggle
for for
human human
rights right
in in
the the
occupied occupied
territories territory
, ,
and and
we we
managed manage
to to
reduce reduce
the the
number number
of of
violent violent
attacks attack
in in
the the
West west
Bank bank
. .
The the
success success
of of
this this
project project
got get
me me
thinking think
how how
I i
can can
take take
the the
same same
methodology methodology
to to
other other
places place
in in
the the
world world
. .
Now now
, ,
we we
tend tend
to to
believe believe
that that
today today
, ,
with with
all all
of of
the the
technology technology
, ,
the the
smartphones smartphone
and and
the the
Internet internet
, ,
we we
are be
able able
to to
see see
