Recently recently
, ,
we we
' '
ve ve
seen see
the the
effects effect
of of
cyber cyber
attacks attack
on on
the the
business business
world world
. .
Data data
breaches breach
at at
companies company
like like
JP jp
Morgan morgan
, ,
Yahoo yahoo
, ,
Home home
Depot depot
and and
Target target
have have
caused cause
losses loss
of of
hundreds hundred
of of
millions million
and and
in in
some some
cases case
, ,
billions billion
of of
dollars dollar
. .
It it
wouldn wouldn
' '
t t
take take
many many
large large
attacks attack
to to
ravage ravage
the the
world world
economy economy
. .
And and
the the
public public
sector sector
has have
not not
been be
immune immune
, ,
either either
. .
In in
2012 @card@
to to
2014 @card@
, ,
there there
was be
a a
significant significant
data data
breach breach
at at
the the
US us
Office office
of of
Personnel personnel
Management management
. .
Security security
clearance clearance
and and
fingerprint fingerprint
data datum
was be
compromised compromise
, ,
affecting affect
22 @card@
million million
employees employee
. .
And and
you you
may may
have have
heard hear
of of
the the
attempt attempt
by by
state-sponsored state-sponsor
hackers hacker
to to
use use
stolen stolen
data datum
to to
influence influence
election election
outcomes outcome
in in
a a
number number
of of
countries country
. .
Two two
recent recent
examples example
are be
the the
compromise compromise
of of
a a
large large
amount amount
of of
data datum
from from
the the
Bundestag bundestag
, ,
the the
national national
Parliament parliament
of of
Germany germany
, ,
and and
the the
theft theft
of of
emails email
from from
the the
US us
Democratic democratic
National national
Committee committee
. .
The the
cyber cyber
threat threat
is be
now now
affecting affect
our our
democratic democratic
processes process
. .
And and
it it
' '
s s
likely likely
to to
get get
worse bad
. .
As as
computer computer
technology technology
is be
becoming become
more more
powerful powerful
, ,
the the
systems system
we we
use use
to to
protect protect
our our
data datum
are be
becoming become
more more
vulnerable vulnerable
. .
Adding add
to to
the the
concern concern
is be
a a
new new
type type
of of
computing computing
technology technology
, ,
called call
quantum quantum
computing computing
, ,
which which
leverages leverage
microscopic microscopic
properties property
of of
nature nature
to to
deliver deliver
unimaginable unimaginable
increases increase
in in
computational computational
power power
. .
It it
' '
s s
so so
powerful powerful
that that
it it
will will
crack crack
many many
of of
the the
encryption encryption
systems system
that that
we we
use use
today today
. .
So so
is be
the the
situation situation
hopeless hopeless
? ?
Should should
we we
start start
packing pack
our our
digital digital
survival survival
gear gear
and and
prepare prepare
for for
an an
upcoming upcoming
data data
apocalypse apocalypse
? ?
I i
would would
say say
, ,
not not
yet yet
. .
Quantum quantum
computing computing
is be
still still
in in
the the
labs lab
, ,
and and
it it
will will
take take
a a
few few
years year
until until
it it
' '
s s
put put
to to
practical practical
applications application
. .
More more
important important
, ,
there there
have have
been be
major major
breakthroughs breakthrough
in in
the the
field field
of of
encryption encryption
. .
For for
me me
, ,
this this
is be
a a
particularly particularly
exciting exciting
time time
in in
the the
history history
of of
secure secure
communications communication
. .
About about
15 @card@
years year
ago ago
, ,
when when
I i
learned learn
of of
our our
new-found new-found
ability ability
to to
create create
quantum quantum
effects effect
that that
don don
' '
t t
exist exist
in in
nature nature
, ,
I i
was be
excited excite
. .
The the
idea idea
of of
applying apply
the the
fundamental fundamental
laws law
of of
physics physic
to to
make make
encryption encryption
stronger strong
really really
intrigued intrigue
me me
. .
Today today
, ,
a a
select select
groups group
of of
companies company
and and
labs lab
around around
the the
world world
, ,
including include
mine mine
, ,
are be
maturing mature
this this
technology technology
for for
practical practical
applications application
. .
That that
' '
s s
right right
. .
We we
are be
now now
preparing prepare
to to
fight fight
quantum quantum
with with
quantum quantum
. .
So so
how how
does do
this this
all all
work work
? ?
Well well
, ,
first first
, ,
let let
' '
s s
take take
a a
quick quick
tour tour
of of
the the
world world
of of
encryption encryption
. .
For for
that that
, ,
you you
' '
ll ll
need need
a a
briefcase briefcase
, ,
some some
important important
documents document
that that
you you
want want
to to
send send
your your
friend friend
, ,
James james
Bond bond
, ,
and and
a a
lock lock
to to
keep keep
it it
all all
safe safe
. .
Because because
the the
documents document
are be
top top
secret secret
, ,
we we
' '
re re
going go
to to
use use
an an
advanced advanced
briefcase briefcase
. .
It it
has have
a a
special special
combination combination
lock lock
which which
, ,
when when
closed close
, ,
converts convert
all all
the the
text text
in in
the the
documents document
to to
random random
numbers number
. .
So so
you you
put put
your your
documents document
inside inside
, ,
close close
the the
lock lock
— -
at at
which which
point point
in in
time time
the the
documents document
get get
converted convert
to to
random random
numbers number
— -
and and
you you
send send
the the
briefcase briefcase
to to
James james
. .
While while
it it
' '
s s
on on
its its
way way
, ,
you you
call call
him him
to to
give give
him him
the the
code code
. .
When when
he he
gets get
the the
briefcase briefcase
, ,
he he
enters enter
the the
code code
, ,
the the
documents document
get get
unscrambled unscramble
, ,
and and
voil� voil�
, ,
you you
' '
