Chris chris
Anderson anderson
: :
Shep shep
, ,
thank thank
you you
so so
much much
for for
coming come
. .
I i
think think
your your
plane plane
landed land
literally literally
two two
hours hour
ago ago
in in
Vancouver vancouver
. .
Such such
a a
treat treat
to to
have have
you you
. .
So so
, ,
talk talk
us us
through through
how how
do do
you you
get get
from from
Einstein einstein
' '
s s
equation equation
to to
a a
black black
hole hole
? ?
Sheperd sheperd
Doeleman doeleman
: :
Over over
100 @card@
years year
ago ago
, ,
Einstein einstein
came come
up up
with with
this this
geometric geometric
theory theory
of of
gravity gravity
which which
deforms deform
space-time space-time
. .
So so
, ,
matter matter
deforms deform
space-time space-time
, ,
and and
then then
space-time space-time
tells tell
matter matter
in in
turn turn
how how
to to
move move
around around
it it
. .
And and
you you
can can
get get
enough enough
matter matter
into into
a a
small small
enough enough
region region
that that
it it
punctures puncture
space-time space-time
, ,
and and
that that
even even
light light
can can
' '
t t
escape escape
, ,
the the
force force
of of
gravity gravity
keeps keep
even even
light light
inside inside
. .
CA ca
: :
And and
so so
, ,
before before
that that
, ,
the the
reason reason
the the
Earth earth
moves move
around around
the the
Sun sun
is be
not not
because because
the the
Sun sun
is be
pulling pull
the the
Earth earth
as as
we we
think think
, ,
but but
it it
' '
s s
literally literally
changed change
the the
shape shape
of of
space space
so so
that that
we we
just just
sort sort
of of
fall fall
around around
the the
Sun sun
. .
SD sd
: :
Exactly exactly
, ,
the the
geometry geometry
of of
space-time space-time
tells tell
the the
Earth earth
how how
to to
move move
around around
the the
Sun sun
. .
You you
' '
re re
almost almost
seeing see
a a
black black
hole hole
puncture puncture
through through
space-time space-time
, ,
and and
when when
it it
goes go
so so
deeply deeply
in in
, ,
then then
there there
' '
s s
a a
point point
at at
which which
light light
orbits orbit
the the
black black
hole hole
. .
CA ca
: :
And and
so so
that that
' '
s s
, ,
I i
guess guess
, ,
is be
what what
' '
s s
happening happen
here here
. .
This this
is be
not not
an an
image image
, ,
this this
is be
a a
computer computer
simulation simulation
of of
what what
we we
always always
thought think
, ,
like like
, ,
the the
event event
horizon horizon
around around
the the
black black
hole hole
. .
SD sd
: :
Until until
last last
week week
, ,
we we
had have
no no
idea idea
what what
a a
black black
hole hole
really really
looked look
like like
. .
The the
best good
we we
could could
do do
were be
simulations simulation
like like
this this
in in
