Walk walk
to to
make make
the the
work work
that that
I i
did do
. .
And and
I i
did do
go go
out out
, ,
and and
I i
did do
this this
picture picture
of of
grasses grass
coming come
through through
in in
the the
spring spring
, ,
along along
a a
roadside roadside
. .
This this
rebirth rebirth
of of
grass grass
. .
And and
then then
I i
went go
out out
for for
years year
trying try
to to
photograph photograph
the the
pristine pristine
landscape landscape
. .
But but
as as
a a
fine-art fine-art
photographer photographer
I i
somehow somehow
felt feel
that that
it it
wouldn wouldn
' '
t t
catch catch
on on
out out
there there
, ,
that that
there there
would would
be be
a a
problem problem
with with
trying try
to to
make make
this this
as as
a a
fine-art fine-art
career career
. .
And and
I i
kept keep
being be
sucked suck
into into
this this
genre genre
of of
the the
calendar calendar
picture picture
, ,
or or
something something
of of
that that
nature nature
, ,
and and
I i
couldn couldn
' '
t t
get get
away away
from from
it it
. .
So so
I i
started start
to to
think think
of of
, ,
how how
can can
I i
rethink rethink
the the
landscape landscape
? ?
I i
decided decide
to to
rethink rethink
the the
landscape landscape
as as
the the
landscape landscape
that that
we we
' '
ve ve
transformed transform
. .
I i
had have
a a
bit bit
of of
an an
epiphany epiphany
being be
lost lose
in in
Pennsylvania pennsylvania
, ,
and and
I i
took take
a a
left leave
turn turn
trying try
to to
get get
back back
to to
the the
highway highway
. .
And and
I i
ended end
up up
in in
a a
town town
called call
Frackville frackville
. .
I i
got get
out out
of of
the the
car car
, ,
and and
I i
stood stand
up up
, ,
and and
it it
was be
a a
coal-mining coal-mining
town town
. .
I i
did do
a a
360 @card@
turnaround turnaround
, ,
and and
that that
became become
one one
of of
the the
most most
surreal surreal
landscapes landscape
I i
' '
ve ve
ever ever
seen see
. .
Totally totally
transformed transform
by by
man man
. .
And and
that that
got get
me me
to to
go go
out out
and and
look look
at at
mines mine
like like
this this
, ,
and and
go go
out out
and and
look look
at at
the the
largest large
industrial industrial
incursions incursion
in in
the the
landscape landscape
that that
I i
could could
find find
. .
And and
that that
became become
the the
baseline baseline
of of
what what
I i
was be
doing do
. .
And and
it it
also also
became become
the the
theme theme
that that
I i
felt feel
that that
I i
could could
hold hold
onto onto
, ,
and and
not not
have have
to to
re-invent re-invent
myself myself
â â
that that
this this
theme theme
was be
large large
enough enough
to to
become become
a a
life life
' '
s s
work work
, ,
to to
become become
something something
that that
I i
could could
sink sink
my my
teeth tooth
into into
and and
just just
research research
and and
find find
out out
where where
these these
industries industry
are be
. .
And and
I i
think think
one one
of of
the the
things thing
I i
also also
wanted want
to to
say say
in in
my my
thanks thanks
, ,
which which
I i
kind kind
of of
missed miss
, ,
was be
to to
thank thank
all all
the the
corporations corporation
who who
helped help
me me
get get
in in
. .
Because because
it it
took take
negotiation negotiation
for for
almost almost
every every
one one
of of
these these
photographs photograph
â â
to to
get get
into into
that that
place place
to to
make make
those those
photographs photograph
, ,
and and
if if
it it
wasn wasn
' '
t t
for for
those those
people people
letting let
me me
in in
at at
the the
heads head
of of
those those
corporations corporation
, ,
I i
would would
have have
never never
made make
this this
body body
of of
work work
. .
So so
in in
that that
respect respect
, ,
to to
me me
, ,
I i
' '
m m
not not
against against
the the
corporation corporation
. .
I i
own own
a a
corporation corporation
. .
I i
work work
with with
them them
, ,
and and
I i
feel feel
that that
we we
all all
need need
them them
and and
they they
' '
re re
important important
. .
But but
I i
am be
also also
for for
sustainability sustainability
. .
So so
there there
' '
s s
this this
thing thing
that that
is be
pulling pull
me me
in in
both both
directions direction
. .
And and
I i
' '
m m
not not
making make
an an
indictment indictment
towards towards
what what
' '
s s
happening happen
here here
, ,
but but
it it
is be
a a
slow slow
progression progression
. .
So so
I i
started start
thinking think
, ,
well well
, ,
we we
live live
in in
all all
these these
ages age
of of
man man
: :
the the
Stone stone
Age age
, ,
and and
the the
Iron iron
Age age
, ,
and and
the the
Copper copper
Age age
. .
And and
these these
ages age
of of
man man
are be
still still
at at
work work
today today
. .
But but
we we
' '
ve ve
become become
totally totally
disconnected disconnected
from from
them them
. .
There there
' '
s s
something something
that that
we we
' '
re re
not not
seeing see
there there
. .
And and
it it
' '
s s
a a
scary scary
thing thing
as as
well well
. .
Because because
when when
we we
start start
looking look
at at
the the
collective collective
appetite appetite
for for
our our
lifestyles lifestyle
, ,
and and
what what
we we
' '
re re
doing do
to to
that that
landscape landscape
â â
that that
, ,
to to
me me
, ,
is be
something something
that that
is be
a a
very very
sobering sobering
moment moment
for for
me me
to to
contemplate contemplate
. .
And and
through through
my my
photographs photograph
, ,
I i
' '
m m
hoping hope
to to
be be
able able
to to
engage engage
the the
audiences audience
of of
my my
work work
, ,
and and
to to
come come
up up
to to
it it
and and
not not
immediately immediately
be be
rejected reject
by by
the the
image image
. .
Not not
to to
say say
, ,
" "
Oh oh
my my
God god
, ,
what what
is be
it it
? ?
" "
but but
to to
be be
challenged challenge
by by
it it
â â
to to
say say
, ,
" "
Wow wow
, ,
this this
is be
beautiful beautiful
, ,
" "
on on
one one
level level
, ,
but but
on on
the the
other other
level level
, ,
" "
This this
is be
scary scary
. .
I i
shouldn shouldn
' '
t t
be be
enjoying enjoy
it it
. .
" "
Like like
a a
forbidden forbidden
pleasure pleasure
. .
And and
it it
' '
s s
that that
forbidden forbidden
pleasure pleasure
that that
I i
think think
is be
what what
resonates resonate
out out
there there
, ,
and and
it it
gets get
people people
to to
look look
at at
these these
things thing
, ,
and and
it it
gets get
people people
to to
enter enter
it it
. .
And and
it it
also also
, ,
in in
a a
way way
, ,
defines define
kind kind
of of
what what
I i
feel feel
, ,
too too
â â
that that
I i
' '
m m
drawn draw
to to
have have
a a
good good
life life
. .
I i
want want
a a
house house
, ,
and and
I i
want want
a a
car car
. .
But but
there there
' '
s s
this this
consequence consequence
out out
there there
. .
And and
how how
do do
I i
begin begin
to to
have have
that that
attraction attraction
, ,
repulsion repulsion
? ?
It it
' '
s s
even even
in in
my my
own own
conscience conscience
I i
' '
m m
having have
it it
, ,
and and
here here
in in
my my
work work
, ,
I i
' '
m m
trying try
to to
build build
that that
same same
toggle toggle
. .
These these
things thing
that that
I i
photographed photograph
â â
this this
tire tire
pile pile
here here
had have
45 @card@
million million
tires tire
in in
it it
. .
It it
was be
the the
largest large
one one
. .
It it
was be
only only
about about
an an
hour-and-a-half hour-and-a-half
away away
from from
me me
, ,
and and
it it
caught catch
fire fire
about about
four four
years year
ago ago
. .
It it
' '
s s
around around
Westley westley
, ,
California california
, ,
around around
Modesto modesto
. .
And and
I i
decided decide
to to
start start
looking look
at at
something something
that that
, ,
to to
me me
, ,
had have
â â
if if
the the
earlier early
work work
of of
looking look
at at
the the
landscape landscape
had have
a a
sense sense
of of
lament lament
to to
what what
we we
were be
doing do
to to
nature nature
, ,
in in
the the
recycling recycling
work work
that that
you you
' '
re re
seeing seeing
here here
was be
starting start
to to
point point
to to
a a
direction direction
. .
To to
me me
, ,
it it
was be
our our
redemption redemption
. .
That that
in in
the the
recycling recycling
work work
that that
I i
was be
doing do
, ,
I i
' '
m m
looking look
for for
a a
practice practice
, ,
a a
human human
activity activity
that that
is be
sustainable sustainable
. .
That that
if if
we we
keep keep
putting put
things thing
, ,
through through
industrial industrial
and and
urban urban
existence existence
, ,
back back
into into
the the
system system
â â
if if
we we
keep keep
doing do
that that
â â
we we
can can
continue continue
on on
. .
Of of
course course
, ,
listening listen
at at
the the
conference conference
, ,
there there
' '
s s
many many
, ,
many many
things thing
that that
are be
coming come
. .
Bio-mimicry bio-mimicry
, ,
and and
there there
' '
s s
many many
other other
things thing
that that
are be
coming come
on on
stream stream
â â
nanotechnology nanotechnology
that that
may may
also also
prevent prevent
us us
from from
having have
to to
go go
into into
that that
landscape landscape
and and
tear tear
it it
apart apart
. .
And and
we we
all all
look look
forward forward
to to
those those
things thing
. .
But but
in in
the the
meantime meantime
, ,
these these
things thing
are be
scaling scale
up up
. .
These these
things thing
are be
continuing continue
to to
happen happen
. .
What what
you you
' '
re re
looking look
at at
here here
â â
I i
went go
to to
Bangladesh bangladesh
, ,
so so
I i
started start
to to
move move
away away
from from
North north
America america
; ;
I i
started start
to to
look look
at at
our our
world world
globally globally
. .
These these
images image
of of
Bangladesh bangladesh
came come
out out
of of
a a
radio radio
program program
I i
was be
listening listen
to to
. .
They they
were be
talking talk
about about
Exxon exxon
Valdez valdez
, ,
and and
that that
there there
was be
going go
to to
be be
a a
glut glut
of of
oil oil
tankers tanker
because because
of of
the the
insurance insurance
industries industry
. .
And and
that that
those those
oil oil
tankers tanker
needed need
to to
be be
decommissioned decommission
, ,
and and
2004 @card@
was be
going go
to to
be be
the the
pinnacle pinnacle
. .
And and
I i
thought think
, ,
" "
My my
God god
, ,
wouldn wouldn
' '
t t
that that
be be
something something
? ?
" "
To to
see see
the the
largest large
vessels vessel
of of
man man
being be
deconstructed deconstruct
by by
hand hand
, ,
literally literally
, ,
in in
third-world third-world
countries country
. .
So so
originally originally
I i
was be
going go
to to
go go
to to
India india
. .
And and
I i
was be
shut shut
out out
of of
India india
because because
of of
a a
Greenpeace greenpeace
situation situation
there there
, ,
and and
then then
I i
was be
able able
to to
get get
into into
Bangladesh bangladesh
, ,
and and
saw see
for for
the the
first first
time time
a a
third third
world world
, ,
a a
view view
of of
it it
, ,
that that
I i
had have
never never
actually actually
thought think
was be
possible possible
. .
130 @card@
million million
people people
living live
in in
an an
area area
the the
size size
of of
Wisconsin wisconsin
â â
people people
everywhere everywhere
â â
the the
pollution pollution
was be
intense intense
, ,
and and
the the
working work
conditions condition
were be
horrible horrible
. .
Here here
you you
' '
re re
looking look
at at
some some
oil oil
fields field
in in
California california
, ,
some some
of of
the the
biggest big
oil oil
fields field
. .
And and
again again
, ,
I i
started start
to to
think think
that that
â â
there there
was be
another another
epiphany epiphany
â â
that that
the the
whole whole
world world
I i
was be
living live
in in
was be
a a
result result
of of
having have
plentiful plentiful
oil oil
. .
And and
that that
, ,
to to
me me
, ,
was be
again again
something something
that that
I i
started start
building build
on on
, ,
and and
I i
continued continue
to to
build build
on on
. .
So so
this this
is be
a a
series series
I i
' '
m m
hoping hope
to to
have have
ready ready
in in
about about
two two
or or
three three
years year
, ,
under under
the the
heading head
of of
" "
The the
Oil oil
Party party
. .
" "
Because because
I i
think think
everything everything
that that
we we
' '
re re
involved involve
in in
â â
our our
clothing clothing
, ,
our our
cars car
, ,
our our
roads road
, ,
and and
everything everything
â â
are be
directly directly
a a
result result
. .
I i
' '
m m
going go
to to
move move
to to
some some
pictures picture
of of
China china
. .
And and
for for
me me
China china
â â
I i
started start
photographing photograph
it it
four four
years year
ago ago
, ,
and and
China china
truly truly
is be
a a
question question
of of
sustainability sustainability
in in
my my
mind mind
, ,
not not
to to
mention mention
that that
China china
, ,
as as
well well
, ,
has have
a a
great great
effect effect
on on
the the
industries industry
that that
I i
grew grow
up up
around around
. .
I i
came come
out out
of of
a a
blue-collar blue-collar
town town
, ,
a a
GM gm
town town
, ,
and and
my my
father father
worked work
at at
GM gm
, ,
so so
I i
was be
very very
familiar familiar
with with
that that
kind kind
of of
industry industry
and and
that that
also also
informed inform
my my
work work
. .
But but
you you
know know
, ,
to to
see see
China china
and and
the the
scale scale
at at
which which
it it
' '
s s
evolving evolve
, ,
is be
quite quite
something something
. .
So so
what what
you you
see see
here here
is be
the the
Three three
Gorges gorge
Dam dam
, ,
and and
this this
is be
the the
largest large
dam dam
by by
50 @card@
percent percent
ever ever
attempted attempt
by by
man man
. .
Most most
of of
the the
engineers engineer
around around
the the
world world
left leave
the the
project project
because because
they they
said say
, ,
" "
It it
' '
s s
just just
too too
big big
. .
" "
In in
fact fact
, ,
when when
it it
did do
actually actually
fill fill
with with
water water
a a
year year
and and
a a
half half
ago ago
, ,
they they
were be
able able
to to
measure measure
a a
wobble wobble
within within
the the
earth earth
as as
it it
was be
spinning spin
. .
It it
took take
fifteen fifteen
days day
to to
fill fill
it it
. .
So so
this this
created create
a a
reservoir reservoir
600 @card@
kilometers kilometer
long long
, ,
one one
of of
the the
largest large
reservoirs reservoir
ever ever
created create
. .
And and
what what
was be
also also
one one
of of
the the
bigger big
projects project
around around
that that
was be
moving move
13 @card@
full-size full-size
cities city
up up
out out
of of
the the
reservoir reservoir
, ,
and and
flattening flatten
all all
the the
buildings building
so so
they they
could could
make make
way way
for for
the the
ships ship
. .
This this
is be
a a
" "
before before
and and
after after
. .
" "
So so
that that
was be
before before
. .
And and
this this
is be
like like
10 @card@
weeks week
later later
, ,
demolished demolish
by by
hand hand
. .
I i
think think
11 @card@
of of
the the
buildings building
they they
used use
dynamite dynamite
, ,
everything everything
else else
was be
by by
hand hand
. .
That that
was be
10 @card@
weeks week
later later
. .
And and
this this
gives give
you you
an an
idea idea
. .
And and
it it
was be
all all
the the
people people
who who
lived live
in in
those those
homes home
, ,
were be
the the
ones one
that that
were be
actually actually
taking take
it it
apart apart
and and
working work
, ,
and and
getting get
paid pay
per per
brick brick
to to
take take
their their
cities city
apart apart
. .
And and
these these
are be
some some
of of
the the
images image
from from
that that
. .
So so
I i
spent spend
about about
three three
trips trip
to to
the the
Three three
Gorges gorge
Dam dam
, ,
looking look
at at
that that
massive massive
transformation transformation
of of
a a
landscape landscape
. .
And and
it it
looks look
like like
a a
bombed-out bombed-out
landscape landscape
, ,
but but
it it
isn isn
' '
t t
. .
What what
it it
is be
, ,
it it
' '
s s
a a
landscape landscape
that that
is be
an an
intentional intentional
one one
. .
This this
is be
a a
need need
for for
power power
, ,
and and
they they
' '
re re
willing willing
to to
go go
through through
this this
massive massive
transformation transformation
, ,
on on
this this
scale scale
, ,
to to
get get
that that
power power
. .
And and
again again
, ,
it it
' '
s s
actually actually
a a
relief relief
for for
what what
' '
s s
going go
on on
in in
China china
because because
I i
think think
on on
the the
table table
right right
now now
, ,
there there
' '
s s
27 @card@
nuclear nuclear
power power
stations station
to to
be be
built build
. .
There there
hasn hasn
' '
t t
been be
one one
built build
in in
North north
America america
for for
20 @card@
years year
because because
of of
the the
" "
NIMBY nimby
" "
problem problem
â â
" "
Not not
In in
My my
BackYard backyard
. .
" "
But but
in in
China china
they they
' '
re re
saying say
, ,
" "
No no
, ,
we we
' '
re re
putting put
in in
27 @card@
in in
the the
next next
10 @card@
years year
. .
" "
And and
coal-burning coal-burning
furnaces furnace
are be
going go
in in
there there
for for
hydroelectric hydroelectric
power power
literally literally
weekly weekly
. .
So so
coal coal
itself itself
is be
probably probably
one one
of of
the the
largest large
problems problem
. .
And and
one one
of of
the the
other other
things thing
that that
happened happen
in in
the the
Three three
Gorges gorge
â â
a a
lot lot
of of
the the
agricultural agricultural
land land
that that
you you
see see
there there
on on
the the
left left
was be
also also
lost lose
; ;
some some
of of
the the
most most
fertile fertile
agricultural agricultural
land land
was be
lost lose
in in
that that
. .
And and
1 @card@
. .
2 @card@
to to
2 @card@
million million
people people
were be
relocated relocate
, ,
depending depend
on on
whose whose
statistics statistic
you you
' '
re re
looking look
at at
. .
And and
this this
is be
what what
they they
were be
building build
. .
This this
is be
Wushan wushan
, ,
one one
of of
the the
largest large
cities city
that that
was be
relocated relocate
. .
This this
is be
the the
town town
hall hall
for for
the the
city city
. .
And and
again again
, ,
the the
rebuilding rebuilding
of of
the the
city city
â â
to to
me me
, ,
it it
was be
sad sad
to to
see see
that that
they they
didn didn
' '
t t
really really
grab grab
a a
lot lot
of of
, ,
I i
guess guess
, ,
what what
we we
know know
here here
, ,
in in
terms term
of of
urban urban
planning planning
. .
There there
were be
no no
parks park
; ;
there there
were be
no no
green green
spaces space
. .
Very very
high-density high-density
living live
on on
the the
side side
of of
a a
hill hill
. .
And and
here here
they they
had have
a a
chance chance
to to
rebuild rebuild
cities city
from from
the the
bottom bottom
up up
, ,
but but
somehow somehow
were be
not not
connecting connect
with with
them them
. .
Here here
is be
a a
sign sign
that that
, ,
translated translate
, ,
says say
, ,
" "
Obey obey
the the
birth birth
control control
law law
. .
Build build
our our
science science
, ,
civilized civilized
and and
advanced advanced
idea idea
of of
marriage marriage
and and
giving give
birth birth
. .
" "
So so
here here
, ,
if if
you you
look look
at at
this this
poster poster
, ,
it it
has have
all all
the the
trappings trappings
of of
Western western
culture culture
. .
You you
' '
re re
seeing see
the the
tuxedos tuxedo
, ,
the the
bouquets bouquet
. .
But but
what what
' '
s s
really really
, ,
to to
me me
, ,
frightening frightening
about about
the the
picture picture
and and
about about
this this
billboard billboard
is be
the the
refinery refinery
in in
the the
background background
. .
So so
it it
' '
s s
like like
marrying marry
up up
all all
the the
things thing
that that
we we
have have
and and
it it
' '
s s
an an
adaptation adaptation
of of
our our
way way
of of
life life
, ,
full full
stop stop
. .
And and
again again
, ,
when when
you you
start start
seeing see
that that
kind kind
of of
embrace embrace
, ,
and and
you you
start start
looking look
at at
them them
leading lead
their their
rural rural
lifestyle lifestyle
with with
a a
very very
, ,
very very
small small
footprint footprint
and and
moving move
into into
an an
urban urban
lifestyle lifestyle
with with
a a
much much
higher high
footprint footprint
, ,
it it
starts start
to to
become become
very very
sobering sobering
. .
This this
is be
a a
shot shot
in in
one one
of of
the the
biggest big
squares square
in in
Guangdong guangdong
â â
and and
this this
is be
where where
a a
lot lot
of of
migrant migrant
workers worker
are be
coming come
in in
from from
the the
country country
. .
And and
there there
' '
s s
about about
130 @card@
million million
people people
in in
migration migration
trying try
to to
get get
into into
urban urban
centers center
at at
all all
times time
, ,
and and
in in
the the
next next
10 @card@
to to
15 @card@
years year
, ,
are be
expecting expect
another another
400 @card@
to to
500 @card@
million million
people people
to to
migrate migrate
into into
the the
urban urban
centers center
like like
Shanghai shanghai
and and
the the
manufacturing manufacturing
centers center
. .
The the
manufacturers manufacturer
are be
â â
the the
domestics domestic
are be
usually usually
â â
you you
can can
tell tell
a a
domestic domestic
factory factory
by by
the the
fact fact
that that
they they
all all
use use
the the
same same
color color
uniforms uniform
. .
So so
this this
is be
a a
pink pink
uniform uniform
at at
this this
factory factory
. .
It it
' '
s s
a a
shoe shoe
factory factory
. .
And and
they they
have have
dorms dorm
for for
the the
workers worker
. .
So so
they they
bring bring
them them
in in
from from
the the
country country
and and
put put
them them
up up
in in
the the
dorms dorm
. .
This this
is be
one one
of of
the the
biggest big
shoe shoe
factories factory
, ,
the the
Yuyuan yuyuan
shoe shoe
factory factory
near near
Shenzhen shenzhen
. .
It it
has have
90 @card@
, ,
000 @card@
employees employee
making make
shoes shoe
. .
This this
is be
a a
shift shift
change change
, ,
one one
of of
three three
. .
There there
' '
s s
two two
factories factory
of of
this this
scale scale
in in
the the
same same
town town
. .
This this
is be
one one
with with
45 @card@
, ,
000 @card@
, ,
so so
every every
lunch lunch
, ,
there there
' '
s s
about about
12 @card@
, ,
000 @card@
coming come
through through
for for
lunch lunch
. .
They they
sit sit
down down
; ;
they they
have have
about about
20 @card@
minutes minute
. .
The the
next next
round round
comes come
in in
. .
It it
' '
s s
an an
incredible incredible
workforce workforce
that that
' '
s s
building building
there there
. .
Shanghai shanghai
â â
I i
' '
m m
looking look
at at
the the
urban urban
renewal renewal
in in
Shanghai shanghai
, ,
and and
this this
is be
a a
whole whole
area area
that that
will will
be be
flattened flatten
and and
turned turn
into into
skyscrapers skyscraper
in in
the the
next next
five five
years year
. .
What what
' '
s s
also also
happening happen
in in
Shanghai shanghai
is be
â â
China china
is be
changing change
because because
this this
wouldn wouldn
' '
t t
have have
happened happen
five five
years year
ago ago
, ,
for for
instance instance
. .
This this
is be
a a
holdout holdout
. .
They they
' '
re re
called call
dengzahoos dengzahoos
â â
they they
' '
re re
like like
pin pin
tacks tack
to to
the the
ground ground
. .
They they
won win
' '
t t
move move
. .
They they
' '
re re
not not
negotiating negotiate
. .
They they
' '
re re
not not
getting get
enough enough
, ,
so so
they they
' '
re re
not not
going go
to to
move move
. .
And and
so so
they they
' '
re re
holding hold
off off
until until
they they
get get
a a
deal deal
with with
them them
. .
And and
they they
' '
ve ve
been be
actually actually
quite quite
successful successful
in in
getting get
better good
deals deal
because because
most most
of of
them them
are be
getting get
a a
raw raw
deal deal
. .
They they
' '
re re
being be
put put
out out
about about
two two
hours hour
â â
the the
communities community
that that
have have
been be
around around
for for
literally literally
hundreds hundred
of of
years year
, ,
or or
maybe maybe
even even
thousands thousand
of of
years year
, ,
are be
being be
broken break
up up
and and
spread spread
across across
in in
the the
suburban suburban
areas area
outside outside
of of
Shanghai shanghai
. .
But but
these these
are be
a a
whole whole
series series
of of
guys guy
holding hold
out out
in in
this this
reconstruction reconstruction
of of
Shanghai shanghai
. .
Probably probably
the the
largest large
urban-renewal urban-renewal
project project
, ,
I i
think think
, ,
ever ever
attempted attempt
on on
the the
planet planet
. .
And and
then then
the the
embrace embrace
of of
the the
things thing
that that
they they
' '
re re
replacing replace
it it
with with
â â
again again
, ,
one one
of of
my my
wishes wish
, ,
and and
I i
never never
ended end
up up
going go
there there
, ,
was be
to to
somehow somehow
tell tell
them them
that that
there there
were be
better good
ways way
to to
build build
a a
house house
. .
The the
kinds kind
of of
collisions collision
of of
styles style
and and
things thing
were be
quite quite
something something
, ,
and and
these these
are be
called call
the the
villas villa
. .
And and
also also
, ,
like like
right right
now now
, ,
they they
' '
re re
just just
moving move
. .
The the
scaffolding scaffolding
is be
still still
on on
, ,
and and
this this
is be
an an
e-waste e-waste
area area
, ,
and and
if if
you you
looked look
in in
the the
foreground foreground
on on
the the
big big
print print
, ,
you you
' '
d d
see see
that that
the the
industry industry
â â
their their
industry industry
â â
they they
' '
re re
all all
recycling recycling
. .
So so
the the
industry industry
' '
s s
already already
growing grow
around around
these these
new new
developments development
. .
This this
is be
a a
five-level five-level
bridge bridge
in in
Shanghai shanghai
. .
Shanghai shanghai
was be
a a
very very
intriguing intriguing
city city
â â
it it
' '
s s
exploding explode
on on
a a
level level
that that
I i
don don
' '
t t
think think
any any
city city
has have
experienced experience
. .
In in
fact fact
, ,
even even
Shenzhen shenzhen
, ,
the the
economic economic
zone zone
â â
one one
of of
the the
first first
ones one
â â
15 @card@
years year
ago ago
was be
about about
100 @card@
, ,
000 @card@
people people
, ,
and and
today today
it it
boasts boast
about about
10 @card@
to to
11 @card@
million million
. .
So so
that that
gives give
you you
an an
idea idea
of of
the the
kinds kind
of of
migrations migration
and and
the the
speed speed
with with
which which
â â
this this
is be
just just
the the
taxis taxi
being be
built build
by by
Volkswagen volkswagen
. .
There there
' '
s s
9 @card@
, ,
000 @card@
of of
them them
here here
, ,
and and
they they
' '
re re
being be
built build
for for
most most
of of
the the
big big
cities city
, ,
Beijing beijing
and and
Shanghai shanghai
, ,
Shenzhen shenzhen
. .
And and
this this
isn isn
' '
t t
even even
the the
domestic domestic
car car
market market
; ;
this this
is be
the the
taxi taxi
market market
. .
And and
what what
we we
would would
see see
here here
as as
a a
suburban suburban
development development
â â
a a
similar similar
thing thing
, ,
but but
they they
' '
re re
all all
high-rises high-rise
. .
So so
they they
' '
ll ll
put put
20 @card@
or or
40 @card@
up up
at at
a a
time time
, ,
and and
they they
just just
go go
up up
in in
the the
same same
way way
as as
a a
single-family single-family
dwelling dwelling
would would
go go
up up
here here
in in
an an
area area
. .
And and
the the
density density
is be
quite quite
incredible incredible
. .
And and
one one
of of
the the
things thing
in in
this this
picture picture
that that
I i
wanted want
to to
point point
out out
is be
that that
when when
I i
saw see
these these
kinds kind
of of
buildings building
, ,
I i
was be
shocked shock
to to
see see
that that
they they
' '
re re
not not
using use
a a
central central
air-conditioning air-conditioning
system system
; ;
every every
window window
has have
an an
air air
conditioner conditioner
in in
it it
. .
And and
I i
' '
m m
sure sure
there there
are be
people people
here here
who who
probably probably
know know
better good
than than
I i
do do
about about
efficiencies efficiency
, ,
but but
I i
can can
' '
t t
imagine imagine
that that
every every
apartment apartment
having have
its its
own own
air air
conditioner conditioner
is be
a a
very very
efficient efficient
way way
to to
cool cool
a a
building building
on on
this this
scale scale
. .
And and
when when
you you
start start
looking look
at at
that that
, ,
and and
then then
you you
start start
factoring factor
up up
into into
a a
city city
the the
size size
of of
Shanghai shanghai
, ,
it it
' '
s s
literally literally
a a
forest forest
of of
skyscrapers skyscraper
. .
It it
' '
s s
breathtaking breathtaking
, ,
in in
terms term
of of
the the
speed speed
at at
which which
this this
city city
is be
transforming transform
. .
And and
you you
can can
see see
in in
the the
foreground foreground
of of
this this
picture picture
, ,
it it
' '
s s
still still
one one
of of
the the
last last
areas area
that that
was be
being be
held hold
up up
. .
Right right
now now
that that
' '
s s
all all
cleared clear
out out
â â
this this
was be
done do
about about
eight eight
months month
ago ago
â â
and and
high-rises high-rise
are be
now now
going go
up up
into into
that that
central central
spot spot
. .
So so
a a
skyscraper skyscraper
is be
built build
, ,
literally literally
, ,
overnight overnight
in in
Shanghai shanghai
. .
Most most
recently recently
I i
went go
in in
, ,
and and
I i
started start
looking look
at at
some some
of of
the the
biggest big
industries industry
in in
China china
. .
And and
this this
is be
Baosteel baosteel
, ,
right right
outside outside
of of
Shanghai shanghai
. .
This this
is be
the the
coal coal
supply supply
for for
the the
steel steel
factory factory
â â
18 @card@
square square
kilometers kilometer
. .
It it
' '
s s
an an
incredibly incredibly
massive massive
operation operation
, ,
I i
think think
15 @card@
, ,
000 @card@
workers worker
, ,
five five
cupolas cupola
, ,
and and
the the
sixth sixth
one one
' '
s s
coming come
in in
here here
. .
So so
they they
' '
re re
building building
very very
large large
blast blast
furnaces furnace
to to
try try
to to
deal deal
with with
the the
demand demand
for for
steel steel
in in
China china
. .
So so
this this
is be
three three
of of
the the
visible visible
blast blast
furnaces furnace
within within
that that
shot shot
. .
And and
again again
, ,
looking look
at at
these these
images image
, ,
there there
' '
s s
this this
constant constant
, ,
like like
, ,
haze haze
that that
you you
' '
re re
seeing see
. .
This this
is be
going go
to to
show show
you you
, ,
real real
time time
, ,
an an
assembler assembler
. .
It it
' '
s s
a a
circuit circuit
breaker breaker
. .
10 @card@
hours hour
a a
day day
at at
this this
speed speed
. .
I i
think think
one one
