When when
I i
was be
nine nine
years year
old old
, ,
I i
went go
off off
to to
summer summer
camp camp
for for
the the
first first
time time
. .
And and
my my
mother mother
packed pack
me me
a a
suitcase suitcase
full full
of of
books book
, ,
which which
to to
me me
seemed seem
like like
a a
perfectly perfectly
natural natural
thing thing
to to
do do
. .
Because because
in in
my my
family family
, ,
reading reading
was be
the the
primary primary
group group
activity activity
. .
And and
this this
might might
sound sound
antisocial antisocial
to to
you you
, ,
but but
for for
us us
it it
was be
really really
just just
a a
different different
way way
of of
being be
social social
. .
You you
have have
the the
animal animal
warmth warmth
of of
your your
family family
sitting sit
right right
next next
to to
you you
, ,
but but
you you
are be
also also
free free
to to
go go
roaming roam
around around
the the
adventureland adventureland
inside inside
your your
own own
mind mind
. .
And and
I i
had have
this this
idea idea
that that
camp camp
was be
going go
to to
be be
just just
like like
this this
, ,
but but
better good
. .
I i
had have
a a
vision vision
of of
10 @card@
girls girl
sitting sit
in in
a a
cabin cabin
cozily cozily
reading read
books book
in in
their their
matching match
nightgowns nightgown
. .
Camp camp
was be
more more
like like
a a
keg keg
party party
without without
any any
alcohol alcohol
. .
And and
on on
the the
very very
first first
day day
, ,
our our
counselor counselor
gathered gather
us us
all all
together together
and and
she she
taught teach
us us
a a
cheer cheer
that that
she she
said say
we we
would would
be be
doing do
every every
day day
for for
the the
rest rest
of of
the the
summer summer
to to
instill instill
camp camp
spirit spirit
. .
And and
it it
went go
like like
this this
: :
" "
R-O-W-D-I-E r-o-w-d-i-e
, ,
that that
' '
s s
the the
way way
we we
spell spell
rowdie rowdie
. .
Rowdie rowdie
, ,
rowdie rowdie
, ,
let let
' '
s s
get get
rowdie rowdie
. .
" "
Yeah yeah
. .
So so
I i
couldn couldn
' '
t t
figure figure
out out
for for
the the
life life
of of
me me
why why
we we
were be
supposed suppose
to to
be be
so so
rowdy rowdy
, ,
or or
why why
we we
had have
to to
spell spell
this this
word word
incorrectly incorrectly
. .
But but
I i
recited recite
a a
cheer cheer
. .
I i
recited recite
a a
cheer cheer
along along
with with
everybody everybody
else else
. .
I i
did do
my my
best good
. .
And and
I i
just just
waited wait
for for
the the
time time
that that
I i
could could
go go
off off
and and
read read
my my
books book
. .
But but
the the
first first
time time
that that
I i
took take
my my
book book
out out
of of
my my
suitcase suitcase
, ,
the the
coolest cool
girl girl
in in
the the
bunk bunk
came come
up up
to to
me me
and and
she she
asked ask
me me
, ,
" "
Why why
are be
you you
being be
so so
mellow mellow
? ?
" "
— -
mellow mellow
, ,
of of
course course
, ,
being be
the the
exact exact
opposite opposite
of of
R-O-W-D-I-E r-o-w-d-i-e
. .
And and
then then
the the
second second
time time
I i
tried try
it it
, ,
the the
counselor counselor
came come
up up
to to
me me
with with
a a
concerned concerned
expression expression
on on
her her
face face
and and
she she
repeated repeat
the the
point point
about about
camp camp
spirit spirit
and and
said say
we we
should should
all all
work work
very very
hard hard
to to
be be
outgoing outgoing
. .
And and
so so
I i
put put
my my
books book
away away
, ,
back back
in in
their their
suitcase suitcase
, ,
and and
I i
put put
them them
under under
my my
bed bed
, ,
and and
there there
they they
stayed stay
for for
the the
rest rest
of of
the the
summer summer
. .
And and
I i
felt feel
kind kind
of of
guilty guilty
about about
this this
. .
I i
felt feel
as as
if if
the the
books book
needed need
me me
somehow somehow
, ,
and and
they they
were be
calling call
out out
to to
me me
and and
I i
was be
forsaking forsake
them them
. .
But but
I i
did do
forsake forsake
them them
and and
I i
didn didn
' '
t t
open open
that that
suitcase suitcase
again again
until until
I i
was be
back back
home home
with with
my my
family family
at at
the the
end end
of of
the the
summer summer
. .
Now now
, ,
I i
tell tell
you you
this this
story story
about about
summer summer
camp camp
. .
I i
could could
have have
told tell
you you
50 @card@
others other
just just
like like
it it
— -
all all
the the
times time
that that
I i
got get
the the
message message
that that
somehow somehow
my my
quiet quiet
and and
introverted introvert
style style
of of
being be
was be
not not
necessarily necessarily
the the
right right
way way
to to
go go
, ,
that that
I i
should should
be be
trying try
to to
pass pass
as as
more more
of of
an an
extrovert extrovert
. .
And and
I i
always always
sensed sense
deep deep
down down
that that
this this
was be
wrong wrong
and and
that that
introverts introvert
were be
pretty pretty
excellent excellent
just just
as as
they they
were be
. .
But but
for for
years year
I i
denied deny
this this
intuition intuition
, ,
and and
so so
I i
became become
a a
Wall wall
Street street
lawyer lawyer
, ,
of of
all all
things thing
, ,
instead instead
of of
the the
writer writer
that that
I i
had have
always always
longed long
to to
be be
— -
partly partly
because because
I i
needed need
to to
prove prove
to to
myself myself
that that
I i
could could
be be
bold bold
and and
assertive assertive
too too
. .
And and
I i
was be
always always
going go
off off
to to
crowded crowded
bars bar
when when
I i
really really
would would
have have
preferred prefer
to to
just just
have have
a a
nice nice
dinner dinner
with with
friends friend
. .
And and
I i
made make
these these
self- self-
negating negate
choices choice
so so
reflexively reflexively
, ,
that that
I i
wasn wasn
' '
t t
even even
aware aware
that that
I i
was be
making make
them them
. .
Now now
this this
is be
what what
many many
introverts introvert
do do
, ,
and and
it it
' '
s s
our our
loss loss
for for
sure sure
, ,
but but
it it
is be
also also
our our
colleagues colleague
' '
loss loss
and and
our our
communities community
' '
loss loss
. .
And and
at at
the the
risk risk
of of
sounding sound
grandiose grandiose
, ,
it it
is be
the the
world world
' '
s s
loss loss
. .
Because because
when when
it it
comes come
to to
creativity creativity
and and
to to
leadership leadership
, ,
we we
need need
introverts introvert
doing do
what what
they they
do do
best well
. .
A a
third third
to to
a a
half half
of of
the the
population population
are be
introverts introvert
— -
a a
third third
to to
a a
half half
. .
So so
that that
' '
s s
one one
out out
of of
every every
two two
or or
three three
people people
you you
know know
. .
So so
even even
if if
you you
' '
re re
an an
extrovert extrovert
yourself yourself
, ,
I i
' '
m m
talking talk
about about
your your
coworkers coworker
and and
your your
spouses spouse
and and
your your
children child
and and
the the
person person
sitting sit
next next
to to
you you
right right
now now
— -
all all
of of
them them
subject subject
to to
this this
bias bias
that that
is be
pretty pretty
deep deep
and and
real real
in in
our our
society society
. .
We we
all all
internalize internalize
it it
from from
a a
very very
early early
age age
without without
even even
having have
a a
language language
for for
what what
we we
' '
re re
doing do
. .
Now now
, ,
to to
see see
the the
bias bias
clearly clearly
, ,
you you
need need
to to
understand understand
what what
introversion introversion
is be
. .
It it
' '
s s
different different
from from
being be
shy shy
. .
Shyness shyness
is be
about about
fear fear
of of
social social
judgment judgment
. .
Introversion introversion
is be
more more
about about
, ,
how how
do do
you you
respond respond
to to
stimulation stimulation
, ,
including include
social social
stimulation stimulation
. .
So so
extroverts extrovert
really really
crave crave
large large
amounts amount
of of
stimulation stimulation
, ,
whereas whereas
introverts introvert
feel feel
at at
their their
most most
alive alive
and and
their their
most most
switched-on switched-on
and and
their their
most most
capable capable
when when
they they
' '
re re
in in
quieter quiet
, ,
more more
low-key low-key
environments environment
. .
Not not
all all
the the
time time
— -
these these
things thing
aren aren
' '
t t
absolute absolute
— -
but but
a a
lot lot
of of
the the
time time
. .
So so
the the
key key
then then
to to
maximizing maximize
our our
talents talent
is be
for for
us us
all all
to to
put put
ourselves ourselves
in in
the the
zone zone
of of
stimulation stimulation
that that
is be
right right
for for
us us
. .
But but
now now
here here
' '
s s
where where
the the
bias bias
comes come
in in
. .
Our our
most most
important important
institutions institution
, ,
our our
schools school
and and
our our
workplaces workplace
, ,
they they
are be
designed design
mostly mostly
for for
extroverts extrovert
and and
for for
extroverts extrovert
' '
need need
for for
lots lot
of of
stimulation stimulation
. .
And and
also also
we we
have have
this this
belief belief
system system
right right
now now
that that
I i
call call
the the
new new
groupthink groupthink
, ,
which which
holds hold
that that
all all
creativity creativity
and and
all all
productivity productivity
comes come
from from
a a
very very
oddly oddly
gregarious gregarious
place place
. .
So so
if if
you you
picture picture
the the
typical typical
classroom classroom
nowadays nowadays
: :
When when
I i
was be
going go
to to
school school
, ,
we we
sat sit
in in
rows row
. .
We we
sat sit
in in
rows row
of of
desks desk
like like
this this
, ,
and and
we we
did do
most most
of of
our our
work work
pretty pretty
autonomously autonomously
. .
But but
nowadays nowadays
, ,
your your
typical typical
classroom classroom
has have
pods pod
of of
desks desk
— -
four four
or or
five five
or or
six six
or or
seven seven
kids kid
all all
facing face
each each
other other
. .
And and
kids kid
are be
working work
in in
countless countless
group group
assignments assignment
. .
Even even
in in
subjects subject
like like
math math
and and
creative creative
writing writing
, ,
which which
you you
think think
would would
depend depend
on on
solo solo
flights flight
of of
thought thought
, ,
kids kid
are be
now now
expected expect
to to
act act
as as
committee committee
members member
. .
And and
for for
the the
kids kid
who who
prefer prefer
to to
go go
off off
by by
themselves themselves
or or
just just
to to
work work
alone alone
, ,
those those
kids kid
are be
seen see
as as
outliers outlier
often often
or or
, ,
worse bad
, ,
as as
problem problem
cases case
. .
And and
the the
vast vast
majority majority
of of
teachers teacher
reports report
believing believe
that that
the the
ideal ideal
student student
is be
an an
extrovert extrovert
as as
opposed oppose
to to
an an
introvert introvert
, ,
even even
though though
introverts introvert
actually actually
get get
better good
grades grade
and and
are be
more more
knowledgeable knowledgeable
, ,
according accord
to to
research research
. .
Okay okay
, ,
same same
thing thing
is be
true true
in in
our our
workplaces workplace
. .
Now now
, ,
most most
of of
us us
work work
in in
open open
plan plan
offices office
, ,
without without
walls wall
, ,
where where
we we
are be
subject subject
to to
the the
constant constant
noise noise
and and
gaze gaze
of of
our our
coworkers coworker
. .
And and
when when
it it
comes come
to to
leadership leadership
, ,
introverts introvert
are be
routinely routinely
passed pass
over over
for for
leadership leadership
positions position
, ,
even even
though though
introverts introvert
tend tend
to to
be be
very very
careful careful
, ,
much much
less less
likely likely
to to
take take
outsize outsize
risks risk
— -
which which
is be
something something
we we
might might
all all
favor favor
nowadays nowadays
. .
And and
interesting interesting
research research
by by
Adam adam
Grant grant
at at
the the
Wharton wharton
School school
has have
found find
that that
introverted introvert
leaders leader
often often
deliver deliver
better good
outcomes outcome
than than
extroverts extrovert
do do
, ,
because because
when when
they they
are be
managing manage
proactive proactive
employees employee
, ,
they they
' '
re re
much much
more more
likely likely
to to
let let
those those
employees employee
run run
with with
their their
ideas idea
, ,
whereas whereas
an an
extrovert extrovert
can can
, ,
quite quite
unwittingly unwittingly
, ,
get get
so so
excited excited
about about
things thing
that that
they they
' '
re re
putting put
their their
own own
stamp stamp
on on
things thing
, ,
and and
other other
people people
' '
s s
ideas idea
might might
not not
as as
easily easily
then then
bubble bubble
up up
to to
the the
surface surface
. .
Now now
in in
fact fact
, ,
some some
of of
our our
transformative transformative
leaders leader
in in
history history
have have
been be
introverts introvert
. .
I i
' '
ll ll
give give
you you
some some
examples example
. .
Eleanor eleanor
Roosevelt roosevelt
, ,
Rosa rosa
Parks parks
, ,
Gandhi gandhi
— -
all all
these these
people people
described describe
themselves themselves
as as
quiet quiet
and and
soft-spoken soft-spoken
and and
even even
shy shy
. .
And and
they they
all all
took take
the the
spotlight spotlight
, ,
even even
though though
every every
bone bone
in in
their their
bodies body
was be
telling tell
them them
not not
to to
. .
And and
this this
turns turn
out out
to to
have have
a a
special special
power power
all all
its its
own own
, ,
because because
people people
could could
feel feel
that that
these these
leaders leader
were be
at at
the the
helm helm
not not
because because
they they
enjoyed enjoy
directing direct
others other
and and
not not
out out
of of
the the
pleasure pleasure
of of
being be
looked look
at at
; ;
they they
were be
there there
because because
they they
