Nadia nadia
Drake drake
: :
Well well
, ,
I i
do do
want want
to to
ask ask
you you
about about
the the
sharpest sharp
new new
shiny shiny
space space
telescope telescope
in in
the the
shed shed
which which
happens happen
to to
be be
here here
, ,
the the
James james
Webb webb
Space space
Telescope telescope
, ,
or or
JWST jwst
. .
Heidi heidi
Hammel hammel
: :
We we
already already
knew know
back back
then then
in in
the the
late late
80s 80s
, ,
1990s 1990s
, ,
that that
the the
universe universe
was be
expanding expand
. .
And and
we we
knew know
that that
to to
see see
the the
very very
first first
galaxies galaxy
and and
maybe maybe
even even
the the
first first
stars star
that that
ever ever
formed form
in in
the the
universe universe
-- --
Because because
of of
the the
expansion expansion
of of
the the
universe universe
, ,
the the
light light
from from
those those
galaxies galaxy
is be
likewise likewise
expanded expand
, ,
and and
it it
' '
s s
shifted shift
from from
blue blue
wavelengths wavelength
to to
longer long
wavelengths wavelength
, ,
red red
wavelengths wavelength
. .
And and
so so
the the
concept concept
then then
for for
the the
next next
generation generation
space space
telescope telescope
was be
to to
build build
an an
advanced advanced
telescope telescope
that that
really really
focused focus
on on
the the
infrared infrared
part part
of of
the the
spectrum spectrum
, ,
because because
that that
' '
s s
where where
we we
could could
see see
the the
first first
stars star
and and
the the
first first
galaxies galaxy
. .
I i
knew know
that that
this this
telescope telescope
that that
was be
being be
built build
to to
find find
it it
, ,
to to
probe probe
the the
light light
from from
the the
first first
galaxies galaxy
, ,
would would
also also
be be
a a
fabulous fabulous
tool tool
to to
study study
Neptune neptune
and and
Uranus uranus
. .
I i
mean mean
, ,
I i
just just
knew know
that that
because because
I i
knew know
it it
would would
be be
big big
enough enough
. .
I i
knew know
that that
because because
it it
was be
a a
space space
telescope telescope
, ,
the the
images image
would would
be be
stable stable
and and
pristine pristine
. .
And and
I i
knew know
that that
these these
wavelengths wavelength
of of
light light
in in
the the
infrared infrared
had have
all all
sorts sort
of of
interesting interesting
molecular molecular
signatures signature
so so
that that
we we
could could
learn learn
about about
the the
upper upper
atmospheres atmosphere
of of
these these
planets planet
. .
And and
so so
I i
' '
m m
like like
, ,
" "
I i
' '
m m
in in
. .
I i
' '
ll ll
do do
this this
. .
" "
So so
in in
2002 @card@
, ,
I i
wrote write
a a
proposal proposal
saying say
I i
would would
like like
to to
be be
an an
interdisciplinary interdisciplinary
scientist scientist
for for
this this
program program
to to
ensure ensure
that that
this this
telescope telescope
will will
be be
able able
to to
do do
solar solar
system system
observations observation
when when
it it
is be
launched launch
. .
And and
in in
2003 @card@
, ,
my my
proposal proposal
was be
accepted accept
, ,
and and
that that
was be
how how
I i
formally formally
became become
involved involve
in in
this this
telescope telescope
. .
So so
Webb webb
-- --
It it
' '
s s
different different
than than
Hubble hubble
. .
It it
' '
s s
a a
different different
kind kind
of of
telescope telescope
for for
a a
number number
of of
reasons reason
. .
One one
is be
it it
' '
s s
a a
lot lot
bigger big
than than
Hubble hubble
. .
It it
' '
s s
a a
six-and-a-half-meter six-and-a-half-meter
mirror mirror
-- --
the the
golden golden
mirror mirror
, ,
the the
collecting collect
area area
-- --
versus versus
Hubble hubble
' '
s s
two two
point point
four four
. .
ND nd
: :
It it
' '
s s
so so
big big
that that
it it
couldn couldn
' '
t t
be be
launched launch
looking look
like like
that that
. .
It it
had have
to to
be be
all all
folded fold
up up
. .
HH hh
: :
That that
' '
s s
right right
. .
It it
had have
to to
be be
folded fold
up up
. .
And and
that that
' '
s s
why why
the the
mirror mirror
is be
segments segment
. .
ND nd
: :
Yeah yeah
. .
HH hh
: :
So so
that that
it it
could could
be be
folded fold
up up
. .
ND nd
: :
Like like
a a
honeycomb honeycomb
. .
HH hh
: :
Like like
a a
honeycomb honeycomb
, ,
exactly exactly
. .
ND nd
: :
But but
then then
it it
had have
to to
unfold unfold
in in
space space
. .
And and
I i
remember remember
how how
nervous nervous
people people
were be
about about
this this
process process
because because
it it
really really
was be
something something
that that
everything everything
, ,
every every
single single
step step
had have
to to
go go
right right
. .
HH hh
: :
Not not
only only
did do
the the
telescope telescope
have have
to to
fold fold
up up
, ,
but but
we we
-- --
if if
you you
look look
at at
Webb webb
, ,
it it
' '
s s
got get
this this
huge huge
contraption contraption
underneath underneath
it it
, ,
which which
we we
call call
a a
sunshield sunshield
. .
And and
that that
' '
s s
crucial crucial
for for
this this
telescope telescope
. .
ND nd
: :
How how
did do
you you
feel feel
as as
you you
were be
witnessing witness
the the
deployment deployment
sequence sequence
? ?
HH hh
: :
I i
sure sure
was be
nervous nervous
, ,
just just
like like
everybody everybody
else else
. .
There there
were be
several several
single single
point point
failures failure
where where
if if
that that
thing thing
didn didn
' '
t t
unbolt unbolt
or or
unfold unfold
, ,
we we
didn didn
' '
t t
have have
a a
working work
telescope telescope
anymore anymore
. .
So so
it it
was be
extremely extremely
nerve-racking nerve-racking
. .
But but
we we
had have
many many
years year
of of
testing test
because because
we we
knew know
that that
there there
was be
no no
fixing fix
this this
telescope telescope
. .
This this
telescope telescope
' '
s s
not not
in in
low low
earth earth
orbit orbit
like like
Hubble hubble
. .
The the
James james
Webb webb
Space space
Telescope telescope
is be
a a
million million
miles mile
away away
at at
a a
point point
called call
the the
L2 l2
Point point
, ,
and and
it it
was be
put put
out out
there there
deliberately deliberately
because because
it it
needed need
to to
be be
cold cold
. .
It it
needed need
to to
have have
the the
sunshield sunshield
to to
protect protect
the the
telescope telescope
from from
the the
warmth warmth
of of
the the
Sun sun
, ,
the the
warmth warmth
of of
the the
Earth earth
and and
even even
the the
warmth warmth
of of
our our
Moon moon
. .
So so
the the
sunshield sunshield
is be
designed design
to to
be be
like like
an an
umbrella umbrella
that that
protects protect
it it
, ,
a a
sun sun
umbrella umbrella
that that
keeps keep
that that
telescope telescope
super super
cold cold
. .
So so
we we
couldn couldn
' '
t t
put put
it it
in in
low low
earth earth
orbit orbit
because because
it it
' '
s s
just just
too too
warm warm
in in
that that
environment environment
. .
You you
can can
' '
t t
sense sense
infrared infrared
light light
when when
it it
' '
s s
hot hot
. .
You you
have have
to to
have have
it it
cold cold
. .
By by
the the
way way
, ,
that that
' '
s s
also also
why why
this this
telescope telescope
is be
completely completely
exposed expose
to to
the the
elements element
of of
space space
. .
Most most
other other
telescopes telescope
have have
tubes tube
that that
enclose enclose
them them
, ,
and and
this this
one one
doesn doesn
' '
t t
. .
The the
mirrors mirror
are be
just just
sitting sit
out out
there there
. .
ND nd
: :
They they
' '
re re
just just
out out
there there
. .
HH hh
: :
They they
' '
re re
just just
sitting sit
out out
there there
. .
ND nd
: :
So so
the the
first first
deep deep
field field
from from
JWST jwst
, ,
I i
think think
the the
analogy analogy
I i
heard hear
was be
that that
the the
image image
itself itself
covers cover
about about
the the
amount amount
of of
space space
as as
a a
grain grain
of of
rice rice
on on
a a
fingertip fingertip
held hold
at at
arm arm
' '
s s
length length
. .
Is be
that that
right right
? ?
HH hh
: :
I i
heard hear
a a
grain grain
of of
sand sand
, ,
not not
a a
grain grain
of of
rice rice
. .
But but
it it
' '
s s
the the
same same
concept concept
, ,
you you
know know
, ,
that that
-- --
yeah yeah
. .
If if
you you
-- --
the the
piece piece
of of
sky sky
you you
see see
in in
that that
picture picture
, ,
if if
you you
were be
like like
standing stand
in in
your your
backyard backyard
and and
looking look
up up
in in
the the
sky sky
, ,
that that
piece piece
of of
sky sky
is be
about about
the the
same same
size size
as as
a a
tiny tiny
grain grain
of of
sand sand
. .
If if
you you
moved move
your your
grain grain
of of
sand sand
over over
to to
the the
left left
, ,
you you
would would
see see
more more
galaxies galaxy
, ,
and and
over over
to to
the the
left left
again again
, ,
more more
galaxies galaxy
. .
And and
anywhere anywhere
you you
looked look
in in
the the
sky sky
, ,
it it
is be
filled fill
with with
galaxies galaxy
. .
ND nd
: :
Just just
thousands thousand
and and
thousands thousand
in in
that that
one one
image image
alone alone
. .
HH hh
: :
Exactly exactly
. .
What what
I i
' '
m m
waiting wait
for for
is be
the the
James james
Webb webb
Space space
Telescope telescope
Deep deep
Field field
, ,
where where
we we
stare stare
for for
days day
at at
a a
dark dark
spot spot
that that
we we
don don
' '
t t
know know
where where
anything anything
is be
. .
What what
are be
we we
going go
to to
see see
? ?
And and
then then
, ,
think think
about about
that that
, ,
going go
to to
be be
all all
over over
the the
whole whole
sky sky
. .
Our our
universe universe
is be
going go
to to
mentally mentally
expand expand
at at
that that
moment moment
when when
we we
get get
that that
deep deep
field field
from from
James james
Webb webb
Space space
Telescope telescope
. .
It it
' '
s s
going go
to to
be be
mind-blowing mind-blowing
. .
ND nd
: :
I i
just just
think think
about about
it it
. .
Peering peer
so so
far far
back back
in in
time time
to to
the the
beginning beginning
of of
the the
primordial primordial
cosmic cosmic
murk murk
. .
