Like like
many many
people people
who who
have have
been be
fortunate fortunate
enough enough
to to
be be
more more
or or
less less
healthy healthy
, ,
I i
spent spend
most most
of of
my my
life life
never never
thinking think
much much
about about
my my
body body
. .
Something something
that that
I i
relied rely
on on
to to
get get
me me
around around
, ,
not not
to to
mind mind
the the
occasional occasional
bash bash
and and
not not
to to
complain complain
too too
much much
if if
I i
wasn wasn
' '
t t
getting get
enough enough
rest rest
. .
But but
that that
all all
changed change
for for
me me
when when
I i
became become
pregnant pregnant
. .
Suddenly suddenly
, ,
my my
body body
was be
this this
machine machine
performing perform
an an
incredible incredible
task task
. .
That that
was be
something something
that that
I i
had have
to to
take take
notice notice
of of
and and
look look
after after
, ,
so so
that that
it it
could could
do do
its its
job job
. .
I i
' '
ve ve
been be
a a
documentary documentary
photographer photographer
for for
nearly nearly
20 @card@
years year
now now
but but
I i
never never
turned turn
the the
camera camera
on on
myself myself
until until
that that
time time
. .
And and
then then
suddenly suddenly
, ,
I i
found find
myself myself
fascinated fascinate
by by
how how
we we
feel feel
about about
our our
bodies body
and and
how how
we we
express express
strength strength
or or
fear fear
, ,
courage courage
or or
shyness shyness
in in
the the
way way
we we
carry carry
ourselves ourselves
. .
I i
spent spend
several several
years year
making make
work work
that that
examined examine
the the
relationship relationship
that that
we we
have have
to to
our our
bodies body
as as
humans human
. .
More more
recently recently
, ,
though though
, ,
I i
' '
ve ve
been be
exploring explore
a a
new new
frontier frontier
in in
the the
human human
body body
. .
A a
transformation transformation
of of
bodies body
with with
technology technology
. .
As as
humans human
evolve evolve
along along
with with
technology technology
, ,
and and
the the
lines line
between between
the the
two two
become become
increasingly increasingly
blurred blur
, ,
I i
set set
out out
to to
document document
our our
evolution evolution
into into
a a
new new
kind kind
of of
human human
and and
to to
play play
with with
that that
age-old age-old
question question
: :
Can can
we we
ever ever
see see
a a
real real
humanness humanness
in in
machines machine
? ?
Sight sight
is be
perhaps perhaps
the the
most most
personal personal
and and
intimate intimate
of of
our our
senses sense
. .
Classically classically
called call
the the
window window
to to
the the
soul soul
. .
We we
connect connect
with with
each each
other other
, ,
recognize recognize
each each
other other
and and
communicate communicate
with with
each each
other other
through through
our our
eyes eye
. .
If if
we we
lose lose
an an
eye eye
, ,
we we
might might
wear wear
a a
dummy dummy
replacement replacement
so so
that that
our our
face face
resembles resemble
what what
it it
did do
before before
. .
Filmmaker filmmaker
Rob rob
Spence spence
took take
that that
a a
step step
further further
when when
he he
installed install
a a
video video
camera camera
in in
his his
replacement replacement
eye eye
so so
that that
he he
could could
record record
his his
vision vision
. .
Rob rob
is be
part part
of of
a a
known know
network network
of of
cyborgs cyborgs
and and
he he
told tell
me me
that that
he he
found find
it it
curious curious
when when
he he
started start
to to
receive receive
hate hate
mail mail
from from
people people
who who
felt feel
threatened threaten
by by
him him
having have
this this
extra extra
ability ability
. .
Was be
his his
right right
to to
change change
his his
body body
less less
important important
than than
their their
right right
to to
their their
privacy privacy
? ?
So so
as as
I i
photographed photograph
Rob rob
, ,
he he
filmed film
me me
using use
the the
camera camera
in in
his his
eye eye
, ,
and and
we we
recorded record
it it
on on
a a
special special
receiver receiver
. .
But but
perhaps perhaps
in in
response response
to to
the the
speed speed
with with
which which
we we
all all
move move
and and
make make
images image
these these
days day
I i
wanted want
to to
make make
this this
work work
in in
a a
way way
that that
was be
slow slow
and and
purposeful purposeful
. .
Most most
of of
these these
images image
are be
shot shoot
on on
a a
large-format large-format
camera camera
. .
These these
are be
big big
and and
cumbersome cumbersome
, ,
taking take
only only
one one
frame frame
at at
a a
time time
before before
you you
have have
to to
change change
the the
film film
. .
To to
check check
the the
focus focus
, ,
you you
have have
to to
put put
your your
head head
under under
a a
black black
cloth cloth
and and
use use
a a
magnifying magnifying
glass glass
. .
So so
as as
I i
photographed photograph
Rob rob
using use
this this
very very
old old
technology technology
, ,
he he
filmed film
me me
using use
the the
camera camera
in in
his his
eye eye
, ,
somewhat somewhat
the the
opposite opposite
end end
of of
the the
technology technology
spectrum spectrum
. .
But but
I i
wanted want
to to
delve delve
deeper deep
and and
explore explore
more more
of of
what what
it it
could could
mean mean
to to
lose lose
a a
part part
of of
ourselves ourselves
and and
replace replace
it it
with with
technology technology
. .
At at
MIT mit
