Nili nili
Gilbert gilbert
: :
The the
reality reality
is be
that that
while while
financial financial
capital capital
has have
been be
moving move
towards towards
addressing address
the the
climate climate
transition transition
, ,
it it
' '
s s
not not
moving move
fast fast
enough enough
, ,
and and
it it
' '
s s
not not
moving move
at at
the the
scale scale
that that
we we
need need
. .
So so
it it
' '
s s
really really
great great
to to
be be
here here
with with
you you
today today
to to
talk talk
about about
why why
we we
think think
that that
' '
s s
happening happening
, ,
what what
we we
think think
some some
of of
the the
challenges challenge
are be
and and
how how
to to
address address
it it
. .
So so
what what
are be
you you
seeing see
? ?
David david
Blood blood
: :
Well well
, ,
maybe maybe
we we
' '
ll ll
start start
with with
a a
little little
bit bit
of of
background background
. .
The the
United united
Nations nations
estimates estimate
that that
we we
will will
need need
something something
in in
the the
order order
of of
three three
to to
four four
trillion trillion
dollars dollar
per per
year year
to to
globally globally
decarbonize decarbonize
our our
economy economy
through through
2050 @card@
. .
This this
shift shift
-- --
and and
I i
know know
you you
' '
ve ve
talked talk
about about
this this
as as
well well
-- --
will will
be be
the the
most most
significant significant
shift shift
in in
economic economic
history history
. .
We we
think think
it it
will will
be be
more more
extensive extensive
than than
the the
industrial industrial
revolution revolution
and and
probably probably
faster faster
than than
the the
digital digital
revolution revolution
. .
And and
the the
good good
news news
is be
we we
are be
seeing see
funds fund
flowing flow
to to
climate climate
solutions solution
. .
The the
different different
news news
is be
that that
, ,
as as
you you
said say
, ,
it it
' '
s s
not not
nearly nearly
enough enough
. .
It it
' '
s s
not not
going go
to to
the the
hard-to-abate hard-to-abate
sectors sector
. .
And and
importantly importantly
, ,
it it
is be
not not
going go
to to
the the
Global global
South south
. .
In in
fact fact
, ,
we we
think think
that that
we we
will will
likely likely
miss miss
every every
single single
one one
of of
the the
17 @card@
Sustainable sustainable
Development development
Goals goal
. .
We we
' '
ve ve
been be
at at
this this
problem problem
for for
almost almost
20 @card@
years year
, ,
and and
we we
' '
ve ve
seen see
enormous enormous
incremental incremental
change change
. .
But but
we we
need need
now now
transformational transformational
change change
in in
our our
economies economy
, ,
in in
our our
businesses business
and and
our our
financial financial
institutions institution
. .
NG ng
: :
Why why
has have
this this
been be
so so
hard hard
? ?
DB db
: :
Well well
, ,
it it
' '
s s
a a
good good
question question
, ,
and and
it it
' '
s s
complicated complicate
for for
one one
thing thing
. .
But but
I i
think think
there there
' '
s s
probably probably
four four
fundamental fundamental
points point
. .
The the
first first
is be
the the
finance finance
sector sector
is be
critical critical
, ,
but but
it it
does do
rely rely
on on
businesses business
and and
entrepreneurs entrepreneur
to to
lead lead
the the
way way
. .
We we
are be
financing finance
their their
ideas idea
and and
their their
businesses business
. .
Secondly secondly
, ,
we we
do do
need need
change change
in in
public public
policy policy
and and
change change
in in
regulation regulation
. .
Thirdly thirdly
, ,
with with
the the
investment investment
community community
, ,
we we
don don
' '
t t
yet yet
have have
the the
tools tool
to to
truly truly
evaluate evaluate
whether whether
a a
company company
or or
an an
industry industry
is be
decarbonizing decarbonize
. .
We we
' '
re re
making make
progress progress
, ,
but but
there there
' '
s s
still still
work work
that that
we we
need need
to to
do do
. .
And and
lastly lastly
, ,
we we
need need
to to
fundamentally fundamentally
change change
the the
way way
people people
think think
about about
capital capital
allocation allocation
. .
And and
by by
that that
, ,
we we
mean mean
we we
need need
to to
create create
the the
capabilities capability
for for
investors investor
to to
understand understand
the the
impact impact
of of
their their
investments investment
within within
a a
traditional traditional
risk risk
and and
return return
framework framework
. .
NG ng
: :
All all
of of
this this
sounds sound
really really
challenging challenge
. .
Is be
there there
any any
good good
news news
? ?
DB db
: :
There there
is be
. .
And and
we we
' '
re re
both both
optimists optimist
. .
NG ng
: :
That that
' '
s s
right right
. .
DB db
: :
That that
' '
s s
a a
good good
thing thing
. .
A a
good good
place place
to to
be be
. .
First first
of of
all all
, ,
there there
' '
s s
no no
question question
there there
' '
s s
enough enough
capital capital
. .
There there
' '
s s
something something
in in
the the
order order
of of
150 @card@
trillion trillion
dollars dollar
of of
institutions institution
who who
' '
ve ve
committed commit
to to
net net
zero zero
. .
Now now
, ,
we we
know know
that that
that that
' '
s s
an an
overstatement overstatement
, ,
but but
the the
point point
is be
150 @card@
trillion trillion
, ,
100 @card@
trillion trillion
, ,
that that
' '
s s
a a
lot lot
of of
money money
. .
We we
have have
the the
money money
to to
make make
the the
transition transition
. .
Secondly secondly
, ,
there there
are be
no no
legal legal
barriers barrier
-- --
we we
' '
ll ll
come come
back back
to to
this this
in in
a a
little little
bit bit
-- --
for for
investors investor
to to
allocate allocate
capital capital
to to
sustainable sustainable
solutions solution
. .
Thirdly thirdly
-- --
and and
we we
' '
re re
seeing see
it it
yesterday yesterday
, ,
we we
' '
re re
seeing see
it it
today today
-- --
there there
are be
amazing amazing
entrepreneurs entrepreneur
, ,
amazing amazing
business business
people people
, ,
and and
the the
technology technology
cost cost
downcurves downcurve
are be
happening happen
even even
as as
we we
speak speak
. .
And and
as as
Al al
[ [
Gore gore
] ]
mentioned mention
yesterday yesterday
, ,
public public
policy policy
is be
also also
on on
the the
move move
. .
We we
have have
seen see
the the
Inflation inflation
Reduction reduction
Act act
. .
It it
is be
the the
most most
significant significant
climate climate
legislation legislation
in in
the the
United united
States states
and and
indeed indeed
probably probably
the the
world world
. .
And and
the the
Europeans europeans
are be
responding respond
aggressively aggressively
to to
decarbonize decarbonize
their their
economy economy
because because
of of
the the
tragic tragic
war war
in in
Ukraine ukraine
. .
And and
lastly lastly
, ,
as as
we we
both both
know know
, ,
finance finance
can can
change change
. .
When when
my my
dad dad
was be
a a
portfolio portfolio
manager manager
at at
Ford ford
Motor motor
Company company
in in
the the
late late
60s 60s
, ,
early early
70s 70s
, ,
the the
way way
he he
made make
investments investment
was be
based base
upon upon
limiting limit
risk risk
. .
That that
was be
their their
job job
. .
But but
then then
as as
time time
went go
on on
, ,
people people
began begin
to to
realize realize
that that
if if
you you
could could
be be
paid pay
for for
risk risk
, ,
perhaps perhaps
that that
would would
be be
a a
better good
way way
to to
deploy deploy
capital capital
. .
And and
so so
whole whole
industries industry
developed develop
, ,
like like
the the
venture venture
capital capital
industry industry
, ,
like like
the the
growth growth
equity equity
industry industry
and and
, ,
of of
course course
, ,
the the
high-yield high-yield
marketplace marketplace
. .
So so
finance finance
can can
change change
, ,
and and
that that
' '
s s
going go
to to
be be
a a
very very
important important
part part
of of
the the
of of
the the
solution solution
. .
Now now
we we
' '
ve ve
been be
talking talk
about about
sort sort
of of
the the
macro macro
picture picture
. .
You you
' '
re re
working work
on on
the the
ground ground
. .
What what
are be
you you
seeing see
? ?
NG ng
: :
Well well
, ,
you you
know know
, ,
one one
of of
the the
reasons reason
that that
I i
think think
that that
the the
finance finance
pathway pathway
towards towards
net net
zero zero
is be
so so
challenging challenge
is be
because because
it it
touches touch
every every
other other
pathway pathway
, ,
because because
finance finance
encompasses encompass
the the
whole whole
global global
economy economy
. .
And and
so so
the the
finance finance
transition transition
means mean
supporting support
the the
transitions transition
of of
individual individual
sectors sector
of of
every every
country country
and and
always always
paying pay
attention attention
to to
the the
needs need
of of
individual individual
communities community
as as
we we
get get
this this
done do
. .
But but
while while
we we
' '
re re
doing do
and and
supporting support
this this
work work
on on
the the
ground ground
, ,
our our
pathway pathway
still still
has have
to to
add add
back back
up up
to to
a a
Paris-aligned paris-aligned
pathway pathway
at at
the the
end end
of of
the the
day day
. .
And and
so so
bringing bring
together together
this this
top-down top-down
and and
bottom-up bottom-up
effort effort
is be
extremely extremely
challenging challenge
. .
But but
I i
think think
that that
the the
energy energy
sector sector
itself itself
, ,
which which
as as
you you
know know
, ,
is be
in in
many many
ways way
the the
other other
key key
sector sector
for for
driving drive
the the
transition transition
, ,
provides provide
a a
really really
good good
example example
of of
this this
framework framework
in in
practice practice
. .
So so
the the
International international
Energy energy
Agency agency
, ,
the the
IEA iea
, ,
has have
told tell
us us
that that
, ,
as as
of of
last last
year year
, ,
finance finance
for for
clean clean
energy energy
is be
actually actually
equal equal
with with
finance finance
for for
fossil fossil
fuels fuel
, ,
which which
sounds sound
like like
good good
news news
, ,
right right
? ?
But but
the the
challenge challenge
is be
that that
by by
2030 @card@
, ,
we we
actually actually
need need
finance finance
for for
clean clean
energy energy
to to
reach reach
four four
times time
what what
' '
s s
going go
into into
traditional traditional
fossil fossil
fuels fuel
. .
So so
we we
need need
massive massive
scale scale
, ,
massive massive
change change
in in
a a
short short
amount amount
of of
time time
, ,
and and
we we
need need
even even
more more
than than
that that
to to
go go
into into
financing financing
transitions transition
for for
individual individual
sectors sector
on on
the the
ground ground
, ,
for for
breaking break
down down
the the
demand demand
for for
fossil fossil
fuels fuel
as as
a a
way way
ultimately ultimately
to to
break break
down down
the the
supply supply
. .
So so
when when
you you
think think
about about
these these
three three
buckets bucket
, ,
limiting limit
finance finance
for for
fossil fossil
fuels fuel
, ,
scaling scale
up up
finance finance
for for
clean clean
energy energy
and and
then then
investing invest
to to
end end
the the
demand demand
for for
fossil fossil
fuels fuel
, ,
I i
actually actually
think think
that that
one one
of of
the the
greatest great
untapped untapped
-- --
it it
' '
s s
being be
tapped tap
, ,
but but
one one
of of
the the
greatest great
forward-looking forward-looking
opportunities opportunity
is be
actually actually
in in
that that
third third
bucket bucket
, ,
where where
we we
break break
down down
the the
demand demand
. .
And and
when when
we we
think think
about about
that that
bucket bucket
, ,
one one
of of
the the
places place
where where
we we
need need
to to
act act
much much
more more
quickly quickly
is be
in in
focusing focus
on on
hard-to-abate hard-to-abate
sectors sector
. .
These these
are be
the the
most most
energy-intensive energy-intensive
sectors sector
that that
won win
' '
t t
be be
able able
to to
run run
on on
solar solar
and and
wind wind
. .
Things thing
like like
cement cement
, ,
steel steel
, ,
aviation aviation
, ,
shipping shipping
, ,
which which
actually actually
make make
up up
almost almost
a a
third third
of of
global global
emissions emission
in in
total total
. .
So so
we we
really really
need need
to to
work work
to to
address address
these these
. .
But but
the the
good good
news news
is be
that that
we we
actually actually
have have
a a
lot lot
of of
the the
solutions solution
to to
be be
able able
to to
get get
these these
sectors sector
to to
their their
goals goal
. .
And and
thanks thanks
to to
policy policy
, ,
thanks thanks
to to
rising rise
demand demand
for for
these these
solutions solution
, ,
bringing bring
down down
their their
costs cost
, ,
and and
thanks thanks
to to
technological technological
improvements improvement
, ,
we we
now now
see see
that that
the the
cost cost
for for
the the
clean clean
solutions solution
is be
approaching approach
, ,
or or
in in
some some
cases case
is be
even even
lower low
than than
, ,
the the
costs cost
for for
the the
high-emitting high-emitting
alternatives alternative
. .
So so
what what
finance finance
needs need
to to
do do
is be
partner partner
with with
science science
, ,
continue continue
to to
engage engage
with with
policy policy
and and
work work
with with
engineers engineer
to to
be be
able able
to to
bring bring
these these
solutions solution
online online
at at
scale scale
. .
DB db
: :
Well well
, ,
we we
agree agree
with with
you you
about about
the the
hard-to-abate hard-to-abate
sectors sector
. .
Do do
you you
have have
any any
favorite favorite
ones one
to to
talk talk
about about
? ?
NG ng
: :
Well well
, ,
I i
can can
' '
t t
play play
favorites favorite
. .
DB db
: :
But but
if if
you you
were be
. .
. .
. .
NG ng
: :
But but
one one
sector sector
that that
I i
' '
m m
really really
excited excite
about about
right right
now now
is be
aviation aviation
, ,
because because
sustainable sustainable
aviation aviation
looks look
ready ready
to to
scale scale
. .
One one
of of
the the
things thing
that that
we we
' '
re re
seeing see
is be
that that
there there
' '
s s
a a
rising rise
amount amount
of of
corporate corporate
demand demand
to to
buy buy
sustainable sustainable
aviation aviation
fuel fuel
, ,
which which
is be
the the
key key
unlock unlock
for for
decarbonizing decarbonize
this this
sector sector
. .
But but
what what
we we
' '
re re
also also
seeing see
is be
that that
the the
supply supply
of of
sustainable sustainable
aviation aviation
fuel fuel
is be
not not
nearly nearly
enough enough
to to
meet meet
that that
demand demand
or or
to to
meet meet
the the
goals goal
for for
the the
sector sector
, ,
even even
for for
2030 @card@
. .
Forget forget
about about
2040 @card@
or or
2050 @card@
. .
And and
so so
what what
we we
need need
to to
do do
to to
make make
a a
difference difference
here here
is be
focus focus
on on
