Hello hello
, ,
darlings darling
. .
Now now
we we
' '
re re
going go
to to
do do
a a
new new
format format
here here
, ,
which which
is be
" "
On on
the the
Spot spot
, ,
" "
I i
' '
m m
told tell
, ,
it it
' '
s s
" "
On on
the the
Spot spot
. .
" "
And and
I i
will will
be be
answering answer
a a
series series
of of
questions question
. .
So so
we we
' '
ll ll
see see
how how
this this
goes go
, ,
alright alright
? ?
Let let
' '
s s
start start
with with
our our
first first
question question
. .
And and
again again
, ,
I i
have have
10 @card@
minutes minute
. .
So so
we we
' '
ll ll
see see
, ,
I i
bet bet
I i
can can
do do
it it
faster fast
than than
10 @card@
minutes minute
. .
Define define
bravery bravery
. .
Define define
bravery bravery
. .
I i
think think
bravery bravery
is be
the the
ability ability
to to
follow follow
your your
bliss bliss
and and
make make
no no
excuses excuse
for for
that that
, ,
alright alright
? ?
Define define
brilliance brilliance
. .
I i
think think
allowing allow
yourself yourself
to to
be be
a a
vessel vessel
, ,
a a
channel channel
, ,
so so
that that
the the
source source
can can
work work
through through
you you
, ,
and and
you you
align align
yourself yourself
with with
that that
source source
. .
I i
think think
that that
' '
s s
brilliance brilliance
. .
What what
' '
s s
the the
power power
of of
drag drag
? ?
Now now
the the
power power
of of
drag drag
, ,
it it
' '
s s
like like
the the
Superman superman
suit suit
to to
Clark clark
Kent kent
. .
It it
allows allow
you you
to to
expand expand
your your
idea idea
of of
who who
you you
are be
, ,
of of
what what
you you
are be
. .
And and
it it
' '
s s
a a
very very
simple simple
trick trick
, ,
and and
it it
works work
. .
I i
recommend recommend
everybody everybody
try try
it it
, ,
tonight tonight
. .
What what
' '
s s
the the
best good
way way
to to
slay slay
? ?
Know know
thyself thyself
, ,
be be
thyself thyself
. .
You you
are be
the the
best good
version version
of of
you you
, ,
so so
you you
can can
slay slay
that that
way way
. .
I i
get get
a a
round round
of of
applause applause
for for
that that
. .
Thank thank
you you
, ,
over over
here here
. .
What what
' '
s s
the the
first first
thing thing
you you
notice notice
about about
someone someone
? ?
I i
notice notice
their their
aura aura
. .
I i
can can
see see
, ,
I i
can can
sense sense
what what
they they
' '
re re
about about
, ,
what what
they they
want want
. .
You you
know know
, ,
for for
years year
, ,
I i
learned learn
how how
to to
sort sort
of of
shape-shift shape-shift
myself myself
into into
what what
I i
felt feel
someone someone
needed need
from from
me me
. .
Listen listen
, ,
not not
the the
greatest great
thing thing
in in
the the
world world
to to
do do
, ,
because because
you you
leave leave
a a
little little
bit bit
of of
yourself yourself
behind behind
. .
But but
it it
sure sure
did do
teach teach
me me
a a
lot lot
about about
reading read
someone someone
' '
s s
character character
, ,
you you
know know
, ,
and and
my my
own own
character character
. .
Alright alright
. .
What what
trait trait
do do
you you
most most
value value
? ?
A a
sense sense
of of
humor humor
, ,
people people
. .
A a
sense sense
of of
humor humor
. .
My my
favorite favorite
thing thing
to to
do do
in in
the the
world world
is be
to to
laugh laugh
. .
My my
favorite favorite
thing thing
in in
the the
world world
to to
do do
is be
to to
laugh laugh
. .
And and
I i
' '
ve ve
done do
a a
lot lot
of of
things thing
. .
But but
if if
you you
have have
a a
sense sense
of of
humor humor
. .
Yeah yeah
, ,
because because
I i
think think
if if
you you
have have
a a
sense sense
of of
humor humor
, ,
you you
get get
it it
. .
This this
is be
all all
an an
illusion illusion
, ,
OK ok
? ?
Don don
' '
t t
take take
any any
of of
it it
too too
seriously seriously
, ,
alright alright
? ?
What what
' '
s s
the the
wisest wise
way way
to to
be be
an an
adult adult
? ?
Well well
, ,
to to
be be
an an
adult adult
, ,
you you
have have
to to
be be
able able
to to
keep keep
your your
mouth mouth
closed close
. .
Because because
there there
' '
s s
a a
lot lot
of of
things thing
you you
want want
to to
say say
in in
situations situation
, ,
but but
an an
adult adult
knows know
better well
. .
You you
know know
, ,
it it
' '
s s
true true
. .
It it
' '
s s
true true
. .
You you
can can
' '
t t
say say
everything everything
to to
everybody everybody
. .
You you
really really
, ,
just just
, ,
you you
can can
' '
t t
. .
I i
wish wish
we we
could could
. .
I i
wish wish
we we
could could
, ,
but but
we we
can can
' '
t t
. .
If if
there there
' '
s s
one one
thing thing
you you
want want
AI ai
to to
keep keep
in in
mind mind
, ,
what what
is be
it it
? ?
I i
don don
' '
t t
like like
that that
question question
. .
Which which
of of
your your
dreams dream
have have
not not
yet yet
come come
true true
? ?
I i
would would
love love
to to
be be
able able
to to
put put
together together
a a
retail retail
storyline storyline
that that
is be
just just
as as
magnificent magnificent
as as
Patagonia patagonia
and and
Esprit esprit
and and
all all
the the
things thing
they they
' '
ve ve
done do
. .
I i
' '
d d
love love
to to
do do
that that
. .
Maybe maybe
there there
' '
s s
time time
. .
Yeah yeah
, ,
oh oh
, ,
hi hi
. .
What what
' '
s s
the the
best good
way way
to to
say say
goodbye goodbye
? ?
I i
really really
don don
' '
t t
like like
saying say
goodbye goodbye
. .
I i
never never
have have
. .
But but
I i
' '
ve ve
learned learn
to to
be be
in in
the the
moment moment
and and
to to
actually actually
acknowledge acknowledge
someone someone
and and
the the
time time
that that
we we
spent spend
together together
. .
I i
' '
ve ve
learned learn
how how
to to
to to
sit sit
in in
that that
. .
I i
think think
I i
was be
always always
too too
sensitive sensitive
, ,
so so
I i
never never
liked like
to to
say say
goodbye goodbye
. .
So so
the the
best good
way way
to to
say say
goodbye goodbye
is be
to to
do do
it it
deliberately deliberately
and and
to to
acknowledge acknowledge
that that
, ,
you you
know know
, ,
this this
could could
be be
the the
last last
time time
I i
ever ever
see see
you you
. .
So so
, ,
you you
