Usually usually
I i
like like
working work
in in
my my
shop shop
, ,
but but
when when
it it
' '
s s
raining rain
and and
the the
driveway driveway
outside outside
turns turn
into into
a a
river river
, ,
then then
I i
just just
love love
it it
. .
And and
I i
' '
ll ll
cut cut
some some
wood wood
and and
drill drill
some some
holes hole
and and
watch watch
the the
water water
, ,
and and
maybe maybe
I i
' '
ll ll
have have
to to
walk walk
around around
and and
look look
for for
washers washer
. .
You you
have have
no no
idea idea
how how
much much
time time
I i
spend spend
. .
This this
is be
the the
" "
Double double
Raindrop raindrop
. .
" "
Of of
all all
my my
sculptures sculpture
, ,
it it
' '
s s
the the
most most
talkative talkative
. .
It it
adds add
together together
the the
interference interference
pattern pattern
from from
two two
raindrops raindrop
that that
land land
near near
each each
other other
. .
Instead instead
of of
expanding expand
circles circle
, ,
they they
' '
re re
expanding expand
hexagons hexagon
. .
All all
the the
sculptures sculpture
move move
by by
mechanical mechanical
means mean
. .
Do do
you you
see see
how how
there there
' '
s s
three three
peaks peak
to to
the the
yellow yellow
sine sine
wave wave
? ?
Right right
here here
I i
' '
m m
adding add
a a
sine sine
wave wave
with with
four four
peaks peak
and and
turning turn
it it
on on
. .
Eight eight
hundred hundred
two-liter two-liter
soda soda
bottles bottle
— -
oh oh
yea yea
. .
Four four
hundred hundred
aluminum aluminum
cans can
. .
Tule tule
is be
a a
reed reed
that that
' '
s s
native native
to to
California california
, ,
and and
the the
best good
thing thing
about about
working work
with with
it it
is be
that that
it it
smells smell
just just
delicious delicious
. .
A a
single single
drop drop
of of
rain rain
increasing increase
amplitude amplitude
. .
The the
spiral spiral
eddy eddy
that that
trails trail
a a
paddle paddle
on on
a a
rafting raft
trip trip
. .
This this
adds add
together together
four four
different different
waves wave
. .
And and
here here
I i
' '
m m
going go
to to
pull pull
out out
the the
double double
wavelengths wavelength
and and
increase increase
the the
single single
. .
The the
mechanism mechanism
that that
drives drive
it it
has have
nine nine
motors motor
and and
about about
3 @card@
, ,
000 @card@
pulleys pulley
. .
Four four
hundred hundred
and and
forty-five forty-five
strings string
in in
a a
three-dimensional three-dimensional
weave weave
. .
Transferred transfer
to to
a a
larger large
scale scale
— -
actually actually
a a
lot lot
larger large
, ,
with with
a a
lot lot
of of
help help
— -
14 @card@
, ,
064 @card@
bicycle bicycle
reflectors reflector
— -
a a
20-day 20-day
install install
. .
" "
Connected connect
" "
is be
a a
collaboration collaboration
with with
choreographer choreographer
Gideon gideon
Obarzanek obarzanek
. .
Strings string
attached attach
to to
dancers dancer
. .
This this
is be
very very
early early
rehearsal rehearsal
footage footage
, ,
but but
the the
finished finished
work work
' '
s s
on on
tour tour
and and
is be
actually actually
coming come
through through
L l
. .
A a
. .
in in
a a
couple couple
weeks week
. .
A a
pair pair
of of
helices helix
and and
40 @card@
wooden wooden
slats slat
. .
Take take
your your
finger finger
and and
draw draw
this this
line line
. .
Summer summer
, ,
fall fall
, ,
winter winter
, ,
spring spring
, ,
noon noon
, ,
dusk dusk
, ,
dark dark
, ,
dawn dawn
. .
Have have
you you
ever ever
seen see
those those
stratus stratus
clouds cloud
that that
go go
in in
parallel parallel
stripes stripe
across across
the the
sky sky
? ?
Did do
you you
know know
that that
' '
s s
a a
continuous continuous
sheet sheet
of of
cloud cloud
that that
' '
s s
dipping dip
in in
and and
out out
of of
the the
condensation condensation
layer layer
? ?
What what
if if
every every
seemingly seemingly
isolated isolate
object object
was be
actually actually
just just
where where
the the
continuous continuous
wave wave
of of
that that
object object
poked poke
through through
into into
our our
world world
? ?
The the
Earth earth
is be
neither neither
flat flat
nor nor
round round
. .
It it
' '
s s
wavy wavy
. .
It it
sounds sound
good good
, ,
but but
I i
' '
ll ll
bet bet
you you
know know
in in
your your
gut gut
that that
it it
' '
s s
not not
the the
whole whole
truth truth
, ,
and and
I i
' '
ll ll
tell tell
you you
why why
. .
I i
have have
a a
two-year-old two-year-old
daughter daughter
who who
' '
s s
the the
best good
thing thing
ever ever
. .
And and
I i
' '
m m
just just
going go
to to
come come
out out
and and
say say
it it
: :
My my
daughter daughter
is be
not not
a a
wave wave
. .
And and
