Everybody everybody
has have
that that
one one
friend friend
â â
you you
know know
, ,
the the
single-minded single-minded
one one
, ,
the the
one one
who who
, ,
no no
matter matter
what what
the the
question question
is be
, ,
always always
finds find
a a
way way
to to
make make
the the
answer answer
whatever whatever
it it
is be
she she
' '
s s
single-minded single-minded
about about
. .
I i
' '
m m
that that
friend friend
. .
And and
the the
thing thing
that that
I i
' '
m m
single-minded single-minded
about about
is be
racism racism
. .
If if
someone someone
were be
to to
ask ask
me me
, ,
" "
So so
, ,
Janet janet
, ,
got get
any any
plans plan
for for
the the
4th 4th
of of
July july
? ?
" "
I i
' '
m m
subject subject
to to
answer answer
, ,
" "
Yeah yeah
, ,
I i
' '
m m
going go
to to
binge-watch binge-watch
' '
Roots roots
. .
' '
" "
Or or
if if
they they
said say
, ,
" "
Janet janet
, ,
I i
' '
ve ve
got get
a a
joke joke
for for
you you
: :
Why why
' '
d d
the the
chicken chicken
cross cross
the the
road road
? ?
" "
" "
Uh uh
, ,
was be
it it
a a
black black
chicken chicken
? ?
Probably probably
gentrification gentrification
. .
" "
But but
for for
me me
, ,
single-mindedness single-mindedness
is be
not not
just just
caring caring
about about
something something
. .
It it
' '
s s
caring caring
about about
something something
enough enough
to to
do do
something something
about about
it it
. .
It it
' '
s s
not not
just just
thinking think
, ,
it it
' '
s s
doing do
. .
It it
' '
s s
not not
just just
praying pray
, ,
it it
is be
moving move
your your
feet foot
. .
And and
the the
reason reason
I i
' '
m m
single-minded single-minded
about about
racism racism
is be
because because
I i
know know
single-mindedness single-mindedness
can can
destroy destroy
it it
. .
I i
learned learn
that that
many many
, ,
many many
years year
ago ago
. .
Back back
in in
1984 @card@
, ,
I i
was be
a a
junior junior
at at
Davidson davidson
College college
in in
Davidson davidson
, ,
North north
Carolina carolina
. .
Now now
, ,
Davidson davidson
is be
a a
little-bitty little-bitty
town town
, ,
Southern southern
town town
, ,
split split
by by
railroad railroad
tracks track
, ,
with with
white white
Davidson davidson
on on
one one
side side
, ,
black black
Davidson davidson
on on
the the
other other
side side
, ,
and and
, ,
as as
black black
students student
lived live
on on
the the
white white
side side
of of
the the
tracks track
, ,
we we
got get
used use
to to
being be
stopped stop
in in
downtown downtown
and and
asked ask
for for
ID id
, ,
until until
the the
police police
memorized memorize
our our
faces face
. .
But but
fortunately fortunately
, ,
that that
didn didn
' '
t t
take take
too too
long long
, ,
because because
out out
of of
1 @card@
, ,
200 @card@
students student
, ,
only only
52 @card@
of of
us us
were be
black black
. .
There there
was be
one one
black black
professor professor
and and
one one
black black
assistant assistant
dean dean
. .
Things thing
weren weren
' '
t t
a a
lot lot
better well
on on
campus campus
. .
Well well
, ,
I i
wasn wasn
' '
t t
OK ok
with with
this this
. .
And and
so so
, ,
I i
started start
writing write
things thing
. .
And and
then then
I i
started start
yelling yell
things thing
. .
And and
after after
about about
three three
years year
of of
that that
, ,
I i
got get
tired tired
. .
So so
I i
decided decide
to to
write write
one one
more more
thing thing
; ;
I i
wrote write
something something
called call
" "
Project project
' '
87 @card@
. .
" "
Project project
' '
87 @card@
was be
really really
just just
a a
challenge challenge
to to
Davidson davidson
: :
in in
three three
years year
, ,
by by
1987 @card@
, ,
enroll enroll
100 @card@
black black
students student
, ,
hire hire
10 @card@
black black
professors professor
, ,
create create
five five
Black black
Studies studies
classes class
and and
hire hire
one one
black black
dean dean
. .
It it
didn didn
' '
t t
seem seem
particularly particularly
revolutionary revolutionary
, ,
but but
what what
was be
different different
about about
it it
was be
, ,
we we
also also
challenged challenge
Davidson davidson
to to
say say
that that
if if
you you
don don
' '
t t
do do
this this
, ,
we we
will will
question question
your your
commitment commitment
to to
diversity diversity
. .
It it
was be
a a
real real
problem problem
. .
We we
put put
some some
real real
numbers number
to to
it it
. .
We we
gave give
them them
some some
real real
consequences consequence
. .
Well well
, ,
the the
campus campus
went go
absolutely absolutely
nuts nut
. .
But but
fortunately fortunately
, ,
in in
the the
middle middle
of of
this this
, ,
Davidson davidson
got get
a a
new new
president president
, ,
and and
that that
president president
was be
single-minded single-minded
about about
racism racism
, ,
too too
. .
And and
so so
, ,
he he
created create
a a
task task
force force
to to
address address
the the
issues issue
in in
Project project
' '
87 @card@
. .
And and
several several
months month
after after
that that
, ,
we we
produced produce
a a
77-page 77-page
report report
. .
That that
report report
was be
the the
foundation foundation
for for
all all
the the
change change
that that
came come
after after
it it
. .
Now now
, ,
I i
wasn wasn
' '
t t
there there
to to
see see
that that
change change
, ,
because because
, ,
actually actually
, ,
in in
1985 @card@
, ,
I i
graduated graduate
. .
You you
are be
looking look
at at
the the
three three
happiest happy
people people
on on
the the
planet planet
that that
day day
, ,
