Paula paula
Stone stone
Williams williams
: :
So so
, ,
I i
was be
the the
CEO ceo
of of
a a
large large
, ,
religious religious
nonprofit nonprofit
, ,
spoke speak
at at
some some
of of
the the
largest large
churches church
in in
America america
, ,
was be
on on
television television
in in
70 @card@
different different
markets market
, ,
but but
more more
than than
anything anything
else else
, ,
I i
just just
wanted want
to to
be be
a a
good good
parent parent
. .
I i
told tell
all all
three three
of of
my my
children child
, ,
" "
When when
the the
going go
gets get
tough tough
, ,
you you
have have
to to
choose choose
the the
road road
less less
traveled travel
, ,
the the
narrow narrow
path path
. .
" "
I i
had have
no no
idea idea
how how
difficult difficult
that that
was be
going go
to to
become become
. .
I i
knew know
from from
the the
time time
I i
was be
three three
or or
four four
years year
of of
age age
that that
I i
was be
transgender transgender
. .
I i
knew know
if if
I i
came come
out out
, ,
I i
would would
lose lose
everything everything
. .
But but
the the
call call
toward toward
authenticity authenticity
is be
sacred sacred
and and
for for
the the
greater great
good good
, ,
and and
it it
asks ask
you you
to to
trust trust
that that
the the
truth truth
not not
only only
sets set
you you
free free
, ,
it it
will will
set set
everyone everyone
free free
. .
I i
decided decide
to to
stake stake
my my
life life
on on
it it
. .
So so
I i
came come
out out
. .
Turns turn
out out
, ,
if if
you you
spend spend
most most
of of
your your
life life
working work
in in
the the
conservative conservative
religious religious
world world
, ,
coming come
out out
as as
transgender transgender
is be
not not
all all
that that
great great
for for
your your
career career
. .
Who who
knew know
? ?
Within within
seven seven
days day
, ,
I i
lost lose
every every
single single
one one
of of
my my
jobs job
. .
My my
family family
was be
supportive supportive
but but
struggling struggling
. .
Most most
of of
my my
friends friend
and and
coworkers coworker
had have
rejected reject
me me
; ;
the the
rest rest
were be
confused confuse
. .
One one
friend friend
said say
, ,
" "
You you
really really
messed mess
with with
me me
. .
" "
I i
said say
, ,
" "
Yeah yeah
, ,
well well
, ,
get get
in in
line line
. .
" "
They they
said say
, ,
" "
You you
were be
my my
only only
example example
of of
an an
alpha alpha
male male
who who
was be
gentle gentle
. .
" "
And and
I i
thought think
, ,
" "
Oh oh
. .
You you
' '
re re
right right
. .
" "
I i
was be
an an
alpha alpha
male male
. .
And and
I i
was be
gentle gentle
. .
And and
if if
it it
was be
hard hard
for for
him him
, ,
how how
much much
more more
difficult difficult
was be
it it
for for
my my
own own
son son
? ?
Jonathan jonathan
Williams williams
: :
Estrangement estrangement
was be
not not
an an
option option
. .
It it
was be
Father father
' '
s s
Day day
and and
my my
girls girl
brought bring
me me
craft craft
beer beer
and and
a a
homemade homemade
jar jar
of of
pickles pickle
, ,
which which
, ,
in in
my my
estimation estimation
, ,
is be
the the
perfect perfect
Father father
' '
s s
Day day
gift gift
. .
But but
the the
question question
remained remain
: :
Do do
I i
call call
my my
own own
father father
? ?
To to
call call
him him
, ,
and and
I i
continue continue
down down
this this
spiral spiral
of of
denial denial
, ,
pretending pretend
that that
my my
dad dad
was be
still still
— -
well well
, ,
my my
dad dad
. .
To to
not not
call call
was be
to to
acknowledge acknowledge
that that
everything everything
had have
changed change
. .
It it
meant mean
that that
I i
was be
in in
for for
years year
of of
pain pain
and and
mourning mourning
and and
sadness sadness
, ,
but but
ultimately ultimately
, ,
hope hope
for for
reconciliation reconciliation
. .
There there
' '
s s
no no
playbook playbook
for for
when when
one one
' '
s s
father father
of of
30 @card@
plus plus
years year
decides decide
to to
transition transition
to to
the the
female female
gender gender
. .
But but
my my
dad dad
did do
teach teach
me me
one one
thing thing
. .
He he
said say
the the
road road
to to
redemption redemption
always always
comes come
from from
choosing choose
the the
narrow narrow
path path
. .
And and
so so
I i
decided decide
not not
to to
call call
that that
day day
, ,
and and
a a
few few
months month
later later
, ,
Paula paula
flew fly
out out
and and
met meet
me me
at at
a a
hotel hotel
in in
New new
York york
, ,
my my
wife wife
and and
I i
. .
I i
knocked knock
on on
the the
door door
, ,
and and
this this
woman woman
answered answer
. .
It it
definitely definitely
wasn wasn
' '
t t
my my
dad dad
. .
" "
It it
' '
s s
good good
to to
see see
you you
, ,
" "
she she
said say
. .
It it
didn didn
' '
t t
sound sound
like like
my my
dad dad
, ,
either either
. .
We we
went go
to to
lunch lunch
, ,
and and
the the
waiter waiter
came come
to to
take take
our our
order order
. .
He he
said say
, ,
" "
Let let
' '
s s
start start
with with
the the
ladies lady
, ,
" "
but but
there there
was be
only only
one one
lady lady
at at
the the
table table
and and
it it
was be
my my
wife wife
, ,
and and
— -
oh oh
my my
God god
, ,
there there
are be
two two
women woman
at at
the the
table table
. .
And and
my my
dad dad
ordered order
something something
like like
lettuce lettuce
, ,
and and
I i
was be
like like
, ,
I i
have have
fries fry
on on
my my
plate plate
. .
Did do
my my
dad dad
like like
fries fry
? ?
I i
don don
' '
t t
remember remember
. .
I i
think think
he he
liked like
them them
. .
But but
she she
wasn wasn
' '
t t
eating eat
them them
. .
Here here
' '
s s
this this
woman woman
who who
knew know
everything everything
about about
me me
, ,
and and
I i
knew know
nothing nothing
about about
her her
. .
I i
don don
' '
t t
even even
remember remember
saying say
goodbye goodbye
. .
PSW psw
: :
All all
I i
could could
think think
about about
that that
day day
was be
that that
it it
was be
late late
September september
in in
New new
York york
, ,
and and
I i
was be
wearing wear
white white
jeans jean
. .
You you
don don
' '
t t
wear wear
white white
after after
Labor labor
Day day
in in
New new
York york
. .
There there
was be
a a
knock knock
at at
the the
door door
, ,
and and
all all
I i
could could
think think
about about
was be
, ,
here here
I i
stand stand
in in
my my
wrong wrong
jeans jean
. .
And and
then then
I i
saw see
these these
big big
, ,
blue blue
eyes eye
I i
love love
so so
much much
, ,
and and
they they
were be
staring stare
back back
at at
me me
in in
disbelief disbelief
. .
And and
I i
thought think
, ,
" "
Oh oh
, ,
this this
is be
not not
going go
to to
be be
easy easy
. .
" "
When when
one one
person person
in in
a a
family family
transitions transition
, ,
the the
entire entire
family family
transitions transition
whether whether
they they
want want
to to
or or
not not
. .
Now now
, ,
for for
those those
on on
the the
fringes fringe
it it
was be
easy easy
. .
The the
liberals liberal
said say
, ,
" "
Oh oh
, ,
wonderful wonderful
! !
She she
' '
s s
found find
her her
truth truth
, ,
how how
delightful delightful
. .
" "
And and
the the
conservatives conservative
said say
, ,
" "
That that
' '
s s
messed mess
up up
, ,
I i
' '
m m
out out
of of
here here
. .
" "
But but
for for
my my
family family
, ,
neither neither
extreme extreme
was be
going go
to to
work work
. .
Their their
anger anger
, ,
their their
hurt hurt
, ,
their their
love love
and and
loyalty loyalty
— -
all all
of of
it it
had have
to to
be be
brought bring
on on
to to
the the
road road
of of
trials trial
. .
JW jw
: :
Was be
it it
all all
a a
lie lie
? ?
Every every
game game
of of
catch catch
in in
the the
front front
yard yard
, ,
the the
Mets met
season season
tickets ticket
— -
was be
that that
with with
my my
dad dad
or or
was be
that that
with with
her her
? ?
I i
remember remember
this this
one one
time time
, ,
my my
dad dad
took take
me me
on on
a a
bike bike
ride ride
through through
Heckscher heckscher
Park park
to to
teach teach
me me
about about
sex sex
. .
He he
explained explain
the the
parts part
of of
the the
body body
that that
I i
now now
know know
he he
wished wish
weren weren
' '
t t
hers hers
. .
Had have
my my
father father
ever ever
even even
existed exist
? ?
Now now
, ,
grief grief
— -
grief grief
is be
without without
rules rule
. .
Grief grief
borrows borrow
your your
car car
without without
asking ask
, ,
wrecks wreck
it it
and and
then then
doesn doesn
' '
t t
apologize apologize
. .
And and
I i
was be
a a
