Well well
, ,
indeed indeed
, ,
I i
' '
m m
very very
, ,
very very
lucky lucky
. .
My my
talk talk
essentially essentially
got get
written write
by by
three three
historic historic
events event
that that
happened happen
within within
days day
of of
each each
other other
in in
the the
last last
two two
months month
â â
seemingly seemingly
unrelated unrelated
, ,
but but
as as
you you
will will
see see
, ,
actually actually
all all
having have
to to
do do
with with
the the
story story
I i
want want
to to
tell tell
you you
today today
. .
The the
first first
one one
was be
actually actually
a a
funeral funeral
â â
to to
be be
more more
precise precise
, ,
a a
reburial reburial
. .
On on
May may
22nd 22nd
, ,
there there
was be
a a
hero hero
' '
s s
reburial reburial
in in
Frombork frombork
, ,
Poland poland
of of
the the
16th-century 16th-century
astronomer astronomer
who who
actually actually
changed change
the the
world world
. .
He he
did do
that that
, ,
literally literally
, ,
by by
replacing replace
the the
Earth earth
with with
the the
Sun sun
in in
the the
center center
of of
the the
Solar solar
System system
, ,
and and
then then
with with
this this
simple-looking simple-looking
act act
, ,
he he
actually actually
launched launch
a a
scientific scientific
and and
technological technological
revolution revolution
, ,
which which
many many
call call
the the
Copernican copernican
Revolution revolution
. .
Now now
that that
was be
, ,
ironically ironically
, ,
and and
very very
befittingly befittingly
, ,
the the
way way
we we
found find
his his
grave grave
. .
As as
it it
was be
the the
custom custom
of of
the the
time time
, ,
Copernicus copernicus
was be
actually actually
simply simply
buried bury
in in
an an
unmarked unmarked
grave grave
, ,
together together
with with
14 @card@
others other
in in
that that
cathedral cathedral
. .
DNA dna
analysis analysis
, ,
one one
of of
the the
hallmarks hallmark
of of
the the
scientific scientific
revolution revolution
of of
the the
last last
400 @card@
years year
that that
he he
started start
, ,
was be
the the
way way
we we
found find
which which
set set
of of
bones bone
actually actually
belonged belong
to to
the the
person person
who who
read read
all all
those those
astronomical astronomical
books book
which which
were be
filled fill
with with
leftover leftover
hair hair
that that
was be
Copernicus copernicus
' '
hair hair
â â
obviously obviously
not not
many many
other other
people people
bothered bother
to to
read read
these these
books book
later later
on on
. .
That that
match match
was be
unambiguous unambiguous
. .
The the
DNA dna
matched match
, ,
and and
we we
know know
that that
this this
was be
indeed indeed
Nicolaus nicolaus
Copernicus copernicus
. .
Now now
, ,
the the
connection connection
between between
biology biology
and and
DNA dna
and and
life life
is be
very very
tantalizing tantalize
when when
you you
talk talk
about about
Copernicus copernicus
because because
, ,
even even
back back
then then
, ,
his his
followers follower
very very
quickly quickly
made make
the the
logical logical
step step
to to
ask ask
: :
if if
the the
Earth earth
is be
just just
a a
planet planet
, ,
then then
what what
about about
planets planet
around around
other other
stars star
? ?
What what
about about
the the
idea idea
of of
the the
plurality plurality
of of
the the
worlds world
, ,
about about
life life
on on
other other
planets planet
? ?
In in
fact fact
, ,
I i
' '
m m
borrowing borrowing
here here
from from
one one
of of
those those
very very
popular popular
books book
of of
the the
time time
. .
And and
at at
the the
time time
, ,
people people
actually actually
answered answer
that that
question question
positively positively
: :
" "
Yes yes
. .
" "
But but
there there
was be
no no
evidence evidence
. .
And and
here here
begins begin
400 @card@
years year
of of
frustration frustration
, ,
of of
unfulfilled unfulfilled
dreams dream
â â
the the
dreams dream
of of
Galileo galileo
, ,
Giordano giordano
Bruno bruno
, ,
many many
others other
â â
which which
never never
led lead
to to
the the
answer answer
of of
those those
very very
basic basic
questions question
which which
humanity humanity
has have
asked ask
all all
the the
time time
. .
" "
What what
is be
life life
? ?
What what
is be
the the
origin origin
of of
life life
? ?
Are be
we we
alone alone
? ?
" "
And and
that that
especially especially
happened happen
in in
the the
last last
10 @card@
years year
, ,
at at
the the
end end
of of
the the
20th 20th
century century
, ,
when when
the the
beautiful beautiful
developments development
due due
to to
molecular molecular
biology biology
, ,
understanding understand
the the
code code
of of
life life
, ,
DNA dna
, ,
all all
of of
that that
seemed seem
to to
actually actually
put put
us us
, ,
not not
closer close
, ,
but but
further further
apart apart
from from
answering answer
those those
basic basic
questions question
. .
Now now
, ,
the the
good good
news news
. .
A a
lot lot
has have
happened happen
in in
the the
last last
few few
years year
, ,
and and
let let
' '
s s
start start
with with
the the
planets planet
. .
Let let
' '
s s
start start
with with
the the
old old
Copernican copernican
question question
: :
Are be
there there
earths earth
around around
other other
stars star
? ?
And and
as as
we we
already already
heard hear
, ,
there there
is be
a a
way way
in in
which which
we we
are be
trying try
, ,
and and
now now
able able
, ,
to to
answer answer
that that
question question
. .
It it
' '
s s
a a
new new
telescope telescope
. .
Our our
team team
, ,
befittingly befittingly
I i
think think
, ,
named name
it it
after after
one one
of of
those those
dreamers dreamer
of of
the the
Copernican copernican
time time
, ,
Johannes johannes
Kepler kepler
, ,
and and
that that
telescope telescope
' '
s s
sole sole
purpose purpose
is be
to to
go go
out out
, ,
find find
the the
planets planet
that that
orbit orbit
other other
stars star
in in
our our
galaxy galaxy
, ,
and and
tell tell
us us
how how
often often
do do
planets planet
like like
our our
own own
Earth earth
happen happen
to to
be be
out out
there there
. .
The the
telescope telescope
is be
actually actually
built build
similarly similarly
to to
the the
, ,
well-known well-known
to to
you you
, ,
Hubble hubble
Space space
Telescope telescope
, ,
except except
it it
does do
have have
an an
additional additional
lens lens
â â
a a
wide-field wide-field
lens lens
, ,
as as
you you
would would
call call
it it
as as
a a
photographer photographer
. .
And and
if if
, ,
in in
the the
next next
couple couple
of of
months month
, ,
you you
walk walk
out out
in in
the the
early early
evening evening
and and
look look
straight straight
up up
and and
place place
you you
palm palm
like like
this this
, ,
you you
will will
actually actually
be be
looking look
at at
the the
field field
of of
the the
sky sky
where where
this this
telescope telescope
is be
searching search
for for
planets planet
day day
and and
night night
, ,
without without
any any
interruption interruption
, ,
for for
the the
next next
four four
years year
. .
The the
way way
we we
do do
that that
, ,
actually actually
, ,
is be
with with
a a
method method
, ,
which which
we we
call call
the the
transit transit
method method
. .
It it
' '
s s
actually actually
mini-eclipses mini-eclipse
that that
occur occur
when when
a a
planet planet
passes pass
in in
front front
of of
its its
star star
. .
Not not
all all
of of
the the
planets planet
will will
be be
fortuitously fortuitously
oriented orient
for for
us us
to to
be be
able able
do do
that that
, ,
but but
if if
you you
have have
a a
million million
stars star
, ,
you you
' '
ll ll
find find
enough enough
planets planet
. .
And and
as as
you you
see see
on on
this this
animation animation
, ,
what what
Kepler kepler
is be
going go
to to
detect detect
is be
just just
the the
dimming dim
of of
the the
light light
from from
the the
star star
. .
We we
are be
not not
going go
to to
see see
the the
image image
of of
the the
star star
and and
the the
planet planet
as as
this this
. .
All all
