Anyone anyone
in in
the the
room room
thought think
about about
sex sex
today today
? ?
Yeah yeah
, ,
you you
did do
. .
Thank thank
you you
for for
putting put
your your
hand hand
up up
over over
there there
. .
Well well
, ,
I i
' '
m m
here here
to to
provide provide
you you
with with
some some
biological biological
validation validation
for for
your your
sordid sordid
daydreams daydream
. .
I i
' '
m m
here here
to to
tell tell
you you
a a
few few
things thing
that that
you you
might might
not not
have have
known know
about about
wild wild
sex sex
. .
Now now
, ,
when when
humans human
think think
about about
sex sex
, ,
male male
and and
female female
forms form
are be
generally generally
what what
come come
to to
mind mind
, ,
but but
for for
many many
millions million
of of
years year
, ,
such such
specific specific
categories category
didn didn
' '
t t
even even
exist exist
. .
Sex sex
was be
a a
mere mere
fusion fusion
of of
bodies body
or or
a a
trickle trickle
of of
DNA dna
shared share
between between
two two
or or
more more
beings being
. .
It it
wasn wasn
' '
t t
until until
about about
500 @card@
million million
years year
ago ago
that that
we we
start start
to to
see see
structures structure
akin akin
to to
a a
penis penis
or or
a a
thing thing
that that
gives give
DNA dna
out out
, ,
and and
a a
vagina vagina
, ,
something something
that that
receives receive
it it
. .
Now now
invariably invariably
, ,
you you
' '
re re
probably probably
thinking think
about about
what what
belongs belong
to to
our our
own own
species specie
, ,
these these
very very
familiar familiar
structures structure
, ,
but but
the the
diversity diversity
that that
we we
see see
in in
sexual sexual
structures structure
in in
the the
animal animal
kingdom kingdom
that that
has have
evolved evolve
in in
response response
to to
the the
multitude multitude
of of
factors factor
surrounding surround
reproduction reproduction
is be
pretty pretty
mind- mind-
blowing blow
. .
Penile penile
diversity diversity
is be
especially especially
profuse profuse
. .
So so
this this
is be
a a
paper paper
nautilus nautilus
. .
It it
' '
s s
a a
close close
relative relative
of of
squid squid
and and
octopus octopus
, ,
and and
males male
have have
a a
hectocotylus hectocotylus
. .
Just just
what what
is be
a a
hectocotylus hectocotylus
? ?
A a
detachable detachable
, ,
swimming swim
penis penis
. .
It it
leaves leave
the the
[ [
body body
of of
the the
male male
] ]
, ,
finds find
the the
female female
through through
pheromonal pheromonal
cues cue
in in
the the
water water
, ,
attaches attach
itself itself
to to
her her
body body
and and
deposits deposit
the the
sperm sperm
. .
For for
many many
decades decade
, ,
biologists biologist
actually actually
felt feel
that that
the the
hectocotylus hectocotylus
was be
a a
separate separate
organism organism
altogether altogether
. .
Now now
, ,
the the
tapir tapir
is be
a a
mammal mammal
from from
South south
America america
. .
And and
the the
tapir tapir
has have
a a
prehensile prehensile
penis penis
. .
It it
actually actually
has have
a a
level level
of of
dexterity dexterity
in in
its its
penis penis
much much
akin akin
to to
what what
we we
have have
with with
our our
hands hand
. .
