Chris chris
Anderson anderson
: :
I i
want want
you you
to to
come come
with with
me me
to to
Tesla tesla
' '
s s
huge huge
gigafactory gigafactory
in in
Austin austin
, ,
Texas texas
. .
So so
the the
day day
before before
it it
opened open
last last
week week
, ,
the the
evening evening
before before
, ,
I i
was be
allowed allow
to to
walk walk
around around
it it
, ,
no no
one one
else else
there there
. .
And and
what what
I i
saw see
there there
was be
, ,
honestly honestly
, ,
pretty pretty
mind-blowing mind-blowing
. .
This this
is be
Elon elon
Musk musk
' '
s s
famous famous
machine machine
that that
builds build
the the
machine machine
, ,
and and
in in
his his
view view
, ,
the the
secret secret
to to
a a
sustainable sustainable
future future
, ,
is be
not not
just just
making make
electric electric
car car
. .
It it
' '
s s
making make
a a
system system
that that
churns churn
out out
huge huge
numbers number
of of
electric electric
cars car
with with
a a
margin margin
, ,
so so
that that
they they
can can
fund fund
further further
growth growth
. .
When when
I i
was be
there there
, ,
none none
of of
us us
knew know
whether whether
Elon elon
would would
actually actually
be be
able able
to to
make make
it it
here here
today today
, ,
so so
I i
took take
the the
chance chance
to to
sit sit
down down
with with
him him
and and
record record
an an
epic epic
interview interview
. .
And and
I i
just just
want want
to to
show show
you you
an an
eight-minute eight-minute
excerpt excerpt
of of
that that
interview interview
. .
So so
here here
from from
Austin austin
, ,
Texas texas
, ,
Elon elon
Musk musk
. .
I i
want want
us us
to to
switch switch
now now
to to
think think
a a
bit bit
about about
artificial artificial
intelligence intelligence
. .
I i
' '
m m
curious curious
about about
your your
timelines timeline
and and
how how
you you
predict predict
and and
how how
come come
some some
things thing
are be
so so
amazingly amazingly
on on
the the
money money
and and
some some
aren aren
' '
t t
. .
So so
when when
it it
comes come
to to
predicting predict
sales sale
of of
Tesla tesla
vehicles vehicle
, ,
for for
example example
, ,
you you
' '
ve ve
kind kind
of of
been be
amazing amazing
. .
I i
think think
in in
2014 @card@
when when
Tesla tesla
had have
sold sell
that that
year year
60 @card@
, ,
000 @card@
cars car
, ,
you you
said say
, ,
" "
2020 @card@
, ,
I i
think think
we we
will will
do do
half half
a a
million million
a a
year year
. .
" "
Elon elon
Musk musk
: :
Yeah yeah
, ,
we we
did do
almost almost
exactly exactly
a a
half half
million million
. .
CA ca
: :
Five five
years year
ago ago
, ,
last last
time time
you you
came come
to to
