I i
' '
ve ve
been be
fascinated fascinate
for for
a a
lifetime lifetime
by by
the the
beauty beauty
, ,
form form
and and
function function
of of
giant giant
bluefin bluefin
tuna tuna
. .
Bluefin bluefin
are be
warmblooded warmblooded
like like
us us
. .
They they
' '
re re
the the
largest large
of of
the the
tunas tunas
, ,
the the
second-largest second-largest
fish fish
in in
the the
sea sea
â â
bony bony
fish fish
. .
They they
actually actually
are be
a a
fish fish
that that
is be
endothermic endothermic
â â
powers power
through through
the the
ocean ocean
with with
warm warm
muscles muscle
like like
a a
mammal mammal
. .
That that
' '
s s
one one
of of
our our
bluefin bluefin
at at
the the
Monterey monterey
Bay bay
Aquarium aquarium
. .
You you
can can
see see
in in
its its
shape shape
and and
its its
streamlined streamlined
design design
it it
' '
s s
powered power
for for
ocean ocean
swimming swimming
. .
It it
flies fly
through through
the the
ocean ocean
on on
its its
pectoral pectoral
fins fin
, ,
gets get
lift lift
, ,
powers power
its its
movements movement
with with
a a
lunate lunate
tail tail
. .
It it
' '
s s
actually actually
got get
a a
naked naked
skin skin
for for
most most
of of
its its
body body
, ,
so so
it it
reduces reduce
friction friction
with with
the the
water water
. .
This this
is be
what what
one one
of of
nature nature
' '
s s
finest fine
machines machine
. .
Now now
, ,
bluefin bluefin
were be
revered revere
by by
Man man
for for
all all
of of
human human
history history
. .
For for
4 @card@
, ,
000 @card@
years year
, ,
we we
fished fish
sustainably sustainably
for for
this this
animal animal
, ,
and and
it it
' '
s s
evidenced evidence
in in
the the
art art
that that
we we
see see
from from
thousands thousand
of of
years year
ago ago
. .
Bluefin bluefin
are be
in in
cave cave
paintings painting
in in
France france
. .
They they
' '
re re
on on
coins coin
that that
date date
back back
3 @card@
, ,
000 @card@
years year
. .
This this
fish fish
was be
revered revere
by by
humankind humankind
. .
It it
was be
fished fish
sustainably sustainably
till till
all all
of of
time time
, ,
except except
for for
our our
generation generation
. .
Bluefin bluefin
are be
pursued pursue
wherever wherever
they they
go go
â â
there there
is be
a a
gold gold
rush rush
on on
Earth earth
, ,
and and
this this
is be
a a
gold gold
rush rush
for for
bluefin bluefin
. .
There there
are be
traps traps
that that
fish fish
sustainably sustainably
up up
until until
recently recently
. .
And and
yet yet
, ,
the the
type type
of of
fishing fishing
going go
on on
today today
, ,
with with
pens pen
, ,
with with
enormous enormous
stakes stake
, ,
is be
really really
wiping wipe
bluefin bluefin
ecologically ecologically
off off
the the
planet planet
. .
Now now
bluefin bluefin
, ,
in in
general general
, ,
goes go
to to
one one
place place
: :
Japan japan
. .
Some some
of of
you you
may may
be be
guilty guilty
of of
having have
contributed contribute
to to
the the
demise demise
of of
bluefin bluefin
. .
They they
' '
re re
delectable delectable
muscle muscle
, ,
rich rich
in in
fat fat
â â
absolutely absolutely
taste taste
delicious delicious
. .
And and
that that
' '
s s
their their
problem problem
; ;
we we
' '
re re
eating eat
them them
to to
death death
. .
Now now
in in
the the
Atlantic atlantic
, ,
the the
story story
is be
pretty pretty
simple simple
. .
Bluefin bluefin
have have
two two
populations population
: :
one one
large large
, ,
one one
small small
. .
The the
North north
American american
population population
is be
fished fish
at at
about about
2 @card@
, ,
000 @card@
ton ton
. .
The the
European european
population population
and and
North north
African african
â â
the the
Eastern eastern
bluefin bluefin
tuna tuna
â â
is be
fished fish
at at
tremendous tremendous
levels level
: :
50 @card@
, ,
000 @card@
tons ton
over over
the the
last last
decade decade
almost almost
every every
year year
. .
The the
result result
is be
whether whether
you you
' '
re re
looking look
at at
the the
West west
or or
the the
Eastern eastern
bluefin bluefin
population population
, ,
there there
' '
s s
been be
tremendous tremendous
decline decline
on on
both both
sides side
, ,
as as
much much
as as
90 @card@
percent percent
if if
you you
go go
back back
with with
your your
baseline baseline
to to
1950 @card@
. .
For for
that that
, ,
bluefin bluefin
have have
been be
given give
a a
status status
equivalent equivalent
to to
tigers tiger
, ,
to to
lions lion
, ,
to to
certain certain
African african
elephants elephant
and and
to to
pandas panda
. .
These these
fish fish
have have
been be
proposed propose
for for
an an
endangered endangered
species species
listing listing
in in
the the
past past
two two
months month
. .
They they
were be
voted vote
on on
and and
rejected reject
just just
two two
weeks week
ago ago
, ,
despite despite
outstanding outstanding
science science
that that
shows show
from from
two two
committees committee
this this
fish fish
meets meet
the the
criteria criterion
of of
CITES cite
I i
. .
And and
if if
it it
' '
s s
tunas tuna
you you
don don
' '
t t
care care
about about
, ,
perhaps perhaps
you you
might might
be be
interested interested
that that
international international
long long
lines line
and and
pursing purse
chase chase
down down
tunas tuna
and and
bycatch bycatch
animals animal
such such
as as
leatherbacks leatherback
, ,
sharks shark
, ,
marlin marlin
, ,
albatross albatross
. .
These these
animals animal
and and
their their
demise demise
occurs occur
in in
the the
tuna tuna
fisheries fishery
. .
The the
challenge challenge
we we
face face
is be
that that
we we
know know
very very
little little
about about
tuna tuna
, ,
and and
everyone everyone
in in
the the
room room
knows know
what what
it it
looks look
like like
when when
an an
African african
lion lion
takes take
down down
its its
prey prey
. .
I i
doubt doubt
anyone anyone
has have
seen see
a a
giant giant
bluefin bluefin
feed feed
. .
This this
tuna tuna
symbolizes symbolize
what what
' '
s s
the the
problem problem
for for
all all
of of
us us
in in
the the
room room
. .
It it
' '
s s
the the
21st 21st
century century
, ,
but but
we we
really really
have have
only only
just just
begun begin
to to
really really
study study
our our
oceans ocean
in in
a a
deep deep
way way
. .
Technology technology
has have
come come
of of
age age
that that
' '
s s
allowing allow
us us
to to
see see
the the
Earth earth
from from
space space
and and
go go
deep deep
into into
the the
seas sea
remotely remotely
. .
And and
we we
' '
ve ve
got get
to to
use use
these these
technologies technology
immediately immediately
to to
get get
a a
better good
understanding understanding
of of
how how
our our
ocean ocean
realm realm
works work
. .
Most most
of of
us us
from from
the the
ship ship
â â
even even
I i
â â
look look
out out
at at
the the
ocean ocean
and and
see see
this this
homogeneous homogeneous
