David david
Fano fano
: :
Well well
I i
would would
say say
there there
was be
kind kind
of of
like like
three three
phases phase
. .
There there
was be
the the
time time
when when
you you
would would
tell tell
people people
, ,
" "
Hey hey
, ,
I i
work work
at at
WeWork wework
" "
and and
nobody nobody
would would
know know
what what
that that
was be
. .
And and
then then
very very
quickly quickly
it it
became become
pretty pretty
commonplace commonplace
. .
People people
knew know
what what
WeWork wework
was be
, ,
and and
it it
was be
on on
the the
cover cover
of of
magazines magazine
, ,
it it
had have
a a
great great
mission mission
, ,
it it
had have
this this
rebranding rebranding
, ,
it it
had have
these these
, ,
like like
, ,
very very
grandiose grandiose
ambitions ambition
. .
And and
then then
from from
one one
day day
to to
the the
next next
, ,
it it
flipped flip
completely completely
. .
And and
I i
think think
that that
was be
really really
, ,
really really
intense intense
for for
people people
to to
process process
. .
That that
so so
much much
of of
their their
identity identity
and and
who who
they they
were be
was be
somewhat somewhat
scaffolded scaffold
by by
the the
identity identity
of of
the the
place place
that that
they they
worked work
, ,
that that
now now
it it
became become
like like
an an
existential existential
discussion discussion
. .
And and
then then
you you
' '
ve ve
got get
your your
grandparents grandparent
who who
didn didn
' '
t t
even even
know know
where where
you you
worked work
are be
calling call
you you
now now
being being
, ,
like like
, ,
" "
Hey hey
, ,
that that
' '
s s
the the
place place
you you
work work
? ?
" "
And and
you you
almost almost
go go
to to
, ,
like like
, ,
a a
place place
of of
shame shame
. .
Adam adam
Grant grant
: :
I i
' '
m m
Adam adam
Grant grant
, ,
and and
this this
is be
a a
special special
bonus bonus
episode episode
of of
WorkLife worklife
, ,
my my
podcast podcast
with with
TED ted
, ,
sponsored sponsor
by by
Accenture accenture
, ,
BetterUp betterup
, ,
Hilton hilton
and and
SAP sap
. .
I i
' '
m m
an an
organizational organizational
psychologist psychologist
. .
I i
study study
how how
to to
make make
work work
not not
suck suck
. .
In in
the the
past past
year year
, ,
one one
of of
the the
biggest big
work work
stories story
, ,
and and
just just
one one
of of
the the
bigger big
stories story
, ,
period period
, ,
has have
been be
the the
implosion implosion
of of
WeWork wework
. .
The the
company company
started start
as as
a a
single single
coworking coworking
space space
in in
Soho soho
, ,
and and
in in
just just
a a
few few
years year
, ,
WeWork wework
exploded explode
to to
more more
than than
100 @card@
cities city
in in
dozens dozen
of of
countries country
, ,
employing employ
more more
than than
12 @card@
, ,
000 @card@
people people
. .
They they
weren weren
' '
t t
just just
selling sell
leases lease
, ,
they they
were be
selling sell
a a
new new
vision vision
for for
work work
. .
And and
Dave dave
Fano fano
was be
on on
board board
. .
DF df
: :
For for
me me
it it
meant mean
making make
going go
to to
work work
awesome awesome
for for
people people
. .
You you
know know
, ,
with with
an an
initial initial
focus focus
on on
the the
physical physical
environment environment
, ,
and and
making make
that that
environment environment
comfortable comfortable
and and
exciting exciting
and and
feeling feel
good good
, ,
and and
then then
also also
the the
technological technological
side side
of of
how how
we we
brought bring
people people
together together
, ,
how how
we we
could could
get get
people people
to to
commune commune
and and
work work
together together
, ,
small small
companies company
helping help
each each
other other
I i
thought think
was be
really really
exciting exciting
, ,
and and
helping help
people people
do do
work work
that that
mattered matter
to to
them them
, ,
and and
being be
able able
to to
strip strip
away away
the the
muck muck
, ,
the the
things thing
that that
matter matter
a a
little little
less less
. .
AG ag
: :
For for
many many
business business
owners owner
, ,
part part
of of
that that
muck muck
was be
the the
perceived perceive
hassle hassle
of of
renting rent
office office
space space
, ,
and and
then then
creating create
a a
welcoming welcome
, ,
energizing energize
environment environment
. .
That that
' '
s s
where where
Dave dave
came come
in in
. .
WeWork wework
recruited recruit
him him
to to
design design
all all
of of
their their
spaces space
and and
become become
one one
of of
their their
top top
executives executive
. .
It it
was be
a a
job job
for for
someone someone
with with
both both
technical technical
and and
creative creative
skills skill
. .
DF df
: :
I i
was be
trained train
as as
an an
architect architect
. .
AG ag
: :
Were be
you you
aspiring aspiring
to to
be be
someone someone
like like
Frank frank
Lloyd lloyd
Wright wright
, ,
or or
did do
you you
have have
a a
different different
vision vision
in in
mind mind
? ?
DF df
: :
Sadly sadly
I i
really really
, ,
probably probably
didn didn
' '
t t
know know
who who
many many
of of
those those
people people
were be
. .
I i
was be
really really
determined determine
to to
be be
a a
comic comic
book book
artist artist
. .
So so
you you
could could
have have
asked ask
me me
any any
comic comic
book book
artist artist
, ,
and and
I i
would would
have have
known know
them them
all all
. .
I i
was be
a a
kid kid
that that
drew draw
the the
cover cover
to to
the the
yearbooks yearbook
and and
high high
school school
T-shirts t-shirt
and and
things thing
and and
wanted want
to to
be be
