Hi hi
, ,
my my
name name
is be
Roz roz
Savage savage
and and
I i
row row
across across
oceans ocean
. .
Four four
years year
ago ago
, ,
I i
rowed row
solo solo
across across
the the
Atlantic atlantic
, ,
and and
since since
then then
, ,
I i
' '
ve ve
done do
two two
out out
of of
three three
stages stage
across across
the the
Pacific pacific
, ,
from from
San san
Francisco francisco
to to
Hawaii hawaii
and and
from from
Hawaii hawaii
to to
Kiribati kiribati
. .
And and
tomorrow tomorrow
, ,
I i
' '
ll ll
be be
leaving leave
this this
boat boat
to to
fly fly
back back
to to
Kiribati kiribati
to to
continue continue
with with
the the
third third
and and
final final
stage stage
of of
my my
row row
across across
the the
Pacific pacific
. .
Cumulatively cumulatively
, ,
I i
will will
have have
rowed row
over over
8 @card@
, ,
000 @card@
miles mile
, ,
taken take
over over
three three
million million
oar oar
strokes stroke
and and
spent spend
more more
than than
312 @card@
days day
alone alone
on on
the the
ocean ocean
on on
a a
23 @card@
foot foot
rowboat rowboat
. .
This this
has have
given give
me me
a a
very very
special special
relationship relationship
with with
the the
ocean ocean
. .
We we
have have
a a
bit bit
of of
a a
love love
/ /
hate hate
thing thing
going go
on on
. .
I i
feel feel
a a
bit bit
about about
it it
like like
I i
did do
about about
a a
very very
strict strict
math math
teacher teacher
that that
I i
once once
had have
at at
school school
. .
I i
didn didn
' '
t t
always always
like like
her her
, ,
but but
I i
did do
respect respect
her her
, ,
and and
she she
taught teach
me me
a a
heck heck
of of
a a
lot lot
. .
So so
today today
I i
' '
d d
like like
to to
share share
with with
you you
some some
of of
my my
ocean ocean
adventures adventure
and and
tell tell
you you
a a
little little
bit bit
about about
what what
they they
' '
ve ve
taught teach
me me
, ,
and and
how how
I i
think think
we we
can can
maybe maybe
take take
some some
of of
those those
lessons lesson
and and
apply apply
them them
to to
this this
environmental environmental
challenge challenge
that that
we we
face face
right right
now now
. .
Now now
, ,
some some
of of
you you
might might
be be
thinking think
, ,
" "
Hold hold
on on
a a
minute minute
. .
She she
doesn doesn
' '
t t
look look
very very
much much
like like
an an
ocean ocean
rower rower
. .
Isn isn
' '
t t
she she
meant mean
to to
be be
about about
this this
tall tall
and and
about about
this this
wide wide
and and
maybe maybe
look look
a a
bit bit
more more
like like
these these
guys guy
? ?
" "
You you
' '
ll ll
notice notice
, ,
they they
' '
ve ve
all all
got get
something something
that that
I i
don don
' '
t t
. .
Well well
, ,
I i
don don
' '
t t
know know
what what
you you
' '
re re
thinking thinking
, ,
but but
I i
' '
m m
talking talk
about about
the the
beards beard
. .
And and
no no
matter matter
how how
long long
I i
' '
ve ve
spent spend
on on
the the
ocean ocean
, ,
I i
haven haven
' '
t t
yet yet
managed manage
to to
muster muster
a a
decent decent
beard beard
, ,
and and
I i
hope hope
that that
it it
remains remain
that that
way way
. .
For for
a a
long long
time time
, ,
I i
didn didn
' '
t t
believe believe
that that
I i
could could
have have
a a
big big
adventure adventure
. .
The the
story story
that that
I i
told tell
myself myself
was be
that that
adventurers adventurer
looked look
like like
this this
. .
I i
didn didn
' '
t t
look look
the the
part part
. .
I i
thought think
there there
were be
them them
and and
there there
were be
us us
, ,
and and
I i
was be
not not
one one
of of
them them
. .
So so
for for
11 @card@
years year
, ,
I i
conformed conform
. .
I i
did do
what what
people people
from from
my my
kind kind
of of
background background
were be
supposed suppose
to to
do do
. .
I i
was be
working work
in in
an an
office office
in in
London london
as as
a a
management management
consultant consultant
. .
And and
I i
think think
I i
knew know
from from
day day
one one
that that
it it
wasn wasn
' '
t t
the the
right right
job job
for for
me me
. .
But but
that that
kind kind
of of
conditioning conditioning
just just
kept keep
me me
there there
for for
so so
many many
years year
, ,
until until
I i
reached reach
my my
mid-30s mid-30s
and and
I i
thought think
, ,
" "
You you
know know
, ,
I i
' '
m m
not not
getting get
any any
younger young
. .
I i
feel feel
like like
I i
' '
ve ve
got get
a a
purpose purpose
in in
this this
