Most most
of of
us us
think think
of of
motion motion
as as
a a
very very
visual visual
thing thing
. .
If if
I i
walk walk
across across
this this
stage stage
or or
gesture gesture
with with
my my
hands hand
while while
I i
speak speak
, ,
that that
motion motion
is be
something something
that that
you you
can can
see see
. .
But but
there there
' '
s s
a a
world world
of of
important important
motion motion
that that
' '
s s
too too
subtle subtle
for for
the the
human human
eye eye
, ,
and and
over over
the the
past past
few few
years year
, ,
we we
' '
ve ve
started start
to to
find find
that that
cameras camera
can can
often often
see see
this this
motion motion
even even
when when
humans human
can can
' '
t t
. .
So so
let let
me me
show show
you you
what what
I i
mean mean
. .
On on
the the
left left
here here
, ,
you you
see see
video video
of of
a a
person person
' '
s s
wrist wrist
, ,
and and
on on
the the
right right
, ,
you you
see see
video video
of of
a a
sleeping sleeping
infant infant
, ,
but but
if if
I i
didn didn
' '
t t
tell tell
you you
that that
these these
were be
videos video
, ,
you you
might might
assume assume
that that
you you
were be
looking look
at at
two two
regular regular
images image
, ,
because because
in in
both both
cases case
, ,
these these
videos video
appear appear
to to
be be
almost almost
completely completely
still still
. .
But but
there there
' '
s s
actually actually
a a
lot lot
of of
subtle subtle
motion motion
going go
on on
here here
, ,
and and
if if
you you
were be
to to
touch touch
the the
wrist wrist
on on
the the
left left
, ,
you you
would would
feel feel
a a
pulse pulse
, ,
and and
if if
you you
were be
to to
hold hold
the the
infant infant
on on
the the
right right
, ,
you you
would would
feel feel
the the
rise rise
and and
fall fall
of of
her her
chest chest
as as
she she
took take
each each
breath breath
. .
And and
these these
motions motion
carry carry
a a
lot lot
of of
significance significance
, ,
but but
they they
' '
re re
usually usually
too too
subtle subtle
for for
us us
to to
see see
, ,
so so
instead instead
, ,
we we
have have
to to
observe observe
them them
through through
direct direct
contact contact
, ,
through through
touch touch
. .
But but
a a
few few
years year
ago ago
, ,
my my
colleagues colleague
at at
MIT mit
developed develop
what what
they they
call call
a a
motion motion
microscope microscope
, ,
which which
is be
software software
that that
finds find
these these
subtle subtle
motions motion
in in
video video
and and
amplifies amplify
them them
so so
that that
they they
become become
large large
enough enough
for for
us us
to to
see see
. .
And and
so so
, ,
if if
we we
use use
their their
software software
on on
the the
left left
video video
, ,
it it
lets let
us us
see see
the the
pulse pulse
in in
this this
wrist wrist
, ,
and and
if if
we we
were be
to to
count count
that that
pulse pulse
, ,
we we
could could
even even
figure figure
out out
this this
person person
' '
s s
heart heart
rate rate
. .
And and
if if
we we
used use
the the
same same
software software
on on
the the
right right
video video
, ,
it it
lets let
us us
see see
each each
breath breath
that that
this this
infant infant
takes take
, ,
and and
we we
can can
use use
this this
as as
a a
contact-free contact-free
way way
to to
monitor monitor
her her
breathing breathing
. .
And and
so so
this this
technology technology
is be
really really
powerful powerful
because because
it it
takes take
these these
phenomena phenomenon
that that
we we
normally normally
have have
to to
experience experience
through through
touch touch
and and
it it
lets let
us us
capture capture
them them
visually visually
and and
non-invasively non-invasively
. .
So so
a a
couple couple
years year
ago ago
, ,
I i
started start
working work
with with
the the
folks folk
that that
created create
that that
software software
, ,
and and
we we
decided decide
to to
pursue pursue
a a
crazy crazy
idea idea
. .
We we
thought think
, ,
it it
' '
s s
cool cool
that that
we we
can can
use use
software software
to to
visualize visualize
tiny tiny
motions motion
like like
this this
, ,
and and
you you
can can
almost almost
think think
of of
it it
as as
a a
way way
to to
extend extend
our our
sense sense
of of
touch touch
. .
But but
what what
if if
we we
could could
do do
the the
same same
thing thing
with with
our our
ability ability
to to
hear hear
? ?
What what
if if
we we
could could
use use
video video
to to
capture capture
the the
vibrations vibrations
of of
sound sound
, ,
which which
are be
just just
another another
kind kind
of of
motion motion
, ,
and and
turn turn
everything everything
that that
we we
see see
into into
a a
microphone microphone
? ?
Now now
, ,
this this
is be
a a
bit bit
of of
a a
strange strange
idea idea
, ,
so so
let let
me me
try try
to to
put put
it it
in in
perspective perspective
for for
you you
. .
Traditional traditional
microphones microphone
work work
by by
converting convert
the the
motion motion
of of
an an
internal internal
diaphragm diaphragm
into into
an an
electrical electrical
signal signal
, ,
and and
that that
diaphragm diaphragm
is be
designed design
to to
move move
readily readily
with with
sound sound
so so
that that
its its
motion motion
can can
be be
recorded record
and and
interpreted interpret
as as
audio audio
. .
But but
sound sound
causes cause
all all
objects object
to to
vibrate vibrate
. .
Those those
vibrations vibration
are be
just just
usually usually
too too
subtle subtle
and and
too too
fast fast
for for
us us
to to
see see
. .
So so
what what
if if
we we
record record
them them
with with
a a
high-speed high-speed
camera camera
and and
then then
use use
software software
to to
extract extract
tiny tiny
motions motion
from from
our our
high-speed high-speed
video video
, ,
and and
analyze analyze
those those
motions motion
to to
figure figure
out out
what what
sounds sound
created create
them them
? ?
This this
would would
let let
us us
turn turn
visible visible
objects object
into into
visual visual
microphones microphone
from from
a a
distance distance
. .
And and
so so
we we
tried try
this this
out out
, ,
and and
here here
' '
s s
one one
of of
our our
experiments experiment
, ,
where where
we we
took take
this this
potted potted
plant plant
that that
you you
see see
on on
the the
right right
and and
we we
filmed film
it it
with with
a a
high-speed high-speed
camera camera
while while
a a
nearby nearby
loudspeaker loudspeaker
played play
this this
sound sound
. .
And and
so so
here here
' '
s s
the the
video video
that that
we we
recorded record
, ,
and and
we we
recorded record
it it
at at
thousands thousand
of of
frames frame
per per
second second
, ,
but but
even even
if if
you you
look look
very very
closely closely
, ,
all all
you you
' '
ll ll
see see
are be
some some
leaves leaf
that that
are be
pretty pretty
much much
just just
sitting sit
there there
doing do
nothing nothing
, ,
because because
our our
sound sound
only only
moved move
those those
leaves leaf
by by
about about
a a
micrometer micrometer
. .
That that
' '
s s
one one
ten-thousandth ten-thousandth
of of
a a
centimeter centimeter
, ,
which which
spans span
somewhere somewhere
between between
a a
hundredth hundredth
and and
a a
thousandth thousandth
of of
a a
pixel pixel
in in
this this
image image
. .
So so
you you
can can
squint squint
all all
you you
want want
, ,
but but
motion motion
that that
small small
is be
pretty pretty
much much
perceptually perceptually
invisible invisible
. .
But but
it it
turns turn
out out
that that
something something
can can
be be
perceptually perceptually
invisible invisible
and and
still still
be be
numerically numerically
significant significant
, ,
because because
with with
the the
right right
algorithms algorithm
, ,
we we
can can
take take
this this
silent silent
, ,
seemingly seemingly
still still
video video
and and
we we
can can
recover recover
this this
sound sound
. .
So so
how how
is be
this this
possible possible
? ?
How how
can can
we we
get get
so so
much much
information information
out out
of of
so so
little little
motion motion
? ?
Well well
, ,
let let
' '
s s
say say
that that
those those
leaves leaf
move move
by by
just just
a a
single single
micrometer micrometer
, ,
and and
let let
' '
s s
say say
that that
that that
shifts shift
our our
image image
by by
just just
a a
thousandth thousandth
of of
a a
pixel pixel
. .
That that
may may
not not
seem seem
like like
much much
, ,
but but
a a
single single
frame frame
of of
video video
may may
have have
hundreds hundred
of of
thousands thousand
of of
pixels pixel
in in
it it
, ,
and and
so so
if if
we we
combine combine
all all
of of
the the
tiny tiny
motions motion
that that
we we
see see
from from
across across
that that
entire entire
image image
, ,
then then
suddenly suddenly
a a
thousandth thousandth
of of
a a
pixel pixel
can can
start start
to to
add add
up up
to to
something something
pretty pretty
significant significant
. .
On on
a a
personal personal
note note
, ,
we we
were be
pretty pretty
psyched psych
when when
we we
figured figure
this this
out out
. .
But but
even even
with with
the the
right right
algorithm algorithm
, ,
we we
were be
still still
missing miss
a a
pretty pretty
important important
piece piece
of of
the the
puzzle puzzle
. .
You you
see see
, ,
there there
are be
a a
lot lot
of of
factors factor
that that
affect affect
when when
and and
how how
well well
this this
technique technique
will will
work work
. .
There there
' '
s s
the the
object object
and and
how how
far far
away away
it it
is be
; ;
there there
' '
s s
the the
camera camera
and and
the the
lens lens
that that
you you
use use
; ;
how how
much much
light light
is be
shining shine
on on
the the
object object
and and
how how
loud loud
your your
sound sound
is be
. .
And and
even even
with with
the the
right right
algorithm algorithm
, ,
we we
had have
to to
be be
very very
careful careful
with with
our our
early early
experiments experiment
, ,
because because
if if
we we
got get
any any
of of
these these
factors factor
wrong wrong
, ,
there there
was be
no no
way way
to to
tell tell
what what
the the
problem problem
was be
. .
We we
would would
just just
get get
noise noise
back back
. .
And and
so so
a a
lot lot
of of
our our
early early
experiments experiment
looked look
like like
this this
. .
And and
so so
here here
I i
am be
, ,
and and
on on
the the
bottom bottom
left leave
, ,
you you
can can
kind kind
of of
see see
our our
high-speed high-speed
camera camera
, ,
which which
is be
pointed point
at at
a a
bag bag
of of
chips chip
, ,
and and
the the
whole whole
thing thing
is be
lit light
by by
these these
bright bright
lamps lamp
. .
And and
like like
I i
said say
, ,
we we
had have
to to
be be
very very
careful careful
in in
these these
early early
experiments experiment
, ,
so so
this this
is be
how how
it it
went go
down down
. .
Abe abe
Davis davis
: :
Three three
, ,
two two
, ,
one one
, ,
go go
. .
Mary mary
had have
a a
little little
lamb lamb
! !
Little little
lamb lamb
! !
Little little
lamb lamb
! !
AD ad
: :
So so
this this
experiment experiment
looks look
completely completely
ridiculous ridiculous
. .
I i
mean mean
, ,
I i
' '
m m
screaming scream
at at
a a
bag bag
of of
chips chip
— -
— -
and and
we we
' '
re re
blasting blast
it it
with with
so so
much much
light light
, ,
we we
literally literally
melted melt
the the
first first
bag bag
we we
tried try
this this
on on
. .
But but
ridiculous ridiculous
as as
this this
experiment experiment
looks look
, ,
it it
was be
actually actually
really really
important important
, ,
because because
we we
were be
able able
to to
recover recover
this this
sound sound
. .
Mary mary
had have
a a
little little
lamb lamb
! !
Little little
lamb lamb
! !
Little little
lamb lamb
! !
AD ad
: :
And and
this this
was be
really really
significant significant
, ,
because because
it it
was be
the the
first first
time time
we we
recovered recover
intelligible intelligible
human human
speech speech
from from
silent silent
video video
of of
an an
object object
. .
And and
so so
it it
gave give
us us
this this
point point
of of
reference reference
, ,
and and
gradually gradually
we we
could could
start start
to to
modify modify
the the
experiment experiment
, ,
using use
different different
objects object
or or
moving move
the the
object object
further further
away away
, ,
using use
less less
light light
or or
quieter quiet
sounds sound
. .
And and
we we
analyzed analyze
all all
of of
these these
experiments experiment
until until
we we
really really
understood understand
the the
limits limit
of of
our our
technique technique
, ,
because because
once once
we we
understood understand
those those
limits limit
, ,
we we
could could
figure figure
out out
how how
to to
push push
them them
. .
And and
that that
led lead
to to
experiments experiment
like like
this this
one one
, ,
where where
again again
, ,
I i
' '
m m
going go
to to
speak speak
to to
a a
bag bag
of of
chips chip
, ,
but but
this this
time time
we we
' '
ve ve
moved move
our our
camera camera
about about
15 @card@
feet foot
away away
, ,
outside outside
, ,
behind behind
a a
soundproof soundproof
window window
, ,
and and
the the
whole whole
thing thing
is be
lit light
by by
only only
natural natural
sunlight sunlight
. .
And and
so so
here here
' '
s s
the the
video video
that that
we we
captured capture
. .
And and
this this
is be
what what
things thing
sounded sound
like like
from from
inside inside
, ,
next next
to to
the the
bag bag
of of
chips chip
. .
Mary mary
had have
a a
little little
lamb lamb
whose whose
fleece fleece
was be
white white
as as
snow snow
, ,
and and
everywhere everywhere
that that
Mary mary
went go
, ,
that that
lamb lamb
was be
sure sure
to to
go go
. .
AD ad
: :
And and
here here
' '
s s
what what
we we
were be
able able
to to
recover recover
from from
our our
silent silent
video video
