Well well
, ,
hello hello
. .
This this
is be
Sophie sophie
. .
It it
' '
s s
all all
right right
, ,
don don
' '
t t
worry worry
, ,
everything everything
' '
s s
going go
to to
be be
fine fine
. .
There there
are be
some some
people people
on on
the the
balcony balcony
that that
are be
very very
happy happy
to to
be be
up up
there there
now now
. .
So so
this this
is be
Sophie sophie
â â
not not
Sophia sophia
â â
no no
, ,
Sophie sophie
. .
She she
has have
a a
French french
name name
. .
And and
you you
wonder wonder
why why
? ?
So so
Sophie sophie
, ,
for for
most most
people people
, ,
is be
the the
incarnation incarnation
of of
terror terror
, ,
really really
. .
She she
' '
s s
far far
too too
leggy leggy
, ,
she she
' '
s s
far far
too too
hairy hairy
, ,
and and
she she
' '
s s
far far
too too
big big
to to
ever ever
be be
trusted trust
. .
But but
to to
me me
, ,
Sophie sophie
is be
a a
fantastic fantastic
feat feat
of of
bioengineering bioengineering
. .
You you
see see
, ,
Sophie sophie
is be
a a
testimony testimony
to to
all all
those those
creatures creature
that that
have have
managed manage
to to
survive survive
since since
the the
beginning beginning
of of
time time
; ;
all all
those those
animals animal
that that
have have
managed manage
to to
have have
offspring offspring
generation generation
after after
generation generation
, ,
until until
this this
day day
. .
You you
see see
, ,
over over
one one
billion billion
years year
ago ago
, ,
the the
first first
primitive primitive
cells cell
started start
to to
evolve evolve
on on
this this
planet planet
. .
It it
took take
spiders spider
430 @card@
million million
years year
to to
become become
what what
they they
are be
now now
: :
one one
of of
the the
most most
versatile versatile
, ,
one one
of of
the the
most most
diverse diverse
and and
one one
of of
the the
most most
evolved evolve
groups group
â â
of of
predators predator
to to
ever ever
walk walk
this this
earth earth
. .
It it
' '
s s
actually actually
quite quite
sporty sporty
to to
give give
a a
speech speech
while while
wrangling wrangle
a a
tarantula tarantula
, ,
I i
have have
to to
say say
. .
So so
, ,
we we
shouldn shouldn
' '
t t
forget forget
that that
Sophie sophie
â â
and and
in in
fact fact
, ,
all all
of of
us us
â â
we we
all all
are be
a a
testimony testimony
to to
all all
those those
ruthless ruthless
battles battle
that that
actually actually
were be
won win
consistently consistently
by by
all all
our our
ancestors ancestor
, ,
all all
our our
predecessors predecessor
. .
In in
fact fact
, ,
all all
of of
us us
, ,
every every
single single
one one
of of
you you
, ,
is be
in in
fact fact
an an
uninterrupted uninterrupted
, ,
one-billion-years-old one-billion-years-old
success success
story story
. .
And and
in in
the the
gaze gaze
of of
Sophie sophie
, ,
that that
success success
is be
partly partly
due due
to to
what what
she she
has have
in in
her her
chest chest
, ,
just just
under under
her her
eyes eye
. .
In in
there there
, ,
she she
has have
a a
pair pair
of of
venom venom
glands gland
that that
are be
attached attach
to to
a a
pair pair
of of
fangs fang
, ,
and and
those those
fangs fang
are be
folded fold
into into
her her
mouth mouth
. .
So so
, ,
without without
those those
fangs fang
and and
without without
this this
venom venom
, ,
Sophie sophie
would would
have have
never never
managed manage
to to
survive survive
. .
Now now
, ,
many many
animals animal
have have
evolved evolve
venom venom
systems system
in in
order order
to to
survive survive
. .
Nowadays nowadays
, ,
any any
species species
of of
venomous venomous
snakes snake
, ,
any any
species species
of of
spider spider
, ,
any any
species species
of of
scorpion scorpion
, ,
has have
its its
own own
venom venom
signature signature
, ,
if if
you you
will will
, ,
made make
out out
of of
dozens dozen
, ,
if if
not not
hundreds hundred
, ,
of of
chemical chemical
compounds compound
. .
And and
all all
of of
those those
compounds compound
have have
evolved evolve
purely purely
for for
one one
purpose purpose
: :
disable disable
and and
, ,
eventually eventually
, ,
kill kill
. .
Now now
, ,
venom venom
can can
actually actually
act act
in in
many many
different different
ways way
. .
Venom venom
, ,
