When when
I i
was be
a a
kid kid
, ,
I i
was be
, ,
like like
many many
of of
you you
in in
this this
room room
, ,
very very
much much
fascinated fascinate
by by
Star star
Wars wars
, ,
and and
what what
fascinated fascinate
me me
the the
most most
is be
this this
notion notion
of of
the the
Force force
, ,
this this
energy energy
that that
connects connect
all all
people people
and and
all all
objects object
and and
allows allow
you you
to to
feel feel
people people
that that
you you
can can
' '
t t
even even
see see
. .
And and
I i
remember remember
many many
nights night
, ,
I i
would would
be be
sitting sit
at at
home home
, ,
just just
, ,
like like
, ,
concentrating concentrate
and and
focusing focus
, ,
trying try
to to
feel feel
the the
Force force
, ,
and and
I i
didn didn
' '
t t
feel feel
anything anything
, ,
don don
' '
t t
worry worry
. .
And and
later later
in in
life life
, ,
I i
became become
a a
scientist scientist
. .
I i
joined join
the the
MIT mit
faculty faculty
and and
started start
working work
on on
wireless wireless
signals signal
. .
These these
are be
things thing
like like
Wi-Fi wi-fi
or or
cellular cellular
systems system
, ,
and and
I i
did do
a a
lot lot
of of
work work
in in
that that
domain domain
. .
But but
then then
, ,
again again
, ,
this this
Force force
thing thing
kept keep
nagging nag
me me
, ,
and and
at at
some some
point point
, ,
I i
was be
just just
like like
, ,
" "
Wait wait
a a
minute minute
, ,
these these
wireless wireless
signals signal
— -
they they
are be
like like
the the
Force force
. .
" "
So so
if if
you you
think think
about about
it it
, ,
wireless wireless
signals signal
, ,
they they
travel travel
through through
space space
, ,
they they
go go
through through
obstacles obstacle
and and
walls wall
and and
occlusions occlusion
, ,
and and
some some
of of
them them
, ,
they they
reflect reflect
off off
our our
bodies body
, ,
because because
our our
bodies body
are be
full full
of of
water water
, ,
and and
some some
of of
these these
minute minute
reflections reflection
, ,
they they
come come
back back
. .
And and
if if
, ,
just just
if if
, ,
I i
had have
a a
device device
that that
can can
just just
sense sense
these these
minute minute
reflections reflection
, ,
then then
I i
would would
be be
able able
to to
feel feel
people people
that that
I i
cannot can
see see
. .
So so
I i
started start
working work
with with
my my
students student
on on
building build
such such
a a
device device
, ,
and and
I i
want want
to to
show show
you you
some some
of of
our our
early early
results result
. .
So so
here here
, ,
you you
see see
my my
student student
standing standing
, ,
and and
here here
is be
our our
device device
. .
And and
we we
are be
going go
to to
put put
the the
device device
in in
the the
other other
office office
, ,
behind behind
the the
wall wall
, ,
and and
we we
are be
going go
to to
monitor monitor
him him
as as
he he
moves move
. .
This this
red red
dot dot
is be
tracking track
him him
using use
wireless wireless
signals signal
. .
And and
as as
you you
can can
see see
, ,
the the
red red
dot dot
is be
tracking track
his his
movements movement
very very
accurately accurately
, ,
purely purely
based base
on on
how how
his his
body body
interacts interact
with with
the the
surrounding surround
wireless wireless
signals signal
. .
Pretty pretty
accurate accurate
, ,
isn isn
' '
t t
it it
? ?
He he
has have
no no
wearables wearable
, ,
nothing nothing
. .
Now now
you you
might might
be be
wondering wonder
, ,
how how
is be
it it
possible possible
that that
we we
can can
sense sense
people people
and and
track track
them them
, ,
without without
any any
wearables wearable
, ,
through through
walls wall
, ,
and and
the the
easiest easy
analogy analogy
to to
think think
about about
is be
radar radar
. .
I i
' '
m m
sure sure
many many
of of
you you
have have
seen see
this this
picture picture
. .
You you
transmit transmit
a a
wireless wireless
signal signal
to to
the the
sky sky
, ,
it it
reflects reflect
off off
some some
airplane airplane
, ,
comes come
back back
to to
you you
, ,
and and
you you
start start
detecting detect
these these
airplanes airplane
. .
But but
if if
it it
were be
just just
radar radar
, ,
then then
we we
would would
have have
this this
50 @card@
years year
ago ago
. .
So so
it it
' '
s s
not not
just just
radar radar
. .
There there
are be
two two
key key
differences difference
. .
So so
the the
first first
difference difference
, ,
of of
course course
— -
you you
can can
' '
t t
, ,
like like
radar radar
, ,
just just
blast blast
wireless wireless
power power
at at
somebody somebody
. .
You you
' '
re re
going go
to to
fry fry
them them
like like
if if
they they
were be
in in
a a
microwave microwave
. .
Don don
' '
t t
do do
that that
. .
So so
it it
means mean
that that
you you
have have
to to
be be
able able
to to
deal deal
with with
very very
weak weak
signals signal
, ,
and and
that that
means mean
that that
your your
device device
has have
to to
be be
very very
sensitive sensitive
. .
The the
second second
difference difference
is be
that that
, ,
unlike unlike
the the
sky sky
, ,
where where
it it
' '
s s
empty empty
— -
if if
you you
are be
lucky lucky
, ,
there there
is be
one one
airplane airplane
that that
you you
can can
catch catch
there there
. .
Like like
, ,
look look
at at
the the
room room
and and
look look
how how
many many
objects object
and and
people people
there there
are be
. .
So so
in in
indoor indoor
environments environment
, ,
the the
signal signal
not not
only only
reflects reflect
off off
the the
person person
, ,
if if
reflects reflect
off off
the the
person person
, ,
off off
the the
floor floor
, ,
the the
ceiling ceiling
, ,
off off
other other
people people
around around
, ,
and and
you you
get get
very very
complex complex
reflections reflection
where where
the the
same same
signal signal
reflects reflect
off off
me me
and and
then then
off off
you you
, ,
and and
then then
off off
the the
ceiling ceiling
, ,
then then
off off
the the
floor floor
. .
And and
you you
have have
to to
make make
sense sense
of of
that that
mess mess
. .
But but
we we
were be
lucky lucky
. .
We we
were be
coming come
at at
the the
right right
time time
. .
So so
two two
things thing
helped help
us us
. .
The the
first first
thing thing
is be
radiotechnologies radiotechnology
have have
evolved evolve
a a
lot lot
, ,
and and
over over
the the
last last
decade decade
, ,
radio radio
technology technology
became become
much much
more more
powerful powerful
, ,
so so
we we
were be
able able
to to
build build
very very
sensitive sensitive
radios radio
that that
can can
sense sense
weak weak
and and
minute minute
RF rf
signals signal
. .
The the
second second
thing thing
: :
machine machine
learning learning
. .
So so
you you
keep keep
hearing hearing
about about
machine machine
learning learning
and and
there there
was be
a a
revolution revolution
of of
machine machine
learning learn
recently recently
, ,
in in
deep deep
learning learning
, ,
and and
that that
allowed allow
us us
to to
build build
machine-learning machine-learning
models model
that that
can can
understand understand
wireless wireless
signals signal
and and
interpret interpret
them them
so so
they they
would would
know know
what what
happened happen
in in
the the
environment environment
. .
So so
if if
you you
think think
of of
it it
, ,
the the
radio radio
is be
like like
the the
ear ear
of of
our our
device device
and and
the the
machine machine
learning learning
is be
like like
the the
brain brain
, ,
and and
together together
, ,
they they
have have
a a
very very
powerful powerful
device device
. .
So so
what what
else else
can can
we we
sense sense
about about
people people
using use
wireless wireless
signals signal
? ?
Sleep sleep
. .
Sleep sleep
, ,
actually actually
, ,
is be
something something
very very
dear dear
to to
my my
heart heart
, ,
because because
my my
sleep sleep
is be
a a
disaster disaster
. .
So so
one one
thing thing
is be
when when
you you
start start
working work
on on
some some
physiological physiological
signal signal
and and
you you
discover discover
that that
yours yours
sucks suck
. .
So so
you you
can can
see see
why why
we we
can can
capture capture
sleep sleep
, ,
because because
the the
person person
walks walk
and and
the the
device device
sees see
him him
as as
he he
walks walk
to to
bed bed
, ,
when when
he he
stops stop
tossing toss
around around
in in
bed bed
, ,
when when
he he
steps step
out out
of of
bed bed
, ,
and and
that that
measure measure
of of
sleep sleep
is be
what what
people people
call call
actigraphy actigraphy
. .
It it
' '
s s
based base
on on
motion motion
. .
But but
it it
turned turn
out out
that that
we we
can can
actually actually
get get
sleep sleep
at at
a a
much much
more more
important important
level level
. .
We we
can can
understand understand
the the
change change
in in
the the
brain brain
waves wave
that that
occur occur
during during
sleep sleep
. .
So so
, ,
many many
of of
you you
probably probably
know know
that that
as as
we we
go go
to to
sleep sleep
, ,
our our
brainwaves brainwave
change change
and and
we we
enter enter
different different
stages stage
: :
awake awake
, ,
light light
sleep sleep
, ,
deep deep
sleep sleep
and and
REM rem
, ,
or or
rapid rapid
eye eye
movement movement
. .
These these
stages stage
are be
of of
course course
related relate
to to
sleep sleep
disorders disorder
, ,
but but
they they
are be
also also
related relate
to to
various various
diseases disease
. .
So so
for for
example example
, ,
disturbances disturbance
in in
REM rem
are be
associated associate
with with
depression depression
. .
Disturbances disturbance
in in
deep deep
sleep sleep
are be
associated associate
with with
Alzheimer alzheimer
' '
s s
. .
So so
if if
you you
want want
to to
get get
sleep sleep
staging staging
, ,
today today
, ,
you you
will will
send send
the the
person person
to to
the the
hospital hospital
, ,
they they
put put
all all
of of
these these
electrodes electrode
on on
their their
head head
, ,
and and
they they
ask ask
them them
to to
sleep sleep
like like
that that
. .
It it
' '
s s
not not
really really
a a
happy happy
experience experience
. .
So so
what what
if if
I i
tell tell
you you
that that
I i
can can
do do
the the
same same
thing thing
but but
without without
any any
of of
these these
electrodes electrode
on on
the the
person person
' '
s s
body body
? ?
So so
here here
is be
our our
device device
, ,
transmitting transmit
very very
low low
power power
wireless wireless
signal signal
, ,
analyzes analyze
the the
reflections reflection
using use
AI ai
and and
spits spit
out out
the the
sleep sleep
stages stage
throughout throughout
the the
night night
. .
So so
we we
know know
, ,
for for
example example
, ,
when when
this this
person person
is be
dreaming dream
. .
Not not
just just
that that
. .
. .
. .
we we
can can
even even
get get
your your
breathing breathing
while while
you you
are be
sitting sit
like like
that that
, ,
and and
without without
touching touch
you you
. .
So so
he he
is be
sitting sit
and and
reading read
and and
this this
is be
his his
inhales inhale
, ,
exhales exhale
. .
We we
asked ask
him him
to to
hold hold
his his
breath breath
, ,
and and
you you
see see
the the
signal signal
staying stay
at at
a a
steady steady
level level
because because
he he
exhaled exhale
. .
He he
did do
not not
inhale inhale
. .
And and
I i
want want
to to
zoom zoom
in in
on on
the the
signal signal
. .
And and
this this
is be
the the
same same
signal signal
as as
before before
. .
These these
are be
the the
inhales inhale
, ,
these these
are be
the the
exhales exhale
. .
And and
you you
see see
these these
blips blip
on on
the the
signal signal
? ?
These these
are be
not not
noise noise
. .
They they
are be
his his
heartbeats heartbeat
. .
And and
you you
can can
see see
them them
beat beat
by by
beat beat
. .
So so
I i
want want
to to
stop stop
here here
for for
a a
moment moment
and and
show show
you you
a a
live live
demo demo
. .
Zach zach
is be
going go
to to
help help
me me
with with
the the
demo demo
, ,
and and
we we
' '
re re
going go
to to
use use
the the
device device
to to
monitor monitor
Zach zach
' '
s s
breathing breathing
. .
So so
this this
white white
box box
that that
you you
see see
here here
is be
the the
device device
, ,
and and
Zach zach
is be
turning turn
it it
on on
. .
. .
. .
and and
let let
' '
s s
see see
whether whether
he he
breathes breathe
well well
. .
So so
we we
' '
re re
going go
to to
do do
exactly exactly
what what
we we
did do
in in
the the
video video
with with
the the
other other
guy guy
, ,
so so
the the
wireless wireless
signal signal
is be
going go
through through
, ,
it it
' '
s s
touching touch
Zach zach
' '
s s
body body
, ,
and and
it it
' '
s s
reflecting reflect
back back
to to
the the
device device
, ,
and and
we we
want want
to to
monitor monitor
his his
breathing breathing
, ,
his his
inhale-exhale inhale-exhale
motion motion
. .
So so
we we
see see
the the
inhales inhale
, ,
exhales exhale
— -
so so
see see
, ,
these these
ups up
and and
downs down
are be
Zach zach
breathing breathing
. .
Inhaling inhale
, ,
exhaling exhale
. .
So so
, ,
he he
can can
breathe breathe
. .
Zach zach
, ,
can can
you you
hold hold
your your
breath breath
, ,
please please
? ?
OK ok
, ,
so so
now now
he he
' '
s s
holding hold
his his
breath breath
, ,
so so
you you
see see
the the
signal signal
stays stay
at at
a a
steady steady
level level
, ,
and and
these these
are be
his his
heartbeats heartbeat
. .
Beat beat
, ,
beat beat
, ,
beat beat
, ,
beat beat
, ,
beat beat
. .
OK ok
, ,
Zach zach
, ,
you you
can can
breathe breathe
again again
. .
We we
don don
' '
t t
