Menstruation menstruation
. .
A a
simple simple
word word
describing describe
a a
natural natural
biological biological
process process
, ,
weighed weigh
down down
by by
centuries century
of of
stigma stigma
, ,
has have
been be
transformed transform
into into
something something
most most
of of
us us
can can
only only
speak speak
about about
in in
whispers whisper
. .
But but
why why
? ?
As as
I i
speak speak
to to
you you
right right
now now
, ,
more more
than than
800 @card@
million million
women woman
around around
the the
world world
are be
having have
a a
period period
. .
None none
of of
us us
would would
exist exist
without without
it it
, ,
and and
yet yet
it it
remains remain
an an
" "
embarrassing embarrassing
" "
subject subject
to to
broach broach
. .
From from
my my
experience experience
and and
that that
of of
the the
women woman
around around
me me
, ,
I i
can can
tell tell
you you
that that
it it
' '
s s
exhausting exhausting
. .
It it
' '
s s
exhausting exhausting
to to
carefully carefully
take take
out out
a a
brown brown
paper paper
bag bag
hiding hide
a a
pad pad
, ,
stuffing stuff
it it
into into
your your
pocket pocket
in in
the the
middle middle
of of
a a
class class
and and
rushing rush
to to
the the
washroom washroom
as as
discreetly discreetly
as as
possible possible
. .
It it
' '
s s
exhausting exhaust
to to
sit sit
through through
lessons lesson
and and
meetings meeting
pretending pretend
to to
be be
absolutely absolutely
normal normal
, ,
while while
internally internally
crying cry
out out
from from
intense intense
period period
cramps cramp
. .
It it
' '
s s
exhausting exhausting
to to
be be
dismissively dismissively
told tell
that that
you you
' '
re re
PMSing pmsing
or or
suffering suffering
from from
" "
that that
time time
of of
the the
month month
, ,
" "
and and
it it
' '
s s
exhausting exhausting
to to
continuously continuously
fight fight
back back
against against
age-old age-old
traditions tradition
that that
ask ask
you you
not not
to to
pray pray
, ,
visit visit
temples temple
, ,
cook cook
, ,
touch touch
pickle pickle
and and
the the
list list
goes go
on on
and and
on on
, ,
while while
you you
' '
re re
just just
trying try
to to
bleed bleed
and and
be be
left leave
in in
peace peace
. .
But but
you you
know know
what what
the the
worst bad
part part
is be
? ?
The the
worst bad
part part
is be
that that
the the
things thing
that that
seem seem
tiring tire
to to
us us
are be
merely merely
the the
tip tip
of of
the the
iceberg iceberg
, ,
because because
we we
in in
this this
room room
are be
privileged privileged
enough enough
to to
be be
able able
to to
afford afford
sanitary sanitary
napkins napkin
every every
month month
, ,
to to
be be
able able
to to
visit visit
a a
gynecologist gynecologist
in in
case case
of of
any any
problem problem
, ,
to to
be be
able able
to to
tell tell
what what
' '
s s
normal normal
and and
abnormal abnormal
with with
our our
monthly monthly
cycle cycle
. .
We we
have have
access access
to to
water water
, ,
sanitation sanitation
and and
toilets toilet
that that
help help
us us
maintain maintain
our our
privacy privacy
and and
hygiene hygiene
. .
But but
what what
about about
those those
who who
don don
' '
t t
? ?
What what
about about
335 @card@
million million
girls girl
around around
the the
world world
who who
go go
to to
school school
without without
even even
having have
access access
to to
water water
and and
soap soap
to to
wash wash
their their
hands hand
? ?
What what
about about
15-year-old 15-year-old
schoolgirls schoolgirl
in in
Kenya kenya
who who
have have
to to
sell sell
their their
bodies body
to to
be be
able able
to to
buy buy
sanitary sanitary
napkins napkin
? ?
What what
about about
two-thirds two-third
of of
rural rural
high high
school school
girls girl
in in
India india
who who
don don
' '
t t
even even
understand understand
what what
their their
bodies body
are be
going go
through through
at at
menarche menarche
? ?
And and
right right
now now
, ,
we we
are be
all all
gathered gather
here here
in in
the the
USA usa
. .
So so
what what
about about
64 @card@
percent percent
of of
women woman
in in
St st
. .
Louis louis
, ,
Missouri missouri
, ,
who who
weren weren
' '
t t
able able
to to
afford afford
menstrual menstrual
hygiene hygiene
supplies supply
in in
the the
previous previous
year year
? ?
What what
about about
the the
struggles struggle
of of
homeless homeless
, ,
transgender transgender
, ,
intersex intersex
and and
displaced displace
people people
who who
menstruate menstruate
? ?
What what
about about
them them
? ?
The the
scale scale
of of
the the
problem problem
, ,
stemming stem
in in
part part
from from
the the
deep-rooted deep-rooted
stigma stigma
attached attach
to to
menstruation menstruation
, ,
is be
