Priya priya
Vulchi vulchi
: :
Four four
years year
ago ago
, ,
we we
really really
thought think
we we
understood understand
racism racism
. .
Just just
like like
many many
of of
you you
here here
today today
, ,
we we
had have
experienced experience
and and
heard hear
stories story
about about
race race
, ,
about about
prejudice prejudice
, ,
discrimination discrimination
and and
stereotyping stereotype
and and
we we
were be
like like
, ,
" "
We we
get get
it it
, ,
racism racism
, ,
we we
got get
it it
, ,
we we
got get
it it
. .
" "
But but
we we
weren weren
' '
t t
even even
close close
. .
Winona winona
Guo guo
: :
So so
we we
decided decide
that that
we we
had have
to to
listen listen
and and
learn learn
more more
. .
We we
talked talk
to to
as as
many many
random random
people people
as as
we we
could could
and and
collected collect
hundreds hundred
of of
personal personal
stories story
about about
race race
, ,
stories story
that that
revealed reveal
how how
racial racial
injustice injustice
is be
a a
nationwide nationwide
epidemic epidemic
that that
we we
ourselves ourselves
spread spread
and and
now now
can can
' '
t t
seem seem
to to
recognize recognize
or or
get get
rid rid
of of
. .
PV pv
: :
We we
' '
re re
not not
there there
yet yet
. .
Today today
, ,
we we
are be
here here
to to
raise raise
our our
standards standard
of of
racial racial
literacy literacy
, ,
to to
redefine redefine
what what
it it
means mean
to to
be be
racially racially
literate literate
. .
WG wg
: :
We we
want want
everywhere everywhere
across across
the the
United united
States states
for for
our our
youngest young
and and
future future
generations generation
to to
grow grow
up up
equipped equip
with with
the the
tools tool
to to
understand understand
, ,
navigate navigate
and and
improve improve
a a
world world
structured structure
by by
racial racial
division division
. .
We we
want want
us us
all all
to to
imagine imagine
the the
community community
as as
a a
place place
where where
we we
not not
only only
feel feel
proud proud
of of
our our
own own
backgrounds background
, ,
but but
can can
also also
invest invest
in in
others other
' '
experiences experience
as as
if if
they they
were be
our our
own own
. .
PV pv
: :
We we
just just
graduated graduate
from from
high high
school school
this this
past past
June june
. .
WG wg
: :
And and
you you
' '
d d
think think
— -
And and
you you
' '
d d
think think
after after
12 @card@
years year
somebody somebody
in in
or or
out out
of of
the the
classroom classroom
would would
have have
helped help
us us
understand understand
— -
PV pv
: :
At at
a a
basic basic
level level
at at
least least
— -
WG wg
: :
The the
society society
we we
live live
in in
. .
PV pv
: :
The the
truth truth
for for
almost almost
all all
our our
classmates classmate
is be
that that
they they
don don
' '
t t
. .
WG wg
: :
In in
communities community
around around
our our
country country
, ,
so so
many many
of of
which which
are be
racially racially
divided divide
, ,
PV pv
: :
If if
you you
don don
' '
t t
go go
searching search
for for
an an
education education
about about
race race
, ,
for for
racial racial
literacy literacy
— -
WG wg
: :
You you
won win
' '
t t
get get
it it
. .
It it
won win
' '
t t
just just
come come
to to
you you
. .
PV pv
: :
Even even
when when
we we
did do
have have
conversations conversation
about about
race race
, ,
our our
understanding understanding
was be
always always
superficial superficial
. .
We we
realized realize
that that
there there
are be
two two
big big
gaps gap
in in
our our
racial racial
literacy literacy
. .
WG wg
: :
First first
, ,
the the
heart heart
gap gap
: :
an an
inability inability
to to
understand understand
each each
of of
our our
experiences experience
, ,
to to
fiercely fiercely
and and
unapologetically unapologetically
be be
compassionate compassionate
beyond beyond
lip lip
service service
. .
PV pv
: :
And and
second second
, ,
the the
mind mind
gap gap
: :
an an
inability inability
to to
understand understand
the the
larger large
, ,
systemic systemic
ways way
in in
which which
racism racism
operates operate
. .
WG wg
: :
First first
, ,
the the
heart heart
gap gap
. .
To to
be be
fair fair
, ,
race race
did do
pop pop
up up
a a
few few
times time
in in
school school
, ,
growing grow
up up
. .
We we
all all
defend defend
our our
social social
justice justice
education education
because because
we we
learned learn
about about
Martin martin
Luther luther
King king
Jr jr
. .
and and
Harriet harriet
Tubman tubman
and and
Rosa rosa
Parks parks
. .
But but
even even
in in
all all
of of
those those
conversations conversation
, ,
race race
always always
felt feel
outdated outdate
, ,
like like
, ,
" "
Yes yes
, ,
slavery slavery
, ,
that that
happened happen
once once
upon upon
a a
time time
, ,
but but
why why
does do
it it
really really
matter matter
now now
? ?
" "
As as
a a
result result
, ,
we we
didn didn
' '
t t
really really
care care
. .
But but
what what
if if
our our
teacher teacher
introduced introduce
a a
story story
from from
the the
present present
day day
, ,
for for
example example
, ,
how how
Treniya treniya
told tell
us us
in in
Pittsburgh pittsburgh
that that
— -
PV pv
: :
" "
My my
sister sister
was be
scrolling scroll
through through
Facebook facebook
and and
typed type
in in
our our
last last
name name
. .
This this
white white
guy guy
popped pop
up up
, ,
and and
we we
found find
out out
that that
his his
great-great-grandfather great-great-grandfather
owned own
slaves slave
and and
my my
great-great- great-great-
great-grandmother great-grandmother
was be
one one
of of
them them
. .
My my
last last
name name
— -
it it
' '
s s
not not
who who
I i
am be
. .
We we
' '
ve ve
been be
living live
under under
a a
white white
man man
' '
s s
name name
. .
If if
slavery slavery
didn didn
' '
t t
happen happen
, ,
who who
would would
I i
even even
be be
? ?
" "
WG wg
: :
Now now
it it
feels feel
relevant relevant
, ,
immediate immediate
, ,
because because
the the
connection connection
to to
slavery slavery
' '
s s
lasting lasting
legacy legacy
today today
is be
made make
clear clear
, ,
right right
? ?
Or or
what what
would would
happen happen
is be
our our
teacher teacher
would would
throw throw
out out
these these
cold cold
statistics statistic
. .
You you
' '
ve ve
probably probably
seen see
this this
one one
before before
in in
news news
headlines headline
. .
PV pv
: :
African-Americans african-americans
are be
incarcerated incarcerate
more more
than than
five five
times time
the the
rate rate
of of
white white
people people
. .
WG wg
: :
Now now
consider consider
Ronnie ronnie
, ,
in in
Seattle seattle
. .
PV pv
: :
" "
My my
father father
means mean
everything everything
to to
me me
. .
He he
' '
s s
all all
I i
' '
ve ve
got get
, ,
I i
don don
' '
t t
know know
my my
mother mother
. .
My my
father father
' '
s s
currently currently
being be
wrongly wrongly
incarcerated incarcerate
for for
12 @card@
years year
. .
I i
' '
ve ve
got get
a a
daughter daughter
, ,
and and
I i
try try
to to
be be
that that
same same
fatherly fatherly
figure figure
for for
her her
: :
always always
involved involve
in in
everything everything
she she
does do
, ,
it it
might might
even even
be be
annoying annoy
at at
some some
points point
. .
But but
I i
' '
m m
afraid afraid
I i
' '
ll ll
go go
missing miss
in in
her her
life life
just just
like like
my my
father father
did do
in in
mine mine
. .
" "
WG wg
: :
Throwing throw
out out
just just
the the
statistic statistic
, ,
just just
the the
facts fact
alone alone
, ,
disconnected disconnect
from from
real real
humans human
, ,
can can
lead lead
to to
dangerously dangerously
incomplete incomplete
understanding understanding
of of
those those
facts fact
. .
It it
fails fail
to to
recognize recognize
that that
for for
many many
people people
who who
don don
' '
t t
understand understand
racism racism
the the
problem problem
is be
not not
a a
lack lack
of of
knowledge knowledge
to to
talk talk
about about
the the
pain pain
of of
white white
supremacy supremacy
and and
oppression oppression
, ,
it it
' '
s s
that that
they they
don don
' '
t t
recognize recognize
that that
that that
pain pain
exists exist
at at
all all
. .
They they
don don
' '
t t
recognize recognize
the the
human human
beings being
that that
are be
being be
affected affect
, ,
and and
they they
don don
' '
t t
feel feel
enough enough
to to
care care
. .
PV pv
: :
Second second
, ,
the the
mind mind
gap gap
. .
We we
can can
' '
t t
ignore ignore
the the
stats stat
, ,
either either
. .
We we
can can
' '
t t
truly truly
grasp grasp
Ronnie ronnie
' '
s s
situation situation
without without
understanding understanding
how how
things thing
like like
unjust unjust
laws law
and and
biased bias
policing police
systematic systematic
racism racism
has have
created create
the the
disproportionate disproportionate
incarceration incarceration
rates rate
over over
time time
. .
Or or
like like
how how
in in
Honolulu honolulu
, ,
the the
large large
prison prison
population population
of of
native native
Hawaiians hawaiians
like like
Kimmy kimmy
is be
heavily heavily
influenced influence
by by
the the
island island
' '
s s
long long
history history
with with
US us
colonialization colonialization
, ,
its its
impact impact
passing pass
down down
through through
generations generation
to to
today today
. .
For for
us us
, ,
sometimes sometimes
we we
would would
talk talk
about about
people people
' '
s s
personal personal
, ,
unique unique
experiences experience
in in
the the
classroom classroom
. .
Stuff stuff
like like
, ,
how how
Justin justin
once once
told tell
us us
— -
WG wg
: :
" "
I i
' '
ve ve
been be
working work
on on
psychologically psychologically
reclaiming reclaim
my my
place place
in in
this this
city city
. .
Because because
for for
me me
, ,
my my
Chicago chicago
isn isn
' '
t t
the the
nice nice
architecture architecture
downtown downtown
, ,
it it
' '
s s
not not
the the
North north
Side side
. .
My my
Chicago chicago
is be
the the
orange orange
line line
, ,
the the
pink pink
line line
, ,
the the
working work
immigrant immigrant
class class
going go
on on
the the
train train
. .
" "
PV pv
: :
And and
while while
we we
might might
have have
acknowledged acknowledge
his his
personal personal
experience experience
, ,
we we
wouldn wouldn
' '
t t
have have
talked talk
about about
how how
redlining redlin
and and
the the
legalized legalize
segregation segregation
of of
our our
past past
created create
the the
racially racially
divided divide
neighborhoods neighborhood
we we
live live
in in
today today
. .
We we
wouldn wouldn
' '
t t
have have
completely completely
understood understand
how how
racism racism
is be
embedded embed
in in
the the
framework framework
of of
everything everything
around around
us us
, ,
because because
we we
would would
stay stay
narrowly narrowly
focused focus
on on
people people
' '
s s
isolated isolated
experiences experience
. .
Another another
example example
, ,
Sandra sandra
in in
DC dc
once once
told tell
us us
: :
WG wg
: :
" "
When when
I i
' '
m m
with with
my my
Korean korean
family family
, ,
I i
know know
how how
to to
move move
with with
them them
. .
I i
know know
what what
to to
do do
in in
order order
to to
have have
them them
feel feel
like like
I i
care care
about about
them them
. .
And and
making make
and and
sharing share
food food
is be
one one
of of
the the
most most
fundamental fundamental
ways way
of of
showing show
love love
. .
When when
I i
' '
m m
with with
my my
partner partner
who who
' '
s s
not not
Korean korean
, ,
however however
, ,
we we
' '
ve ve
had have
to to
grapple grapple
with with
the the
fact fact
that that
I i
' '
m m
very very
food-centric food-centric
and and
he he
' '
s s
just just
not not
. .
One one
time time
he he
said say
that that
he he
didn didn
' '
t t
want want
to to
be be
expected expect
to to
make make
food food
for for
me me
, ,
and and
I i
got get
really really
upset upset
. .
" "
PV pv
: :
That that
might might
seem seem
like like
a a
weird weird
reaction reaction
, ,
but but
only only
if if
we we
don don
' '
t t
recognize recognize
how how
it it
' '
s s
emblematic emblematic
of of
something something
larger large
, ,
something something
deeper deeper
. .
Intragenerational intragenerational
trauma trauma
. .
How how
in in
Sandra sandra
' '
s s
family family
, ,
widespread widespread
hunger hunger
and and
