One one
of of
the the
most most
common common
ways way
of of
dividing divide
the the
world world
is be
into into
those those
who who
believe believe
and and
those those
who who
don don
' '
t t
â â
into into
the the
religious religious
and and
the the
atheists atheist
. .
And and
for for
the the
last last
decade decade
or or
so so
, ,
it it
' '
s s
been be
quite quite
clear clear
what what
being be
an an
atheist atheist
means mean
. .
There there
have have
been be
some some
very very
vocal vocal
atheists atheist
who who
' '
ve ve
pointed point
out out
, ,
not not
just just
that that
religion religion
is be
wrong wrong
, ,
but but
that that
it it
' '
s s
ridiculous ridiculous
. .
These these
people people
, ,
many many
of of
whom whom
have have
lived live
in in
North north
Oxford oxford
, ,
have have
argued argue
â â
they they
' '
ve ve
argued argue
that that
believing believe
in in
God god
is be
akin akin
to to
believing believe
in in
fairies fairy
and and
essentially essentially
that that
the the
whole whole
thing thing
is be
a a
childish childish
game game
. .
Now now
I i
think think
it it
' '
s s
too too
easy easy
. .
I i
think think
it it
' '
s s
too too
easy easy
to to
dismiss dismiss
the the
whole whole
of of
religion religion
that that
way way
. .
And and
it it
' '
s s
as as
easy easy
as as
shooting shoot
fish fish
in in
a a
barrel barrel
. .
And and
what what
I i
' '
d d
like like
to to
inaugurate inaugurate
today today
is be
a a
new new
way way
of of
being be
an an
atheist atheist
â â
if if
you you
like like
, ,
a a
new new
version version
of of
atheism atheism
we we
could could
call call
Atheism atheism
2 @card@
. .
0 @card@
. .
Now now
what what
is be
Atheism atheism
2 @card@
. .
0 @card@
? ?
Well well
it it
starts start
from from
a a
very very
basic basic
premise premise
: :
of of
course course
, ,
there there
' '
s s
no no
God god
. .
Of of
course course
, ,
there there
are be
no no
deities deity
or or
supernatural supernatural
spirits spirit
or or
angels angel
, ,
etc etc
. .
Now now
let let
' '
s s
move move
on on
; ;
that that
' '
s s
not not
the the
end end
of of
the the
story story
, ,
that that
' '
s s
the the
very very
, ,
very very
beginning begin
. .
I i
' '
m m
interested interested
in in
the the
kind kind
of of
constituency constituency
that that
thinks think
something something
along along
these these
lines line
: :
that that
thinks think
, ,
" "
I i
can can
' '
t t
believe believe
in in
any any
of of
this this
stuff stuff
. .
I i
can can
' '
t t
believe believe
in in
the the
doctrines doctrine
. .
I i
don don
' '
t t
think think
these these
doctrines doctrine
are be
right right
. .
But but
, ,
" "
a a
very very
important important
but but
, ,
" "
I i
love love
Christmas christmas
carols carol
. .
I i
really really
like like
the the
art art
of of
Mantegna mantegna
. .
I i
really really
like like
looking look
at at
old old
churches church
. .
I i
really really
like like
turning turn
the the
pages page
of of
the the
Old old
Testament testament
. .
" "
Whatever whatever
it it
may may
be be
, ,
you you
know know
the the
kind kind
of of
thing thing
I i
' '
m m
talking talk
about about
â â
people people
who who
are be
attracted attract
to to
the the
ritualistic ritualistic
side side
, ,
the the
moralistic moralistic
, ,
communal communal
side side
of of
religion religion
, ,
but but
can can
' '
t t
bear bear
the the
doctrine doctrine
. .
Until until
now now
, ,
these these
people people
have have
faced face
a a
rather rather
unpleasant unpleasant
choice choice
. .
It it
' '
s s
almost almost
as as
though though
either either
you you
accept accept
the the
doctrine doctrine
and and
then then
you you
can can
have have
all all
the the
nice nice
stuff stuff
, ,
or or
you you
reject reject
the the
doctrine doctrine
and and
you you
' '
re re
living living
in in
some some
kind kind
of of
spiritual spiritual
wasteland wasteland
under under
the the
guidance guidance
of of
CNN cnn
and and
Walmart walmart
. .
So so
that that
' '
s s
a a
sort sort
of of
tough tough
choice choice
. .
I i
don don
' '
t t
think think
we we
have have
to to
make make
that that
choice choice
. .
I i
think think
there there
is be
an an
alternative alternative
. .
I i
think think
there there
are be
ways way
â â
and and
I i
' '
m m
being be
both both
very very
respectful respectful
and and
completely completely
impious impious
â â
of of
stealing steal
from from
religions religion
. .
If if
you you
don don
' '
t t
believe believe
in in
a a
religion religion
, ,
there there
' '
s s
nothing nothing
wrong wrong
with with
picking pick
and and
mixing mix
, ,
with with
taking take
out out
the the
best good
sides side
of of
religion religion
. .
And and
for for
me me
, ,
atheism atheism
2 @card@
. .
0 @card@
is be
about about
both both
, ,
as as
I i
say say
, ,
a a
respectful respectful
and and
an an
impious impious
way way
of of
going go
through through
religions religion
and and
saying say
, ,
" "
What what
here here
could could
we we
use use
? ?
" "
The the
secular secular
world world
is be
full full
of of
holes hole
. .
We we
have have
secularized secularize
badly badly
, ,
I i
would would
argue argue
. .
And and
a a
thorough thorough
study study
of of
religion religion
could could
give give
us us
all all
sorts sort
of of
insights insight
into into
areas area
of of
life life
that that
are be
not not
going go
too too
well well
. .
And and
I i
' '
d d
like like
to to
run run
through through
a a
few few
of of
these these
today today
. .
I i
' '
d d
like like
to to
kick kick
off off
by by
looking look
at at
education education
. .
Now now
education education
is be
a a
field field
the the
secular secular
world world
really really
believes believe
in in
. .
When when
we we
think think
about about
how how
we we
' '
re re
going go
to to
make make
the the
world world
a a
better good
place place
, ,
we we
think think
education education
; ;
that that
' '
s s
where where
we we
put put
a a
lot lot
of of
money money
. .
Education education
is be
going go
to to
give give
us us
, ,
not not
only only
commercial commercial
skills skill
, ,
industrial industrial
skills skill
, ,
it it
' '
s s
also also
going go
to to
make make
us us
better good
people people
. .
You you
know know
the the
kind kind
of of
thing thing
a a
commencement commencement
address address
is be
, ,
and and
graduation graduation
ceremonies ceremony
, ,
those those
lyrical lyrical
claims claim
that that
education education
, ,
the the
process process
of of
education education
â â
particularly particularly
higher high
education education
â â
will will
make make
us us
into into
nobler noble
