Whoa whoa
, ,
dude dude
. .
Check check
out out
those those
killer killer
equations equation
. .
Sweet sweet
. .
Actually actually
, ,
for for
the the
next next
18 @card@
minutes minute
I i
' '
m m
going go
to to
do do
the the
best good
I i
can can
to to
describe describe
the the
beauty beauty
of of
particle particle
physics physic
without without
equations equation
. .
It it
turns turn
out out
there there
' '
s s
a a
lot lot
we we
can can
learn learn
from from
coral coral
. .
A a
coral coral
is be
a a
very very
beautiful beautiful
and and
unusual unusual
animal animal
. .
Each each
coral coral
head head
consists consist
of of
thousands thousand
of of
individual individual
polyps polyp
. .
These these
polyps polyp
are be
continually continually
budding bud
and and
branching branch
into into
genetically genetically
identical identical
neighbors neighbor
. .
If if
we we
imagine imagine
this this
to to
be be
a a
hyperintelligent hyperintelligent
coral coral
, ,
we we
can can
single single
out out
an an
individual individual
and and
ask ask
him him
a a
reasonable reasonable
question question
. .
We we
can can
ask ask
how how
exactly exactly
he he
got get
to to
be be
in in
this this
particular particular
location location
compared compare
to to
his his
neighbors neighbor
— -
if if
it it
was be
just just
chance chance
, ,
or or
destiny destiny
, ,
or or
what what
? ?
Now now
, ,
after after
admonishing admonish
us us
for for
turning turn
the the
temperature temperature
up up
too too
high high
, ,
he he
would would
tell tell
us us
that that
our our
question question
was be
completely completely
stupid stupid
. .
These these
corals coral
can can
be be
kind kind
of of
mean mean
, ,
you you
see see
, ,
and and
I i
have have
surfing surfing
scars scar
to to
prove prove
that that
. .
But but
this this
polyp polyp
would would
continue continue
and and
tell tell
us us
that that
his his
neighbors neighbor
were be
quite quite
clearly clearly
identical identical
copies copy
of of
him him
. .
That that
he he
was be
in in
all all
these these
other other
locations location
as as
well well
, ,
but but
experiencing experience
them them
as as
separate separate
individuals individual
. .
For for
a a
coral coral
, ,
branching branch
into into
different different
copies copy
is be
the the
most most
natural natural
thing thing
in in
the the
world world
. .
Unlike unlike
us us
, ,
a a
hyperintelligent hyperintelligent
coral coral
would would
be be
uniquely uniquely
prepared prepare
to to
understand understand
quantum quantum
mechanics mechanic
. .
The the
mathematics mathematics
of of
quantum quantum
mechanics mechanic
very very
accurately accurately
describes describe
how how
our our
universe universe
works work
. .
And and
it it
tells tell
us us
our our
reality reality
is be
continually continually
branching branch
into into
different different
possibilities possibility
, ,
just just
like like
a a
coral coral
. .
It it
' '
s s
a a
weird weird
thing thing
for for
us us
humans human
to to
wrap wrap
our our
minds mind
around around
, ,
since since
we we
only only
ever ever
get get
to to
experience experience
one one
possibility possibility
. .
This this
quantum quantum
weirdness weirdness
was be
first first
described describe
by by
Erwin erwin
Schr��dinger schr��dinger
and and
his his
cat cat
. .
The the
cat cat
likes like
this this
version version
better well
. .
In in
this this
setup setup
, ,
Schr��dinger schr��dinger
is be
in in
a a
box box
with with
a a
radioactive radioactive
sample sample
that that
, ,
by by
the the
laws law
of of
quantum quantum
mechanics mechanic
, ,
branches branch
into into
a a
state state
in in
which which
it it
is be
radiated radiate
and and
a a
state state
in in
which which
it it
is be
not not
. .
In in
the the
branch branch
in in
which which
the the
sample sample
radiates radiate
, ,
it it
sets set
off off
a a
trigger trigger
that that
releases release
poison poison
and and
Schr��dinger schr��dinger
is be
dead dead
. .
But but
in in
the the
other other
branch branch
of of
reality reality
, ,
he he
remains remain
alive alive
. .
These these
realities reality
are be
experienced experience
separately separately
by by
each each
individual individual
. .
As as
far far
as as
either either
can can
tell tell
, ,
the the
other other
one one
doesn doesn
' '
t t
exist exist
. .
This this
seems seem
weird weird
to to
us us
, ,
because because
each each
of of
us us
only only
experiences experience
an an
individual individual
existence existence
, ,
and and
we we
don don
' '
t t
get get
to to
see see
other other
branches branch
. .
It it
' '
s s
as as
if if
each each
of of
us us
, ,
like like
Schr��dinger schr��dinger
here here
, ,
are be
a a
kind kind
of of
coral coral
branching branching
into into
different different
possibilities possibility
. .
The the
mathematics mathematics
of of
quantum quantum
mechanics mechanic
tells tell
us us
this this
is be
how how
the the
world world
works work
at at
tiny tiny
scales scale
. .
It it
can can
be be
summed sum
up up
in in
a a
single single
sentence sentence
: :
Everything everything
that that
can can
happen happen
, ,
does do
. .
That that
' '
s s
quantum quantum
