Everywhere everywhere
we we
look look
today today
, ,
we we
see see
the the
same same
picture picture
. .
A a
world world
divided divide
into into
us us
versus versus
them them
. .
Left leave
versus versus
right right
. .
Black black
versus versus
white white
. .
Jew jew
versus versus
Muslim muslim
. .
Victim victim
versus versus
oppressor oppressor
. .
We we
' '
re re
being be
programmed programme
to to
think think
that that
every every
issue issue
is be
binary binary
, ,
and and
our our
communities community
are be
increasingly increasingly
infected infect
by by
hate hate
and and
dehumanization dehumanization
. .
It it
' '
s s
easy easy
to to
nod nod
, ,
but but
the the
problem problem
is be
far far
more more
entrenched entrenched
than than
any any
of of
us us
realize realize
. .
Everyone everyone
here here
clearly clearly
sees see
the the
problem problem
on on
the the
other other
side side
. .
But but
none none
of of
us us
see see
it it
happening happen
to to
us us
. .
By by
blaming blame
the the
other other
for for
all all
of of
society society
' '
s s
ills ill
, ,
we we
abdicate abdicate
our our
responsibility responsibility
for for
fixing fix
the the
problem problem
and and
the the
opportunity opportunity
to to
work work
together together
on on
actual actual
solutions solution
. .
I i
don don
' '
t t
want want
to to
undermine undermine
the the
importance importance
of of
standing stand
up up
for for
what what
you you
believe believe
in in
. .
I i
' '
m m
a a
confused confused
Mexican mexican
Jew jew
with with
a a
lot lot
of of
Latin latin
Yiddish yiddish
passion passion
. .
But but
we we
' '
re re
going go
to to
be be
more more
effective effective
in in
advancing advance
our our
causes cause
once once
we we
frame frame
things thing
differently differently
. .
Instead instead
of of
us us
versus versus
them them
, ,
what what
if if
we we
understood understand
it it
as as
all all
of of
us us
versus versus
extremism extremism
? ?
The the
overwhelming overwhelming
majority majority
on on
all all
sides side
of of
almost almost
any any
issue issue
, ,
who who
are be
not not
hateful hateful
, ,
who who
do do
not not
deal deal
in in
absolutes absolute
, ,
who who
recognize recognize
the the
dignity dignity
of of
all all
, ,
versus versus
those those
who who
fall fall
prey prey
to to
extremist extremist
thinking thinking
that that
hijacks hijack
the the
agenda agenda
and and
our our
lives life
along along
with with
it it
. .
Note note
that that
the the
enemy enemy
here here
is be
a a
mindset mindset
, ,
not not
a a
person person
. .
Once once
we we
' '
re re
able able
to to
unlock unlock
this this
insight insight
, ,
we we
can can
expand expand
our our
horizons horizon
and and
replace replace
eternal eternal
conflict conflict
with with
practical practical
problem problem
solving solve
. .
But but
the the
challenge challenge
today today
is be
that that
those those
with with
extremist extremist
views view
every every
day day
wake wake
up up
in in
the the
morning morning
, ,
they they
think think
, ,
" "
How how
can can
I i
advance advance
my my
cause cause
? ?
" "
While while
moderates moderate
wake wake
up up
in in
the the
morning morning
and and
they they
think think
, ,
what what
can can
I i
have have
for for
breakfast breakfast
? ?
We we
don don
' '
t t
vote vote
in in
the the
primaries primary
. .
We we
don don
' '
t t
post post
passionate passionate
manifestos manifesto
advocating advocate
nuanced nuanced
thinking thinking
. .
We we
don don
' '
t t
run run
for for
office office
. .
And and
that that
' '
s s
how how
extremism extremism
hijacks hijack
the the
agenda agenda
. .
A a
person person
with with
extremist extremist
views view
that that
takes take
action action
to to
divide divide
, ,
demolish demolish
and and
diminish diminish
is be
a a
destroyer destroyer
. .
A a
human human
being be
who who
takes take
action action
to to
unite unite
, ,
to to
create create
and and
to to
bring bring
light light
to to
the the
world world
is be
a a
builder builder
. .
Common-sense common-sense
problem problem
solvers solver
need need
to to
get get
up up
in in
the the
morning morning
, ,
have have
their their
breakfast breakfast
-- --
it it
' '
s s
the the
most most
important important
meal meal
of of
the the
day day
-- --
and and
then then
start start
building building
. .
And and
this this
is be
what what
I i
' '
ve ve
been be
working work
on on
, ,
creating create
a a
community community
and and
a a
network network
of of
builders builder
. .
Some some
of of
you you
may may
know know
me me
from from
founding found
and and
building build
Kind kind
, ,
the the
healthy healthy
snack snack
company company
. .
Fewer few
people people
know know
that that
Kind kind
grew grow
out out
of of
an an
idea idea
that that
I i
had have
to to
use use
free free
market market
forces force
to to
foster foster
cooperation cooperation
among among
neighbors neighbor
trying try
to to
coexist coexist
in in
conflict conflict
regions region
. .
PeaceWorks peaceworks
brought bring
together together
Israelis israelis
, ,
Palestinians palestinians
, ,
Jordanians jordanian
, ,
Egyptians egyptian
and and
Turks turk
to to
trade trade
with with
one one
another another
, ,
to to
craft craft
a a
line line
of of
Mediterranean mediterranean
spreads spread
, ,
shattering shatter
stereotypes stereotype
, ,
cementing cement
economic economic
relationships relationship
and and
helping help
them them
discover discover
each each
other other
' '
s s
humanity humanity
. .
You you
may may
have have
heard hear
of of
the the
iconically iconically
succinct succinct
brand brand
we we
launched launch
: :
Moshe moshe
Pupik pupik
and and
Ali ali
Mishmunken mishmunken
' '
s s
World world
Famous famous
Gourmet gourmet
Foods foods
. .
I i
know know
you you
' '
re re
like like
, ,
man man
, ,
this this
guy guy
' '
s s
a a
marketing marketing
genius genius
with with
such such
an an
easy-to-remember easy-to-remember
brand brand
. .
But but
the the
trauma trauma
from from
that that
experience experience
is be
what what
made make
me me
just just
stick stick
to to
Kind kind
next next
time time
around around
. .
PeaceWorks peaceworks
was be
my my
first first
attempt attempt
to to
transform transform
" "
us us
versus versus
them them
" "
into into
a a
constructive constructive
framework framework
to to
help help
neighbors neighbor
, ,
former former
enemies enemy
, ,
advance advance
common common
goals goal
. .
A a
couple couple
decades decade
ago ago
, ,
I i
recognized recognize
the the
need need
to to
build build
a a
human human
infrastructure infrastructure
to to
overcome overcome
extremism extremism
in in
the the
Middle middle
East east
, ,
and and
I i
started start
partnering partner
with with
Israelis israelis
and and
Palestinians palestinians
to to
build build
such such
an an
infrastructure infrastructure
. .
And and
more more
recently recently
, ,
I i
started start
noticing notice
similar similar
patterns pattern
and and
needs need
in in
the the
United united
States states
. .
But but
we we
all all
now now
know know
that that
this this
is be
a a
global global
epidemic epidemic
, ,
which which
requires require
a a
global global
response response
. .
So so
we we
' '
ve ve
launched launch
a a
platform platform
to to
elevate elevate
builders builder
as as
an an
aspirational aspirational
identity identity
across across
the the
world world
, ,
and and
to to
equip equip
citizens citizen
with with
the the
mindset mindset
and and
toolkit toolkit
to to
seize seize
back back
the the
agenda agenda
. .
We we
have have
thus thus
far far
assembled assemble
over over
250 @card@
extraordinary extraordinary
leaders leader
across across
a a
broad broad
spectrum spectrum
of of
politics politics
that that
are be
committed commit
to to
help help
us us
build build
this this
network network
. .
And and
over over
three three
million million
citizens citizen
have have
joined join
us us
by by
either either
pledging pledge
to to
become become
builders builder
in in
their their
own own
communities community
and and
start start
chapters chapter
in in
their their
neighborhoods neighborhood
, ,
or or
by by
joining join
us us
on on
social social
media medium
. .
We we
have have
several several
initiatives initiative
to to
counteract counteract
the the
leading lead
forces force
contributing contribute
to to
toxic toxic
polarization polarization
. .
Let let
me me
share share
a a
couple couple
of of
examples example
. .
The the
way way
we we
absorb absorb
social social
media medium
and and
cable cable
news news
, ,
we we
tend tend
to to
be be
fed feed
all all
that that
we we
want want
to to
hear hear
, ,
rather rather
than than
what what
we we
may may
need need
to to
hear hear
, ,
and and
we we
only only
see see
the the
worst bad
from from
the the
other other
side side
, ,
leading lead
us us
to to
assume assume
evil evil
intent intent
on on
the the
part part
of of
the the
other other
. .
To to
counteract counteract
that that
, ,
Builders builders
Media media
produces produce
content content
thus thus
far far
in in
English english
, ,
Arabic arabic
and and
Hebrew hebrew
, ,
not not
so so
much much
to to
tell tell
you you
what what
to to
think think
but but
to to
strengthen strengthen
how how
you you
think think
. .
To to
equip equip
you you
with with
tools tool
to to
navigate navigate
differences difference
and and
absorb absorb
information information
in in
a a
way way
that that
will will
actually actually
help help
you you
solve solve
problems problem
. .
Another another
initiative initiative
we we
' '
ve ve
launched launch
is be
called call
Citizen citizen
Solutions solution
to to
replace replace
political political
stagnation stagnation
with with
constructive constructive
, ,
commonsense commonsense
proposals proposal
from from
engaged engaged
citizens citizen
. .
Our our
secret secret
is be
that that
there there
' '
s s
enormous enormous
hidden hidden
consensus consensus
on on
most most
of of
these these
seemingly seemingly
intractable intractable
issues issue
, ,
but but
we we
wouldn wouldn
' '
t t
know know
it it
because because
forces force
of of
division division
, ,
that that
profit profit
from from
that that
division division
, ,
try try
to to
distort distort
those those
issues issue
. .
Take take
gun gun
rights right
and and
gun gun
safety safety
in in
Tennessee tennessee
, ,
for for
example example
. .
Citizen citizen
Solutions solution
brought bring
together together
a a
group group
of of
local local
citizens citizen
with with
diverse diverse
viewpoints viewpoint
, ,
from from
a a
firearms firearm
instructor instructor
to to
an an
inner-city inner-city
school school
teacher teacher
. .
And and
it it
gave give
them them
tools tool
and and
methodologies methodology
to to
learn learn
the the
art art
of of
negotiation negotiation
. .
After after
six six
months month
, ,
the the
Tennessee tennessee
11 @card@
, ,
as as
they they
began begin
to to
call call
themselves themselves
, ,
had have
forged forge
eight eight
proposals proposal
, ,
which which
were be
then then
presented present
to to
30 @card@
, ,
000 @card@
Tennesseans tennesseans
to to
vote vote
on on
. .
And and
five five
of of
those those
proposals proposal
received receive
majority majority
consensus consensus
. .
They they
' '
re re
now now
in in
the the
process process
of of
propelling propel
their their
elected elect
representatives representative
to to
follow follow
the the
will will
of of
the the
people people
. .
The the
challenges challenge
are be
real real
. .
Hyper-partisan hyper-partisan
politicians politician
spend spend
more more
time time
sowing sow
division division
to to
raise raise
money money
than than
trying try
to to
address address
their their
constituents constituent
' '
needs need
. .
Cronyism cronyism
, ,
special special
interests interest
, ,
political political
parties party
that that
care care
more more
about about
amassing amass
power power
and and
scoring score
points point
against against
the the
other other
than than
actually actually
solving solve
problems problem
. .
The the
challenges challenge
are be
real real
. .
That that
means mean
we we
' '
re re
only only
going go
to to
be be
successful successful
if if
we we
all all
recognize recognize
the the
responsibility responsibility
to to
transcend transcend
hyper-partisan hyper-partisan
affiliations affiliation
and and
start start
supporting support
builders builder
and and
the the
reforms reform
necessary necessary
to to
help help
strengthen strengthen
those those
voices voice
, ,
regardless regardless
of of
partisan partisan
affiliations affiliation
. .
Most most
of of
us us
are be
uniters uniter
, ,
not not
dividers divider
. .
And and
because because
politics politics
tends tend
to to
be be
a a
dirty dirty
game game
of of
division division
, ,
we we
just just
stay stay
away away
from from
it it
. .
One one
of of
the the
hardest hard
things thing
for for
builders builder
is be
to to
stay stay
in in
the the
game game
, ,
to to
develop develop
a a
thick thick
skin skin
while while
retaining retain
our our
values value
. .
When when
others other
are be
dividing divide
, ,
for for
us us
to to
unite unite
. .
When when
others other
are be
self-righteous self-righteous
, ,
for for
us us
to to
be be
self-reflective self-reflective
. .
When when
others other
demonize demonize
, ,
for for
us us
to to
remain remain
compassionate compassionate
and and
stay stay
focused focus
on on
the the
goal goal
at at
hand hand
, ,
which which
is be
to to
solve solve
problems problem
for for
our our
communities community
. .
