Roughly roughly
43 @card@
, ,
000 @card@
years year
ago ago
, ,
a a
young young
cave cave
bear bear
died die
in in
the the
rolling roll
hills hill
on on
the the
northwest northwest
border border
of of
modern modern
day day
Slovenia slovenia
. .
A a
thousand thousand
years year
later later
, ,
a a
mammoth mammoth
died die
in in
southern southern
Germany germany
. .
A a
few few
centuries century
after after
that that
, ,
a a
griffon griffon
vulture vulture
also also
died die
in in
the the
same same
vicinity vicinity
. .
And and
we we
know know
almost almost
nothing nothing
about about
how how
these these
animals animal
met meet
their their
deaths death
, ,
but but
these these
different different
creatures creature
dispersed disperse
across across
both both
time time
and and
space space
did do
share share
one one
remarkable remarkable
fate fate
. .
After after
their their
deaths death
, ,
a a
bone bone
from from
each each
of of
their their
skeletons skeleton
was be
crafted craft
by by
human human
hands hand
into into
a a
flute flute
. .
Think think
about about
that that
for for
a a
second second
. .
Imagine imagine
you you
' '
re re
a a
caveman caveman
, ,
40 @card@
, ,
000 @card@
years year
ago ago
. .
You you
' '
ve ve
mastered master
fire fire
. .
You you
' '
ve ve
built build
simple simple
tools tool
for for
hunting hunting
. .
You you
' '
ve ve
learned learn
how how
to to
craft craft
garments garment
from from
animal animal
skins skin
to to
keep keep
yourself yourself
warm warm
in in
the the
winter winter
. .
What what
would would
you you
choose choose
to to
invent invent
next next
? ?
It it
seems seem
preposterous preposterous
that that
you you
would would
invent invent
the the
flute flute
, ,
a a
tool tool
that that
created create
useless useless
vibrations vibration
in in
air air
molecules molecule
. .
But but
that that
is be
exactly exactly
what what
our our
ancestors ancestor
did do
. .
Now now
this this
turns turn
out out
to to
be be
surprisingly surprisingly
common common
in in
the the
history history
of of
innovation innovation
. .
Sometimes sometimes
people people
invent invent
things thing
because because
they they
want want
to to
stay stay
alive alive
or or
feed feed
their their
children child
or or
conquer conquer
the the
village village
next next
door door
. .
But but
just just
as as
often often
, ,
new new
ideas idea
come come
into into
the the
world world
simply simply
because because
they they
' '
re re
fun fun
. .
And and
here here
' '
s s
the the
really really
strange strange
thing thing
: :
many many
of of
those those
playful playful
but but
seemingly seemingly
frivolous frivolous
inventions invention
ended end
up up
sparking spark
momentous momentous
transformations transformation
in in
science science
, ,
in in
politics politics
and and
society society
. .
Take take
what what
may may
be be
the the
most most
important important
invention invention
of of
modern modern
times time
: :
programmable programmable
computers computer
. .
Now now
, ,
the the
standard standard
story story
is be
that that
computers computer
descend descend
from from
military military
technology technology
, ,
since since
many many
of of
the the
early early
computers computer
were be
designed design
