Chris chris
Anderson anderson
: :
Welcome welcome
, ,
Bill bill
Gates gates
. .
Bill bill
Gates gates
: :
Thank thank
you you
. .
CA ca
: :
Alright alright
. .
It it
' '
s s
great great
to to
have have
you you
here here
, ,
Bill bill
. .
You you
know know
, ,
we we
had have
a a
TED ted
conversation conversation
about about
three three
months month
ago ago
about about
this this
pandemic pandemic
, ,
and and
back back
then then
, ,
I i
think think
fewer few
than than
-- --
I i
think think
that that
was be
the the
end end
of of
March march
-- --
back back
then then
, ,
fewer few
than than
1 @card@
, ,
000 @card@
people people
in in
the the
US us
had have
died die
and and
fewer few
than than
20 @card@
, ,
000 @card@
worldwide worldwide
. .
I i
mean mean
, ,
the the
numbers number
now now
are be
, ,
like like
, ,
128 @card@
, ,
000 @card@
dead dead
in in
the the
US us
and and
more more
than than
half half
a a
million million
worldwide worldwide
, ,
in in
three three
months month
. .
In in
three three
months month
. .
What what
is be
your your
diagnosis diagnosis
of of
what what
is be
possible possible
for for
the the
rest rest
of of
this this
year year
? ?
You you
look look
at at
a a
lot lot
of of
models model
. .
What what
do do
you you
think think
best- best-
and and
worst-case worst-case
scenarios scenario
might might
be be
? ?
BG bg
: :
Well well
, ,
the the
range range
of of
scenarios scenario
, ,
sadly sadly
, ,
is be
quite quite
large large
, ,
including include
that that
, ,
as as
we we
get get
into into
the the
fall fall
, ,
we we
could could
have have
death death
rates rate
that that
rival rival
the the
worst bad
of of
what what
we we
had have
in in
the the
April april
time time
period period
. .
If if
you you
get get
a a
lot lot
of of
young young
people people
infected infected
, ,
eventually eventually
, ,
they they
will will
infect infect
old old
people people
again again
, ,
and and
so so
you you
' '
ll ll
get get
into into
the the
nursing nursing
homes home
, ,
the the
homeless homeless
shelters shelter
, ,
the the
places place
where where
we we
' '
ve ve
had have
a a
lot lot
of of
our our
deaths death
. .
The the
innovation innovation
track track
, ,
which which
probably probably
we we
' '
ll ll
touch touch
on on
-- --
diagnostics diagnostic
, ,
therapeutics therapeutics
, ,
vaccines vaccine
-- --
there there
' '
s s
good good
progress progress
there there
, ,
but but
nothing nothing
that that
would would
fundamentally fundamentally
alter alter
the the
fact fact
that that
this this
fall fall
in in
the the
United united
States states
could could
be be
quite quite
bad bad
, ,
and and
that that
' '
s s
worse worse
than than
I i
would would
have have
expected expect
