Chris chris
Anderson anderson
: :
Elon elon
Musk musk
, ,
great great
to to
see see
you you
. .
How how
are be
you you
? ?
Elon elon
Musk musk
: :
Good good
. .
How how
are be
you you
? ?
CA ca
: :
We we
' '
re re
here here
at at
the the
Texas texas
Gigafactory gigafactory
the the
day day
before before
this this
thing thing
opens open
. .
It it
' '
s s
been be
pretty pretty
crazy crazy
out out
there there
. .
Thank thank
you you
so so
much much
for for
making make
time time
on on
a a
busy busy
day day
. .
I i
would would
love love
you you
to to
help help
us us
, ,
kind kind
of of
, ,
cast cast
our our
minds mind
, ,
I i
don don
' '
t t
know know
, ,
10 @card@
, ,
20 @card@
, ,
30 @card@
years year
into into
the the
future future
. .
And and
help help
us us
try try
to to
picture picture
what what
it it
would would
take take
to to
build build
a a
future future
that that
' '
s s
worth worth
getting get
excited excited
about about
. .
The the
last last
time time
you you
spoke speak
at at
TED ted
, ,
you you
said say
that that
that that
was be
really really
just just
a a
big big
driver driver
. .
You you
know know
, ,
you you
can can
talk talk
about about
lots lot
of of
other other
reasons reason
to to
do do
the the
work work
you you
' '
re re
doing do
, ,
but but
fundamentally fundamentally
, ,
you you
want want
to to
think think
about about
the the
future future
and and
not not
think think
that that
it it
sucks suck
. .
EM em
: :
Yeah yeah
, ,
absolutely absolutely
. .
I i
think think
in in
general general
, ,
you you
know know
, ,
there there
' '
s s
a a
lot lot
of of
discussion discussion
of of
like like
, ,
this this
problem problem
or or
that that
problem problem
. .
And and
a a
lot lot
of of
people people
are be
sad sad
about about
the the
future future
and and
they they
' '
re re
. .
. .
. .
Pessimistic pessimistic
. .
And and
I i
think think
. .
. .
. .
this this
is be
. .
. .
. .
This this
is be
not not
great great
. .
I i
mean mean
, ,
we we
really really
want want
to to
wake wake
up up
in in
the the
morning morning
and and
look look
forward forward
to to
the the
future future
. .
We we
want want
to to
be be
excited excite
about about
what what
' '
s s
going go
to to
happen happen
. .
And and
life life
cannot can
simply simply
be be
about about
sort sort
of of
, ,
solving solve
one one
miserable miserable
problem problem
after after
another another
. .
CA ca
: :
So so
if if
you you
look look
forward forward
30 @card@
years year
, ,
you you
know know
, ,
the the
year year
2050 @card@
has have
been be
labeled label
by by
scientists scientist
as as
this this
, ,
kind kind
of of
, ,
almost almost
like like
this this
doomsday doomsday
