Modern modern
engineering engineering
focuses focus
on on
rotating rotate
motors motor
to to
power power
almost almost
any any
machine machine
. .
It it
has have
taken take
about about
200 @card@
years year
for for
motors motor
to to
become become
what what
they they
are be
today today
. .
And and
they they
' '
re re
still still
loud loud
and and
unnatural unnatural
in in
their their
ways way
. .
The the
constant constant
noise noise
of of
machines machine
causes cause
problems problem
for for
living live
beings being
everywhere everywhere
, ,
both both
in in
the the
ocean ocean
and and
also also
on on
land land
. .
Humans human
who who
are be
constantly constantly
exposed expose
to to
noise noise
can can
become become
stressed stress
, ,
depressed depress
and and
even even
develop develop
tinnitus tinnitus
. .
In in
contrast contrast
, ,
there there
are be
no no
rotating rotate
motors motor
in in
nature nature
. .
Nature nature
often often
smoothly smoothly
, ,
glides glide
, ,
swims swim
or or
wiggles wiggle
, ,
without without
the the
rattling rattle
of of
rigid rigid
parts part
or or
the the
loud loud
rubbing rubbing
of of
surfaces surface
. .
I i
believe believe
we we
can can
and and
should should
rehaul rehaul
our our
approach approach
to to
how how
we we
make make
machines machine
. .
Instead instead
of of
using use
rigid rigid
or or
unnatural unnatural
materials material
, ,
what what
if if
we we
made make
biomimetic biomimetic
machines machine
? ?
Machines machine
made make
of of
soft soft
or or
living living
materials material
that that
are be
adaptive adaptive
and and
safe safe
to to
use use
in in
a a
variety variety
of of
everyday everyday
tasks task
? ?
Can can
you you
imagine imagine
boats boat
or or
submarines submarine
that that
propel propel
themselves themselves
by by
moving move
their their
tails tail
from from
side side
to to
side side
, ,
just just
like like
fish fish
do do
? ?
So so
to to
imitate imitate
these these
natural natural
movements movement
, ,
we we
have have
to to
replace replace
rotating rotate
motors motor
and and
fast fast
, ,
spinning spinning
propellers propeller
with with
artificial artificial
muscles muscle
. .
And and
I i
can can
tell tell
you you
this this
, ,
this this
can can
be be
done do
. .
Our our
team team
of of
researchers researcher
at at
MIT mit
and and
ETH eth
Zurich zurich
has have
started start
to to
develop develop
less less
disruptive disruptive
robots robot
by by
introducing introduce
a a
new new
, ,
biomimetic biomimetic
way way
of of
moving move
through through
water water
. .
We we
created create
a a
biomimetic biomimetic
robotic robotic
fish fish
. .
Her her
name name
is be
Sophie sophie
. .
She she
' '
s s
the the
first first
demonstration demonstration
of of
a a
fully fully
untethered untethered
, ,
soft soft
robot robot
that that
can can
explore explore
the the
ocean ocean
without without
the the
need need
for for
propellers propeller
. .
Sophie sophie
pumps pump
water water
back back
and and
forth forth
within within
a a
highly highly
deformable deformable
tail tail
. .
Her her
tail tail
movement movement
imitates imitate
the the
natural natural
swimming swimming
motion motion
of of
real real
fish fish
. .
Sophie sophie
' '
s s
natural natural
design design
allows allow
her her
to to
closely closely
monitor monitor
aquatic aquatic
life life
. .
Now now
, ,
there there
' '
s s
a a
catch catch
. .
Sophie sophie
is be
energy-hungry energy-hungry
and and
loud loud
. .
Yes yes
, ,
we we
successfully successfully
managed manage
to to
build build
a a
robot robot
that that
swims swim
like like
a a
fish fish
, ,
but but
. .
. .
. .
Sophie sophie
requires require
a a
motor motor
and and
a a
pump pump
to to
properly properly
work work
. .
Now now
we we
are be
replacing replace
that that
motor motor
and and
pump pump
, ,
which which
is be
noisy noisy
and and
not not
desired desire
in in
such such
a a
way way
, ,
we we
' '
re re
replacing replace
it it
with with
silent silent
, ,
artificial artificial
muscles muscle
. .
These these
muscles muscle
are be
called call
HASELs hasels
. .
They they
directly directly
and and
efficiently efficiently
convert convert
electrical electrical
energy energy
into into
muscle muscle
