Let let
' '
s s
play play
a a
game game
. .
Imagine imagine
that that
you you
are be
in in
Las las
Vegas vegas
, ,
in in
a a
casino casino
, ,
and and
you you
decide decide
to to
play play
a a
game game
on on
one one
of of
the the
casino casino
' '
s s
computers computer
, ,
just just
like like
you you
might might
play play
solitaire solitaire
or or
chess chess
. .
The the
computer computer
can can
make make
moves move
in in
the the
game game
, ,
just just
like like
a a
human human
player player
. .
This this
is be
a a
coin coin
game game
. .
It it
starts start
with with
a a
coin coin
showing show
heads head
, ,
and and
the the
computer computer
will will
play play
first first
. .
It it
can can
choose choose
to to
flip flip
the the
coin coin
or or
not not
, ,
but but
you you
don don
' '
t t
get get
to to
see see
the the
outcome outcome
. .
Next next
, ,
it it
' '
s s
your your
turn turn
. .
You you
can can
also also
choose choose
to to
flip flip
the the
coin coin
or or
not not
, ,
and and
your your
move move
will will
not not
be be
revealed reveal
to to
your your
opponent opponent
, ,
the the
computer computer
. .
Finally finally
, ,
the the
computer computer
plays play
again again
, ,
and and
can can
flip flip
the the
coin coin
or or
not not
, ,
and and
after after
these these
three three
rounds round
, ,
the the
coin coin
is be
revealed reveal
, ,
and and
if if
it it
is be
heads head
, ,
the the
computer computer
wins win
, ,
if if
it it
' '
s s
tails tail
, ,
you you
win win
. .
So so
it it
' '
s s
a a
pretty pretty
simple simple
game game
, ,
and and
if if
everybody everybody
plays play
honestly honestly
, ,
and and
the the
coin coin
is be
fair fair
, ,
then then
you you
have have
a a
50 @card@
percent percent
chance chance
of of
winning win
this this
game game
. .
And and
to to
confirm confirm
that that
, ,
I i
asked ask
my my
students student
to to
play play
this this
game game
on on
our our
computers computer
, ,
and and
after after
many many
, ,
many many
tries try
, ,
their their
winning winning
rate rate
ended end
up up
being be
50 @card@
percent percent
, ,
or or
close close
to to
50 @card@
percent percent
, ,
as as
expected expect
. .
Sounds sound
like like
a a
boring boring
game game
, ,
right right
? ?
But but
what what
if if
you you
could could
play play
this this
game game
on on
a a
quantum quantum
computer computer
? ?
Now now
, ,
Las las
Vegas vegas
casinos casino
do do
not not
have have
quantum quantum
computers computer
, ,
as as
far far
as as
I i
know know
, ,
but but
IBM ibm
has have
built build
a a
working work
quantum quantum
computer computer
. .
Here here
it it
is be
. .
But but
what what
is be
a a
quantum quantum
computer computer
? ?
Well well
, ,
quantum quantum
physics physics
describes describe
the the
behavior behavior
of of
atoms atom
and and
fundamental fundamental
particles particle
, ,
like like
electrons electron
and and
photons photon
. .
So so
a a
quantum quantum
computer computer
operates operate
by by
controlling control
the the
behavior behavior
of of
these these
particles particle
, ,
but but
in in
a a
way way
that that
is be
completely completely
different different
from from
our our
regular regular
computers computer
. .
So so
a a
quantum quantum
computer computer
is be
not not
just just
a a
more more
powerful powerful
version version
of of
our our
current current
computers computer
, ,
just just
like like
a a
light light
bulb bulb
is be
not not
a a
more more
powerful powerful
candle candle
. .
You you
cannot can
build build
a a
light light
bulb bulb
by by
building build
better good
and and
better good
candles candle
. .
