Exactly exactly
12 @card@
years year
ago ago
in in
a a
TEDx tedx
Talk talk
, ,
I i
introduced introduce
my my
seven seven
species specie
of of
robot robot
. .
A a
unique unique
three-legged three-legged
robot robot
called call
STriDER strider
, ,
a a
wheel-leg wheel-leg
hybrid hybrid
robot robot
called call
IMPASS impass
, ,
an an
amoeba amoeba
robot robot
and and
many many
more more
. .
Now now
, ,
12 @card@
years year
is be
a a
pretty pretty
long long
time time
, ,
especially especially
in in
a a
cutting-edge cutting-edge
field field
like like
robotics robotic
. .
How how
have have
our our
robots robot
evolved evolve
during during
the the
past past
12 @card@
years year
? ?
What what
new new
species specie
of of
robot robot
have have
we we
built build
since since
then then
? ?
Hello hello
, ,
my my
name name
is be
Dennis dennis
Hong hong
, ,
and and
today today
, ,
I i
would would
like like
to to
show show
you you
our our
next next
seven seven
species specie
of of
robot robot
. .
Since since
my my
last last
TEDx tedx
Talk talk
, ,
we we
' '
ve ve
been be
focusing focus
on on
the the
development development
of of
humanoid humanoid
robots robot
: :
robots robot
that that
look look
like like
us us
, ,
two two
legs leg
, ,
torso torso
, ,
two two
arms arm
and and
a a
head head
. .
Let let
me me
show show
you you
some some
of of
the the
humanoid humanoid
robots robot
that that
we we
developed develop
at at
our our
lab lab
, ,
RoMeLa romela
. .
DARwIn darwin
is be
a a
miniature miniature
humanoid humanoid
robot robot
for for
research research
and and
education education
that that
we we
made make
fully fully
open-source open-source
. .
CHARLI charli
is be
considered consider
the the
United united
States states
' '
very very
first first
full-sized full-sized
humanoid humanoid
robot robot
. .
THOR-RD thor-rd
is be
for for
disaster disaster
relief relief
applications application
and and
Shipboard shipboard
Autonomous autonomous
Fire fire
fighting fighting
Robot robot
, ,
SAFFiR saffir
and and
THOR thor
, ,
which which
uses use
this this
unique unique
biologically-inspired biologically-inspired
actuator actuator
. .
And and
many many
more more
. .
I i
think think
we we
built build
more more
than than
a a
dozen dozen
different different
types type
of of
humanoid humanoid
robots robot
. .
However however
, ,
after after
more more
than than
a a
decade decade
of of
humanoid humanoid
robotics robotic
research research
, ,
I i
' '
m m
starting start
to to
have have
different different
thoughts thought
. .
Now now
humanoid humanoid
robots robot
are be
important important
and and
they they
' '
re re
great great
. .
However however
, ,
they they
always always
fall fall
down down
, ,
they they
' '
re re
too too
unstable unstable
. .
And and
they they
' '
re re
painfully painfully
slow slow
. .
Yes yes
, ,
these these
days day
we we
' '
re re
trying try
to to
develop develop
technology technology
that that
resolves resolve
these these
two two
problems problem
, ,
but but
still still
, ,
they they
are be
too too
expensive expensive
and and
they they
' '
re re
too too
complicated complicate
. .
And and
most most
importantly importantly
, ,
they they
' '
re re
too too
dangerous dangerous
. .
You you
do do
not not
want want
to to
be be
next next
to to
these these
big big
, ,
heavy heavy
moving move
robots robot
. .
It it
might might
fall fall
on on
top top
of of
you you
. .
So so
what what
do do
we we
do do
? ?
Now now
, ,
why why
is be
it it
so so
difficult difficult
to to
make make
robots robot
walk walk
with with
two two
feet foot
? ?
I i
mean mean
, ,
we we
do do
it it
all all
the the
time time
. .
So so
once once
I i
wanted want
to to
throw throw
away away
everything everything
I i
know know
about about
robotics robotic
for for
a a
moment moment
and and
try try
to to
think think
fundamentally fundamentally
, ,
why why
is be
it it
so so
