Every every
day day
we we
face face
issues issue
like like
climate climate
change change
or or
the the
safety safety
of of
vaccines vaccine
where where
we we
have have
to to
answer answer
questions question
whose whose
answers answer
rely rely
heavily heavily
on on
scientific scientific
information information
. .
Scientists scientist
tell tell
us us
that that
the the
world world
is be
warming warm
. .
Scientists scientist
tell tell
us us
that that
vaccines vaccine
are be
safe safe
. .
But but
how how
do do
we we
know know
if if
they they
are be
right right
? ?
Why why
should should
be be
believe believe
the the
science science
? ?
The the
fact fact
is be
, ,
many many
of of
us us
actually actually
don don
' '
t t
believe believe
the the
science science
. .
Public public
opinion opinion
polls poll
consistently consistently
show show
that that
significant significant
proportions proportion
of of
the the
American american
people people
don don
' '
t t
believe believe
the the
climate climate
is be
warming warm
due due
to to
human human
activities activity
, ,
don don
' '
t t
think think
that that
there there
is be
evolution evolution
by by
natural natural
selection selection
, ,
and and
aren aren
' '
t t
persuaded persuade
by by
the the
safety safety
of of
vaccines vaccine
. .
So so
why why
should should
we we
believe believe
the the
science science
? ?
Well well
, ,
scientists scientist
don don
' '
t t
like like
talking talk
about about
science science
as as
a a
matter matter
of of
belief belief
. .
In in
fact fact
, ,
they they
would would
contrast contrast
science science
with with
faith faith
, ,
and and
they they
would would
say say
belief belief
is be
the the
domain domain
of of
faith faith
. .
And and
faith faith
is be
a a
separate separate
thing thing
apart apart
and and
distinct distinct
from from
science science
. .
Indeed indeed
they they
would would
say say
religion religion
is be
based base
on on
faith faith
or or
maybe maybe
the the
calculus calculus
of of
Pascal pascal
' '
s s
wager wager
. .
Blaise blaise
Pascal pascal
was be
a a
17th-century 17th-century
mathematician mathematician
who who
tried try
to to
bring bring
scientific scientific
reasoning reasoning
to to
the the
question question
of of
whether whether
or or
not not
he he
should should
believe believe
in in
God god
, ,
and and
his his
wager wager
went go
like like
this this
: :
Well well
, ,
if if
God god
doesn doesn
' '
t t
exist exist
but but
I i
decide decide
to to
believe believe
in in
him him
nothing nothing
much much
is be
really really
lost lose
. .
Maybe maybe
a a
few few
hours hour
on on
Sunday sunday
. .
But but
if if
he he
does do
exist exist
and and
I i
don don
' '
t t
believe believe
in in
him him
, ,
then then
I i
' '
m m
in in
deep deep
trouble trouble
. .
And and
so so
Pascal pascal
said say
, ,
we we
' '
d d
better well
believe believe
in in
God god
. .
Or or
as as
one one
of of
my my
college college
professors professor
said say
, ,
" "
He he
clutched clutch
for for
the the
handrail handrail
of of
faith faith
. .
" "
He he
made make
that that
leap leap
of of
faith faith
leaving leave
science science
and and
rationalism rationalism
behind behind
. .
Now now
the the
fact fact
is be
though though
, ,
for for
most most
of of
us us
, ,
most most
scientific scientific
claims claim
are be
a a
leap leap
of of
faith faith
. .
We we
can can
' '
t t
really really
judge judge
scientific scientific
claims claim
for for
ourselves ourselves
in in
most most
cases case
. .
And and
indeed indeed
this this
is be
actually actually
true true
for for
most most
scientists scientist
as as
well well
outside outside
of of
their their
own own
specialties specialty
. .
So so
if if
you you
think think
about about
it it
, ,
a a
geologist geologist
can can
' '
t t
tell tell
you you
whether whether
a a
vaccine vaccine
is be
safe safe
. .
Most most
chemists chemist
are be
not not
experts expert
in in
evolutionary evolutionary
theory theory
. .
A a
physicist physicist
cannot can
tell tell
you you
, ,
despite despite
the the
claims claim
of of
some some
of of
them them
, ,
whether whether
or or
not not
tobacco tobacco
causes cause
cancer cancer
. .
So so
, ,
if if
even even
scientists scientist
themselves themselves
have have
to to
make make
a a
leap leap
of of
faith faith
outside outside
their their
own own
fields field
, ,
then then
why why
do do
they they
accept accept
the the
claims claim
of of
other other
scientists scientist
? ?
Why why
do do
they they
believe believe
each each
other other
' '
s s
claims claim
? ?
And and
should should
we we
believe believe
those those
claims claim
? ?
So so
what what
I i
' '
d d
like like
to to
argue argue
is be
yes yes
, ,
we we
should should
, ,
but but
not not
for for
the the
reason reason
that that
most most
of of
us us
think think
. .
Most most
of of
us us
were be
taught teach
in in
school school
that that
the the
reason reason
we we
should should
believe believe
in in
science science
is be
because because
of of
the the
scientific scientific
method method
. .
We we
were be
taught teach
that that
scientists scientist
follow follow
a a
method method
and and
that that
this this
method method
guarantees guarantee
the the
truth truth
of of
their their
claims claim
. .
The the
method method
that that
most most
of of
us us
were be
taught teach
in in
school school
, ,
we we
can can
call call
it it
the the
textbook textbook
method method
, ,
is be
the the
hypothetical hypothetical
deductive deductive
method method
. .
According accord
to to
the the
standard standard
model model
, ,
the the
textbook textbook
model model
, ,
scientists scientist
develop develop
hypotheses hypothesis
, ,
they they
deduce deduce
the the
consequences consequence
of of
those those
hypotheses hypothesis
, ,
and and
then then
they they
go go
out out
into into
the the
world world
and and
they they
say say
, ,
" "
Okay okay
, ,
well well
are be
those those
consequences consequence
true true
? ?
" "
Can can
we we
observe observe
them them
taking take
place place
in in
the the
natural natural
world world
? ?
And and
if if
they they
are be
true true
, ,
then then
the the
scientists scientist
say say
, ,
" "
Great great
, ,
we we
know know
the the
hypothesis hypothesis
is be
correct correct
. .
" "
So so
there there
are be
many many
famous famous
examples example
in in
the the
history history
of of
science science
of of
scientists scientist
doing do
exactly exactly
this this
. .
One one
of of
the the
most most
famous famous
examples example
comes come
from from
the the
work work
of of
Albert albert
Einstein einstein
. .
When when
Einstein einstein
developed develop
the the
theory theory
of of
general general
relativity relativity
, ,
one one
of of
the the
consequences consequence
of of
his his
theory theory
was be
that that
space-time space-time
wasn wasn
' '
t t
just just
an an
empty empty
void void
but but
that that
it it
actually actually
had have
a a
fabric fabric
. .
And and
that that
that that
fabric fabric
was be
bent bend
in in
the the
presence presence
of of
massive massive
objects object
like like
the the
sun sun
. .
So so
if if
this this
theory theory
were be
true true
then then
it it
meant mean
that that
light light
as as
it it
passed pass
the the
sun sun
should should
actually actually
be be
bent bend
around around
it it
. .
That that
was be
a a
pretty pretty
startling startling
prediction prediction
and and
it it
took take
a a
few few
years year
before before
scientists scientist
were be
able able
to to
test test
it it
but but
they they
did do
test test
it it
in in
1919 @card@
, ,
and and
lo lo
and and
behold behold
it it
turned turn
out out
to to
be be
true true
. .
Starlight starlight
actually actually
does do
bend bend
as as
it it
travels travel
around around
the the
sun sun
. .
This this
was be
a a
huge huge
confirmation confirmation
of of
the the
theory theory
. .
It it
was be
considered consider
proof proof
of of
the the
truth truth
of of
this this
radical radical
new new
idea idea
, ,
and and
it it
was be
written write
up up
in in
many many
newspapers newspaper
around around
the the
globe globe
. .
Now now
, ,
