Thank thank
you you
. .
It it
' '
s s
really really
an an
honor honor
and and
a a
privilege privilege
to to
be be
here here
spending spend
my my
last last
day day
as as
a a
teenager teenager
. .
Today today
I i
want want
to to
talk talk
to to
you you
about about
the the
future future
, ,
but but
first first
I i
' '
m m
going go
to to
tell tell
you you
a a
bit bit
about about
the the
past past
. .
My my
story story
starts start
way way
before before
I i
was be
born bear
. .
My my
grandmother grandmother
was be
on on
a a
train train
to to
Auschwitz auschwitz
, ,
the the
death death
camp camp
. .
And and
she she
was be
going go
along along
the the
tracks track
, ,
and and
the the
tracks track
split split
. .
And and
somehow somehow
— -
we we
don don
' '
t t
really really
know know
exactly exactly
the the
whole whole
story story
— -
but but
the the
train train
took take
the the
wrong wrong
track track
and and
went go
to to
a a
work work
camp camp
rather rather
than than
the the
death death
camp camp
. .
My my
grandmother grandmother
survived survive
and and
married marry
my my
grandfather grandfather
. .
They they
were be
living live
in in
Hungary hungary
, ,
and and
my my
mother mother
was be
born bear
. .
And and
when when
my my
mother mother
was be
two two
years year
old old
, ,
the the
Hungarian hungarian
revolution revolution
was be
raging rage
, ,
and and
they they
decided decide
to to
escape escape
Hungary hungary
. .
They they
got get
on on
a a
boat boat
, ,
and and
yet yet
another another
divergence divergence
— -
the the
boat boat
was be
either either
going go
to to
Canada canada
or or
to to
Australia australia
. .
They they
got get
on on
and and
didn didn
' '
t t
know know
where where
they they
were be
going go
, ,
and and
ended end
up up
in in
Canada canada
. .
So so
, ,
to to
make make
a a
long long
story story
short short
, ,
they they
came come
to to
Canada canada
. .
My my
grandmother grandmother
was be
a a
chemist chemist
. .
She she
worked work
at at
the the
Banting bant
Institute institute
in in
Toronto toronto
, ,
and and
at at
44 @card@
she she
died die
of of
stomach stomach
cancer cancer
. .
I i
never never
met meet
my my
grandmother grandmother
, ,
but but
I i
carry carry
on on
her her
name name
— -
her her
exact exact
name name
, ,
Eva eva
Vertes vertes
— -
and and
I i
like like
to to
think think
I i
carry carry
on on
her her
scientific scientific
passion passion
, ,
too too
. .
I i
found find
this this
passion passion
not not
far far
from from
here here
, ,
actually actually
, ,
when when
I i
was be
nine nine
years year
old old
. .
My my
family family
was be
on on
a a
road road
trip trip
and and
we we
were be
in in
the the
Grand grand
Canyon canyon
. .
And and
I i
had have
never never
been be
a a
reader reader
when when
I i
was be
young young
— -
my my
dad dad
had have
tried try
me me
with with
the the
Hardy hardy
Boys boys
; ;
I i
tried try
Nancy nancy
Drew drew
; ;
I i
