Think think
back back
to to
your your
biggest big
setback setback
. .
Not not
an an
obstacle obstacle
, ,
not not
a a
mistake mistake
. .
A a
setback setback
is be
defined define
as as
a a
reversal reversal
or or
check check
in in
progress progress
. .
It it
' '
s s
when when
you you
' '
re re
on on
a a
path path
, ,
you you
' '
re re
moving move
forward forward
, ,
and and
you you
are be
unexpectedly unexpectedly
bumped bump
backwards backwards
. .
Through through
all all
my my
years year
as as
a a
journalist journalist
, ,
I i
have have
interviewed interview
hundreds hundred
of of
founders founder
, ,
business business
leaders leader
, ,
senators senator
, ,
celebrities celebrity
, ,
cultural cultural
icons icon
. .
And and
in in
every every
interview interview
, ,
I i
saw see
a a
common common
theme theme
. .
What what
they they
learned learn
during during
their their
biggest big
setback setback
led lead
them them
to to
their their
most most
successful successful
venture venture
. .
I i
wanted want
to to
know know
why why
. .
Perhaps perhaps
if if
I i
could could
learn learn
from from
it it
, ,
I i
could could
understand understand
it it
, ,
and and
I i
could could
help help
others other
work work
through through
their their
next next
inevitable inevitable
setback setback
and and
come come
out out
the the
other other
side side
with with
a a
sense sense
of of
resilience resilience
, ,
creativity creativity
, ,
and and
hopefully hopefully
success success
. .
So so
I i
spent spend
three three
years year
doing do
a a
deep deep
dive dive
into into
research research
, ,
interviewing interview
psychologists psychologist
, ,
executive executive
coaches coach
, ,
a a
neuroscientist neuroscientist
, ,
reading read
academic academic
papers paper
, ,
every every
business business
book book
I i
could could
get get
my my
hands hand
on on
, ,
all all
to to
come come
up up
with with
the the
framework framework
now now
known know
as as
the the
Setback setback
Cycle cycle
. .
I i
did do
all all
of of
this this
while while
holding hold
down down
a a
full full
time time
job job
at at
a a
marketing marketing
agency agency
. .
Who who
does do
that that
? ?
A a
lot lot
of of
people people
, ,
actually actually
. .
Turns turn
out out
you you
don don
' '
t t
make make
a a
lot lot
of of
money money
writing write
books book
, ,
so so
most most
of of
the the
authors author
you you
know know
and and
love love
are be
finding find
ways way
to to
earn earn
an an
income income
elsewhere elsewhere
as as
well well
. .
So so
at at
the the
end end
of of
that that
journey journey
, ,
I i
handed hand
in in
my my
manuscript manuscript
, ,
I i
took take
a a
deep deep
sigh sigh
of of
relief relief
. .
. .
. .
