Imagine imagine
a a
place place
where where
your your
neighbors neighbor
greet greet
your your
children child
by by
name name
; ;
a a
place place
with with
splendid splendid
vistas vista
; ;
a a
place place
where where
you you
can can
drive drive
just just
20 @card@
minutes minute
and and
put put
your your
sailboat sailboat
on on
the the
water water
. .
It it
' '
s s
a a
seductive seductive
place place
, ,
isn isn
' '
t t
it it
? ?
I i
don don
' '
t t
live live
there there
. .
But but
I i
did do
journey journey
on on
a a
27 @card@
, ,
000-mile 000-mile
trip trip
for for
two two
years year
, ,
to to
the the
fastest-growing fastest-growing
and and
whitest white
counties county
in in
America america
. .
What what
is be
a a
Whitopia whitopia
? ?
I i
define define
Whitopia whitopia
in in
three three
ways way
: :
First first
, ,
a a
Whitopia whitopia
has have
posted post
at at
least least
six six
percent percent
population population
growth growth
since since
2000 @card@
. .
Secondly secondly
, ,
the the
majority majority
of of
that that
growth growth
comes come
from from
white white
migrants migrant
. .
And and
third third
, ,
the the
Whitopia whitopia
has have
an an
ineffable ineffable
charm charm
, ,
a a
pleasant pleasant
look look
and and
feel feel
, ,
a a
je je
Ne ne
sais sais
quoi quoi
. .
To to
learn learn
how how
and and
why why
Whitopias whitopias
are be
ticking tick
, ,
I i
immersed immerse
myself myself
for for
several several
months month
apiece apiece
in in
three three
of of
them them
: :
first first
, ,
St st
. .
George george
, ,
Utah utah
; ;
second second
, ,
Coeur coeur
d d
' '
Alene alene
, ,
Idaho idaho
; ;
and and
third third
, ,
Forsyth forsyth
County county
, ,
Georgia georgia
. .
First first
stop stop
, ,
St st
. .
George george
— -
a a
beautiful beautiful
town town
of of
red red
rock rock
landscapes landscape
. .
In in
the the
1850s 1850s
, ,
Brigham brigham
Young young
dispatched dispatch
families family
to to
St st
. .
George george
to to
grow grow
cotton cotton
because because
of of
the the
hot hot
, ,
arid arid
climate climate
. .
And and
so so
they they
called call
it it
Utah utah
' '
s s
Dixie dixie
, ,
and and
the the
name name
sticks stick
to to
this this
day day
. .
I i
approached approach
my my
time time
in in
each each
Whitopia whitopia
like like
an an
anthropologist anthropologist
. .
I i
made make
detailed detailed
spreadsheets spreadsheet
of of
all all
the the
power power
brokers broker
in in
the the
communities community
, ,
who who
I i
needed need
to to
meet meet
