Cartoons cartoon
are be
basically basically
short short
stories story
. .
I i
tried try
to to
find find
one one
that that
didn didn
' '
t t
have have
a a
whole whole
lot lot
of of
words word
. .
Not not
all all
of of
them them
have have
happy happy
endings ending
. .
So so
how how
did do
I i
get get
started start
cartooning cartooning
? ?
I i
doodled doodle
a a
lot lot
as as
a a
kid kid
, ,
and and
if if
you you
spend spend
enough enough
time time
doodling doodle
, ,
sooner sooner
or or
later later
, ,
something something
happens happen
: :
all all
your your
career career
options option
run run
out out
. .
So so
you you
have have
to to
make make
a a
living live
cartooning cartooning
. .
Actually actually
, ,
I i
fell fall
in in
love love
with with
the the
ocean ocean
when when
I i
was be
a a
little little
boy boy
, ,
when when
I i
was be
about about
eight eight
or or
nine nine
. .
And and
I i
was be
particularly particularly
fascinated fascinate
with with
sharks shark
. .
This this
is be
some some
of of
my my
early early
work work
. .
Eventually eventually
, ,
my my
mom mom
took take
the the
red red
crayon crayon
away away
, ,
so so
it it
was be
[ [
unclear unclear
] ]
. .
But but
I i
' '
d d
like like
to to
relay relay
to to
you you
a a
childhood childhood
experience experience
of of
mine mine
that that
really really
made make
me me
see see
the the
ocean ocean
differently differently
, ,
and and
it it
' '
s s
become become
the the
foundation foundation
of of
my my
work work
because because
, ,
I i
feel feel
like like
, ,
if if
in in
a a
day day
, ,
I i
can can
see see
the the
ocean ocean
differently differently
, ,
then then
I i
can can
evoke evoke
that that
same same
kind kind
of of
change change
in in
others other
, ,
especially especially
kids kid
. .
Before before
that that
day day
, ,
this this
is be
how how
I i
saw see
the the
ocean ocean
. .
It it
' '
s s
just just
a a
big big
blue blue
surface surface
. .
And and
this this
is be
how how
we we
' '
ve ve
seen see
the the
ocean ocean
since since
the the
beginning beginning
of of
time time
. .
It it
' '
s s
a a
mystery mystery
. .
There there
' '
s s
been be
a a
lot lot
of of
folklore folklore
developed develop
around around
the the
ocean ocean
, ,
mostly mostly
negative negative
. .
And and
that that
prompted prompt
people people
to to
make make
maps map
like like
this this
, ,
with with
all all
kinds kind
of of
wonderful wonderful
detail detail
on on
the the
land land
, ,
but but
when when
you you
get get
to to
the the
waters water
edge edge
, ,
the the
ocean ocean
looks look
like like
one one
giant giant
puddle puddle
of of
blue blue
paint paint
. .
And and
this this
is be
the the
way way
I i
saw see
the the
ocean ocean
at at
school school
— -
as as
if if
to to
say say
, ,
" "
All all
geography geography
and and
science science
lessons lesson
stop stop
at at
water water
' '
s s
edge edge
. .
This this
part part
' '
s s
not not
going go
to to
be be
on on
the the
test test
. .
" "
But but
that that
day day
I i
flew fly
low low
over over
the the
islands island
— -
it it
was be
a a
family family
trip trip
to to
the the
Caribbean caribbean
, ,
and and
I i
flew fly
in in
a a
small small
plane plane
low low
over over
the the
islands island
. .
This this
is be
what what
I i
saw see
. .
I i
saw see
hills hill
and and
valleys valley
. .
I i
saw see
forests forest
and and
meadows meadow
. .
I i
saw see
grottoes grotto
and and
secret secret
gardens garden
and and
places place
I i
' '
d d
love love
to to
hide hide
as as
a a
kid kid
, ,
if if
I i
could could
only only
breathe breathe
underwater underwater
. .
And and
best good
of of
all all
, ,
I i
saw see
the the
animals animal
. .
I i
saw see
a a
manta manta
ray ray
that that
looked look
as as
big big
as as
the the
plane plane
I i
was be
flying fly
in in
. .
And and
I i
flew fly
over over
a a
lagoon lagoon
with with
a a
shark shark
in in
it it
, ,
and and
that that
was be
the the
day day
that that
my my
comic comic
strip strip
about about
a a
shark shark
was be
born bear
. .
So so
from from
that that
day day
on on
, ,
I i
was be
an an
ordinary ordinary
kid kid
walking walk
around around
on on
dry dry
land land
, ,
but but
my my
head head
was be
down down
there there
, ,
underwater underwater
. .
Up up
until until
that that
day day
, ,
these these
were be
the the
animals animal
that that
were be
most most
common common
in in
my my
life life
. .
These these
were be
the the
ones one
I i
' '
d d
like like
to to
draw draw
— -
all all
variations variation
of of
four four
legs leg
