Let let
' '
s s
talk talk
trash trash
. .
You you
know know
, ,
we we
had have
to to
be be
taught teach
to to
renounce renounce
the the
powerful powerful
conservation conservation
ethic ethic
we we
developed develop
during during
the the
Great great
Depression depression
and and
World world
War war
II ii
. .
After after
the the
war war
, ,
we we
needed need
to to
direct direct
our our
enormous enormous
production production
capacity capacity
toward toward
creation creation
of of
products product
for for
peacetime peacetime
. .
Life life
Magazine magazine
helped help
in in
this this
effort effort
by by
announcing announce
the the
introduction introduction
of of
throwaways throwaway
that that
would would
liberate liberate
the the
housewife housewife
from from
the the
drudgery drudgery
of of
doing do
dishes dish
. .
Mental mental
note note
to to
the the
liberators liberator
: :
throwaway throwaway
plastics plastic
take take
a a
lot lot
of of
space space
and and
don don
' '
t t
biodegrade biodegrade
. .
Only only
we we
humans human
make make
waste waste
that that
nature nature
can can
' '
t t
digest digest
. .
Plastics plastic
are be
also also
hard hard
to to
recycle recycle
. .
A a
teacher teacher
told tell
me me
how how
to to
express express
the the
under- under-
five-percent five-percent
of of
plastics plastic
recovered recover
in in
our our
waste waste
stream stream
. .
It it
' '
s s
diddly-point- diddly-point-
squat squat
. .
That that
' '
s s
the the
percentage percentage
we we
recycle recycle
. .
Now now
, ,
melting melt
point point
has have
a a
lot lot
to to
do do
with with
this this
. .
Plastic plastic
is be
not not
purified purify
by by
the the
re-melting re-melting
process process
like like
glass glass
and and
metal metal
. .
It it
begins begin
to to
melt melt
below below
the the
boiling boiling
point point
of of
water water
and and
does do
not not
drive drive
off off
the the
oily oily
contaminants contaminant
for for
which which
it it
is be
a a
sponge sponge
. .
Half half
of of
each each
year year
' '
s s
100 @card@
billion billion
pounds pound
of of
thermal thermal
plastic plastic
pellets pellet
will will
be be
made make
into into
fast-track fast-track
trash trash
. .
A a
large large
, ,
unruly unruly
fraction fraction
of of
our our
trash trash
will will
flow flow
downriver downriver
to to
the the
sea sea
. .
Here here
is be
the the
accumulation accumulation
at at
Biona biona
Creek creek
next next
to to
the the
L l
. .
A a
. .
airport airport
. .
And and
here here
is be
the the
flotsam flotsam
near near
California california
State state
University university
Long long
Beach beach
and and
the the
diesel diesel
plant plant
we we
visited visit
yesterday yesterday
. .
In in
spite spite
of of
deposit deposit
fees fee
, ,
much much
of of
this this
trash trash
leading lead
out out
to to
the the
sea sea
will will
be be
plastic plastic
beverage beverage
bottles bottle
. .
We we
use use
two two
million million
of of
them them
in in
the the
United united
States states
every every
five five
minutes minute
, ,
here here
imaged image
by by
TED ted
presenter present
Chris chris
Jordan jordan
, ,
who who
artfully artfully
documents document
mass mass
consumption consumption
and and
zooms zoom
in in
for for
more more
detail detail
. .
Here here
is be
a a
remote remote
island island
repository repository
for for
bottles bottle
off off
the the
coast coast
of of
Baja baja
California california
. .
Isla isla
San san
Roque roque
is be
an an
uninhabited uninhabited
bird bird
rookery rookery
off off
Baja baja
' '
s s
sparsely sparsely
populated populate
central central
coast coast
. .
Notice notice
that that
the the
bottles bottle
here here
