I i
was be
born bear
and and
raised raise
in in
Caracas caracas
, ,
Venezuela venezuela
, ,
back back
in in
the the
' '
80s 80s
and and
' '
90s 90s
. .
Venezuela venezuela
is be
a a
beautiful beautiful
country country
, ,
rich rich
with with
natural natural
treasures treasure
from from
beaches beach
to to
rainforests rainforest
. .
But but
one one
thing thing
that that
people people
don don
' '
t t
quite quite
realize realize
is be
that that
we we
also also
have have
really really
tall tall
mountains mountain
. .
These these
are be
part part
of of
the the
Andes andes
, ,
and and
they they
stretch stretch
all all
the the
way way
down down
from from
Chile chile
and and
Argentina argentina
. .
And and
they they
' '
re re
also also
home home
to to
some some
of of
the the
very very
few few
tropical tropical
glaciers glacier
in in
the the
world world
. .
Back back
in in
1910 @card@
, ,
when when
the the
first first
map map
was be
drawn draw
, ,
Venezuela venezuela
used use
to to
have have
five five
tropical tropical
glaciers glacier
, ,
which which
we we
used use
to to
call call
the the
five five
white white
eagles eagle
. .
Today today
, ,
unfortunately unfortunately
, ,
there there
' '
s s
only only
one one
left leave
, ,
and and
it it
covers cover
an an
area area
which which
is be
smaller small
than than
Central central
Park park
in in
New new
York york
City city
. .
These these
glaciers glacier
have have
been be
disappearing disappear
because because
of of
the the
use use
of of
a a
resource resource
that that
we we
extract extract
not not
too too
far far
from from
them them
: :
oil oil
. .
As as
a a
Venezuelan venezuelan
, ,
my my
relationship relationship
with with
oil oil
is be
complicated complicate
. .
On on
the the
one one
hand hand
, ,
oil oil
is be
the the
resource resource
that that
helped help
my my
country country
develop develop
, ,
as as
well well
as as
human human
civilization civilization
. .
On on
the the
other other
hand hand
, ,
it it
' '
s s
a a
resource resource
that that
slowly slowly
but but
surely surely
fuels fuel
an an
existential existential
threat threat
. .
Climate climate
change change
. .
We we
now now
know know
that that
to to
avert avert
the the
worst bad
impacts impact
of of
climate climate
change change
, ,
we we
' '
re re
going go
to to
have have
to to
decarbonize decarbonize
everything everything
that that
we we
do do
and and
everything everything
that that
surrounds surround
us us
. .
And and
to to
do do
that that
within within
the the
next next
three three
decades decade
. .
These these
include include
things thing
like like
transitioning transitioning
from from
oil oil
, ,
natural natural
gas gas
to to
clean clean
sources source
of of
electricity electricity
; ;
electrifying electrify
all all
of of
our our
vehicles vehicle
; ;
rethinking rethink
the the
way way
that that
we we
make make
our our
buildings building
and and
cities city
. .
The the
good good
news news
is be
that that
technologies technology
to to
do do
some some
of of
these these
things thing
already already
exist exist
. .
And and
legislation legislation
to to
frame frame
and and
direct direct
this this
effort effort
is be
starting start
to to
be be
put put
in in
place place
. .
The the
bad bad
news news
is be
that that
even even
if if
we we
do do
all all
of of
these these
things thing
, ,
it it
will will
still still
not not
be be
enough enough
. .
There there
are be
still still
large large
sectors sector
of of
our our
economy economy
that that
will will
need need
to to
be be
decarbonized decarbonize
for for
which which
we we
don don
' '
t t
have have
the the
technology technology
yet yet
. .
These these
include include
the the
things thing
like like
manufacturing manufacturing
processes process
that that
are be
used use
to to
make make
everything everything
that that
surrounds surround
us us
, ,
from from
the the
cement cement
and and
steel steel
that that
holds hold
our our
buildings building
together together
to to
the the
chemicals chemical
and and
materials material
that that
we we
use use
to to
make make
the the
goods good
that that
we we
use use
in in
our our
daily daily
lives life
. .
Things thing
like like
the the
chair chair
that that
you you
' '
re re
sitting sit
in in
, ,
your your
shoes shoe
, ,
the the
cars car
that that
you you
use use
, ,
and and
all all
the the
devices device
that that
we we
use use
every every
day day
. .
The the
chemical chemical
manufacturing manufacturing
industry industry
alone alone
accounts account
for for
10 @card@
percent percent
of of
the the
energy energy
consumption consumption
. .
And and
20 @card@
percent percent
of of
the the
carbon carbon
emissions emission
from from
industry industry
. .
These these
emissions emission
arise arise
from from
the the
use use
of of
fossil fossil
fuel fuel
combustion combustion
to to
generate generate
the the
heat heat
that that
is be
required require
to to
drive drive
processes process
inside inside
of of
our our
old old
and and
inefficient inefficient
chemical chemical
plants plant
. .
One one
way way
to to
start start
fixing fix
the the
issue issue
will will
be be
to to
use use
electricity electricity
instead instead
of of
heat heat
from from
fossil fossil
fuels fuel
to to
drive drive
the the
processes process
inside inside
of of
these these
plants plant
. .
Sounds sound
easy easy
enough enough
, ,
right right
? ?
Just just
unplug unplug
the the
natural natural
gas gas
pipelines pipeline
, ,
plug plug
in in
the the
electrical electrical
wire wire
, ,
and and
make make
sure sure
that that
you you
source source
electricity electricity
from from
clean clean
sources source
like like
solar solar
, ,
wind wind
or or
nuclear nuclear
. .
Unfortunately unfortunately
, ,
in in
reality reality
, ,
it it
' '
s s
much much
harder harder
than than
that that
. .
We we
' '
re re
going go
to to
have have
to to
come come
up up
with with
new new
chemical chemical
reactions reaction
that that
can can
source source
their their
energy energy
directly directly
from from
electricity electricity
. .
These these
are be
called call
electrochemical electrochemical
reactions reaction
. .
And and
it it
' '
s s
what what
my my
research research
group group
at at
New new
York york
University university
is be
focusing focus
on on
: :
figuring figure
out out
electrochemical electrochemical
paths path
that that
can can
create create
direct direct
links link
between between
clean clean
electricity electricity
and and
molecules molecule
. .
In in
electrochemical electrochemical
reactions reaction
, ,
heat heat
is be
replaced replace
by by
electricity electricity
as as
an an
energy energy
source source
. .
This this
allows allow
us us
to to
operate operate
reactors reactor
and and
carry carry
out out
reactions reaction
at at
room room
temperature temperature
with with
minimal minimal
energy energy
losses loss
. .
But but
the the
problem problem
is be
that that
for for
electrochemical electrochemical
reactions reaction
to to
become become
viable viable
, ,
they they
will will
need need
to to
be be
more more
efficient efficient
and and
cost cost
competitive competitive
than than
the the
heat-powered heat-powered
ones one
that that
we we
use use
today today
. .
That that
means mean
that that
electrochemical electrochemical
reactors reactor
will will
need need
to to
transform transform
raw raw
materials material
into into
products product
very very
efficiently efficiently
, ,
with with
minimal minimal
waste waste
and and
very very
selectively selectively
. .
This this
will will
then then
in in
turn turn
incentivize incentivize
chemical chemical
manufacturers manufacturer
to to
switch switch
to to
electrochemical electrochemical
production production
processes process
instead instead
of of
deploying deploy
new new
fossil fossil
fuel fuel
chemical chemical
plants plant
. .
In in
our our
research research
, ,
we we
started start
by by
looking look
at at
a a
chemical chemical
reaction reaction
that that
is be
used use
to to
make make
one one
of of
the the
most most
important important
polymers polymer
in in
the the
world world
: :
Nylon nylon
66 @card@
. .
More more
than than
5 @card@
million million
tons ton
of of
all all
kinds kind
of of
nylons nylon
are be
produced produce
every every
year year
. .
And and
out out
of of
those those
, ,
two two
million million
tons ton
are be
of of
Nylon nylon
66 @card@
. .
And and
these these
are be
used use
to to
make make
things thing
like like
the the
textile textile
fibers fiber
that that
we we
use use
in in
our our
winter winter
jackets jacket
or or
the the
plastic plastic
car car
parts part
that that
help help
make make
our our
vehicles vehicle
lightweight lightweight
and and
fuel-efficient fuel-efficient
. .
Through through
our our
research research
, ,
we we
managed manage
to to
identify identify
electrochemical electrochemical
reaction reaction
mixtures mixture
with with
the the
right right
additives additive
and and
voltages voltage
to to
be be
able able
to to
transform transform
raw raw
materials material
into into
nylon nylon
precursors precursor
very very
selectively selectively
. .
We we
achieved achieve
selectivity selectivity
of of
more more
than than
80 @card@
percent percent
, ,
a a
value value
that that
is be
on on
par par
with with
commercial commercial
reactors reactor
. .
But but
we we
didn didn
' '
t t
stop stop
there there
. .
While while
most most
electrochemical electrochemical
reactions reaction
operate operate
with with
a a
constant constant
stream stream
of of
electrical electrical
currents current
, ,
we we
knew know
that that
if if
we we
control control
the the
interactions interaction
between between
the the
electricity electricity
input input
and and
molecules molecule
, ,
we we
could could
achieve achieve
a a
higher high
performance performance
. .
To to
do do
that that
, ,
we we
decided decide
to to
start start
exploring explore
different different
electrical electrical
pulses pulse
in in
the the
search search
for for
the the
right right
pulse pulse
sequence sequence
that that
will will
deliver deliver
electrons electron
at at
the the
same same
rate rate
that that
molecules molecule
could could
react react
. .
Since since
there there
were be
so so
many many
pulses pulse
that that
we we
needed need
to to
test test
, ,
we we
decided decide
to to
then then
use use
a a
few few
number number
of of
results result
from from
different different
pulses pulse
to to
train train
machine-learning machine-learning
models model
that that
then then
help help
us us
identify identify
the the
appropriate appropriate
pulse pulse
sequence sequence
for for
this this
reaction reaction
. .
This this
was be
the the
first first
time time
that that
artificial artificial
intelligence intelligence
was be
used use
to to
optimize optimize
an an
electrochemical electrochemical
reaction reaction
, ,
and and
the the
pulse pulse
sequence sequence
that that
we we
discovered discover
allows allow
us us
to to
increase increase
by by
30 @card@
percent percent
the the
production production
rate rate
of of
these these
reactors reactor
. .
These these
large large
improvements improvement
in in
efficiency efficiency
, ,
selectivity selectivity
and and
production production
rates rate
are be
very very
important important
because because
they they
will will
ensure ensure
that that
electrochemical electrochemical
reactions reaction
are be
competitive competitive
with with
fossil-fuel-powered fossil-fuel-powered
ones one
which which
are be
already already
highly highly
optimized optimize
. .
But but
hey hey
, ,
nylon nylon
is be
only only
one one
molecule molecule
in in
a a
network network
of of
tens ten
of of
thousands thousand
of of
chemical chemical
products product
, ,
many many
of of
which which
you you
see see
in in
this this
diagram diagram
, ,
and and
many many
of of
which which
are be
a a
common common
occurrence occurrence
in in
your your
daily daily
lives life
. .
Just just
think think
of of
the the
plastics plastic
that that
are be
used use
to to
make make
your your
computers computer
and and
phones phone
, ,
or or
the the
pane pane
that that
covers cover
the the
walls wall
around around
us us
, ,
or or
the the
medicines medicine
that that
help help
us us
live live
a a
healthy healthy
life life
. .
We we
' '
re re
going go
to to
have have
to to
decarbonize decarbonize
it it
all all
within within
the the
next next
30 @card@
years year
. .
That that
means mean
that that
we we
' '
re re
going go
to to
have have
to to
discover discover
, ,
develop develop
and and
deploy deploy
chemical chemical
processes process
much much
faster faster
than than
we we
did do
in in
the the
past past
century century
. .
To to
that that
end end
, ,
my my
group group
at at
NYU nyu
is be
combining combine
artificial artificial
intelligence intelligence
with with
autonomous autonomous
research research
tools tool
to to
run run
hundreds hundred
to to
thousands thousand
of of
experiments experiment
per per
day day
. .
In in
this this
way way
, ,
we we
hope hope
to to
decrease decrease
the the
time time
from from
idea idea
to to
discovery discovery
by by
more more
than than
100 @card@
times time
. .
Beyond beyond
nylon nylon
, ,
we we
' '
re re
also also
looking look
into into
production production
processes process
to to
manufacture manufacture
other other
chemicals chemical
like like
ethylene ethylene
and and
propylene propylene
. .
These these
are be
the the
main main
precursors precursor
to to
most most
of of
the the
plastic plastic
in in
the the
world world
. .
Through through
electrochemistry electrochemistry
, ,
we we
have have
managed manage
to to
electrify electrify
already already
the the
most most
energy energy
intensive intensive
steps step
on on
the the
production production
process process
of of
these these
chemicals chemical
: :
a a
set set
of of
processes process
that that
alone alone
account account
for for
a a
very very
substantial substantial
amount amount
of of
energy energy
in in
the the
chemical chemical
manufacturing manufacturing
industry industry
. .
We we
' '
re re
also also
rethinking rethink
the the
way way
that that
we we
make make
our our
chemicals chemical
and and
the the
chemicals chemical
supply supply
chain chain
, ,
by by
developing develop
new new
processes process
that that
can can
use use
and and
transform transform
food food
waste waste
into into
the the
chemicals chemical
that that
we we
make make
today today
from from
oil oil
. .
This this
can can
be be
done do
by by
extracting extract
molecules molecule
from from
waste waste
streams stream
and and
using use
them them
as as
precursors precursor
to to
things thing
like like
plastics plastic
, ,
additives additive
, ,
cosmetics cosmetic
and and
pharmaceuticals pharmaceuticals
, ,
and and
many many
more more
. .
And and
in in
this this
way way
, ,
enhancing enhance
sustainability sustainability
in in
chemical chemical
manufacture manufacture
even even
further further
. .
The the
chemical chemical
industry industry
is be
central central
to to
our our
modern modern
economy economy
and and
to to
our our
ways way
of of
life life
. .
Decarbonizing decarbonize
it it
will will
take take
us us
several several
decades decade
. .
This this
will will
include include
things thing
like like
retrofitting retrofit
our our
chemical chemical
plants plant
so so
they they
can can
use use
electricity electricity
directly directly
, ,
capturing capture
and and
sequestering sequester
CO2 co2
as as
it it
comes come
out out
of of
the the
gas gas
flue flue
stacks stack
, ,
and and
more more
importantly importantly
, ,
developing develop
new new
chemical chemical
processes process
that that
are be
more more
efficient efficient
and and
can can
source source
electricity electricity
directly directly
from from
clean clean
sources source
. .
By by
accelerating accelerate
research research
in in
electrochemical electrochemical
manufacturing manufacturing
, ,
my my
team team
aims aim
to to
develop develop
some some
of of
these these
reactions reaction
and and
in in
this this
way way
help help
to to
transform transform
the the
chemical chemical
industry industry
one one
reaction reaction
at at
a a
time time
. .
When when
we we
get get
there there
, ,
we we
will will
have have
been be
able able
to to
erase erase
the the
carbon carbon
footprint footprint
of of
the the
chemical chemical
industry industry
. .
And and
while while
we we
won win
' '
t t
be be
able able
to to
bring bring
our our
tropical tropical
glaciers glacier
back back
, ,
we we
will will
have have
helped help
to to
develop develop
a a
sustainable sustainable
path path
for for
the the
future future
of of
our our
planet planet
. .
Thank thank
you you
. .
