Growing grow
up up
in in
Missouri missouri
, ,
they they
would would
kind kind
of of
take take
us us
out out
into into
the the
woods wood
, ,
and and
they they
would would
give give
you you
a a
map map
, ,
and and
they they
would would
give give
you you
a a
compass compass
, ,
and and
you you
had have
to to
find find
your your
way way
home home
. .
And and
without without
the the
compass compass
, ,
you you
can can
' '
t t
even even
read read
the the
map map
. .
That that
' '
s s
what what
I i
' '
m m
here here
to to
tell tell
you you
. .
The the
compass compass
is be
the the
key key
. .
[ [
Small small
thing thing
. .
] ]
[ [
Big big
idea idea
. .
] ]
A a
compass compass
is be
most most
simply simply
a a
piece piece
of of
metal metal
that that
has have
been be
magnetized magnetize
, ,
so so
that that
it it
will will
turn turn
towards towards
the the
Earth earth
' '
s s
magnetic magnetic
pole pole
. .
The the
one one
that that
we we
all all
think think
of of
is be
the the
pocket pocket
compass compass
. .
It it
looks look
like like
a a
watch watch
, ,
right right
? ?
You you
can can
hold hold
it it
in in
your your
hand hand
and and
watch watch
the the
little little
needle needle
bounce bounce
around around
until until
you you
find find
north north
. .
Magnetism magnetism
is be
still still
a a
pretty pretty
mysterious mysterious
force force
to to
physicists physicist
, ,
but but
what what
we we
do do
know know
for for
sure sure
is be
that that
a a
compass compass
works work
because because
the the
Earth earth
is be
this this
giant giant
magnet magnet
. .
And and
when when
you you
use use
a a
compass compass
, ,
you you
are be
in in
touch touch
with with
the the
very very
center center
of of
our our
planet planet
, ,
where where
this this
kind kind
of of
roiling roil
ball ball
of of
molten molten
iron iron
is be
spinning spin
around around
and and
creating create
a a
magnetic magnetic
field field
. .
Just just
like like
a a
magnet magnet
you you
can can
play play
with with
on on
your your
tabletop tabletop
, ,
it it
has have
a a
north north
pole pole
and and
a a
south south
pole pole
, ,
and and
we we
use use
compasses compass
to to
find find
our our
way way
north north
because because
of of
that that
fact fact
. .
The the
earliest early
known know
compass compass
comes come
from from
about about
200 @card@
BC bc
in in
China china
. .
They they
figured figure
out out
that that
some some
of of
the the
metal metal
coming come
out out
of of
the the
ground ground
was be
naturally naturally
magnetic magnetic
, ,
and and
so so
they they
fashioned fashion
this this
magnetized magnetize
metal metal
into into
this this
kind kind
of of
ladle-looking ladle-looking
thing thing
, ,
put put
it it
on on
a a
brass brass
plate plate
and and
then then
it it
would would
point point
north north
. .
It it
seems seem
to to
have have
been be
primarily primarily
used use
to to
improve improve
feng feng
shui shui
, ,
so so
they they
could could
figure figure
out out
what what
was be
the the
best good
way way
for for
energy energy
to to
flow flow
through through
their their
living live
spaces space
. .
Sailors sailor
were be
probably probably
the the
early early
adopters adopter
of of
the the
more more
portable portable
versions version
of of
it it
, ,
because because
no no
matter matter
where where
the the
sun sun
was be
, ,
no no
matter matter
what what
the the
condition condition
of of
the the
stars star
were be
, ,
they they
would would
always always
be be
able able
to to
find find
north north
. .
Now now
, ,
much much
later later
, ,
the the
Europeans europeans
are be
the the
ones one
who who
innovate innovate
and and
come come
up up
with with
the the
compass compass
rose rise
. .
It it
essentially essentially
laid lay
out out
what what
north north
, ,
south south
, ,
east east
and and
west west
looked look
like like
, ,
and and
it it
also also
enabled enable
you you
to to
kind kind
of of
create create
new new
directions direction
, ,
like like
northwest northwest
, ,
southeast southeast
, ,
what what
have have
you you
. .
And and
for for
the the
first first
time time
, ,
they they
knew know
where where
they they
were be
going go
. .
That that
' '
s s
kind kind
of of
a a
big big
deal deal
. .
But but
also also
, ,
I i
think think
it it
was be
part part
of of
this this
general general
reinvigoration reinvigoration
of of
European european
science science
. .
You you
might might
know know
it it
as as
the the
Renaissance renaissance
. .
Lots lot
of of
new new
tools tool
were be
invented invent
, ,
from from
the the
telescope telescope
to to
the the
microscope microscope
. .
Maps map
got get
better good
because because
of of
compasses compass
, ,
right right
? ?
Because because
then then
you you
start start
to to
understand understand
which which
direction direction
is be
which which
, ,
you you
get get
a a
lot lot
more more
detail detail
, ,
and and
that that
just just
kind kind
of of
changes change
the the
human human
relationship relationship
to to
the the
world world
. .
The the
compass compass
with with
a a
map map
is be
like like
a a
superpower superpower
. .
Everything everything
that that
we we
think think
of of
as as
world world
history history
would would
not not
have have
taken take
place place
without without
the the
compass compass
: :
the the
age age
of of
exploration exploration
, ,
Magellan magellan
circumnavigating circumnavigate
the the
globe globe
, ,
even even
the the
fact fact
that that
we we
know know
it it
is be
a a
globe globe
. .
The the
compass compass
ends end
up up
getting get
embedded embed
in in
all all
these these
other other
tools tool
, ,
because because
it it
is be
such such
a a
functional functional
object object
. .
So so
you you
might might
have have
it it
embedded embed
in in
your your
multi-tool multi-tool
, ,
you you
might might
have have
it it
embedded embed
in in
your your
phone phone
. .
The the
compass compass
is be
everywhere everywhere
, ,
because because
it it
' '
s s
literally literally
how how
we we
find find
our our
way way
across across
the the
face face
of of
the the
Earth earth
. .
So so
you you
can can
go go
off off
and and
explore explore
, ,
and and
find find
out out
what what
is be
over over
that that
next next
hill hill
or or
that that
next next
horizon horizon
, ,
but but
you you
can can
also also
reliably reliably
find find
your your
way way
home home
. .
