When when
you you
think think
of of
a a
polar polar
bear bear
, ,
you you
might might
think think
white white
, ,
cold cold
, ,
cute cute
, ,
fuzzy fuzzy
, ,
huggable huggable
. .
Or or
maybe maybe
you you
feel feel
a a
bit bit
sad sad
, ,
imagining imagine
a a
polar polar
bear bear
floating float
away away
on on
a a
melting melt
ice ice
floe floe
. .
Either either
way way
, ,
there there
' '
s s
a a
good good
chance chance
that that
for for
you you
, ,
polar polar
bears bear
are be
a a
distant distant
reality reality
. .
But but
think think
of of
those those
living live
and and
working work
in in
the the
Arctic arctic
. .
For for
them them
, ,
melting melt
ice ice
doesn doesn
' '
t t
mean mean
polar polar
bears bear
floating float
away away
. .
It it
means mean
the the
bears bear
getting get
stuck stuck
on on
land land
and and
more more
desperate desperate
for for
food food
. .
For for
them them
, ,
polar polar
bears bear
can can
be be
a a
daily daily
reality reality
. .
And and
whether whether
this this
reality reality
feels feel
safe safe
or or
scary scary
depends depend
on on
how how
well well
prepared prepare
people people
are be
to to
coexist coexist
with with
the the
world world
' '
s s
largest large
four-legged four-legged
predator predator
. .
After after
working work
and and
living live
off off
and and
on on
with with
polar polar
bears bear
for for
over over
12 @card@
years year
, ,
I i
know know
coexisting coexist
with with
them them
can can
be be
a a
challenge challenge
, ,
and and
it it
will will
only only
get get
more more
challenging challenging
as as
climate climate
change change
forces force
our our
species specie
to to
increasingly increasingly
overlap overlap
in in
the the
coming come
decades decade
. .
With with
my my
organization organization
, ,
Polar polar
Bears bears
International international
, ,
I i
' '
m m
focused focus
on on
conserving conserve
wild wild
polar polar
bears bear
while while
respecting respect
and and
assisting assist
those those
who who
share share
their their
coastlines coastline
with with
this this
carnivore carnivore
. .
To to
understand understand
how how
to to
best good
coexist coexist
with with
polar polar
bears bear
, ,
we we
first first
need need
to to
understand understand
them them
. .
And and
I i
think think
one one
of of
the the
best good
places place
to to
start start
is be
with with
one one
of of
the the
most most
common common
questions question
I i
get get
asked ask
, ,
which which
is be
, ,
" "
How how
are be
they they
actually actually
doing do
? ?
" "
It it
' '
s s
a a
great great
question question
. .
It it
' '
s s
simple simple
, ,
but but
the the
answer answer
has have
some some
nuance nuance
and and
can can
depend depend
on on
where where
we we
' '
re re
looking look
in in
time time
and and
space space
. .
If if
we we
could could
pause pause
time time
and and
stop stop
all all
the the
impacts impact
we we
' '
re re
having have
on on
the the
planet planet
, ,
then then
sure sure
, ,
right right
now now
the the
species specie
would would
be be
okay okay
. .
We we
still still
have have
about about
25 @card@
, ,
000 @card@
polar polar
bears bear
spread spread
across across
the the
Arctic arctic
, ,
split split
into into
19 @card@
different different
populations population
in in
Canada canada
, ,
Russia russia
, ,
Norway norway
, ,
Greenland greenland
and and
Alaska alaska
. .
But but
obviously obviously
, ,
we we
can can
' '
t t
pause pause
time time
. .
The the
world world
is be
warming warm
and and
the the
Arctic arctic
is be
warming warm
faster faster
than than
anywhere anywhere
. .
If if
we we
did do
