Today today
I i
stand stand
before before
you you
as as
a a
man man
who who
lives live
life life
to to
the the
full full
in in
the the
here here
and and
now now
. .
But but
for for
a a
long long
time time
, ,
I i
lived live
for for
death death
. .
I i
was be
a a
young young
man man
who who
believed believe
that that
jihad jihad
is be
to to
be be
understood understand
in in
the the
language language
of of
force force
and and
violence violence
. .
I i
tried try
to to
right right
wrongs wrong
through through
power power
and and
aggression aggression
. .
I i
had have
deep deep
concerns concern
for for
the the
suffering suffering
of of
others other
and and
a a
strong strong
desire desire
to to
help help
and and
bring bring
relief relief
to to
them them
. .
I i
thought think
violent violent
jihad jihad
was be
noble noble
, ,
chivalrous chivalrous
and and
the the
best good
way way
to to
help help
. .
At at
a a
time time
when when
so so
many many
of of
our our
people people
— -
young young
people people
especially especially
— -
are be
at at
risk risk
of of
radicalization radicalization
through through
groups group
like like
al-Qaeda al-qaeda
, ,
Islamic islamic
State state
and and
others other
, ,
when when
these these
groups group
are be
claiming claim
that that
their their
horrific horrific
brutality brutality
and and
violence violence
are be
true true
jihad jihad
, ,
I i
want want
to to
say say
that that
their their
idea idea
of of
jihad jihad
is be
wrong wrong
— -
completely completely
wrong wrong
— -
as as
was be
mine mine
, ,
then then
. .
Jihad jihad
means mean
to to
strive strive
to to
one one
' '
s s
utmost utmost
. .
It it
includes include
exertion exertion
and and
spirituality spirituality
, ,
self-purification self-purification
and and
devotion devotion
. .
It it
refers refer
to to
positive positive
transformation transformation
through through
learning learning
, ,
wisdom wisdom
and and
remembrance remembrance
of of
God god
. .
The the
word word
jihad jihad
stands stand
for for
all all
those those
meanings meaning
as as
a a
whole whole
. .
Jihad jihad
may may
at at
times time
take take
the the
form form
of of
fighting fight
, ,
but but
only only
sometimes sometimes
, ,
under under
strict strict
conditions condition
, ,
within within
rules rule
and and
limits limit
. .
In in
Islam islam
, ,
the the
benefit benefit
of of
an an
act act
must must
outweigh outweigh
the the
harm harm
or or
hardship hardship
it it
entails entail
. .
More more
importantly importantly
, ,
the the
verses verse
in in
the the
Koran koran
that that
are be
connected connect
to to
jihad jihad
or or
fighting fighting
do do
not not
cancel cancel
out out
the the
verses verse
that that
talk talk
about about
forgiveness forgiveness
, ,
benevolence benevolence
or or
patience patience
. .
But but
now now
I i
believe believe
that that
there there
are be
no no
circumstances circumstance
on on
earth earth
where where
violent violent
jihad jihad
is be
permissible permissible
, ,
because because
it it
will will
lead lead
to to
greater great
harm harm
. .
But but
now now
the the
idea idea
of of
jihad jihad
has have
been be
hijacked hijack
. .
It it
has have
been be
perverted pervert
to to
mean mean
violent violent
struggle struggle
wherever wherever
Muslims muslim
are be
undergoing undergo
difficulties difficulty
, ,
and and
turned turn
into into
terrorism terrorism
by by
fascistic fascistic
Islamists islamist
like like
al-Qaeda al-qaeda
, ,
Islamic islamic
State state
and and
others other
. .
But but
I i
have have
come come
to to
understand understand
that that
true true
jihad jihad
means mean
striving strive
to to
the the
utmost utmost
to to
strengthen strengthen
and and
live live
those those
qualities quality
which which
God god
loves love
: :
honesty honesty
, ,
trustworthiness trustworthiness
, ,
compassion compassion
, ,
benevolence benevolence
, ,
reliability reliability
, ,
respect respect
, ,
truthfulness truthfulness
— -
human human
values value
that that
so so
many many
of of
us us
share share
. .
I i
was be
born bear
in in
Bangladesh bangladesh
, ,
but but
grew grow
up up
mostly mostly
in in
England england
. .
And and
I i
went go
to to
school school
here here
. .
My my
father father
was be
an an
academic academic
, ,
and and
we we
were be
in in
the the
UK uk
through through
his his
work work
. .
In in
1971 @card@
we we
were be
in in
Bangladesh bangladesh
when when
everything everything
changed change
. .
The the
War war
of of
Independence independence
impacted impact
upon upon
us us
terribly terribly
, ,
pitting pit
family family
against against
family family
, ,
neighbor neighbor
against against
neighbor neighbor
. .
And and
at at
the the
age age
of of
12 @card@
I i
experienced experience
war war
, ,
destitution destitution
in in
my my
family family
, ,
the the
deaths death
of of
22 @card@
of of
my my
relatives relative
in in
horrible horrible
ways way
, ,
as as
well well
as as
the the
murder murder
of of
my my
elder elder
brother brother
. .
I i
witnessed witness
killing kill
. .
. .
. .
animals animal
feeding feed
on on
corpses corpse
in in
the the
streets street
, ,
starvation starvation
all all
around around
me me
, ,
wanton wanton
, ,
horrific horrific
violence violence
— -
senseless senseless
violence violence
. .
I i
was be
a a
young young
man man
, ,
teenager teenager
, ,
fascinated fascinate
by by
ideas idea
. .
I i
wanted want
to to
learn learn
, ,
but but
I i
could could
not not
go go
to to
school school
for for
four four
years year
. .
After after
the the
War war
of of
Independence independence
, ,
my my
father father
was be
put put
in in
prison prison
for for
two two
and and
a a
half half
years year
, ,
and and
I i
used use
to to
visit visit
him him
every every
week week
in in
prison prison
, ,
and and
homeschooled homeschool
myself myself
. .
My my
father father
was be
released release
in in
1973 @card@
and and
he he
fled flee
to to
England england
as as
a a
refugee refugee
, ,
and and
we we
soon soon
followed follow
him him
. .
I i
was be
17 @card@
. .
So so
these these
experiences experience
gave give
me me
a a
sharp sharp
awareness awareness
of of
the the
atrocities atrocity
and and
injustices injustice
in in
the the
world world
. .
And and
I i
had have
a a
strong strong
desire desire
— -
a a
very very
keen keen
, ,
deep deep
desire desire
— -
to to
right right
wrongs wrong
and and
help help
the the
victims victim
of of
oppression oppression
. .
While while
studying study
at at
college college
in in
the the
UK uk
, ,
I i
met meet
others other
who who
showed show
me me
how how
I i
could could
channel channel
that that
desire desire
and and
help help
through through
my my
religion religion
. .
And and
I i
was be
radicalized radicalize
— -
enough enough
to to
consider consider
violence violence
correct correct
, ,
even even
a a
virtue virtue
under under
certain certain
circumstances circumstance
. .
So so
I i
became become
involved involve
in in
the the
jihad jihad
in in
Afghanistan afghanistan
. .
I i
wanted want
to to
protect protect
the the
Muslim muslim
Afghan afghan
population population
against against
the the
Soviet soviet
army army
. .
And and
I i
thought think
that that
was be
jihad jihad
: :
my my
sacred sacred
duty duty
, ,
which which
would would
be be
rewarded reward
by by
God god
. .
I i
became become
a a
preacher preacher
. .
I i
was be
one one
of of
the the
pioneers pioneer
of of
violent violent
jihad jihad
in in
the the
UK uk
. .
I i
recruited recruit
, ,
I i
raised raise
funds fund
, ,
I i
trained train
. .
I i
confused confuse
true true
jihad jihad
with with
this this
perversion perversion
as as
presented present
by by
the the
fascist fascist
Islamists islamist
— -
these these
people people
who who
use use
the the
idea idea
of of
jihad jihad
to to
justify justify
their their
lust lust
for for
power power
, ,
authority authority
and and
control control
on on
earth earth
: :
a a
perversion perversion
perpetuated perpetuate
today today
by by
fascist fascist
Islamist islamist
groups group
like like
al-Qaeda al-qaeda
, ,
Islamic islamic
State state
and and
others other
. .
For for
a a
period period
of of
around around
15 @card@
years year
, ,
I i
fought fight
for for
short short
periods period
of of
time time
in in
Kashmir kashmir
and and
Burma burma
, ,
besides besides
Afghanistan afghanistan
. .
Our our
aim aim
was be
to to
remove remove
the the
invaders invader
, ,
to to
bring bring
relief relief
to to
the the
