I i
want want
to to
talk talk
to to
you you
about about
something something
kind kind
of of
big big
. .
We we
' '
ll ll
start start
here here
. .
Sixty-five sixty-five
million million
years year
ago ago
â â
the the
dinosaurs dinosaur
had have
a a
bad bad
day day
. .
A a
chunk chunk
of of
rock rock
six six
miles mile
across across
, ,
moving move
something something
like like
50 @card@
times time
the the
speed speed
of of
a a
rifle rifle
bullet bullet
, ,
slammed slam
into into
the the
Earth earth
. .
It it
released release
its its
energy energy
all all
at at
once once
, ,
and and
it it
was be
an an
explosion explosion
that that
was be
mind-numbing mind-numbing
. .
If if
you you
took take
every every
nuclear nuclear
weapon weapon
ever ever
built build
at at
the the
height height
of of
the the
Cold cold
War war
, ,
lumped lump
them them
together together
, ,
and and
blew blow
them them
up up
at at
the the
same same
time time
, ,
that that
would would
be be
one one
one-millionth one-millionth
of of
the the
energy energy
released release
at at
that that
moment moment
. .
The the
dinosaurs dinosaur
had have
a a
really really
bad bad
day day
. .
OK ok
? ?
Now now
, ,
a a
six-mile-wide six-mile-wide
rock rock
is be
very very
large large
. .
We we
all all
live live
here here
in in
Boulder boulder
. .
If if
you you
look look
out out
your your
window window
and and
see see
Longs longs
Peak peak
â â
you you
' '
re re
probably probably
familiar familiar
with with
it it
â â
now now
, ,
scoop scoop
up up
Longs longs
Peak peak
and and
put put
it it
out out
in in
space space
. .
Take take
. .
. .
. .
Meeker meeker
, ,
Mt mt
. .
Meeker meek
. .
Lump lump
that that
in in
there there
, ,
and and
put put
that that
in in
space space
as as
well well
. .
And and
Mt mt
. .
Everest everest
. .
And and
K2 k2
. .
And and
the the
Indian indian
peaks peak
. .
Then then
you you
' '
re re
starting start
to to
get get
an an
idea idea
of of
how how
much much
rock rock
we we
' '
re re
talking talk
about about
, ,
OK ok
? ?
We we
know know
it it
was be
that that
big big
because because
of of
the the
impact impact
it it
had have
and and
the the
crater crater
it it
left leave
. .
It it
hit hit
in in
what what
we we
now now
know know
as as
Yucatan yucatan
, ,
the the
Gulf gulf
of of
Mexico mexico
. .
You you
can can
see see
here here
, ,
there there
' '
s s
the the
Yucatan yucatan
Peninsula peninsula
, ,
if if
you you
recognize recognize
Cozumel cozumel
off off
the the
east east
coast coast
there there
. .
Here here
is be
how how
big big
of of
a a
crater crater
was be
left leave
. .
It it
was be
huge huge
. .
To to
give give
you you
a a
sense sense
of of
the the
scale scale
. .
. .
. .
there there
you you
go go
. .
The the
scale scale
here here
is be
50 @card@
miles mile
on on
top top
, ,
a a
hundred hundred
kilometers kilometer
on on
the the
bottom bottom
. .
This this
thing thing
was be
300 @card@
kilometers kilometer
across across
â â
200 @card@
miles mile
â â
an an
enormous enormous
crater crater
that that
excavated excavate
out out
vast vast
amounts amount
of of
earth earth
that that
splashed splash
around around
the the
globe globe
and and
set set
fires fire
all all
over over
the the
planet planet
, ,
threw throw
up up
enough enough
dust dust
to to
block block
out out
the the
sun sun
. .
It it
wiped wipe
out out
75 @card@
percent percent
of of
all all
species species
on on
Earth earth
. .
Now now
, ,
not not
all all
asteroids asteroid
are be
that that
big big
. .
Some some
of of
them them
are be
smaller small
. .
Here here
is be
one one
that that
came come
in in
over over
the the
United united
States states
in in
October october
of of
1992 @card@
. .
It it
came come
in in
on on
a a
Friday friday
night night
. .
Why why
is be
that that
important important
? ?
Because because
back back
then then
, ,
video video
cameras camera
were be
just just
starting start
to to
become become
popular popular
, ,
and and
parents parent
would would
bring bring
them them
to to
their their
kids kid
' '
football football
games game
to to
film film
their their
kids kid
playing play
football football
. .
And and
since since
this this
came come
in in
on on
a a
Friday friday
, ,
they they
were be
able able
to to
get get
this this
great great
footage footage
of of
this this
thing thing
breaking break
up up
as as
it it
came come
in in
over over
West west
Virginia virginia
, ,
Maryland maryland
, ,
Pennsylvania pennsylvania
and and
New new
Jersey jersey
until until
it it
did do
that that
to to
a a
car car
in in
New new
York york
. .
Now now
, ,
this this
is be
not not
a a
200-mile-wide 200-mile-wide
crater crater
, ,
but but
then then
again again
, ,
you you
can can
see see
the the
rock rock
, ,
which which
is be
sitting sit
right right
here here
, ,
about about
the the
size size
of of
a a
football football
, ,
that that
hit hit
that that
car car
and and
did do
that that
damage damage
. .
Now now
, ,
this this
thing thing
was be
probably probably
about about
the the
size size
of of
a a
school school
bus bus
when when
it it
first first
came come
in in
. .
It it
broke break
up up
through through
atmospheric atmospheric
pressure pressure
, ,
it it
crumbled crumble
, ,
and and
then then
the the
pieces piece
fell fall
apart apart
and and
did do
some some
damage damage
. .
Now now
, ,
you you
wouldn wouldn
' '
t t
want want
that that
falling fall
on on
your your
foot foot
or or
your your
head head
, ,
because because
it it
would would
do do
that that
to to
it it
. .
That that
would would
be be
bad bad
. .
But but
it it
won win
' '
t t
wipe wipe
out out
, ,
you you
know know
, ,
all all
life life
on on
Earth earth
, ,
so so
that that
' '
s s
fine fine
. .
But but
it it
turns turn
out out
, ,
you you
don don
' '
t t
need need
something something
six six
miles mile
across across
to to
do do
a a
lot lot
of of
damage damage
. .
There there
is be
a a
median median
point point
between between
tiny tiny
rock rock
and and
gigantic gigantic
rock rock
, ,
and and
in in
fact fact
, ,
if if
any any
of of
you you
have have
ever ever
been be
to to
near near
Winslow winslow
, ,
Arizona arizona
, ,
there there
is be
a a
crater crater
in in
the the
desert desert
there there
that that
is be
so so
iconic iconic
that that
it it
is be
actually actually
called call
" "
Meteor meteor
Crater crater
. .
" "
To to
give give
you you
a a
sense sense
of of
scale scale
, ,
this this
is be
about about
a a
mile mile
wide wide
. .
If if
you you
look look
up up
at at
the the
top top
, ,
that that
' '
s s
a a
parking parking
lot lot
, ,
and and
those those
are be
recreational recreational
vehicles vehicle
right right
there there
. .
So so
it it
' '
s s
