There there
are be
200 @card@
million million
clinical clinical
cases case
of of
falciparum falciparum
malaria malaria
in in
Africa africa
every every
year year
, ,
resulting result
in in
half half
a a
million million
deaths death
. .
I i
would would
like like
to to
talk talk
to to
you you
about about
malaria malaria
vaccines vaccine
. .
The the
ones one
that that
we we
have have
made make
to to
date date
are be
simply simply
not not
good good
enough enough
. .
Why why
? ?
We we
' '
ve ve
been be
working work
at at
it it
for for
100 @card@
plus plus
years year
. .
When when
we we
started start
, ,
technology technology
was be
limited limit
. .
We we
could could
see see
just just
a a
tiny tiny
fraction fraction
of of
what what
the the
parasite parasite
really really
looked look
like like
. .
Today today
, ,
we we
are be
awash awash
with with
technology technology
, ,
advanced advanced
imaging imaging
and and
omics omics
platforms platform
— -
genomics genomics
, ,
transcriptomics transcriptomics
, ,
proteomics proteomics
. .
These these
tools tool
have have
given give
us us
a a
clearer clear
view view
of of
just just
how how
complex complex
the the
parasite parasite
really really
is be
. .
However however
, ,
in in
spite spite
of of
this this
, ,
our our
approach approach
to to
vaccine vaccine
design design
has have
remained remain
pretty pretty
rudimentary rudimentary
. .
To to
make make
a a
good good
vaccine vaccine
, ,
we we
must must
go go
back back
to to
basics basic
to to
understand understand
how how
our our
bodies body
handle handle
this this
complexity complexity
. .
People people
who who
are be
frequently frequently
infected infect
with with
malaria malaria
learn learn
to to
deal deal
with with
it it
. .
They they
get get
the the
infection infection
, ,
but but
they they
don don
' '
t t
get get
ill ill
. .
The the
recipe recipe
is be
encoded encode
in in
antibodies antibody
. .
My my
team team
went go
back back
to to
our our
complex complex
parasite parasite
, ,
probed probe
it it
with with
samples sample
from from
Africans african
who who
had have
overcome overcome
malaria malaria
to to
answer answer
the the
question question
: :
" "
What what
does do
a a
successful successful
antibody antibody
response response
look look
like like
? ?
" "
We we
found find
over over
200 @card@
proteins protein
, ,
many many
of of
which which
are be
not not
on on
the the
radar radar
for for
malaria malaria
vaccines vaccine
. .
My my
research research
community community
may may
be be
missing miss
out out
important important
parts part
of of
the the
parasite parasite
. .
Until until
