Thank thank
you you
. .
I i
' '
m m
thrilled thrill
to to
be be
here here
. .
I i
' '
m m
going go
to to
talk talk
about about
a a
new new
, ,
old old
material material
that that
still still
continues continue
to to
amaze amaze
us us
, ,
and and
that that
might might
impact impact
the the
way way
we we
think think
about about
material material
science science
, ,
high high
technology technology
â â
and and
maybe maybe
, ,
along along
the the
way way
, ,
also also
do do
some some
stuff stuff
for for
medicine medicine
and and
for for
global global
health health
and and
help help
reforestation reforestation
. .
So so
that that
' '
s s
kind kind
of of
a a
bold bold
statement statement
. .
I i
' '
ll ll
tell tell
you you
a a
little little
bit bit
more more
. .
This this
material material
actually actually
has have
some some
traits trait
that that
make make
it it
seem seem
almost almost
too too
good good
to to
be be
true true
. .
It it
' '
s s
sustainable sustainable
; ;
it it
' '
s s
a a
sustainable sustainable
material material
that that
is be
processed process
all all
in in
water water
and and
at at
room room
temperature temperature
â â
and and
is be
biodegradable biodegradable
with with
a a
clock clock
, ,
so so
you you
can can
watch watch
it it
dissolve dissolve
instantaneously instantaneously
in in
a a
glass glass
of of
water water
or or
have have
it it
stable stable
for for
years year
. .
It it
' '
s s
edible edible
; ;
it it
' '
s s
implantable implantable
in in
the the
human human
body body
without without
causing cause
any any
immune immune
response response
. .
It it
actually actually
gets get
reintegrated reintegrate
in in
the the
body body
. .
And and
it it
' '
s s
technological technological
, ,
so so
it it
can can
do do
things thing
like like
microelectronics microelectronics
, ,
and and
maybe maybe
photonics photonic
do do
. .
And and
the the
material material
looks look
something something
like like
this this
. .
In in
fact fact
, ,
this this
material material
you you
see see
is be
clear clear
and and
transparent transparent
. .
The the
components component
of of
this this
material material
are be
just just
water water
and and
protein protein
. .
So so
this this
material material
is be
silk silk
. .
So so
it it
' '
s s
kind kind
of of
different different
from from
what what
we we
' '
re re
used use
to to
thinking think
about about
silk silk
. .
So so
the the
question question
is be
, ,
how how
do do
you you
reinvent reinvent
something something
that that
has have
been be
around around
for for
five five
millennia millennium
? ?
The the
process process
of of
discovery discovery
, ,
generally generally
, ,
is be
inspired inspire
by by
nature nature
. .
And and
so so
we we
marvel marvel
at at
silk silk
worms worm
â â
the the
silk silk
worm worm
you you
see see
here here
spinning spin
its its
fiber fiber
. .
The the
silk silk
worm worm
does do
a a
remarkable remarkable
thing thing
: :
it it
uses use
these these
two two
ingredients ingredient
, ,
protein protein
and and
water water
, ,
that that
are be
in in
its its
gland gland
, ,
to to
make make
a a
material material
that that
is be
exceptionally exceptionally
tough tough
