What what
if if
I i
told tell
you you
that that
the the
pandemic pandemic
will will
save save
the the
lives life
of of
millions million
of of
people people
? ?
It it
' '
s s
a a
difficult difficult
thing thing
to to
consider consider
, ,
given give
how how
many many
loved love
ones one
we we
' '
ve ve
already already
lost lose
. .
But but
throughout throughout
the the
course course
of of
human human
history history
, ,
massive massive
public public
health health
crises crisis
have have
resulted result
in in
innovation innovation
in in
health health
care care
and and
technology technology
. .
For for
example example
, ,
the the
Black black
Death death
gave give
rise rise
to to
the the
Gutenberg gutenberg
press press
and and
the the
1918 @card@
flu flu
pandemic pandemic
led lead
to to
modern modern
vaccine vaccine
technology technology
. .
The the
COVID-19 covid-19
pandemic pandemic
has have
and and
will will
be be
no no
different different
. .
Just just
look look
at at
our our
vaccines vaccine
-- --
normally normally
developed develop
over over
many many
years year
, ,
and and
the the
mRNA mrna
vaccines vaccine
were be
deployed deploy
in in
a a
mind-blowing mind-blowing
11 @card@
months month
. .
How how
is be
that that
even even
possible possible
? ?
It it
was be
possible possible
because because
scientists scientist
have have
been be
working work
for for
many many
years year
to to
get get
us us
to to
the the
point point
where where
we we
could could
use use
mRNA mrna
quickly quickly
in in
an an
emergency emergency
situation situation
. .
Specifically specifically
, ,
we we
' '
ve ve
been be
working work
on on
how how
to to
help help
mRNA mrna
with with
its its
biggest big
problem problem
, ,
which which
is be
that that
it it
doesn doesn
' '
t t
normally normally
go go
to to
the the
right right
places place
inside inside
of of
our our
bodies body
. .
Fortunately fortunately
, ,
we we
got get
around around
that that
problem problem
just just
in in
time time
, ,
and and
I i
' '
d d
like like
to to
tell tell
you you
about about
the the
technology technology
that that
we we
use use
to to
do do
it it
. .
When when
mRNA mrna
is be
administered administer
, ,
it it
' '
s s
injected inject
into into
our our
muscles muscle
or or
our our
bloodstream bloodstream
, ,
but but
we we
actually actually
need need
it it
to to
go go
inside inside
of of
our our
cells cell
. .
Unfortunately unfortunately
, ,
mRNA mrna
is be
fragile fragile
, ,
and and
our our
bodies body
will will
destroy destroy
it it
before before
it it
goes go
very very
far far
. .
You you
can can
think think
of of
mRNA mrna
like like
a a
glass glass
vase vase
that that
you you
' '
d d
like like
to to
send send
in in
the the
mail mail
without without
a a
box box
and and
bubble bubble
wrap wrap
. .
It it
' '
ll ll
break break
long long
before before
it it
' '
s s
been be
delivered deliver
. .
And and
without without
an an
address address
on on
the the
box box
, ,
your your
postal postal
delivery delivery
service service
will will
have have
no no
idea idea
where where
to to
take take
it it
. .
And and
so so
if if
we we
' '
re re
going go
to to
use use
mRNA mrna
as as
a a
therapeutic therapeutic
, ,
it it
needs need
our our
help help
. .
It it
needs need
protection protection
, ,
and and
it it
needs need
to to
be be
told tell
where where
to to
go go
. .
And and
that that
' '
s s
where where
I i
come come
in in
. .
For for
over over
five five
decades decade
, ,
scientists scientist
and and
engineers engineer
like like
myself myself
have have
been be
creating create
the the
shipping ship
materials material
for for
nucleic nucleic
acid acid
drugs drug
, ,
like like
DNA dna
and and
RNA rna
. .
Through through
trial trial
and and
error error
, ,
we we
' '
ve ve
created create
packages package
that that
deliver deliver
intact intact
vases vase
to to
the the
wrong wrong
address address
; ;
that that
delivered deliver
to to
the the
right right
address address
but but
with with
a a
broken break
vase vase
; ;
packages package
that that
get get
ripped rip
apart apart
by by
attacking attack
dogs dog
; ;
and and
packages package
that that
throw throw
out out
the the
mail mail
carrier carrier
' '
s s
back back
. .
It it
' '
s s
taken take
many many
years year
to to
get get
the the
science science
right right
. .
Let let
me me
show show
you you
the the
result result
, ,
these these
tiny tiny
balls ball
of of
fat fat
that that
we we
call call
lipid lipid
nanoparticles nanoparticle
. .
Let let
me me
tell tell
you you
what what
they they
are be
and and
how how
they they
work work
. .
So so
first first
of of
all all
, ,
" "
nano nano
" "
just just
means mean
really really
, ,
really really
small small
. .
Think think
of of
how how
small small
a a
person person
is be
compared compare
to to
the the
diameter diameter
of of
the the
earth earth
. .
That that
' '
s s
how how
small small
a a
nanoparticle nanoparticle
is be
compared compare
to to
the the
person person
. .
These these
nanoparticles nanoparticle
are be
made make
up up
of of
several several
fatty fatty
molecules molecule
called call
lipids lipid
. .
Fat fat
is be
an an
awesome awesome
packing packing
material material
-- --
nice nice
and and
bouncy bouncy
. .
Interestingly interestingly
, ,
our our
cells cell
are be
also also
surrounded surround
by by
fat fat
to to
keep keep
them them
flexible flexible
and and
protected protect
. .
Years year
ago ago
, ,
scientists scientist
had have
the the
idea idea
to to
create create
lipid lipid
nanoparticles nanoparticle
that that
would would
act act
like like
a a
Trojan trojan
horse horse
. .
Because because
the the
lipids lipid
in in
the the
nanoparticle nanoparticle
look look
similar similar
to to
the the
membranes membrane
that that
