If if
you you
look look
at at
a a
carpenter carpenter
, ,
they they
have have
a a
toolbox toolbox
; ;
a a
dentist dentist
, ,
they they
have have
their their
drills drill
. .
In in
our our
era era
and and
the the
type type
of of
work work
most most
of of
us us
are be
doing do
, ,
the the
tool tool
we we
most most
need need
is be
actually actually
centered center
around around
being be
able able
to to
give give
and and
receive receive
feedback feedback
well well
. .
[ [
The the
Way way
We we
Work work
] ]
Humans human
have have
been be
talking talk
about about
feedback feedback
for for
centuries century
. .
In in
fact fact
, ,
Confucius confucius
, ,
way way
back back
in in
500 @card@
BC bc
, ,
talked talk
about about
how how
important important
it it
is be
to to
be be
able able
to to
say say
difficult difficult
messages message
well well
. .
But but
to to
be be
honest honest
, ,
we we
' '
re re
still still
pretty pretty
bad bad
at at
it it
. .
In in
fact fact
, ,
a a
recent recent
Gallup gallup
survey survey
found find
that that
only only
26 @card@
percent percent
of of
employees employee
strongly strongly
agree agree
that that
the the
feedback feedback
they they
get get
actually actually
improves improve
their their
work work
. .
Those those
numbers number
are be
pretty pretty
dismal dismal
. .
So so
what what
' '
s s
going go
on on
? ?
The the
way way
that that
most most
people people
give give
their their
feedback feedback
actually actually
isn isn
' '
t t
brain-friendly brain-friendly
. .
People people
fall fall
into into
one one
of of
two two
camps camp
. .
Either either
they they
' '
re re
of of
the the
camp camp
that that
is be
very very
indirect indirect
and and
soft soft
and and
the the
brain brain
doesn doesn
' '
t t
even even
recognize recognize
that that
feedback feedback
is be
being be
given give
or or
it it
' '
s s
just just
simply simply
confused confuse
, ,
or or
they they
fall fall
into into
the the
other other
camp camp
of of
being be
too too
direct direct
, ,
and and
with with
that that
, ,
it it
tips tip
the the
other other
person person
into into
the the
land land
of of
being be
defensive defensive
. .
There there
' '
s s
this this
part part
of of
the the
brain brain
called call
the the
amygdala amygdala
, ,
and and
it it
' '
s s
scanning scan
at at
all all
times time
to to
figure figure
out out
whether whether
the the
message message
has have
a a
social social
threat threat
attached attach
to to
it it
. .
With with
that that
, ,
we we
' '
ll ll
move move
forward forward
to to
defensiveness defensiveness
, ,
we we
' '
ll ll
move move
backwards backwards
in in
retreat retreat
, ,
and and
what what
happens happen
is be
the the
feedback feedback
giver giver
then then
starts start
to to
disregulate disregulate
as as
well well
. .
They they
add add
more more
ums ums
and and
ahs ahs
and and
justifications justification
, ,
