Nina nina
DĂ¸lvik dă¸lvik
Brochmann brochmann
: :
We we
grew grow
up up
believing believe
that that
the the
hymen hymen
is be
a a
proof proof
of of
virginity virginity
. .
But but
it it
turns turn
out out
, ,
we we
were be
wrong wrong
. .
What what
we we
discovered discover
is be
that that
the the
popular popular
story story
we we
' '
re re
told tell
about about
female female
virginity virginity
is be
based base
on on
two two
anatomical anatomical
myths myth
. .
The the
truth truth
has have
been be
known know
in in
medical medical
communities community
for for
over over
100 @card@
years year
, ,
yet yet
somehow somehow
these these
two two
myths myth
continue continue
to to
make make
life life
difficult difficult
for for
women woman
around around
the the
world world
. .
Ellen ellen
StĂ¸kken stă¸kken
Dahl dahl
: :
The the
first first
myth myth
is be
about about
blood blood
. .
It it
tells tell
us us
that that
the the
hymen hymen
breaks break
and and
bleeds bleed
the the
first first
time time
a a
woman woman
has have
vaginal vaginal
sex sex
. .
In in
other other
words word
, ,
if if
there there
is be
no no
blood blood
on on
the the
sheets sheet
afterwards afterwards
, ,
then then
the the
woman woman
was be
simply simply
not not
a a
virgin virgin
. .
The the
second second
myth myth
is be
a a
logical logical
consequence consequence
of of
the the
first first
. .
Since since
the the
hymen hymen
is be
thought think
to to
break break
and and
bleed bleed
, ,
people people
also also
believe believe
that that
it it
actually actually
disappears disappear
or or
is be
in in
some some
way way
radically radically
altered alter
during during
a a
woman woman
' '
s s
first first
intercourse intercourse
. .
If if
that that
were be
true true
, ,
one one
would would
easily easily
be be
able able
to to
determine determine
if if
a a
woman woman
is be
a a
virgin virgin
or or
not not
by by
examining examine
her her
genitals genitals
, ,
by by
doing do
a a
virginity virginity
check check
. .
NDB ndb
: :
So so
that that
' '
s s
our our
two two
myths myth
: :
virgins virgin
bleed bleed
, ,
and and
hymens hymen
are be
lost lose
forever forever
. .
Now now
, ,
this this
may may
sound sound
like like
a a
minor minor
issue issue
to to
you you
. .
Why why
should should
you you
care care
about about
an an
obscure obscure
little little
skin skin
fold fold
on on
the the
female female
body body
? ?
But but
the the
truth truth
is be
, ,
this this
is be
about about
so so
much much
more more
than than
an an
anatomical anatomical
misunderstanding misunderstanding
. .
The the
myths myth
about about
the the
hymen hymen
have have
lived live
on on
for for
centuries century
because because
they they
have have
cultural cultural
significance significance
. .
They they
have have
been be
used use
as as
a a
powerful powerful
tool tool
in in
the the
effort effort
to to
control control
women woman
' '
s s
sexuality sexuality
in in
about about
every every
culture culture
, ,
religion religion
and and
historical historical
decade decade
. .
Women woman
are be
still still
mistrusted mistrust
, ,
shamed shame
, ,
harmed harm
and and
, ,
in in
the the
worst bad
cases case
, ,
subjected subject
to to
honor honor
killings killing
if if
they they
don don
' '
t t
bleed bleed
on on
their their
wedding wedding
night night
. .
Other other
women woman
are be
forced force
through through
degrading degrading
virginity virginity
checks check
, ,
simply simply
to to
obtain obtain
a a
job job
, ,
to to
save save
their their
reputation reputation
or or
to to
get get
married married
. .
ESD esd
: :
Like like
in in
Indonesia indonesia
, ,
where where
women woman
are be
systematically systematically
examined examine
to to
enter enter
military military
service service
. .
After after
the the
Egyptian egyptian
uprisings uprising
in in
2011 @card@
, ,
a a
group group
of of
female female
protesters protester
were be
forced force
to to
undergo undergo
virginity virginity
checks check
by by
their their
military military
. .
In in
Oslo oslo
, ,
doctors doctor
are be
examining examine
the the
hymens hymen
of of
young young
girls girl
to to
reassure reassure
parents parent
that that
their their
children child
are be
not not
ruined ruin
. .
And and
sadly sadly
, ,
the the
list list
goes go
on on
. .
Women woman
are be
so so
afraid afraid
not not
to to
live live
up up
to to
the the
myths myth
about about
the the
hymen hymen
that that
they they
choose choose
to to
use use
different different
virginity virginity
quick quick
fixes fix
to to
assure assure
a a
bleeding bleeding
. .
That that
could could
be be
plastic plastic
surgery surgery
, ,
known know
as as
" "
revirgination revirgination
, ,
" "
it it
could could
be be
vials vial
of of
blood blood
poured pour
on on
the the
sheets sheet
after after
sex sex
or or
fake fake
hymens hymen
bought buy
online online
, ,
complete complete
with with
theater theater
blood blood
and and
a a
promise promise
to to
" "
kiss kiss
your your
deep deep
, ,
dark dark
secret secret
goodbye goodbye
. .
" "
NDB ndb
: :
By by
telling tell
girls girl
that that
no no
deed deed
can can
be be
kept keep
secret secret
, ,
that that
their their
bodies body
will will
reveal reveal
them them
no no
matter matter
what what
, ,
we we
have have
endowed endow
them them
with with
fear fear
. .
Girls girl
are be
afraid afraid
of of
ruining ruin
themselves themselves
, ,
either either
through through
sport sport
, ,
play play
, ,
tampon tampon
use use
or or
a a
sexual sexual
activity activity
. .
We we
have have
curtailed curtail
their their
opportunities opportunity
and and
their their
freedoms freedom
. .
It it
' '
s s
time time
we we
put put
an an
end end
to to
the the
virginity virginity
fraud fraud
. .
It it
' '
s s
time time
we we
break break
the the
myths myth
about about
the the
hymen hymen
once once
and and
for for
all all
. .
ESD esd
: :
We we
are be
medical medical
students student
, ,
sexual sexual
health health
workers worker
and and
the the
authors author
of of
" "
The the
Wonder wonder
Down down
Under under
. .
" "
That that
' '
s s
a a
popular popular
science science
book book
about about
the the
female female
genitals genitals
. .
And and
in in
our our
experience experience
, ,
people people
seem seem
to to
believe believe
that that
the the
hymen hymen
is be
some some
kind kind
of of
a a
seal seal
covering cover
the the
vaginal vaginal
opening opening
. .
In in
Norwegian norwegian
, ,
it it
is be
even even
called call
" "
the the
virgin virgin
membrane membrane
. .
" "
And and
with with
this this
, ,
we we
picture picture
something something
fragile fragile
, ,
something something
easily easily
destructible destructible
, ,
something something
you you
can can
rip rip
through through
, ,
perhaps perhaps
like like
a a
sheet sheet
of of
plastic plastic
wrapping wrapping
. .
You you
may may
have have
wondered wonder
why why
we we
brought bring
a a
hula hula
hoop hoop
onstage onstage
today today
. .
We we
' '
ll ll
show show
you you
. .
Now now
, ,
it it
is be
very very
hard hard
to to
hide hide
that that
something something
has have
happened happen
to to
this this
hoop hoop
, ,
right right
? ?
It it
is be
different different
before before
and and
after after
I i
punched punch
it it
. .
The the
seal seal
is be
broken break
, ,
and and
unless unless
we we
change change
the the
plastic plastic
, ,
it it
won win
' '
t t
get get
back back
to to
its its
intact intact
state state
. .
So so
if if
we we
wanted want
to to
do do
a a
virginity virginity
check check
on on
this this
hoop hoop
right right
here here
, ,
right right
now now
, ,
that that
would would
be be
very very
easy easy
. .
It it
' '
s s
easy easy
to to
say say
that that
this this
hoop hoop
is be
not not
a a
virgin virgin
anymore anymore
. .
NDB ndb
: :
But but
the the
hymen hymen
is be
nothing nothing
like like
a a
piece piece
of of
plastic plastic
you you
can can
wrap wrap
around around
your your
food food
, ,
or or
a a
seal seal
. .
In in
fact fact
. .
. .
. .
it it
' '
s s
more more
like like
this this
â â
a a
scrunchie scrunchie
or or
a a
rubber rubber
band band
. .
The the
hymen hymen
is be
a a
rim rim
of of
tissue tissue
at at
the the
outer outer
opening opening
of of
the the
vagina vagina
. .
And and
usually usually
, ,
it it
has have
a a
doughnut doughnut
or or
a a
half-moon half-moon
shape shape
with with
a a
large large
, ,
central central
hole hole
. .
But but
this this
varies vary
a a
lot lot
, ,
and and
sometimes sometimes
hymens hymen
can can
have have
fringes fringe
, ,
it it
can can
have have
several several
holes hole
, ,
or or
it it
can can
consist consist
of of
lobes lobe
. .
In in
other other
words word
, ,
hymens hymen
naturally naturally
vary vary
a a
lot lot
in in
looks look
, ,
and and
that that
is be
what what
makes make
it it
so so
hard hard
to to
do do
a a
virginity virginity
check check
. .
ESD esd
: :
Now now
that that
we we
know know
a a
bit bit
more more
about about
the the
hymen hymen
' '
s s
anatomy anatomy
, ,
it it
' '
s s
time time
to to
get get
back back
