At at
various various
points point
over over
the the
past past
20 @card@
years year
, ,
I i
' '
ve ve
studied study
two two
fundamental fundamental
human human
experiences experience
that that
have have
taught teach
me me
an an
awful awful
lot lot
about about
emotion emotion
and and
that that
may may
hold hold
the the
keys key
to to
a a
revolution revolution
in in
psychiatry psychiatry
. .
The the
first first
is be
how how
we we
experience experience
music music
. .
The the
second second
is be
how how
we we
experience experience
psychedelic psychedelic
drugs drug
such such
as as
LSD lsd
and and
magic magic
mushrooms mushroom
, ,
or or
psilocybin psilocybin
, ,
which which
is be
the the
active active
component component
in in
magic magic
mushrooms mushroom
. .
You you
may may
be be
wondering wonder
what what
these these
two two
things thing
have have
in in
common common
outside outside
of of
Woodstock woodstock
. .
After after
all all
, ,
music music
is be
not not
a a
physical physical
substance substance
. .
It it
can can
be be
described describe
as as
a a
limited limited
set set
of of
vibrations vibration
in in
the the
air air
that that
can can
be be
detected detect
by by
your your
ear ear
. .
And and
music music
may may
seem seem
to to
have have
more more
to to
do do
with with
aesthetics aesthetics
than than
with with
biology biology
or or
chemistry chemistry
. .
Psychedelic psychedelic
drugs drug
, ,
on on
the the
other other
hand hand
, ,
are be
physical physical
substances substance
. .
They they
are be
chemical chemical
compounds compound
that that
you you
can can
ingest ingest
that that
directly directly
interact interact
with with
brain brain
chemistry chemistry
and and
change change
your your
experience experience
of of
the the
world world
. .
This this
change change
is be
temporary temporary
, ,
but but
the the
effects effect
of of
this this
change change
can can
alter alter
the the
course course
of of
your your
life life
. .
But but
let let
' '
s s
face face
it it
: :
psychedelics psychedelics
have have
the the
potential potential
to to
trigger trigger
unexpected unexpected
and and
potentially potentially
dangerous dangerous
effects effect
. .
So so
what what
could could
these these
two two
very very
different different
things thing
possibly possibly
have have
in in
common common
? ?
I i
' '
ve ve
found find
that that
music music
and and
psychedelics psychedelics
can can
impact impact
our our
well-being well-being
in in
powerful powerful
and and
complementary complementary
ways way
. .
Music music
can can
have have
a a
direct direct
impact impact
on on
our our
emotions emotion
, ,
with with
measurable measurable
impacts impact
in in
the the
brain brain
; ;
psychedelic psychedelic
drugs drug
, ,
under under
the the
right right
circumstances circumstance
, ,
may may
have have
therapeutic therapeutic
effects effect
. .
These these
effects effect
can can
be be
manifest manifest
in in
patterns pattern
that that
we we
can can
study study
and and
document document
with with
brain brain
scans scan
. .
And and
together together
, ,
and and
leveraged leveraged
in in
a a
purposeful purposeful
fashion fashion
, ,
music music
and and
psychedelics psychedelics
may may
have have
an an
even even
greater great
healing healing
impact impact
on on
patients patient
. .
What what
' '
s s
more more
, ,
these these
effects effect
can can
be be
manifest manifest
in in
healthier healthy
and and
happier happy
lives life
and and
more more
integrated integrated
personalities personality
. .
I i
began begin
my my
journey journey
into into
the the
mental mental
health health
benefits benefit
of of
music music
long long
before before
I i
ever ever
intended intend
to to
make make
such such
a a
journey journey
. .
For for
roughly roughly
half half
of of
my my
life life
, ,
I i
' '
ve ve
been be
a a
musician musician
, ,
having have
played play
in in
community community
orchestras orchestra
, ,
community community
theaters theater
, ,
wedding wed
bands band
, ,
a a
salsa-merengue salsa-merengue
band band
. .
I i
was be
a a
member member
of of
a a
string string
band band
in in
Philadelphia philadelphia
for for
many many
years year
. .
And and
for for
the the
better good
part part
of of
my my
formative formative
years year
, ,
I i
was be
the the
drummer drummer
in in
a a
Weezer-Nirvana weezer-nirvana
cover cover
band band
that that
morphed morphed
into into
a a
hardcore hardcore
punk punk
band band
. .
That that
' '
s s
right right
. .
Drummer drummer
in in
a a
punk punk
band band
. .
But but
it it
wasn wasn
' '
t t
until until
I i
really really
began begin
my my
career career
in in
psychology psychology
and and
neuroscience neuroscience
that that
I i
began begin
to to
also also
appreciate appreciate
how how
widely widely
and and
how how
deeply deeply
we we
as as
a a
species species
, ,
both both
implicitly implicitly
and and
explicitly explicitly
, ,
use use
music music
as as
a a
tool tool
to to
try try
to to
regulate regulate
our our
emotions emotion
and and
to to
heal heal
. .
And and
for for
some some
of of
us us
, ,
music music
keeps keep
us us
going go
. .
For for
others other
, ,
music music
isn isn
' '
t t
quite quite
enough enough
. .
For for
me me
, ,
this this
led lead
to to
some some
fascinating fascinating
questions question
